id,n_genes,gene_edges,morph_edges,n_blocks,hard,muscle,sensor,digestive,largest,connected,dev_ns
0,7,4,15,64,15,6,43,0,64,1,202541
1,6,0,10,64,17,34,0,13,64,1,159000
2,15,13,15,49,29,20,0,0,49,1,581583
3,7,4,15,33,2,0,6,25,31,0,194667
4,4,2,8,4,0,4,0,0,4,1,90833
5,7,3,5,64,0,0,0,64,64,1,192709
6,11,11,14,64,0,64,0,0,64,1,371292
7,5,1,4,34,0,0,0,34,34,1,129167
8,7,1,11,3,3,0,0,0,3,1,204000
9,5,1,11,34,0,0,24,10,34,1,117750
10,14,8,19,64,64,0,0,0,64,1,511250
11,6,3,6,64,38,26,0,0,64,1,170833
12,2,0,2,64,64,0,0,0,64,1,73917
13,15,8,20,32,0,0,32,0,32,1,619375
14,11,6,14,32,2,0,30,0,32,1,373667
15,14,9,23,6,0,0,6,0,6,1,519000
16,7,3,11,64,16,0,18,30,64,1,208459
17,10,7,18,9,7,2,0,0,9,1,310375
18,11,8,18,64,0,0,64,0,64,1,360292
19,5,2,11,22,22,0,0,0,22,1,119125
20,5,2,10,34,34,0,0,0,34,1,115750
21,5,0,3,64,0,64,0,0,64,1,117167
22,10,7,15,61,0,0,61,0,61,1,304792
23,10,2,13,64,0,8,56,0,64,1,310041
24,10,6,14,52,52,0,0,0,52,1,313750
25,4,0,7,24,0,12,1,11,24,1,93917
26,11,12,18,62,31,0,0,31,62,1,357084
27,7,4,12,21,0,21,0,0,21,1,199084
28,6,3,11,34,34,0,0,0,34,1,156167
29,5,1,9,64,0,0,64,0,64,1,108291
30,10,7,23,64,61,0,0,3,64,1,290666
31,6,1,7,45,0,0,45,0,45,1,152667
32,9,3,12,64,0,12,32,20,64,1,254125
33,4,0,2,64,0,0,48,16,64,1,87167
34,7,2,10,64,0,45,19,0,64,1,184916
35,8,2,12,64,36,11,16,1,64,1,213500
36,8,3,15,34,15,1,0,18,34,1,213125
37,7,3,10,59,49,0,10,0,59,1,185625
38,9,1,14,51,5,0,0,46,51,1,245875
39,9,3,9,44,0,0,0,44,44,1,246041
40,5,1,10,3,0,3,0,0,3,1,107625
41,5,2,12,64,0,10,38,16,64,1,107958
42,6,2,13,64,0,44,19,1,64,1,152167
43,4,1,7,60,35,0,0,25,60,1,87000
44,8,4,14,37,37,0,0,0,37,1,235375
45,11,10,14,64,0,0,45,19,64,1,345000
46,5,2,9,61,0,29,32,0,61,1,108125
47,4,0,5,33,0,0,33,0,33,1,87042
48,8,0,7,0,0,0,0,0,0,0,214416
49,7,3,9,64,64,0,0,0,64,1,186208
50,14,8,19,64,27,37,0,0,64,1,481209
51,12,10,18,64,0,17,47,0,64,1,385333
52,4,2,6,0,0,0,0,0,0,0,87375
53,7,4,10,0,0,0,0,0,0,0,186625
54,4,0,5,64,0,55,9,0,64,1,87084
55,6,3,10,64,24,0,16,24,64,1,153292
56,8,5,14,64,29,0,30,5,64,1,215541
57,7,2,12,33,28,0,5,0,33,1,187375
58,6,3,4,64,0,0,42,22,64,1,153041
59,1,0,3,0,0,0,0,0,0,0,65583
60,8,3,14,26,0,0,0,26,26,1,215166
61,7,4,17,30,10,0,0,20,20,0,187333
62,6,0,6,64,0,24,40,0,64,1,153542
63,5,1,1,48,0,0,0,48,48,1,108625
64,11,7,15,42,42,0,0,0,42,1,331833
65,14,8,16,64,57,0,0,7,64,1,470000
66,14,13,16,48,0,37,0,11,48,1,478208
67,5,1,11,64,0,0,46,18,64,1,105792
68,8,4,13,57,0,0,0,57,57,1,208917
69,4,1,8,12,12,0,0,0,12,1,85375
70,5,0,8,32,0,22,0,10,32,1,108167
71,11,8,21,48,0,0,48,0,48,1,329875
72,5,1,7,64,0,6,0,58,64,1,104750
73,6,1,9,64,64,0,0,0,64,1,149708
74,7,2,7,24,8,16,0,0,16,0,181958
75,10,2,14,64,0,64,0,0,64,1,282625
76,9,7,15,64,0,61,3,0,64,1,248500
77,5,1,9,64,0,19,32,13,64,1,105083
78,5,2,7,4,4,0,0,0,2,0,104500
79,6,1,12,53,52,1,0,0,53,1,147875
80,8,9,16,58,0,0,54,4,58,1,207417
81,8,4,11,62,0,49,13,0,61,0,208667
82,3,1,4,64,2,14,48,0,64,1,70208
83,11,6,17,64,0,0,37,27,64,1,326083
84,11,8,19,27,4,3,20,0,27,1,342541
85,13,11,22,61,3,18,10,30,61,1,427292
86,9,3,9,38,0,0,38,0,38,1,240500
87,6,2,11,64,11,53,0,0,64,1,148042
88,5,0,12,62,62,0,0,0,62,1,104708
89,10,5,12,64,0,1,63,0,64,1,284458
90,8,7,12,64,27,0,37,0,64,1,204333
91,5,0,6,0,0,0,0,0,0,0,111667
92,8,4,17,64,0,3,0,61,64,1,204250
93,12,7,21,64,0,0,0,64,64,1,367375
94,15,18,32,64,64,0,0,0,64,1,546208
95,8,3,9,49,24,0,25,0,49,1,204042
96,8,3,14,40,0,23,0,17,40,1,207458
97,9,3,20,64,0,0,0,64,64,1,245000
98,7,4,9,64,0,41,0,23,64,1,180917
99,7,1,11,45,0,0,45,0,45,1,178833
100,8,3,13,64,0,11,0,53,64,1,203958
101,5,2,7,1,1,0,0,0,1,1,108417
102,9,4,7,64,64,0,0,0,64,1,234875
103,12,11,26,64,11,9,0,44,64,1,368042
104,4,1,9,64,34,0,0,30,64,1,83834
105,11,5,14,64,0,0,27,37,64,1,321166
106,12,7,18,13,7,0,0,6,13,1,374334
