step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat
100000,53,32,1,0,20,1,0.019,154,6.73,26.51,1.23
100000,19,9,0,0,10,0,0.000,150,2.79,13.29,0.00
100000,64,46,6,0,12,6,0.094,149,5.95,15.92,23.36
100000,53,33,1,0,19,1,0.019,146,4.47,21.14,2.89
100000,50,32,0,0,18,0,0.000,143,6.08,24.02,0.00
100000,48,32,0,0,16,0,0.000,143,2.12,19.27,0.00
100000,27,17,0,0,10,0,0.000,143,1.01,14.98,0.00
100000,31,11,0,0,20,0,0.000,140,3.40,16.47,0.00
100000,42,24,0,0,18,0,0.000,132,2.56,18.74,0.00
100000,14,3,0,0,11,0,0.000,130,1.99,12.58,0.00
100000,57,37,1,0,19,1,0.018,129,5.15,23.51,0.00
100000,19,3,0,0,16,0,0.000,125,3.44,12.55,0.00
100000,14,3,0,0,11,0,0.000,124,1.59,10.30,0.00
100000,47,32,0,0,15,0,0.000,123,2.13,16.12,0.00
100000,62,41,6,0,15,6,0.097,123,5.31,21.92,7.03
100000,64,32,16,0,16,16,0.250,122,7.73,11.66,16.83
100000,50,32,0,0,18,0,0.000,117,2.39,16.33,0.00
100000,48,32,0,0,16,0,0.000,115,5.50,18.50,0.00
100000,31,18,0,0,13,0,0.000,115,4.00,11.21,0.00
100000,14,3,0,0,11,0,0.000,113,3.00,5.99,0.00
100000,13,3,0,0,10,0,0.000,113,1.65,6.04,0.00
100000,28,3,0,0,25,0,0.000,108,2.44,11.35,0.00
100000,54,33,1,0,20,1,0.019,106,4.96,21.08,1.24
100000,26,9,0,0,17,0,0.000,104,2.32,12.77,0.00
100000,13,5,0,0,8,0,0.000,102,1.75,7.37,0.00
100000,13,5,0,0,8,0,0.000,102,3.28,8.56,0.00
100000,49,33,0,0,16,0,0.000,101,3.04,14.45,0.00
100000,63,44,6,0,13,6,0.095,100,4.19,10.93,12.74
100000,19,3,0,0,16,0,0.000,100,1.22,12.77,0.00
100000,48,32,0,0,16,0,0.000,99,3.04,13.84,0.00
100000,14,3,0,0,11,0,0.000,97,2.54,10.13,0.00
100000,50,32,0,0,18,0,0.000,96,0.63,11.41,0.00
100000,50,32,0,0,18,0,0.000,95,5.27,15.96,0.00
100000,7,0,0,0,7,0,0.000,94,1.72,7.46,0.00
100000,19,3,0,0,16,0,0.000,91,2.42,11.56,0.00
100000,20,12,0,0,8,0,0.000,90,1.10,4.64,0.00
100000,53,27,1,0,25,1,0.019,89,3.94,13.93,0.40
100000,44,31,0,0,13,0,0.000,89,2.89,11.26,0.00
100000,19,3,0,0,16,0,0.000,87,2.17,9.10,0.00
100000,53,33,1,0,19,1,0.019,86,1.36,11.15,0.00
100000,14,3,0,0,11,0,0.000,86,3.07,6.74,0.00
100000,13,3,0,0,10,0,0.000,86,1.80,6.87,0.00
100000,13,5,0,0,8,0,0.000,85,1.99,3.65,0.00
100000,48,17,0,0,31,0,0.000,84,1.54,10.23,0.00
100000,39,20,0,0,19,0,0.000,81,2.36,8.86,0.00
100000,18,2,0,0,16,0,0.000,81,2.13,6.50,0.00
100000,53,33,1,0,19,1,0.019,80,6.71,14.19,1.77
100000,14,3,0,0,11,0,0.000,80,2.82,7.94,0.00
