step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
110000,212,4.423,0.154,12.54,19163,5700,28,13191,277,300,410047.8,28771.5,0.002,0.090,0.399,0.013,0.495,1385,62.40,4.33,41.51,7.76,2.05,6.32,0.33,1.55,18.50,2.83,1.94,6.02,0.032,0.099,48,0.330,0.901,0.090,0.000,0.009
120000,251,3.602,0.149,12.92,20899,5617,49,14958,236,597,410760.7,27836.4,0.000,0.097,0.368,0.012,0.523,1139,49.01,22.67,30.29,18.72,2.53,6.78,0.05,0.37,16.14,5.82,2.20,6.20,0.045,0.120,65,0.187,0.813,0.167,0.000,0.020
130000,247,3.797,0.149,13.13,18421,5721,54,12465,185,709,409840.8,25031.9,0.001,0.094,0.438,0.011,0.457,1109,49.15,21.98,28.10,18.51,5.45,9.26,0.35,1.38,15.24,4.64,4.90,8.56,0.090,0.154,69,0.190,0.656,0.316,0.000,0.028
140000,244,4.001,0.144,12.96,21376,6130,21,14940,288,637,410214.2,30360.2,0.002,0.070,0.422,0.006,0.501,1022,54.97,10.54,36.64,10.23,2.45,5.81,0.03,0.28,15.85,3.79,2.22,4.98,0.040,0.094,86,0.197,0.787,0.205,0.000,0.008
150000,267,3.671,0.119,12.85,14897,6752,43,8014,65,684,409652.9,17670.8,0.001,0.082,0.463,0.002,0.452,1457,51.60,4.71,34.21,5.09,0.76,2.77,0.00,0.00,16.62,4.33,0.75,2.72,0.015,0.051,75,0.412,0.929,0.052,0.000,0.019
160000,233,4.039,0.145,12.77,13746,6592,30,7108,50,411,409527.5,18293.4,0.000,0.089,0.467,0.007,0.436,1551,56.30,6.39,37.27,8.71,0.85,2.55,0.03,0.18,18.17,6.96,0.81,2.51,0.016,0.045,94,0.189,0.936,0.056,0.000,0.009
170000,252,4.030,0.149,12.23,18787,6220,58,12165,325,398,410097.0,22411.2,0.001,0.078,0.471,0.021,0.429,1390,51.19,14.74,31.58,14.28,3.27,7.04,0.00,0.00,16.33,6.43,3.27,7.02,0.052,0.110,65,0.329,0.726,0.242,0.000,0.032
180000,214,4.408,0.147,12.68,17344,6709,48,10321,304,289,409664.9,20316.3,0.001,0.050,0.412,0.047,0.491,1422,61.70,3.87,41.43,5.83,1.55,3.54,0.00,0.00,18.73,4.41,1.48,3.23,0.026,0.059,81,0.210,0.963,0.028,0.000,0.009
190000,280,3.650,0.131,12.44,14177,6773,30,7202,106,158,409720.8,17442.7,0.000,0.058,0.372,0.025,0.545,1525,48.55,16.97,28.70,14.45,2.64,6.16,0.00,0.00,17.21,6.00,2.23,5.35,0.052,0.121,122,0.082,0.854,0.125,0.000,0.021
200000,253,3.828,0.127,12.06,14572,7233,41,7218,107,451,410153.4,15221.2,0.001,0.080,0.353,0.003,0.563,1688,51.62,7.18,31.64,7.89,3.89,6.54,0.00,0.06,16.08,3.35,3.87,6.54,0.072,0.128,49,0.182,0.719,0.269,0.000,0.012
210000,247,3.842,0.127,11.40,17513,6842,24,10397,256,408,410193.9,20313.5,0.003,0.077,0.421,0.004,0.495,1550,51.51,10.80,28.22,10.55,6.09,8.10,0.00,0.00,17.19,4.01,6.02,8.08,0.107,0.147,45,0.348,0.668,0.312,0.000,0.020
220000,239,3.952,0.147,11.63,20148,6853,32,12870,401,482,409561.2,25611.1,0.002,0.067,0.435,0.005,0.492,1251,55.49,6.71,36.09,5.13,2.14,5.01,0.00,0.00,17.26,3.90,2.14,5.01,0.034,0.079,91,0.109,0.866,0.126,0.000,0.008
230000,223,4.558,0.161,11.80,23482,5990,15,16964,529,436,410469.3,33115.8,0.002,0.061,0.410,0.006,0.521,1089,59.69,6.27,35.50,10.18,6.39,9.08,0.00,0.00,17.79,3.97,6.36,9.05,0.101,0.142,58,0.224,0.740,0.251,0.000,0.009
240000,236,4.076,0.150,12.15,22495,5726,19,16352,385,469,410075.1,29453.7,0.001,0.060,0.348,0.011,0.581,1084,55.25,13.83,35.68,12.79,2.94,6.81,0.00,0.00,16.63,4.68,2.89,6.77,0.048,0.109,51,0.309,0.758,0.242,0.000,0.000
250000,236,4.192,0.148,12.30,19007,5715,28,13120,144,545,410319.8,25350.8,0.001,0.061,0.398,0.009,0.530,1261,57.29,9.81,36.55,11.83,3.23,6.76,0.00,0.00,17.52,3.11,2.83,6.65,0.060,0.119,56,0.343,0.788,0.178,0.000,0.034
260000,224,4.415,0.162,12.26,20141,5238,35,14522,358,477,409941.5,27132.3,0.001,0.054,0.404,0.010,0.531,1199,60.38,5.94,40.02,8.87,2.90,6.65,0.00,0.00,17.46,3.79,2.73,6.51,0.048,0.110,58,0.188,0.777,0.223,0.000,0.000
270000,238,4.122,0.133,12.77,18047,5554,51,12331,97,842,409793.6,23822.7,0.000,0.058,0.415,0.010,0.516,1475,58.09,10.73,37.75,10.21,1.45,3.58,0.00,0.00,18.89,6.40,1.43,3.58,0.025,0.059,69,0.399,0.887,0.105,0.000,0.008
280000,212,4.314,0.153,12.31,17709,5169,44,12378,144,789,410313.9,27322.0,0.000,0.060,0.396,0.013,0.531,1351,63.26,5.26,41.58,9.09,3.52,8.26,0.00,0.00,18.17,4.29,3.14,7.27,0.056,0.130,39,0.160,0.764,0.231,0.000,0.005
