step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
900000,235,4.370,0.142,14.64,13205,6756,122,6214,113,232,409617.5,13238.4,0.001,0.404,0.170,0.042,0.384,1308,56.12,3.36,36.86,5.25,1.91,5.07,0.00,0.00,17.34,3.73,1.86,4.96,0.034,0.089,69,0.136,0.826,0.162,0.000,0.013
910000,248,4.071,0.133,14.25,11488,7042,95,4314,24,170,410324.3,12287.5,0.000,0.355,0.223,0.033,0.389,1605,56.96,3.76,36.32,5.47,1.19,3.89,0.00,0.00,19.46,4.56,1.15,3.84,0.021,0.068,101,0.270,0.919,0.065,0.000,0.016
920000,238,4.025,0.139,14.10,11953,7470,138,4332,23,163,410076.9,12216.2,0.000,0.350,0.205,0.031,0.414,1545,58.00,3.55,38.11,5.25,1.89,5.02,0.00,0.00,18.01,4.58,1.89,5.02,0.033,0.087,85,0.071,0.891,0.088,0.000,0.021
930000,235,4.379,0.155,13.87,11113,6278,97,4685,56,125,410609.7,13768.1,0.001,0.359,0.221,0.034,0.385,1729,59.23,3.89,39.75,7.14,2.20,5.72,0.00,0.00,17.28,5.27,2.06,5.23,0.035,0.090,75,0.366,0.898,0.094,0.000,0.009
940000,210,4.472,0.172,13.93,10971,5680,120,5153,43,163,410266.4,15878.9,0.000,0.320,0.248,0.046,0.386,1783,63.05,1.82,42.11,7.99,2.84,7.51,0.00,0.00,18.10,4.31,2.53,6.62,0.045,0.118,71,0.181,0.905,0.086,0.000,0.010
950000,225,4.261,0.166,14.33,17071,6486,88,10098,384,377,410052.2,19523.1,0.001,0.305,0.265,0.098,0.330,1128,55.54,16.03,34.64,15.63,4.28,8.90,0.00,0.00,16.62,4.65,3.48,7.57,0.081,0.154,75,0.249,0.791,0.200,0.000,0.009
960000,243,4.110,0.148,14.50,16512,5857,103,10288,246,591,410005.7,20453.6,0.001,0.323,0.260,0.065,0.352,1123,52.27,19.13,32.29,17.38,4.24,8.79,0.00,0.00,15.74,5.55,3.35,7.35,0.072,0.153,86,0.165,0.716,0.263,0.000,0.021
970000,273,3.797,0.162,14.51,15676,5559,111,9778,198,335,409653.6,19877.2,0.001,0.366,0.251,0.073,0.309,1193,46.31,22.95,26.07,18.05,5.41,9.69,0.03,0.43,14.81,6.84,4.44,8.54,0.099,0.169,84,0.183,0.703,0.253,0.000,0.044
980000,219,4.241,0.163,14.74,14499,5924,144,8375,110,423,410347.7,18315.2,0.001,0.333,0.226,0.050,0.390,1324,61.52,2.00,42.95,5.97,1.09,4.22,0.00,0.00,17.48,4.83,0.98,3.60,0.017,0.066,71,0.283,0.890,0.091,0.000,0.018
990000,230,4.223,0.143,14.78,11627,6053,134,5349,80,219,409682.0,12914.7,0.001,0.343,0.243,0.065,0.348,1523,58.56,5.83,38.27,9.22,1.72,5.44,0.00,0.00,18.57,5.62,1.47,4.33,0.030,0.089,88,0.191,0.930,0.065,0.000,0.004
1000000,219,4.539,0.167,14.77,16646,6714,96,9703,144,315,410367.2,20289.5,0.000,0.298,0.203,0.171,0.328,1148,61.42,2.12,41.75,6.85,2.20,6.51,0.00,0.00,17.47,3.65,2.20,6.51,0.034,0.102,34,0.635,0.895,0.096,0.000,0.009
