step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
10000,222,4.264,0.169,5.66,11146,8785,14,2490,9,189,411859.7,7384.3,0.011,0.053,0.408,0.422,0.107,5696,59.91,6.88,28.99,5.50,1.77,3.77,0.20,0.84,28.96,5.82,1.55,3.04,0.030,0.062,56,0.342,0.901,0.095,0.000,0.005
20000,341,3.032,0.119,6.60,14011,8827,9,4959,97,149,410488.1,9858.5,0.002,0.031,0.299,0.529,0.139,4512,40.13,10.24,20.22,7.21,0.67,1.84,1.41,3.23,17.83,5.11,0.61,1.59,0.016,0.043,85,0.220,0.906,0.079,0.000,0.015
30000,315,3.344,0.116,8.03,22184,8790,15,13124,281,348,410648.9,24333.0,0.031,0.114,0.230,0.422,0.203,2532,42.49,13.28,25.49,10.27,0.82,2.94,1.91,2.45,14.27,3.51,0.80,2.86,0.018,0.055,56,0.505,0.924,0.067,0.000,0.010
40000,206,4.469,0.196,9.79,16504,7206,7,9372,28,384,406082.7,26887.7,0.027,0.220,0.092,0.187,0.473,2159,62.99,3.44,41.94,12.18,2.91,7.64,0.40,2.05,17.73,6.22,2.91,7.64,0.046,0.120,29,0.558,0.903,0.097,0.000,0.000
50000,245,3.885,0.189,10.22,12444,5387,39,6918,61,161,408502.0,14877.0,0.014,0.147,0.093,0.602,0.144,2447,47.95,22.29,25.94,20.69,6.13,9.91,0.29,1.73,15.59,4.48,5.94,9.89,0.102,0.156,52,0.216,0.665,0.302,0.004,0.029
60000,214,4.157,0.157,10.91,14501,5440,72,8699,321,427,409143.6,14674.2,0.008,0.086,0.340,0.217,0.349,2385,62.91,5.19,37.48,9.61,1.12,3.30,0.41,1.32,23.89,6.57,1.04,2.91,0.018,0.052,80,0.079,0.939,0.051,0.000,0.009
70000,228,4.377,0.141,10.96,12560,6160,36,6266,84,157,410320.1,15119.6,0.009,0.230,0.306,0.263,0.192,1962,60.64,4.14,39.20,4.80,3.32,2.96,0.01,0.13,18.11,2.94,3.30,2.87,0.053,0.047,65,0.368,0.939,0.061,0.000,0.000
80000,252,3.957,0.138,11.93,9544,5388,100,4007,25,117,410439.8,10866.8,0.002,0.188,0.401,0.185,0.223,2480,53.55,10.13,33.54,9.42,2.17,3.71,0.94,2.11,16.90,5.36,2.14,3.63,0.036,0.062,90,0.111,0.766,0.214,0.000,0.020
90000,533,2.299,0.119,10.34,15906,6727,60,8685,153,166,410680.5,18119.9,0.012,0.195,0.338,0.214,0.240,1529,21.44,21.04,8.09,13.76,1.74,5.54,0.51,2.40,11.09,7.50,1.26,3.90,0.032,0.098,188,0.092,0.852,0.094,0.000,0.054
100000,318,3.176,0.126,10.85,25666,6772,30,18631,448,817,410847.2,29020.3,0.017,0.218,0.249,0.099,0.418,1265,40.57,16.93,23.92,13.86,1.14,3.43,0.00,0.00,15.51,5.44,1.11,3.37,0.018,0.054,107,0.132,0.792,0.176,0.000,0.031
110000,254,4.083,0.156,9.95,21328,6839,47,14110,396,203,410560.4,27240.3,0.020,0.185,0.352,0.144,0.300,1416,48.71,16.21,27.68,12.12,5.05,7.07,0.01,0.11,15.97,4.46,4.99,7.04,0.081,0.110,71,0.287,0.535,0.429,0.000,0.035
120000,265,3.888,0.128,9.86,19064,6603,140,11976,334,202,410866.9,20718.5,0.030,0.125,0.326,0.161,0.359,1692,50.24,4.41,31.11,4.96,1.85,2.74,0.00,0.00,17.28,4.16,1.74,2.70,0.036,0.053,54,0.457,0.808,0.181,0.000,0.011
130000,291,3.660,0.119,10.36,17442,7725,74,9420,197,272,410648.0,18045.6,0.013,0.223,0.222,0.312,0.230,1669,46.66,5.61,27.31,7.49,2.00,3.31,0.01,0.12,17.35,5.35,1.92,3.23,0.043,0.071,84,0.082,0.866,0.124,0.000,0.010
140000,311,3.486,0.117,11.37,16119,7183,146,8613,157,262,410293.5,15521.6,0.015,0.264,0.243,0.182,0.296,1562,42.14,9.81,27.17,6.75,1.38,3.43,0.08,0.97,13.51,4.38,1.36,3.42,0.031,0.098,98,0.219,0.849,0.138,0.000,0.013
150000,272,3.523,0.140,11.08,13714,5722,78,7817,136,155,409467.1,17896.0,0.013,0.291,0.280,0.195,0.222,2032,49.03,15.18,31.03,13.75,3.70,8.34,0.00,0.00,14.31,3.53,3.46,7.50,0.058,0.130,42,0.533,0.787,0.188,0.000,0.026
160000,348,3.128,0.124,11.44,17371,5390,151,11364,390,237,409994.4,20461.1,0.006,0.328,0.284,0.135,0.247,1532,37.44,22.68,25.43,18.57,0.78,3.79,0.03,0.46,11.20,4.88,0.78,3.79,0.012,0.059,66,0.489,0.917,0.063,0.000,0.020
170000,312,3.205,0.123,11.21,19830,5343,166,13835,522,108,409821.7,23336.6,0.019,0.286,0.344,0.114,0.238,1349,41.25,18.60,24.68,16.49,2.14,6.02,0.55,2.44,13.87,4.30,2.14,6.02,0.034,0.094,61,0.388,0.843,0.135,0.000,0.022
