step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat
100000,35,24,0,0,11,0,0.000,2869,0.74,382.33,0.00
100000,38,29,0,0,9,0,0.000,2596,4.53,329.41,0.00
100000,42,30,0,0,12,0,0.000,2551,3.18,387.03,0.00
100000,42,30,0,0,12,0,0.000,2466,3.60,361.15,0.00
100000,35,24,0,0,11,0,0.000,2227,2.29,291.62,0.00
100000,38,29,0,0,9,0,0.000,2040,4.51,266.00,0.00
100000,42,30,0,0,12,0,0.000,1995,3.13,292.03,0.00
100000,42,30,0,0,12,0,0.000,1874,4.34,293.59,0.00
100000,35,24,0,0,11,0,0.000,1799,2.39,246.83,0.00
100000,42,30,0,0,12,0,0.000,1771,3.27,273.22,0.00
100000,42,30,0,0,12,0,0.000,1712,3.09,268.79,0.00
100000,28,20,0,0,8,0,0.000,1664,3.19,198.61,0.00
100000,42,30,0,0,12,0,0.000,1660,5.45,248.92,0.00
100000,28,20,0,0,8,0,0.000,1628,3.86,179.41,0.00
100000,35,24,0,0,11,0,0.000,1624,2.81,217.76,0.00
100000,42,30,0,0,12,0,0.000,1610,5.98,230.67,0.00
100000,42,30,0,0,12,0,0.000,1561,5.14,258.14,0.00
100000,28,20,0,0,8,0,0.000,1552,2.39,171.38,0.00
100000,42,30,0,0,12,0,0.000,1485,4.22,213.20,0.00
100000,35,24,0,0,11,0,0.000,1437,2.89,198.03,0.00
100000,28,20,0,0,8,0,0.000,1410,2.07,161.64,0.00
100000,28,20,0,0,8,0,0.000,1407,0.17,149.81,0.00
100000,42,30,0,0,12,0,0.000,1392,5.18,199.34,0.00
100000,42,30,0,0,12,0,0.000,1379,3.01,207.92,0.00
100000,42,30,0,0,12,0,0.000,1374,3.62,201.80,0.00
100000,35,24,0,0,11,0,0.000,1374,5.01,176.98,0.00
100000,41,22,7,0,12,7,0.171,1370,1.13,183.86,1.72
100000,42,30,0,0,12,0,0.000,1300,5.16,190.92,0.00
100000,42,30,0,0,12,0,0.000,1296,5.01,205.84,0.00
100000,41,22,7,0,12,7,0.171,1286,3.10,180.89,13.60
100000,42,30,0,0,12,0,0.000,1272,4.14,192.56,0.00
100000,42,30,0,0,12,0,0.000,1261,5.18,204.64,0.00
100000,42,30,0,0,12,0,0.000,1221,3.24,182.03,0.00
100000,42,30,0,0,12,0,0.000,1212,3.51,187.44,0.00
100000,35,24,0,0,11,0,0.000,1181,4.89,178.95,0.00
100000,28,20,0,0,8,0,0.000,1173,2.03,117.51,0.00
