step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
10000,337,3.025,0.139,6.40,28110,8354,3,19233,569,433,412013.9,31536.6,0.015,0.046,0.636,0.240,0.063,2000,36.45,26.14,19.32,19.19,3.16,6.48,0.12,0.96,13.85,6.48,3.12,6.46,0.055,0.117,55,0.338,0.733,0.223,0.000,0.045
20000,305,3.524,0.139,5.89,30784,7801,2,22552,461,299,409747.3,33703.5,0.010,0.053,0.592,0.287,0.058,1848,45.30,16.80,26.81,12.86,2.06,4.76,0.00,0.00,16.44,5.93,2.02,4.73,0.033,0.077,60,0.216,0.790,0.167,0.000,0.043
30000,236,3.904,0.161,6.31,27552,8491,3,18715,412,483,410439.2,29475.5,0.009,0.012,0.540,0.364,0.077,1761,56.49,5.61,37.50,7.76,2.79,7.35,0.07,0.88,16.14,4.06,2.29,5.41,0.044,0.115,28,0.648,0.847,0.140,0.000,0.013
40000,238,4.008,0.153,6.56,21229,8458,6,12545,218,118,410776.9,22185.9,0.007,0.012,0.492,0.375,0.114,2431,55.12,8.25,33.50,11.09,4.20,8.86,0.49,1.93,16.93,4.75,3.56,7.43,0.066,0.138,40,0.454,0.803,0.168,0.000,0.029
50000,540,2.170,0.116,8.72,23677,8701,7,14419,248,161,411079.6,28040.5,0.002,0.007,0.570,0.341,0.081,1968,24.17,19.99,10.42,17.27,0.48,3.25,0.81,2.19,12.45,6.39,0.40,2.62,0.008,0.051,121,0.148,0.837,0.020,0.000,0.143
60000,214,4.586,0.155,6.41,22536,12424,1,9942,495,358,409467.9,19128.7,0.007,0.001,0.622,0.335,0.035,1952,63.81,1.96,40.45,8.73,3.59,7.64,0.41,1.17,19.36,3.35,3.16,6.89,0.056,0.119,27,0.463,0.813,0.136,0.000,0.051
70000,223,4.238,0.171,6.17,13401,11082,4,2304,2,345,410192.3,6308.3,0.003,0.000,0.518,0.453,0.026,4164,62.98,6.83,39.94,10.29,2.91,7.23,0.22,2.25,19.91,5.46,2.21,5.74,0.046,0.113,33,0.462,0.897,0.072,0.000,0.031
80000,208,4.267,0.161,6.23,14756,11563,3,3150,55,350,410167.6,7062.4,0.005,0.000,0.508,0.456,0.031,3853,64.00,0.00,39.50,8.05,3.72,6.79,0.03,0.42,20.75,5.07,3.24,6.15,0.058,0.106,32,0.308,0.865,0.130,0.000,0.005
90000,334,3.151,0.122,6.87,20271,11980,4,8004,157,348,410520.3,13921.6,0.007,0.002,0.583,0.310,0.099,2875,39.19,15.51,21.66,11.48,0.97,3.89,0.05,0.57,16.51,6.43,0.78,2.78,0.017,0.066,87,0.269,0.877,0.078,0.000,0.045
100000,398,2.927,0.092,6.75,29387,15613,35,13308,367,260,410735.8,18997.1,0.006,0.013,0.481,0.400,0.100,1541,33.23,9.36,21.71,8.45,0.55,1.87,0.00,0.00,10.97,3.72,0.51,1.78,0.014,0.049,65,0.224,0.902,0.045,0.000,0.053
