step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned,rich,plant_rich,plant_thin,pop_rich,hunger_rich,hunger_thin
10000,5124,1.076,2.252,10.15,75270,61099,0,6972,2889,608518,1231151.5,629370.8,0.200,0.384,0.179,0.237,92,30.03,20.26,1.20,3.85,7.73,8.41,0.16,1.31,11.20,8.57,0.20,0.93,0.243,0.183,3754,0.006,0.031,0.950,0.003,0.016,212176,188105,27,0.593,0.220,0.031,3099241,0.232,3.384,0.262,63.45,71741,716,1.034,0.176,0.216,8735569,1.35,11.65,0.060,0.589,0.054,9.0,25.2,58.4,132.2,104011,0.397,0.00,0.0021,0.041,1520,0.686,0.000,0.605,0.648,3.69,4.97,4.95,0.33,0.098,1.38,1.26,1.41,0.701,0.00038,519.40,62.2997,2287.01,45651.2,140122.1,175.676,66.7746,242.029,0.000,1.000,0.000,121.3,100.932,295.945,5207,31280.3,26.86,75.672,6.24,99.691,2801.4,60.037,0.135,2.00,9.5350,48857.1,0.6641,0.4708,20.30,1.387,0.150,1.5345,0.0000,0.617,0.105,0.812,0.0000,7.87,1.25,7,18,36,81,97.8571,1.4312,0.5377,0.0000,0.0000,147.4113,100.00,21.6737,311.3035,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0020,0.0007,0.000000,607,3.4020,0.0599,0.0604,75,274,1143,0.0000,0.0000,0.0456,0.199,1.9786,0.9966,1.1336,0.0480,0.2724,0.0113,0.0000,0.00006,0.857,0.0218,0.942,0.257,0.13,0.031,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6344,0.0000,1.8149,0.00000,0.01961,0.7522,0.7517,1.0000,1.942,0.000,1.0000,6.1099,0.0000
20000,5614,1.656,3.077,17.25,87192,71577,0,14291,804,1168388,909401.1,642100.6,0.135,0.608,0.096,0.160,79,34.06,17.57,1.06,3.46,8.71,7.05,0.79,2.32,7.72,6.51,0.24,0.94,0.251,0.145,4375,0.012,0.025,0.955,0.003,0.017,157324,120220,10,0.449,0.430,0.196,3058558,0.188,3.607,0.366,80.67,72830,415,0.550,0.140,0.362,11463042,1.34,3.18,0.245,0.728,0.080,11.5,33.0,50.9,130.8,102592,0.391,0.00,0.0021,0.062,1821,0.655,0.000,0.654,0.457,3.39,4.48,4.56,0.31,0.106,1.38,1.23,1.39,0.679,0.00099,130.17,33.0533,3818.27,34187.9,140122.1,22.469,34.3511,185.160,0.000,0.999,0.000,94.9,76.192,109.972,7154,42091.5,21.04,73.880,5.26,31.015,3898.1,13.774,0.134,2.00,7.5348,42300.1,0.6455,0.4198,18.27,1.851,0.221,0.4655,0.0000,0.527,0.119,0.586,0.0000,5.32,1.03,6,18,27,70,71.4286,0.0278,0.4067,0.0000,0.0000,40.7664,100.00,61.1306,353.7190,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0011,0.000001,30,0.3415,0.0198,0.0240,76,285,918,0.0000,0.0000,0.0109,0.036,2.6406,0.0489,1.1802,0.0196,0.2675,0.0262,0.0000,0.00018,0.914,0.0419,0.973,0.713,0.69,0.196,0.000,0.000,0.0000,0.000,0.000,0.0000,1.0085,0.0000,2.0304,0.00000,0.02875,0.7230,0.7221,1.0000,2.606,0.000,1.0000,7.1577,0.0000
30000,7051,1.008,2.545,30.47,309450,179037,0,128438,530,4050558,1609872.9,2313572.0,0.096,0.770,0.111,0.023,31,28.68,8.30,0.07,0.83,6.66,4.43,0.02,0.42,7.53,4.53,0.00,0.03,0.227,0.137,1730,0.125,0.062,0.921,0.003,0.015,608182,445276,2,0.489,0.210,0.007,3674186,0.157,3.503,0.303,141.96,356912,232,0.571,0.201,0.251,41068075,1.03,0.82,0.630,0.366,0.001,16.0,32.0,32.0,126.0,100699,0.384,0.00,0.0030,0.064,2270,0.680,0.000,0.694,0.494,2.56,3.82,3.86,0.00,0.003,1.04,1.03,1.03,0.709,0.00175,532.59,113.9422,1016.06,19748.3,140122.1,99.350,99.9238,392.973,0.000,0.999,0.000,152.1,133.548,289.612,5942,36020.0,11.45,151.061,3.87,92.956,4103.1,47.622,0.135,2.00,9.5558,67378.3,0.7935,0.4717,14.28,2.000,0.000,1.5345,0.0000,0.696,0.190,0.850,0.0000,4.04,0.25,8,16,16,63,122.4183,0.0066,0.5466,0.0000,0.0000,138.7736,100.00,23.2984,429.2407,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0026,0.0010,0.000001,8,0.3364,0.0675,0.0079,40,183,581,0.0000,0.0000,0.0010,0.002,6.2210,0.0245,3.6435,0.0074,0.2436,0.0686,0.0000,0.00011,0.996,0.0927,0.970,0.634,0.02,0.007,0.000,0.000,0.0000,0.000,0.000,0.0000,1.4948,0.0000,3.0471,0.00000,0.02448,0.8172,0.8155,1.0000,2.232,0.000,1.0000,17.9037,0.0000
40000,6085,1.115,2.062,30.27,96889,84397,0,12909,307,666204,1008392.8,417331.7,0.215,0.683,0.083,0.020,58,31.10,9.28,0.03,0.53,6.78,3.85,0.01,0.27,8.70,3.99,0.00,0.08,0.214,0.103,1465,0.303,0.079,0.906,0.002,0.014,134385,97834,14,0.485,0.087,0.002,150836,0.238,3.135,0.244,87.10,88764,221,0.626,0.264,0.143,16687834,1.01,0.63,0.677,0.313,0.001,20.0,32.0,44.0,128.0,94470,0.360,0.00,0.0019,0.075,2062,0.672,0.000,0.398,0.309,2.92,3.98,4.01,0.00,0.002,1.01,1.01,1.01,0.682,0.00081,92.74,21.9426,883.95,17512.1,140122.1,47.448,24.4758,208.760,0.000,0.997,0.000,127.0,94.774,142.317,5403,30116.7,17.12,80.051,4.05,32.370,2163.9,15.725,0.136,2.00,12.8397,78129.8,0.9630,0.4142,15.53,2.000,0.000,0.4655,0.0000,0.837,0.182,0.935,0.0000,4.15,0.41,10,16,21,64,90.9602,0.0015,0.5165,0.0000,0.0000,45.4354,100.00,50.0691,361.4237,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0025,0.0010,0.000001,242,1.8793,0.1025,0.0388,72,273,928,0.0000,0.0000,0.0008,0.001,0.5701,0.2734,0.5081,0.0156,0.2687,0.0268,0.0000,-0.00016,0.977,0.0795,0.974,0.678,0.01,0.002,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8903,0.0000,1.9223,0.00000,0.02299,0.7444,0.7435,1.0000,1.876,0.000,1.0000,8.4397,0.0000
50000,4788,0.981,1.452,31.40,68800,60895,0,7054,482,391410,1180889.8,379755.9,0.171,0.647,0.150,0.031,60,28.81,9.19,0.00,0.01,6.03,3.15,0.00,0.01,8.37,3.78,0.00,0.00,0.209,0.095,1861,0.129,0.057,0.934,0.001,0.009,88893,63152,17,0.409,0.065,0.000,24859,0.210,2.525,0.160,105.89,59529,221,0.970,0.290,0.033,17890000,1.00,0.73,0.565,0.425,0.000,16.0,32.0,32.0,74.0,68975,0.263,0.00,0.0029,0.081,1537,0.652,0.000,0.316,0.262,3.11,3.89,3.91,0.00,0.000,1.00,1.00,1.00,0.657,0.00135,198.27,38.8947,2072.18,5384.4,140122.1,458.483,29.0750,248.113,0.000,0.995,0.000,90.2,106.164,664.976,4472,20258.6,33.88,93.851,4.03,30.562,566.0,18.130,0.134,2.01,21.5958,103400.5,1.8189,0.4033,14.41,2.000,0.000,1.5345,0.0000,0.741,0.197,0.937,0.0000,4.08,0.30,8,16,16,37,101.6661,0.0663,0.4760,0.0000,0.0000,212.4222,100.00,5.8152,213.2775,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0015,0.0006,0.000001,1666,6.9338,0.3016,0.1024,77,288,2122,0.0000,0.0000,0.0010,0.001,0.3710,1.2982,1.0475,0.0783,0.2790,0.0448,0.0000,0.00003,0.981,0.0764,0.999,0.874,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9198,0.0000,1.5682,0.00000,0.03885,0.7432,0.7427,1.0000,1.291,0.000,1.0000,6.0895,0.0000
60000,4368,0.824,1.132,31.54,40245,36126,0,2230,467,161716,871409.2,244056.3,0.131,0.590,0.245,0.033,81,31.53,9.47,0.01,0.19,6.24,3.19,0.00,0.07,9.51,3.85,0.00,0.08,0.198,0.085,1715,0.130,0.050,0.945,0.000,0.004,46523,31950,17,0.435,0.081,0.000,28415,0.242,2.138,0.113,82.57,33002,269,1.509,0.344,0.032,9444806,1.00,0.43,0.614,0.370,0.001,22.0,32.0,48.0,138.0,68850,0.263,0.00,0.0021,0.086,1383,0.547,0.000,0.250,0.205,3.28,4.05,4.07,0.00,0.001,1.00,1.00,1.00,0.550,0.00115,66.87,32.3392,1308.98,4525.4,140122.1,98.567,18.3768,173.052,0.000,0.996,0.000,85.9,72.300,192.530,4047,16031.3,21.13,68.747,4.08,8.194,266.7,4.490,0.133,2.01,25.3216,110604.6,1.8426,0.4149,15.76,2.000,0.000,0.4655,0.0000,0.690,0.190,0.832,0.0000,4.17,0.40,11,16,24,69,68.9940,0.0587,0.5050,0.0000,0.0000,48.8898,100.00,31.6394,267.9419,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0013,0.0006,0.000001,1842,6.0187,0.2866,0.1523,91,301,4230,0.0000,0.0000,0.0016,0.003,0.1603,1.2160,0.8659,0.0515,0.3690,0.0379,0.0000,0.00000,0.988,0.0824,1.000,0.895,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9676,0.0000,1.4827,0.00000,0.04877,0.7434,0.7430,1.0000,1.036,0.000,1.0000,3.6126,0.0000
70000,4089,0.901,1.079,31.28,33059,28979,0,1044,356,117138,979191.4,327471.1,0.063,0.614,0.296,0.027,81,30.40,10.99,0.01,0.26,5.44,3.10,0.01,0.23,9.74,4.28,0.00,0.06,0.180,0.085,1995,0.059,0.050,0.943,0.001,0.006,37278,24131,21,0.439,0.014,0.002,21697,0.221,2.116,0.105,94.22,26814,338,2.796,0.278,0.037,10072434,1.00,0.73,0.522,0.465,0.001,16.0,32.0,48.0,100.0,62135,0.237,0.00,0.0025,0.073,1360,0.494,0.000,0.247,0.194,3.22,4.02,4.01,0.00,0.001,1.00,1.00,1.00,0.496,0.00154,161.85,50.2073,2310.90,3869.2,140122.1,518.139,24.4727,198.871,0.000,0.991,0.000,74.1,77.280,719.640,3704,14173.2,21.73,73.893,4.15,7.597,205.3,4.949,0.133,2.00,27.4726,112335.4,2.1903,0.3805,15.20,2.000,0.000,1.5345,0.0000,0.583,0.160,0.658,0.0000,4.20,0.42,8,16,24,49,73.2449,0.0883,0.4693,0.0000,0.0000,223.8152,100.00,3.1449,159.5988,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0009,0.0004,0.000001,2959,9.2207,0.3923,0.2256,94,326,4562,0.0000,0.0000,0.0009,0.002,0.1431,1.8677,1.2475,0.0961,0.4176,0.0497,0.0000,0.00000,0.996,0.0889,1.000,0.920,0.01,0.002,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8600,0.0000,1.2310,0.00000,0.05120,0.7399,0.7396,1.0000,0.925,0.000,1.0000,2.8979,0.0000
80000,4010,0.804,0.891,31.13,30682,27501,0,648,225,105385,811232.1,259269.9,0.072,0.586,0.318,0.024,96,33.15,11.08,0.02,0.36,5.79,3.18,0.00,0.04,10.75,4.37,0.00,0.04,0.174,0.078,1768,0.098,0.048,0.946,0.002,0.004,35456,24552,9,0.278,0.340,0.000,35828,0.230,1.835,0.077,78.35,25272,438,2.460,0.239,0.038,7588888,1.00,0.47,0.578,0.417,0.000,22.0,32.0,50.0,112.0,66407,0.253,0.00,0.0019,0.091,1170,0.482,0.000,0.215,0.212,3.38,4.16,4.16,0.00,0.001,1.01,1.00,1.01,0.484,0.00118,64.05,38.4860,1494.56,3066.6,140122.1,107.673,18.9074,162.965,0.000,0.980,0.000,76.9,64.613,196.597,3511,11820.8,24.62,61.948,4.23,5.248,138.1,2.976,0.135,1.99,29.0505,116492.5,2.0555,0.3854,16.56,2.000,0.000,0.4655,0.0000,0.535,0.175,0.546,0.0000,4.28,0.49,11,16,25,56,61.6063,0.0587,0.4815,0.0000,0.0000,49.7658,100.00,28.3030,245.9907,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0011,0.0005,0.000001,2387,6.9015,0.3374,0.1997,96,327,4512,0.0000,0.0000,0.0009,0.001,0.1073,1.4483,0.9637,0.0671,0.4342,0.0367,0.0000,-0.00004,1.000,0.0896,1.000,0.926,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8714,0.0000,1.3058,0.00000,0.04462,0.7282,0.7279,1.0000,0.792,0.000,1.0000,2.7501,0.0000
90000,3729,0.831,0.870,31.02,25755,22123,0,476,109,90657,909194.1,341443.3,0.044,0.613,0.319,0.023,102,32.80,12.45,0.03,0.51,5.67,3.12,0.01,0.26,10.68,4.71,0.00,0.09,0.174,0.078,1856,0.093,0.049,0.943,0.002,0.006,29866,18674,23,0.517,0.125,0.001,21010,0.258,1.800,0.072,88.70,21389,538,3.766,0.193,0.039,8379591,1.01,0.66,0.526,0.469,0.002,18.0,32.0,50.0,128.0,61067,0.233,0.00,0.0023,0.080,1216,0.451,0.000,0.235,0.218,3.37,4.15,4.16,0.01,0.002,1.01,1.01,1.01,0.453,0.00165,176.84,53.7309,1823.59,2880.7,140122.1,513.732,24.5238,184.905,0.000,0.963,0.000,66.5,68.600,685.103,3398,10967.7,23.76,62.239,4.28,4.447,147.2,3.004,0.135,2.01,31.4775,117379.6,2.3203,0.3798,16.38,2.000,0.000,1.5345,0.0000,0.487,0.184,0.441,0.0000,4.32,0.49,9,16,25,64,64.6586,0.0812,0.4682,0.0000,0.0000,221.9139,100.00,2.6374,143.9812,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0008,0.0003,0.000001,3328,9.4560,0.4108,0.2728,95,367,4691,0.0000,0.0000,0.0007,0.001,0.1110,1.9854,1.2783,0.0968,0.4580,0.0504,0.0000,0.00000,0.999,0.0893,1.000,0.928,0.00,0.001,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7627,0.0000,0.9980,0.00000,0.04856,0.7251,0.7249,1.0000,0.750,0.000,1.0000,2.2123,0.0000
100000,3963,0.758,0.766,30.92,27679,24453,0,512,100,103995,787776.8,266779.9,0.066,0.586,0.322,0.026,104,33.76,11.12,0.02,0.54,5.93,3.11,0.00,0.07,10.90,4.29,0.00,0.08,0.177,0.072,1618,0.128,0.045,0.952,0.000,0.003,32595,21667,30,0.617,0.037,0.002,51709,0.233,1.653,0.058,76.64,23417,478,2.565,0.207,0.031,7231615,1.01,0.43,0.596,0.402,0.001,24.0,32.0,50.0,128.0,66817,0.255,0.00,0.0018,0.087,1197,0.479,0.000,0.217,0.226,3.46,4.20,4.20,0.01,0.002,1.01,1.01,1.01,0.481,0.00120,67.62,39.6615,1319.61,3000.4,140122.1,107.346,18.9013,158.861,0.000,0.971,0.000,75.9,62.037,191.248,3208,9749.0,27.48,58.423,4.31,4.281,84.8,2.400,0.133,2.01,29.9827,118821.4,2.0776,0.3884,16.86,2.000,0.000,0.4655,0.0000,0.446,0.172,0.304,0.0000,4.30,0.50,12,16,25,64,59.0270,0.0485,0.4857,0.0000,0.0000,49.2008,100.00,27.0201,239.3871,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0010,0.0004,0.000001,2380,7.0544,0.3321,0.2152,95,340,4596,0.0000,0.0000,0.0004,0.000,0.1143,1.5067,0.9859,0.0616,0.4364,0.0361,0.0000,-0.00003,1.000,0.0885,1.000,0.922,0.00,0.002,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8273,0.0000,1.1976,0.00000,0.04410,0.7167,0.7164,1.0000,0.680,0.000,1.0000,2.4453,0.0000
