step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
36000,1219,0.4766,9308.0,387,929,248,42,29,91,38,20417,39961,48525,0,0,0,1.000,1.000,1.000,792,65,1,0.2259,0.2476,0.7298,0.0718
37000,1662,0.4278,13792.6,377,997,454,211,43,144,112,16603,35523,45204,0,0,0,1.000,1.000,1.000,783,137,0,0.3734,0.1864,0.7167,0.0554
38000,2716,0.4249,20853.0,359,1271,834,611,98,135,135,14912,30865,40536,0,0,0,1.000,1.000,1.000,986,216,1,0.3914,0.1580,0.6312,0.0532
39000,3551,0.4382,24680.0,339,1468,1191,892,128,121,155,13722,26375,35768,0,0,0,1.000,1.000,1.000,1153,301,9,0.4315,0.1024,0.6028,0.0473
40000,4040,0.4381,28868.5,340,1564,1327,1149,109,119,141,12840,22645,31767,0,0,0,1.000,1.000,1.000,1190,310,8,0.4393,0.1140,0.5686,0.0449
41000,4434,0.4838,34180.6,382,1614,1538,1282,136,99,108,13500,20917,27834,0,0,0,1.000,1.000,1.000,1240,314,11,0.4156,0.1194,0.5217,0.0453
42000,4625,0.4999,36786.8,411,1652,1592,1381,107,136,110,13642,19264,25021,0,0,0,1.000,1.000,1.000,1282,307,7,0.4213,0.1259,0.5183,0.0454
43000,4921,0.4824,39723.2,427,1746,1677,1498,115,139,118,13931,17729,22679,0,0,0,1.000,1.000,1.000,1338,327,10,0.4131,0.1219,0.4991,0.0465
44000,5000,0.4814,39885.6,443,1736,1695,1569,124,152,125,14416,17333,21253,0,0,0,1.000,1.000,1.000,1303,329,16,0.4291,0.1375,0.5073,0.0473
45000,4936,0.4982,39915.2,452,1710,1699,1527,132,128,134,14237,17666,20106,0,0,0,1.000,1.000,1.000,1269,366,12,0.4390,0.1206,0.5165,0.0447
46000,4974,0.4998,42448.0,462,1712,1665,1597,129,125,129,14485,17815,19921,0,0,0,1.000,1.000,1.000,1277,347,12,0.4095,0.1225,0.4898,0.0476
47000,5066,0.4797,42396.3,448,1744,1691,1631,116,131,138,15270,17894,19748,0,0,0,1.000,1.000,1.000,1338,341,11,0.4023,0.1220,0.4903,0.0491
48000,4985,0.4869,39332.0,445,1784,1666,1535,123,127,130,16545,19491,20817,0,0,0,1.000,1.000,1.000,1340,366,10,0.4042,0.1283,0.5003,0.0462
49000,4809,0.4822,36456.1,429,1776,1581,1452,129,112,141,17392,20896,22151,0,0,0,1.000,1.000,1.000,1314,319,10,0.4037,0.1403,0.5195,0.0488
50000,4397,0.4806,32514.1,404,1629,1559,1209,116,128,120,18866,23713,25016,0,0,0,1.000,1.000,1.000,1260,332,7,0.3887,0.1447,0.5368,0.0487
51000,4048,0.4649,29446.3,374,1663,1357,1028,130,125,135,20122,25406,28510,0,0,0,1.000,1.000,1.000,1316,296,10,0.3710,0.1451,0.5575,0.0516
52000,3310,0.4894,24292.2,401,1482,1043,785,119,113,130,20451,29346,33947,0,0,0,1.000,1.000,1.000,1143,266,6,0.3495,0.1467,0.5949,0.0540
