step,measure,value,count
50000,body,30,98402
50000,body,31,75129
50000,body,32,82542
50000,body,33,74158
50000,body,34,70366
50000,body,35,47810
50000,body,36,41759
50000,body,37,15028
50000,body,38,12135
50000,body,39,11885
50000,body,40,17518
50000,body,41,26358
50000,body,42,12758
50000,body,43,13626
50000,body,44,7779
50000,body,45,8754
50000,body,46,9467
50000,body,47,4532
50000,body,48,3143
50000,body,49,4485
50000,body,50,2024
50000,body,51,1771
50000,body,52,1863
50000,body,53,1883
50000,body,54,3040
50000,body,55,2463
50000,body,56,2969
50000,body,57,1451
50000,body,58,2021
50000,body,59,1008
50000,body,60,2391
50000,body,61,837
50000,body,62,1592
50000,body,63,222
50000,body,64,273
50000,body,65,79
50000,body,66,138
50000,body,67,108
50000,body,68,231
50000,body,69,158
50000,body,70,313
50000,body,71,338
50000,body,72,2209
50000,body,73,101
50000,body,74,138
50000,body,75,122
50000,body,76,197
50000,body,77,133
50000,body,78,261
50000,body,79,182
50000,body,80,334
50000,body,81,1306
50000,body,82,2133
50000,body,83,45
50000,body,84,36
50000,body,85,54
50000,body,86,79
50000,body,87,52
50000,body,88,70
50000,body,89,83
50000,body,90,144
50000,body,91,1050
50000,body,92,88
50000,body,93,4
50000,body,94,7
50000,body,95,2
50000,body,96,13
50000,body,97,10
50000,body,98,4
50000,body,99,8
50000,body,100,20
50000,body,101,13
50000,body,102,85
50000,body,103,2
50000,body,105,1
50000,body,106,1
50000,body,108,2
50000,body,110,1
50000,body,112,2
50000,body,114,2
50000,body,115,12
50000,body,122,1
50000,body,125,1
50000,body,128,2
50000,body,130,1
100000,hamming,0,703
100000,hamming,1,1752
100000,hamming,2,2751
100000,hamming,3,3702
100000,hamming,4,4656
100000,hamming,5,5342
100000,hamming,6,6223
100000,hamming,7,6799
100000,hamming,8,7432
100000,hamming,9,8067
100000,hamming,10,8674
100000,hamming,11,8818
100000,hamming,12,9157
100000,hamming,13,9301
100000,hamming,14,9267
100000,hamming,15,9183
100000,hamming,16,9245
100000,hamming,17,9153
100000,hamming,18,9112
100000,hamming,19,9263
100000,hamming,20,9599
100000,hamming,21,10062
100000,hamming,22,10911
100000,hamming,23,11571
100000,hamming,24,12709
100000,hamming,25,13484
100000,hamming,26,14945
100000,hamming,27,16390
100000,hamming,28,17810
100000,hamming,29,19397
100000,hamming,30,20237
100000,hamming,31,21435
100000,hamming,32,22242
100000,hamming,33,22555
100000,hamming,34,23136
100000,hamming,35,23261
100000,hamming,36,23773
100000,hamming,37,23979
100000,hamming,38,24117
100000,hamming,39,24690
100000,hamming,40,24809
100000,hamming,41,24825
100000,hamming,42,25069
100000,hamming,43,25919
100000,hamming,44,26831
