step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,26.00,25,0,3,0,10,0,1.00,0,0.115,5088,0.96,151.13,65.34,1903,0,0,0,1.00,1.00,1.00,3,5,5,23.9,50.169,13,2.000,0.020,5,1.000,12,10.26,7.00,0,0.0977,0.519,0.0000,3055,0.7845
100000,28.00,25,0,7,0,7,0,1.00,0,0.250,5055,0.00,164.50,54.10,2128,0,0,0,1.00,1.00,1.00,3,5,5,19.9,69.360,14,2.000,0.314,5,1.000,10,8.51,8.50,0,0.0987,0.857,0.0000,3025,0.7559
100000,40.00,25,0,9,0,11,0,1.00,0,0.225,4898,0.00,163.36,103.00,2028,1,0,0,1.00,1.00,1.00,4,5,5,29.9,77.736,20,2.000,0.495,5,1.000,5,5.32,-3.50,0,0.0990,0.949,0.0000,2814,0.6325
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,4769,0.00,114.55,100.62,2341,0,0,0,1.00,1.00,1.00,1,1,1,18.6,0.188,1,2.000,0.290,4,1.000,12,15.15,12.00,0,0.0924,0.886,0.0000,3619,1.0000
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,4712,4.51,129.27,62.34,2128,2,0,0,1.00,1.00,1.00,4,5,5,43.1,37.778,20,2.000,0.314,5,1.000,5,19.01,-12.00,0,0.0987,0.857,0.0000,2695,0.6325
100000,30.00,25,0,8,0,7,0,1.00,0,0.267,4705,3.80,155.25,68.88,2128,0,0,0,1.00,1.00,1.00,4,5,5,25.8,66.551,15,2.000,0.304,5,1.000,10,9.38,7.00,0,0.0989,0.843,0.0000,2730,0.7303
100000,42.00,25,0,12,0,9,0,1.00,0,0.286,4702,0.00,212.80,70.11,2524,2,0,0,1.00,1.00,1.00,4,5,5,39.3,134.452,21,2.000,0.404,5,1.000,4,52.21,43.75,0,0.0847,0.954,0.0000,2699,0.6172
100000,42.00,25,0,9,0,12,0,1.00,0,0.214,4633,0.00,125.90,44.04,1862,0,0,0,1.00,1.00,1.00,4,5,5,20.6,26.677,21,2.000,0.051,5,1.000,4,6.09,5.75,0,0.0961,0.454,0.0000,2657,0.6172
100000,38.00,25,0,9,0,10,0,1.00,0,0.237,4619,0.00,131.03,44.76,2128,2,0,0,1.00,1.00,1.00,4,5,5,41.8,22.344,19,2.000,0.270,5,1.000,6,25.14,-8.25,0,0.0988,0.879,0.0000,2652,0.6489
100000,32.00,25,0,9,0,7,0,1.00,0,0.281,4618,0.78,154.06,36.97,2128,2,0,0,1.00,1.00,1.00,4,5,5,39.8,52.813,16,2.000,0.286,5,1.000,9,49.87,49.75,0,0.0987,0.885,0.0000,2770,0.7071
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4599,0.00,102.37,32.61,1853,0,0,0,1.00,1.00,1.00,1,1,1,23.0,4.240,1,2.000,0.159,4,1.000,15,4.37,4.25,0,0.0650,0.905,0.0000,3665,1.0000
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,4594,0.00,121.32,45.74,1853,0,0,0,1.00,1.00,1.00,1,1,1,24.0,2.885,1,2.000,0.031,4,1.000,13,5.77,0.50,0,0.0830,0.757,0.0000,3468,1.0000
100000,32.00,25,0,7,0,9,0,1.00,0,0.219,4587,0.00,130.31,41.92,2128,0,0,0,1.00,1.00,1.00,3,5,5,23.9,29.604,16,2.000,0.270,5,1.000,9,16.77,-15.75,0,0.0988,0.879,0.0000,2665,0.7071
100000,36.00,25,0,10,0,8,0,1.00,0,0.278,4556,0.00,96.83,68.38,2513,0,0,0,1.00,1.00,1.00,4,5,5,19.6,14.882,18,2.000,0.041,5,1.000,7,10.25,-10.25,0,0.0951,0.759,0.0000,2624,0.6667
100000,8.00,16,0,3,0,1,0,1.00,4,0.375,4548,0.00,128.47,17.00,2524,0,0,0,1.00,1.00,1.00,2,3,3,24.2,11.302,4,2.000,0.493,4,1.000,12,11.51,6.50,0,0.0947,0.974,0.0000,3400,1.0000
100000,8.00,16,0,1,0,3,0,1.00,4,0.125,4531,1.82,131.85,22.64,2530,0,0,0,1.00,1.00,1.00,1,3,3,17.3,17.469,4,2.000,0.090,4,1.000,12,7.62,5.75,0,0.0895,0.504,0.0000,3485,1.0000
100000,40.00,25,0,15,0,5,0,1.00,0,0.375,4521,0.05,125.37,29.73,2524,0,0,0,1.00,1.00,1.00,4,5,5,17.7,58.117,20,2.000,0.392,5,1.000,5,6.37,-4.25,0,0.0854,0.958,0.0000,2617,0.6325
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,4505,0.00,148.49,43.06,2571,2,0,0,1.00,1.00,1.00,1,2,1,39.9,5.389,2,2.000,0.114,4,1.000,9,19.33,-1.75,0,0.0841,0.826,0.0000,3431,1.0000
100000,14.00,16,0,4,0,3,0,1.00,0,0.286,4463,1.21,163.22,39.87,1853,0,0,0,1.00,1.00,1.00,3,4,4,21.9,44.826,7,2.000,0.159,4,1.000,9,4.61,-3.00,0,0.0650,0.905,0.0000,3359,1.0000
100000,12.00,16,0,4,0,2,0,1.00,2,0.333,4419,0.00,99.80,15.23,2555,0,0,0,1.00,1.00,1.00,2,4,3,24.8,3.542,6,2.000,0.175,4,1.000,10,1.82,-0.50,0,0.0613,0.895,0.0000,3362,1.0000
100000,40.00,25,0,9,0,11,0,1.00,0,0.225,4409,3.47,193.78,43.98,2128,0,0,0,1.00,1.00,1.00,4,5,5,27.4,73.081,20,2.000,0.278,5,1.000,5,5.71,2.25,0,0.0990,0.897,0.0000,2543,0.6325
100000,38.00,25,0,7,0,12,0,1.00,0,0.184,4382,0.00,149.89,46.71,2128,1,0,0,1.00,1.00,1.00,3,5,5,29.2,28.911,19,2.000,0.278,5,1.000,6,14.13,3.25,0,0.0990,0.897,0.0000,2528,0.6489
100000,38.00,25,0,9,0,10,0,1.00,0,0.237,4372,0.00,124.52,60.71,2539,0,0,0,1.00,1.00,1.00,4,5,5,2.9,55.359,19,2.000,0.019,5,1.000,6,13.43,6.50,0,0.0842,0.759,0.0000,2518,0.6489
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4354,0.00,112.69,33.93,2535,1,0,0,1.00,1.00,1.00,1,1,1,28.5,3.665,1,2.000,0.156,4,1.000,12,3.01,0.25,0,0.0930,0.767,0.0000,3491,1.0000
100000,42.00,25,0,12,0,9,0,1.00,0,0.286,4305,0.00,137.39,28.74,1862,1,0,0,1.00,1.00,1.00,4,5,5,29.2,50.121,21,2.000,0.044,5,1.000,4,12.56,10.75,0,0.0936,0.533,0.0000,2452,0.6172
100000,40.00,25,0,13,0,7,0,1.00,0,0.325,4304,0.00,104.53,28.48,2524,0,0,0,1.00,1.00,1.00,4,5,5,7.8,32.599,20,2.000,0.408,5,1.000,5,18.52,-18.50,0,0.0856,0.959,0.0000,2454,0.6325
100000,6.00,16,0,1,0,2,0,1.00,6,0.167,4299,0.00,152.23,45.26,1853,0,0,0,1.00,1.00,1.00,2,3,2,20.2,25.377,3,2.000,0.159,4,1.000,10,2.85,1.75,0,0.0650,0.905,0.0000,3219,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,4275,0.08,115.47,27.75,2286,0,0,0,1.00,1.00,1.00,1,1,1,20.1,8.193,1,2.000,0.556,4,1.000,12,6.01,4.25,0,0.0958,0.959,0.0000,3220,1.0000
100000,42.00,25,0,8,0,13,0,1.00,0,0.190,4256,0.00,157.67,59.04,1168,1,0,0,1.00,1.00,1.00,4,5,5,33.0,49.764,21,2.000,0.320,5,1.000,4,25.43,22.00,0,0.0849,0.183,0.0000,2446,0.6172
100000,16.00,16,0,2,0,6,0,1.00,0,0.125,4254,0.00,147.59,32.57,2377,0,0,0,1.00,1.00,1.00,4,4,4,13.1,42.212,8,2.000,0.112,4,1.000,8,4.37,-3.75,0,0.0796,0.773,0.0000,3166,1.0000
100000,6.00,16,0,3,0,0,0,1.00,6,0.500,4245,0.00,90.86,61.65,1601,1,0,0,1.00,1.00,1.00,1,2,3,30.5,9.063,3,2.000,0.376,4,1.000,11,15.77,14.00,0,0.0879,0.908,0.0000,3182,1.0000
100000,14.00,16,0,1,0,6,0,1.00,2,0.071,4237,0.00,102.38,35.46,2506,0,0,0,1.00,1.00,1.00,2,4,3,24.9,14.471,7,2.000,0.513,4,1.000,9,2.50,-2.50,0,0.0859,0.946,0.0000,3237,1.0000
100000,44.00,25,0,8,0,14,0,1.00,0,0.182,4236,0.00,125.40,42.38,2128,1,1,0,1.00,1.00,1.00,4,5,5,28.8,42.086,22,2.000,0.248,5,1.000,3,4.07,0.75,0,0.0981,0.898,0.0000,2408,0.6030
100000,46.00,25,0,10,0,13,0,1.00,0,0.217,4236,0.00,188.25,66.58,2128,1,0,0,1.00,1.00,1.00,4,5,5,31.5,98.705,23,2.000,0.317,5,1.000,2,18.11,18.00,0,0.0986,0.856,0.0000,2412,0.5898
100000,6.00,16,0,1,0,2,0,1.00,6,0.167,4224,0.00,114.55,41.10,2563,0,0,0,1.00,1.00,1.00,2,3,2,17.4,9.469,3,2.000,0.374,4,1.000,12,3.58,3.50,0,0.0955,0.907,0.0000,3169,1.0000
100000,12.00,16,0,2,0,4,0,1.00,4,0.167,4224,1.10,142.55,28.98,2524,0,0,0,1.00,1.00,1.00,2,2,4,20.3,19.763,6,2.000,0.493,4,1.000,10,3.54,-0.50,0,0.0947,0.974,0.0000,3170,1.0000
100000,16.00,16,0,2,0,6,0,1.00,2,0.125,4223,-0.00,115.24,23.12,2028,0,0,0,1.00,1.00,1.00,2,3,4,22.3,26.011,8,2.000,0.469,4,1.000,7,5.90,-4.75,0,0.0986,0.941,0.0000,3078,1.0000
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,4221,0.00,135.60,67.27,2390,2,0,0,1.00,1.00,1.00,1,1,2,39.9,17.624,2,2.000,0.234,4,1.000,14,17.80,11.00,0,0.0965,0.768,0.0000,3283,1.0000
100000,42.00,25,0,9,0,12,0,1.00,0,0.214,4215,0.95,127.09,67.85,1168,0,0,0,1.00,1.00,1.00,4,5,5,22.1,39.968,21,2.000,0.320,5,1.000,4,8.67,4.75,0,0.0849,0.183,0.0000,2413,0.6172
100000,22.00,16,0,2,0,9,0,1.00,0,0.091,4204,0.00,162.25,33.21,2344,2,0,0,1.00,1.00,1.00,2,4,4,42.3,58.887,11,2.000,0.231,4,1.000,5,10.82,10.75,0,0.0813,0.851,0.0000,3042,0.8528
100000,48.00,25,0,9,0,15,0,1.00,0,0.188,4190,6.65,166.21,57.21,1168,2,0,0,1.00,1.00,1.00,4,5,5,45.3,85.824,24,2.000,0.320,5,1.000,1,34.71,-33.00,0,0.0849,0.183,0.0000,2376,0.5774
100000,42.00,25,0,6,0,15,0,1.00,0,0.143,4181,5.54,136.64,13.73,2128,2,0,0,1.00,1.00,1.00,4,5,5,41.4,19.765,21,2.000,0.248,5,1.000,4,27.59,-2.25,0,0.0989,0.894,0.0000,2412,0.6172
100000,44.00,25,0,10,0,12,0,1.00,0,0.227,4173,0.00,141.72,77.53,2128,0,0,0,1.00,1.00,1.00,4,5,5,27.1,71.492,22,2.000,0.270,5,1.000,3,7.70,-7.50,0,0.0988,0.879,0.0000,2380,0.6030
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,4153,0.03,104.62,53.90,2341,0,0,0,1.00,1.00,1.00,3,4,4,8.2,33.974,12,2.000,0.358,4,1.000,4,17.32,-1.50,0,0.0941,0.918,0.0000,2976,0.8165
100000,24.00,16,0,5,0,7,0,1.00,0,0.208,4097,0.00,129.18,25.11,2527,0,0,0,1.00,1.00,1.00,4,4,4,20.2,37.863,12,2.000,0.184,4,1.000,4,1.52,-0.25,0,0.0875,0.319,0.0000,2968,0.8165
100000,38.00,25,0,9,0,10,0,1.00,0,0.237,4096,0.00,125.64,50.69,1168,1,0,0,1.00,1.00,1.00,4,5,5,36.3,16.515,19,2.000,0.346,5,1.000,6,24.84,8.75,0,0.0805,0.120,0.0000,2366,0.6489
100000,14.00,16,0,2,0,5,0,1.00,0,0.143,4095,0.00,117.53,30.83,2028,0,0,0,1.00,1.00,1.00,3,4,4,18.2,33.145,7,2.000,0.484,4,1.000,8,10.89,5.75,0,0.0985,0.939,0.0000,3092,1.0000
100000,24.00,16,0,3,0,9,0,1.00,0,0.125,4074,0.00,121.39,22.52,2533,1,1,0,1.00,1.00,1.00,3,4,4,38.3,48.334,12,2.000,0.271,4,1.000,4,6.60,-5.75,0,0.0989,0.984,0.0000,2954,0.8165
100000,10.00,16,0,3,0,2,0,1.00,2,0.300,4066,2.22,119.02,20.02,2341,0,1,0,1.00,1.00,1.00,2,4,3,16.5,21.891,5,2.000,0.290,4,1.000,9,13.20,12.50,0,0.0924,0.886,0.0000,3061,1.0000
100000,70.00,36,0,9,0,26,0,1.00,0,0.129,4063,0.00,139.60,10.86,1862,0,0,0,1.00,1.00,1.00,4,6,6,22.9,19.210,35,2.000,0.031,6,1.000,1,5.26,2.25,0,0.0983,0.556,0.0000,1919,0.4781
100000,50.00,25,0,11,0,14,0,1.00,0,0.220,4060,4.54,140.28,32.98,2128,0,1,0,1.00,1.00,1.00,4,5,5,25.8,28.058,25,2.000,0.270,5,1.000,0,28.24,9.75,0,0.0988,0.879,0.0000,2296,0.5657
100000,18.00,16,0,3,0,6,0,1.00,2,0.167,4046,0.00,132.44,57.46,2522,1,0,0,1.00,1.00,1.00,2,3,4,33.4,34.472,9,2.000,0.378,4,1.000,7,17.16,16.75,0,0.0656,0.835,0.0000,3065,0.9428
