step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
70000,2,1215,39.60,0.00,7.25,0.00,12.55,0.00,1.00,0.000,0.276,296575.8,87153.2,7,180,3.67,1.00,1.00,13.3098,751.99,3275.7,51.8024,28.3789,5461,23.3920,940,1.8745,11884.6,55.70,64.3887,0.0,0.0000,1.000,0.0101,0.8239,0.8011
80000,0,1064,42.87,0.00,7.99,0.00,13.44,0.00,1.00,0.000,0.261,270390.6,81350.6,9,102,3.81,1.00,1.00,12.5510,433.15,893.4,21.8775,26.3944,5462,16.5244,996,1.3049,8196.8,149.79,1.9662,0.0,0.0000,1.000,0.7360,0.7372,0.6969
80000,1,1266,43.25,0.00,8.19,0.00,13.44,0.00,1.00,0.000,0.315,194337.9,55222.2,8,214,3.81,1.00,1.00,7.9810,250.23,2303.6,5.3449,19.0215,5461,16.5214,1033,1.0159,5777.4,94.51,5.8661,0.0,0.0000,1.000,0.2913,0.8372,0.5826
80000,2,1240,45.34,0.00,8.64,0.00,14.02,0.00,1.00,0.000,0.320,146398.0,39769.2,6,194,3.92,1.00,1.00,5.9064,197.83,8408.1,1.3195,14.4062,5461,16.5214,992,0.7081,3693.0,55.70,13.3119,0.0,0.0000,1.000,0.0101,0.9368,0.4809
90000,0,1282,42.01,0.00,7.80,0.00,13.20,0.00,1.00,0.000,0.308,283293.4,104726.6,9,125,3.76,1.00,1.00,17.0255,624.90,1186.5,91.3869,27.4934,5462,20.4760,951,1.3340,9295.1,149.79,6.0934,0.0,0.0000,1.000,0.7360,0.7040,0.5752
90000,1,1252,41.75,0.00,7.85,0.00,13.02,0.00,1.00,0.000,0.300,281496.6,100029.1,8,148,3.72,1.00,1.00,16.0186,888.46,1772.3,89.3787,27.2858,5461,20.4722,935,1.2772,8937.7,94.51,26.6494,0.0,0.0000,1.000,0.2913,0.7511,0.5877
90000,2,1197,42.03,0.00,7.98,0.00,13.03,0.00,1.00,0.000,0.287,271589.9,90498.4,8,153,3.76,1.00,1.00,14.5708,773.60,3286.7,54.4991,26.4344,5461,20.4722,925,1.2058,8125.0,55.70,64.7451,0.0,0.0000,1.000,0.0101,0.8022,0.5975
100000,0,1061,44.45,0.00,8.62,0.00,13.61,0.00,1.00,0.000,0.270,261939.3,81672.1,7,91,3.86,1.00,1.00,12.6467,510.73,818.4,23.1436,25.6682,5462,15.6654,895,1.0146,6464.1,149.79,2.0079,0.0,0.0000,1.000,0.7360,0.6210,0.5813
100000,1,1203,46.27,0.00,8.92,0.00,14.22,0.00,1.00,0.000,0.318,188895.0,55198.2,6,225,3.92,1.00,1.00,8.4173,209.79,1934.4,6.3805,18.5065,5461,15.6625,924,0.8545,4880.0,94.51,5.8893,0.0,0.0000,1.000,0.2913,0.7054,0.5045
100000,2,1181,45.95,0.00,9.22,0.00,13.76,0.00,1.00,0.000,0.311,144571.7,42579.0,5,190,3.95,1.00,1.00,6.3918,158.87,6973.9,1.5651,14.2643,5461,15.6625,1023,0.6207,3277.6,55.70,13.2691,0.0,0.0000,1.000,0.0101,0.9259,0.4179
