year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,7,15632.7,139771.7,39666.4,140010.5,1474050.0,812308.7,-0.000,0.1538,0.6351,0.2111,2.157e-5,3.871e-6,4.210e-4,0.0017,29,78,10.000,10.000,30.79,469.4,1.83e-14,1.32e-15
2,7,7025.8,110522.2,39803.0,188482.6,1463397.0,812209.5,-0.000,0.0517,0.6541,0.2943,1.273e-5,3.250e-6,4.273e-4,0.0030,22,68,10.000,10.001,30.80,468.4,3.55e-16,4.19e-16
3,7,5382.4,87626.9,39801.7,216610.4,1459785.1,812233.5,-0.000,0.0365,0.6143,0.3491,1.002e-5,2.717e-6,4.272e-4,0.0020,19,81,10.000,10.001,30.81,467.6,3.55e-15,1.28e-17
4,7,4989.4,69008.0,39609.7,232568.9,1462664.6,812599.3,-0.000,0.0365,0.5601,0.4035,9.406e-6,2.259e-6,4.271e-4,0.0143,30,1807,9.999,10.003,30.81,466.8,2.01e-14,6.84e-17
5,7,4979.3,54838.7,39177.6,244695.3,1464668.5,813080.6,-0.000,0.0402,0.5026,0.4572,9.392e-6,1.876e-6,4.269e-4,0.0042,30,171,9.998,10.003,30.81,466.0,1.56e-14,2.69e-16
6,7,5064.9,43673.7,38516.0,252654.4,1467743.0,813788.0,-0.000,0.0453,0.4455,0.5092,9.574e-6,1.559e-6,4.268e-4,0.0034,26,92,9.998,10.004,30.80,465.3,1.24e-14,2.19e-16
7,7,5158.3,34754.1,37861.0,256809.0,1472332.7,814524.9,-0.000,0.0506,0.3897,0.5597,9.748e-6,1.289e-6,4.268e-4,0.0060,34,107,9.998,10.005,30.79,464.6,1.46e-14,2.86e-16
8,7,5213.4,27697.4,37548.3,258390.1,1477659.0,814931.9,-0.000,0.0557,0.3369,0.6073,9.899e-6,1.065e-6,4.270e-4,0.0048,28,121,9.997,10.006,30.78,463.9,3.02e-14,2.96e-16
9,7,5342.1,22161.1,37735.0,259151.0,1482260.4,814790.2,0.000,0.0605,0.2883,0.6512,1.003e-5,8.779e-7,4.274e-4,0.0038,28,115,9.997,10.007,30.77,463.2,2.01e-14,7.61e-17
10,7,5415.4,17709.8,38295.5,257747.5,1487953.7,814318.2,-0.000,0.0652,0.2444,0.6904,1.018e-5,7.250e-7,4.276e-4,0.0055,39,117,9.996,10.008,30.77,462.6,3.20e-15,1.45e-16
11,7,5438.4,14076.9,38967.4,253194.5,1495922.2,813840.6,-0.000,0.0692,0.2047,0.7261,1.027e-5,5.971e-7,4.277e-4,0.0137,42,1330,9.995,10.010,30.78,462.0,9.77e-15,2.10e-16
12,7,5510.1,11279.0,39456.8,250089.5,1501661.0,813443.6,-0.000,0.0726,0.1705,0.7569,1.032e-5,4.913e-7,4.276e-4,0.0062,33,154,9.995,10.011,30.79,461.5,1.42e-15,1.73e-16
13,7,5568.6,9065.1,39717.1,246918.6,1506912.4,813258.1,0.000,0.0760,0.1415,0.7825,1.045e-5,4.063e-7,4.274e-4,0.0043,25,177,9.994,10.012,30.80,460.9,1.07e-14,7.19e-17
14,7,5623.0,7311.7,39815.3,243844.8,1511630.3,813214.9,-0.000,0.0789,0.1170,0.8041,1.054e-5,3.361e-7,4.273e-4,0.0039,27,273,9.994,10.013,30.80,460.3,5.51e-15,1.75e-16
15,7,5672.7,5913.1,39775.3,240991.1,1515799.2,813288.5,-0.000,0.0817,0.0965,0.8218,1.066e-5,2.794e-7,4.272e-4,0.0028,28,78,9.994,10.013,30.81,459.7,9.06e-15,2.56e-16
16,7,5697.0,4787.0,39523.7,237711.5,1520135.8,813585.0,0.000,0.0840,0.0795,0.8365,1.075e-5,2.328e-7,4.270e-4,0.0035,26,88,9.994,10.013,30.81,459.2,8.35e-15,1.10e-16
17,7,5666.9,3864.4,39031.7,233120.1,1525580.3,814176.7,-0.000,0.0855,0.0653,0.8492,1.078e-5,1.936e-7,4.269e-4,0.0068,31,239,9.993,10.015,30.81,458.6,1.78e-14,1.08e-16
18,7,5672.1,3124.2,38335.4,228256.3,1531072.9,814979.1,-0.000,0.0860,0.0534,0.8605,1.072e-5,1.604e-7,4.267e-4,0.0082,20,831,9.992,10.016,30.80,458.2,2.27e-14,2.37e-16
19,7,5655.1,2531.0,37741.4,223985.6,1535873.6,815653.4,-0.000,0.0867,0.0437,0.8696,1.069e-5,1.330e-7,4.268e-4,0.0042,27,133,9.992,10.017,30.79,457.7,2.81e-14,2.37e-17
20,7,5702.9,2063.9,37548.1,220854.8,1539396.2,815874.1,-0.000,0.0875,0.0358,0.8767,1.070e-5,1.104e-7,4.271e-4,0.0025,27,96,9.992,10.017,30.78,457.3,1.78e-15,1.54e-16
21,7,5665.9,1670.4,37849.9,216012.3,1544556.9,815684.6,-0.000,0.0877,0.0292,0.8831,1.065e-5,9.147e-8,4.275e-4,0.0049,27,208,9.991,10.018,30.77,457.0,1.60e-15,1.23e-16
