year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,9,74217.4,165729.4,91628.0,154908.5,888825.1,1246131.6,-0.000,0.2970,0.4574,0.2456,1.885e-4,4.162e-5,6.236e-4,0.4271,33,11332,9.809,10.191,28.85,1920.1,5.51e-15,2.54e-15
2,9,57508.6,250728.5,90552.0,152611.3,811205.4,1258834.2,-0.000,0.2015,0.5757,0.2228,1.409e-4,5.913e-5,6.285e-4,0.1685,25,7492,9.721,10.279,28.85,1919.5,7.82e-15,9.12e-16
3,9,47407.6,307683.5,91755.1,133166.7,769377.2,1272049.9,0.000,0.1439,0.6641,0.1920,1.192e-4,6.699e-5,6.296e-4,0.2089,33,5239,9.611,10.389,28.85,1922.3,3.38e-15,8.19e-16
4,9,43112.0,336385.1,90767.9,127190.4,737770.9,1286213.7,-0.000,0.1177,0.7043,0.1780,1.061e-4,6.893e-5,6.297e-4,0.1739,24,11694,9.512,10.488,28.85,1920.8,3.73e-15,8.46e-16
5,9,42031.0,351199.5,91829.4,127286.5,713212.2,1295881.4,-0.000,0.1046,0.7234,0.1720,9.778e-5,7.000e-5,6.307e-4,0.1834,23,9418,9.430,10.570,28.85,1924.2,2.03e-14,1.02e-16
6,9,41234.2,362097.6,91053.5,133599.1,691156.0,1302299.6,-0.000,0.0970,0.7340,0.1690,9.192e-5,7.076e-5,6.309e-4,0.1227,23,7797,9.388,10.612,28.86,1921.9,4.44e-15,4.57e-16
7,9,39511.5,367693.5,91856.2,132042.6,683776.3,1306560.0,-0.000,0.0926,0.7406,0.1668,8.858e-5,7.142e-5,6.316e-4,0.1175,22,10812,9.349,10.651,28.85,1925.7,2.03e-14,7.45e-17
8,9,38567.5,370995.7,91368.1,121150.7,685262.6,1314095.5,-0.000,0.0891,0.7449,0.1660,8.577e-5,7.187e-5,6.318e-4,0.1357,22,5167,9.297,10.703,28.86,1923.2,2.65e-14,6.88e-17
9,9,39073.5,373027.8,91882.2,131496.7,670797.5,1315162.3,-0.000,0.0863,0.7480,0.1657,8.257e-5,7.185e-5,6.325e-4,0.0374,18,4067,9.285,10.715,28.85,1927.6,7.82e-15,1.01e-16
10,9,38214.2,372219.4,91726.6,125756.2,673827.0,1319696.5,-0.000,0.0855,0.7491,0.1655,8.214e-5,7.207e-5,6.328e-4,0.0809,18,4246,9.252,10.748,28.86,1925.2,9.24e-15,1.84e-16
11,9,38587.7,373156.1,91863.4,124290.1,670792.6,1322750.1,-0.000,0.0855,0.7486,0.1659,8.206e-5,7.179e-5,6.333e-4,0.0695,16,5145,9.228,10.772,28.85,1928.8,1.97e-14,1.76e-16
