gx,gy,land,dry,temp,predicted,region
0,0,64,0.955,-14.93,8e-05,0
1,0,64,0.9538,-14.93,8e-05,0
2,0,64,0.9549,-14.86,8e-05,0
3,0,64,0.9586,-14.59,8e-05,0
4,0,64,0.9601,-14.27,8e-05,0
5,0,64,0.9578,-14.09,8e-05,0
6,0,64,0.9557,-13.92,8e-05,0
7,0,64,0.9416,-14.1,8e-05,0
8,0,64,0.9172,-14.06,8e-05,0
9,0,57,0.8864,-12.82,0.00236,0
10,0,24,0.5571,-9.96,0.0,0
11,0,44,0.6283,-12.04,0.01831,0
12,0,64,0.8238,-13.73,0.00236,0
13,0,64,0.8992,-13.88,0.00236,0
14,0,64,0.889,-14.27,0.00236,0
15,0,64,0.8839,-14.55,0.00236,0
16,0,64,0.8815,-14.79,0.00236,0
17,0,64,0.8831,-14.98,0.00236,0
18,0,64,0.8807,-15.3,0.00236,0
19,0,64,0.8835,-15.54,0.00236,0
20,0,64,0.8937,-15.63,0.00236,0
21,0,64,0.9051,-15.52,8e-05,0
22,0,64,0.9012,-15.63,8e-05,0
23,0,64,0.9081,-15.6,8e-05,0
24,0,64,0.9166,-15.38,8e-05,0
25,0,64,0.9274,-14.92,8e-05,0
26,0,64,0.9362,-14.28,8e-05,0
27,0,64,0.9359,-13.55,8e-05,0
28,0,11,0.8615,-9.81,0.0,0
49,0,26,0.4345,-11.28,0.0,0
50,0,64,0.7617,-13.62,0.00545,0
51,0,64,0.9327,-13.77,8e-05,0
52,0,64,0.946,-13.92,8e-05,0
53,0,64,0.9459,-14.2,8e-05,0
54,0,64,0.9507,-14.26,8e-05,0
55,0,64,0.9555,-14.08,8e-05,0
56,0,64,0.9544,-14.03,8e-05,0
57,0,64,0.9506,-14.18,8e-05,0
58,0,64,0.9485,-14.41,8e-05,0
59,0,64,0.9465,-14.68,8e-05,0
60,0,64,0.9456,-14.98,8e-05,0
61,0,64,0.9469,-15.21,8e-05,0
62,0,64,0.9525,-15.17,8e-05,0
63,0,64,0.9556,-15.02,8e-05,0
0,1,64,0.9488,-12.85,8e-05,0
1,1,64,0.9487,-12.83,8e-05,0
2,1,64,0.9519,-12.66,8e-05,0
3,1,64,0.9527,-12.5,8e-05,0
4,1,64,0.9558,-12.24,8e-05,0
5,1,64,0.9548,-12.03,8e-05,0
6,1,64,0.9566,-11.72,8e-05,0
7,1,64,0.9454,-11.71,8e-05,0
8,1,64,0.9199,-11.73,8e-05,0
9,1,64,0.8951,-11.54,0.00236,0
10,1,64,0.8738,-11.27,0.00236,0
11,1,64,0.8531,-11.51,0.00236,0
12,1,64,0.8477,-11.72,0.00236,0
13,1,64,0.8526,-11.85,0.00236,0
14,1,64,0.8456,-12.24,0.00236,0
15,1,64,0.8602,-12.38,0.00236,0
16,1,64,0.8659,-12.52,0.00236,0
17,1,64,0.8708,-12.67,0.00236,0
18,1,64,0.8727,-12.87,0.00236,0
19,1,64,0.8816,-12.94,0.00236,0
20,1,64,0.8859,-13.01,0.00236,0
21,1,64,0.8924,-13.0,0.00236,0
22,1,64,0.8832,-13.27,0.00236,0
23,1,64,0.8955,-13.23,0.00236,0
24,1,64,0.9091,-12.96,8e-05,0
25,1,64,0.9175,-12.56,8e-05,0
26,1,64,0.9238,-12.07,8e-05,0
27,1,62,0.9205,-10.76,8e-05,0
28,1,2,0.8066,-4.34,0.0,0
49,1,2,0.3901,-6.06,0.0,0
50,1,63,0.5847,-10.73,0.02325,0
51,1,64,0.9018,-11.57,8e-05,0
52,1,64,0.9422,-11.5,8e-05,0
53,1,64,0.9428,-11.72,8e-05,0
54,1,64,0.9473,-11.74,8e-05,0
55,1,64,0.9469,-11.81,8e-05,0
56,1,64,0.9488,-11.78,8e-05,0
57,1,64,0.9457,-11.9,8e-05,0
58,1,64,0.9403,-12.28,8e-05,0
59,1,64,0.9443,-12.37,8e-05,0
60,1,64,0.9445,-12.48,8e-05,0
61,1,64,0.9401,-12.82,8e-05,0
62,1,64,0.9438,-12.92,8e-05,0
63,1,64,0.947,-12.9,8e-05,0
0,2,64,0.9427,-10.37,8e-05,0
1,2,64,0.9417,-10.45,8e-05,0
2,2,64,0.9451,-10.34,8e-05,0
3,2,64,0.9462,-10.25,8e-05,0
4,2,64,0.9477,-10.11,8e-05,0
5,2,64,0.9493,-9.9,8e-05,0
6,2,64,0.9512,-9.68,8e-05,0
7,2,64,0.9497,-9.49,8e-05,0
8,2,64,0.9456,-9.36,8e-05,0
9,2,64,0.9313,-9.29,8e-05,0
10,2,64,0.9048,-9.41,8e-05,0
11,2,64,0.882,-9.5,0.00236,0
12,2,64,0.8553,-9.85,0.00236,0
13,2,64,0.8438,-10.18,0.00236,0
14,2,64,0.8609,-10.17,0.00236,0
15,2,64,0.8675,-10.11,0.00236,0
16,2,64,0.8568,-10.34,0.00236,0
17,2,64,0.862,-10.44,0.00236,0
18,2,64,0.8656,-10.53,0.00236,0
19,2,64,0.8766,-10.47,0.00236,0
20,2,64,0.8785,-10.48,0.00236,0
21,2,64,0.8793,-10.55,0.00236,0
22,2,64,0.8795,-10.62,0.00236,0
23,2,64,0.8772,-10.76,0.00236,0
24,2,64,0.8923,-10.58,0.00236,0
25,2,64,0.9032,-10.21,8e-05,0
26,2,64,0.9116,-9.72,8e-05,0
27,2,63,0.9133,-8.57,8e-05,0
28,2,3,0.843,-4.07,0.0,0
50,2,34,0.4723,-7.21,0.03522,0
51,2,64,0.7671,-9.05,0.00545,0
52,2,64,0.9217,-9.02,8e-05,0
53,2,64,0.937,-9.09,8e-05,0
54,2,64,0.9403,-9.2,8e-05,0
55,2,64,0.9396,-9.31,8e-05,0
56,2,64,0.9379,-9.45,8e-05,0
57,2,64,0.9332,-9.78,8e-05,0
58,2,64,0.9368,-9.91,8e-05,0
59,2,64,0.9329,-10.2,8e-05,0
60,2,64,0.9368,-10.33,8e-05,0
61,2,64,0.9405,-10.34,8e-05,0
62,2,64,0.9401,-10.4,8e-05,0
63,2,64,0.9425,-10.39,8e-05,0
0,3,64,0.9364,-8.05,8e-05,0
1,3,64,0.9367,-8.04,8e-05,0
2,3,64,0.9376,-8.0,8e-05,0
3,3,64,0.9366,-8.05,8e-05,0
4,3,64,0.9402,-7.95,8e-05,0
5,3,64,0.9404,-7.84,8e-05,0
6,3,64,0.9435,-7.66,8e-05,0
7,3,64,0.9436,-7.52,8e-05,0
8,3,64,0.9428,-7.37,8e-05,0
9,3,64,0.9418,-7.26,8e-05,0
10,3,64,0.9358,-7.35,8e-05,0
11,3,64,0.9285,-7.48,8e-05,0
12,3,64,0.9105,-7.89,8e-05,0
13,3,64,0.8968,-8.26,0.00236,0
14,3,64,0.8975,-8.3,0.00236,0
15,3,64,0.8956,-8.19,0.00236,0
16,3,64,0.8846,-8.25,0.00236,0
17,3,64,0.8817,-8.29,0.00236,0
18,3,64,0.8891,-8.16,0.00236,0
19,3,64,0.8957,-7.97,0.00236,0
20,3,64,0.8934,-7.94,0.00236,0
21,3,64,0.8905,-8.0,0.00236,0
22,3,64,0.8869,-7.99,0.00236,0
23,3,64,0.8752,-8.08,0.00236,0
24,3,64,0.88,-7.87,0.00236,0
25,3,64,0.8771,-7.66,0.00236,0
26,3,64,0.8831,-7.31,0.00236,0
27,3,49,0.8894,-5.78,0.00236,0
50,3,2,0.3898,-1.27,0.0,0
51,3,25,0.5503,-4.94,0.0,0
52,3,36,0.719,-5.3,0.0093,0
53,3,64,0.7565,-6.71,0.00545,0
54,3,64,0.9045,-6.88,8e-05,0
55,3,64,0.9222,-7.08,8e-05,0
56,3,64,0.9254,-7.32,8e-05,0
57,3,64,0.9261,-7.59,8e-05,0
58,3,64,0.9299,-7.75,8e-05,0
59,3,64,0.9291,-7.94,8e-05,0
60,3,64,0.9337,-7.98,8e-05,0
61,3,64,0.9355,-7.99,8e-05,0
62,3,64,0.9366,-7.96,8e-05,0
63,3,64,0.9342,-8.05,8e-05,0
0,4,64,0.9291,-5.58,8e-05,0
1,4,64,0.93,-5.56,8e-05,0
2,4,64,0.9279,-5.62,8e-05,0
3,4,64,0.9263,-5.72,8e-05,0
4,4,64,0.9272,-5.79,8e-05,0
5,4,64,0.9289,-5.78,8e-05,0
6,4,64,0.933,-5.66,8e-05,0
7,4,64,0.9345,-5.57,8e-05,0
8,4,64,0.9352,-5.45,8e-05,0
9,4,64,0.9381,-5.24,8e-05,0
10,4,64,0.932,-5.31,8e-05,0
11,4,64,0.9259,-5.48,8e-05,0
12,4,64,0.9173,-5.83,8e-05,0
13,4,64,0.9155,-6.14,8e-05,0
14,4,64,0.9146,-6.42,8e-05,0
15,4,64,0.9231,-6.37,8e-05,0
16,4,64,0.9244,-6.29,8e-05,0
17,4,64,0.9233,-6.3,8e-05,0
18,4,64,0.9301,-6.02,8e-05,0
19,4,64,0.9377,-5.59,8e-05,0
20,4,64,0.9362,-5.32,8e-05,0
21,4,64,0.9234,-5.19,8e-05,0
22,4,64,0.8935,-5.16,0.00236,0
23,4,64,0.8706,-5.0,0.00236,0
24,4,64,0.8534,-4.86,0.00236,0
25,4,64,0.8364,-4.88,0.00236,0
26,4,64,0.8364,-4.82,0.00236,0
27,4,40,0.8545,-3.25,0.00236,0
52,4,13,0.4063,-0.43,0.0,0
53,4,64,0.584,-4.08,0.02325,0
54,4,64,0.8587,-4.68,0.00236,0
55,4,64,0.903,-4.92,8e-05,0
56,4,64,0.9166,-5.07,8e-05,0
57,4,64,0.9259,-5.1,8e-05,0
58,4,64,0.9264,-5.19,8e-05,0
59,4,64,0.923,-5.37,8e-05,0
60,4,64,0.923,-5.51,8e-05,0
61,4,64,0.9267,-5.57,8e-05,0
62,4,64,0.9307,-5.48,8e-05,0
63,4,64,0.929,-5.53,8e-05,0
0,5,64,0.9219,-2.77,8e-05,0
1,5,64,0.9203,-2.84,8e-05,0
2,5,64,0.9185,-2.92,8e-05,0
3,5,64,0.9117,-3.2,8e-05,0
4,5,64,0.9124,-3.38,8e-05,0
5,5,64,0.9123,-3.53,8e-05,0
6,5,64,0.92,-3.49,8e-05,0
7,5,64,0.9257,-3.37,8e-05,0
8,5,64,0.9268,-3.24,8e-05,0
9,5,64,0.926,-3.18,8e-05,0
10,5,64,0.9193,-3.32,8e-05,0
11,5,64,0.9192,-3.37,8e-05,0
12,5,64,0.9099,-3.66,8e-05,0
13,5,64,0.9056,-3.99,8e-05,0
14,5,64,0.9076,-4.25,8e-05,0
15,5,64,0.9169,-4.22,8e-05,0
16,5,64,0.9227,-4.13,8e-05,0
17,5,64,0.9254,-4.07,8e-05,0
18,5,64,0.9344,-3.69,8e-05,0
19,5,64,0.9428,-3.12,8e-05,0
20,5,64,0.9394,-2.56,8e-05,0
21,5,64,0.9065,-2.36,8e-05,0
22,5,64,0.8657,-2.29,0.00236,0
23,5,64,0.8438,-2.12,0.00236,0
24,5,64,0.8287,-2.06,0.00236,0
25,5,64,0.809,-2.22,0.00236,0
26,5,64,0.8148,-2.18,0.00236,0
27,5,32,0.8273,-0.35,0.00236,0
52,5,1,0.2885,8.09,0.0,0
53,5,21,0.423,0.0,0.0,0
54,5,63,0.615,-1.67,0.01831,0
55,5,64,0.8469,-2.36,0.00236,0
56,5,64,0.9015,-2.42,8e-05,0
57,5,64,0.9258,-2.18,8e-05,0
58,5,64,0.9208,-2.32,8e-05,0
59,5,64,0.9145,-2.55,8e-05,0
60,5,64,0.9116,-2.79,8e-05,0
61,5,64,0.9185,-2.83,8e-05,0
62,5,64,0.9277,-2.6,8e-05,0
63,5,64,0.9198,-2.75,8e-05,0
0,6,64,0.9144,-0.04,8e-05,0
1,6,64,0.9149,-0.03,8e-05,0
2,6,64,0.9098,-0.17,8e-05,0
3,6,64,0.9032,-0.41,8e-05,0
4,6,64,0.8984,-0.68,0.00236,0
5,6,64,0.8884,-1.11,0.00236,0
6,6,64,0.9028,-1.1,8e-05,0
7,6,64,0.909,-1.09,8e-05,0
8,6,64,0.9103,-1.08,8e-05,0
9,6,64,0.9103,-1.12,8e-05,0
10,6,64,0.9127,-1.13,8e-05,0
11,6,64,0.9107,-1.19,8e-05,0
12,6,64,0.9,-1.48,8e-05,0
13,6,64,0.8946,-1.84,0.00236,0
14,6,64,0.9047,-1.91,8e-05,0
15,6,64,0.9121,-1.84,8e-05,0
16,6,64,0.923,-1.6,8e-05,0
17,6,64,0.9271,-1.35,8e-05,0
18,6,64,0.9315,-0.95,8e-05,0
19,6,64,0.9364,-0.33,8e-05,0
20,6,64,0.9193,0.11,0.00095,0
21,6,64,0.8748,0.16,0.00768,0
22,6,64,0.8321,0.1,0.00768,0
23,6,64,0.8294,0.67,0.00768,0
24,6,52,0.8291,1.39,0.00768,0
25,6,47,0.7067,1.33,0.02001,0
26,6,59,0.7512,1.03,0.01248,0
27,6,8,0.8614,3.17,0.0,0
54,6,8,0.4078,3.4,0.0,0
55,6,34,0.5359,1.27,0.0403,0
56,6,46,0.7467,1.09,0.02001,0
57,6,36,0.8669,1.28,0.00768,0
58,6,63,0.7094,0.58,0.02001,0
59,6,64,0.8662,0.29,0.00768,0
60,6,64,0.8959,0.1,0.00768,0
61,6,64,0.9068,-0.03,8e-05,0
62,6,64,0.9164,0.07,0.00095,0
63,6,64,0.9141,0.0,0.00095,0
0,7,30,0.8269,3.84,0.0,0
1,7,26,0.8948,3.8,0.0,0
2,7,35,0.763,3.5,0.01248,0
3,7,63,0.6724,2.74,0.02437,0
4,7,64,0.8146,1.98,0.00768,0
5,7,64,0.8541,1.53,0.00768,0
6,7,64,0.8758,1.35,0.00768,0
7,7,64,0.8906,1.28,0.00768,0
8,7,64,0.8936,1.17,0.00768,0
9,7,64,0.8998,1.14,0.00768,0
10,7,64,0.9044,1.13,0.00095,0
11,7,64,0.9009,1.02,0.00095,0
12,7,64,0.8861,0.62,0.00768,0
13,7,64,0.8924,0.5,0.00768,0
14,7,64,0.8992,0.46,0.00768,0
15,7,64,0.9046,0.53,0.00095,0
16,7,64,0.9134,0.73,0.00095,0
17,7,64,0.9222,1.1,0.00095,0
18,7,64,0.9257,1.64,0.00095,0
19,7,64,0.9129,2.11,0.00095,0
20,7,64,0.8845,2.39,0.00768,0
21,7,64,0.8479,2.48,0.00768,0
22,7,53,0.833,3.3,0.00768,0
23,7,11,0.8035,5.4,0.0,0
26,7,9,0.4075,6.4,0.0,0
58,7,10,0.4179,5.11,0.0,0
59,7,16,0.6467,4.88,0.0,0
60,7,20,0.6092,4.27,0.0,0
61,7,30,0.7091,3.68,0.0,0
62,7,25,0.8766,3.83,0.0,0
63,7,32,0.7914,3.58,0.01248,0
3,8,35,0.4238,6.31,0.05087,0
4,8,64,0.5905,4.51,0.03395,0
5,8,64,0.7792,3.9,0.01248,0
6,8,64,0.843,3.72,0.00768,0
7,8,64,0.8654,3.54,0.00768,0
8,8,64,0.8738,3.37,0.00768,0
9,8,64,0.8803,3.27,0.00768,0
10,8,64,0.8878,3.23,0.00768,0
11,8,64,0.8798,2.97,0.00768,0
12,8,64,0.8739,2.69,0.00768,0
13,8,64,0.8866,2.7,0.00768,0
14,8,64,0.8961,2.79,0.00768,0
15,8,64,0.8995,2.9,0.00768,0
16,8,64,0.9134,3.26,0.00095,0
17,8,64,0.9168,3.62,0.00095,0
18,8,64,0.9152,4.15,0.00095,0
19,8,64,0.9018,4.64,0.00095,0
20,8,61,0.8743,5.27,0.00768,0
21,8,45,0.8529,5.78,0.00768,0
22,8,6,0.8425,7.65,0.0,0
3,9,12,0.4052,10.04,0.0,0
4,9,64,0.4723,6.96,0.05087,0
5,9,64,0.7111,6.3,0.02001,0
6,9,64,0.8038,5.98,0.00768,0
7,9,64,0.837,5.73,0.00768,0
8,9,64,0.8451,5.43,0.00768,0
9,9,64,0.8571,5.31,0.00768,0
10,9,64,0.8631,5.15,0.00768,0
11,9,64,0.866,5.0,0.00768,0
