gx,gy,land,dry,temp,predicted,region
0,0,64,0.3689,-44.88,0.05643,1
1,0,64,0.309,-45.02,0.05643,1
2,0,64,0.667,-43.55,0.01417,0
3,0,64,0.8947,-41.49,0.00236,0
4,0,64,0.9741,-39.16,8e-05,0
5,0,64,0.9872,-37.43,8e-05,0
6,0,64,0.9729,-36.9,8e-05,0
7,0,64,0.9809,-35.61,8e-05,0
8,0,64,0.9758,-34.52,8e-05,0
9,0,64,0.9564,-33.74,8e-05,0
10,0,64,0.9811,-31.92,8e-05,0
11,0,64,0.9797,-31.01,8e-05,0
12,0,25,0.9216,-28.6,0.0,0
15,0,49,0.3004,-28.76,0.05643,2
16,0,64,0.6649,-30.5,0.01417,0
17,0,64,0.0636,-32.14,0.05643,2
18,0,64,0.0,-35.54,0.05643,2
19,0,64,0.0001,-37.15,0.05643,2
20,0,64,0.0067,-36.92,0.05643,2
21,0,64,0.2988,-36.28,0.05643,2
22,0,64,0.2773,-36.29,0.05643,2
23,0,64,0.5707,-35.51,0.02325,0
24,0,64,0.8006,-33.72,0.00236,0
25,0,64,0.9468,-30.62,8e-05,0
26,0,44,0.8453,-28.85,0.00236,0
32,0,20,0.0663,-26.53,0.0,0
33,0,62,0.0931,-29.61,0.05643,1
34,0,64,0.0254,-30.72,0.05643,1
35,0,64,0.0756,-31.43,0.05643,1
36,0,64,0.0,-33.65,0.05643,1
37,0,64,0.0,-35.95,0.05643,1
38,0,64,0.0424,-36.22,0.05643,1
39,0,64,0.3406,-35.09,0.05643,1
40,0,64,0.4177,-34.19,0.03522,1
41,0,64,0.5585,-33.13,0.02325,0
42,0,64,0.3278,-32.54,0.05643,1
43,0,64,0.0382,-32.96,0.05643,1
44,0,64,0.0087,-33.55,0.05643,1
45,0,64,0.0549,-33.37,0.05643,1
46,0,64,0.0,-34.74,0.05643,1
47,0,64,0.0002,-35.93,0.05643,1
48,0,64,0.0012,-36.21,0.05643,1
49,0,64,0.0,-36.61,0.05643,1
50,0,64,0.0,-39.27,0.05643,1
51,0,64,0.0,-41.55,0.05643,1
52,0,64,0.0,-43.96,0.05643,1
53,0,64,0.0001,-44.61,0.05643,1
54,0,64,0.0,-45.79,0.05643,1
55,0,64,0.1834,-45.4,0.05643,1
56,0,64,0.1571,-44.85,0.05643,1
57,0,64,0.3326,-44.95,0.05643,1
58,0,64,0.6419,-43.8,0.01831,0
59,0,64,0.3092,-43.7,0.05643,1
60,0,64,0.0,-44.72,0.05643,1
61,0,64,0.0002,-45.83,0.05643,1
62,0,64,0.061,-46.06,0.05643,1
63,0,64,0.5392,-44.75,0.02827,0
0,1,64,0.0476,-43.36,0.05643,1
1,1,64,0.2144,-42.43,0.05643,1
2,1,64,0.3852,-41.53,0.05643,1
3,1,64,0.7894,-39.21,0.00545,0
4,1,64,0.8724,-37.84,0.00236,0
5,1,64,0.9237,-36.12,8e-05,0
6,1,64,0.9075,-34.98,8e-05,0
7,1,64,0.9393,-33.31,8e-05,0
8,1,64,0.9341,-32.15,8e-05,0
9,1,64,0.9182,-31.24,8e-05,0
10,1,64,0.9225,-30.41,8e-05,0
11,1,64,0.9214,-29.46,8e-05,0
12,1,55,0.8788,-27.76,0.00236,0
13,1,19,0.572,-25.12,0.0,0
16,1,25,0.5863,-26.79,0.0,0
17,1,64,0.0646,-29.24,0.05643,2
18,1,64,0.0009,-31.79,0.05643,2
19,1,64,0.0007,-34.56,0.05643,2
20,1,64,0.0018,-35.92,0.05643,2
21,1,64,0.0054,-35.24,0.05643,2
22,1,64,0.0615,-34.58,0.05643,2
23,1,64,0.5054,-32.37,0.02827,0
24,1,64,0.6166,-30.77,0.01831,0
25,1,64,0.5578,-29.45,0.02325,0
26,1,57,0.7334,-27.04,0.0093,0
29,1,3,0.0282,-22.47,0.0,0
32,1,12,0.0715,-25.43,0.0,0
33,1,63,0.288,-27.13,0.05643,1
34,1,45,0.5012,-27.1,0.02827,0
35,1,62,0.4006,-27.91,0.03522,1
36,1,64,0.0,-30.33,0.05643,1
37,1,64,0.0003,-33.48,0.05643,1
38,1,64,0.0084,-33.61,0.05643,1
39,1,64,0.0154,-32.5,0.05643,1
40,1,64,0.0318,-31.98,0.05643,1
41,1,64,0.1661,-30.13,0.05643,1
42,1,64,0.0035,-31.16,0.05643,1
43,1,64,0.0018,-31.71,0.05643,1
44,1,64,0.0048,-32.15,0.05643,1
45,1,64,0.0034,-31.53,0.05643,1
46,1,64,0.0,-33.34,0.05643,1
47,1,64,0.0006,-34.27,0.05643,1
48,1,64,0.003,-34.64,0.05643,1
49,1,64,0.0005,-34.86,0.05643,1
50,1,64,0.0,-36.92,0.05643,1
51,1,64,0.0001,-39.73,0.05643,1
52,1,64,0.001,-41.44,0.05643,1
53,1,64,0.0022,-41.73,0.05643,1
54,1,64,0.0006,-43.39,0.05643,1
55,1,64,0.0018,-43.92,0.05643,1
56,1,64,0.0117,-43.58,0.05643,1
57,1,64,0.1861,-42.4,0.05643,1
58,1,64,0.3048,-41.32,0.05643,1
59,1,64,0.0089,-41.62,0.05643,1
60,1,64,0.0007,-42.65,0.05643,1
61,1,64,0.0012,-43.26,0.05643,1
62,1,64,0.0025,-43.82,0.05643,1
63,1,64,0.041,-43.43,0.05643,1
0,2,64,0.0512,-39.81,0.05643,1
1,2,64,0.4137,-38.93,0.03522,1
2,2,64,0.4763,-38.58,0.03522,1
3,2,64,0.7753,-36.5,0.00545,0
4,2,64,0.8582,-34.96,0.00236,0
5,2,64,0.9335,-32.67,8e-05,0
6,2,64,0.8853,-32.07,0.00236,0
7,2,64,0.9049,-30.59,8e-05,0
8,2,64,0.8814,-29.71,0.00236,0
9,2,64,0.7938,-29.74,0.00545,0
10,2,64,0.8456,-28.31,0.00236,0
11,2,64,0.8932,-26.85,0.00236,0
12,2,64,0.9076,-25.68,8e-05,0
13,2,64,0.8201,-25.0,0.00236,0
14,2,14,0.5701,-22.25,0.0,0
17,2,54,0.0428,-24.64,0.05643,2
18,2,64,0.0041,-26.46,0.05643,2
19,2,64,0.0018,-29.26,0.05643,2
20,2,64,0.0026,-31.88,0.05643,2
21,2,64,0.0055,-32.46,0.05643,2
22,2,64,0.0188,-31.51,0.05643,2
23,2,64,0.2598,-29.13,0.05643,2
24,2,64,0.5337,-26.69,0.02827,0
25,2,50,0.545,-24.46,0.02827,0
26,2,2,0.8246,-22.05,0.0,0
29,2,12,0.1384,-22.09,0.0,0
30,2,22,0.1201,-21.06,0.0,0
31,2,29,0.2321,-21.63,0.0,0
32,2,30,0.1742,-22.27,0.0,0
33,2,59,0.351,-23.79,0.05643,1
34,2,12,0.6447,-21.62,0.0,0
35,2,59,0.1848,-24.54,0.05643,1
36,2,64,0.0009,-26.98,0.05643,1
37,2,64,0.0025,-29.22,0.05643,1
38,2,64,0.011,-29.64,0.05643,1
39,2,64,0.0147,-29.1,0.05643,1
40,2,64,0.0149,-28.75,0.05643,1
41,2,64,0.0149,-27.81,0.05643,1
42,2,64,0.0015,-29.2,0.05643,1
43,2,64,0.0071,-28.99,0.05643,1
44,2,64,0.0089,-29.09,0.05643,1
45,2,64,0.0069,-28.77,0.05643,1
46,2,64,0.0002,-30.79,0.05643,1
47,2,64,0.0009,-32.35,0.05643,1
48,2,64,0.0064,-32.54,0.05643,1
49,2,64,0.0051,-31.97,0.05643,1
50,2,64,0.0005,-34.03,0.05643,1
51,2,64,0.0009,-36.03,0.05643,1
52,2,64,0.0045,-37.04,0.05643,1
53,2,64,0.0057,-37.09,0.05643,1
54,2,64,0.0023,-39.0,0.05643,1
55,2,64,0.0017,-40.9,0.05643,1
