step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,8,492,9.08,0.10,0.00,0.00,8.98,0.00,1.02,0.000,0.059,329817.0,22005.0,1,0,2.63,1.01,1.04,3.3869,7.85,37439.1,8.6805,28.8875,4756
10000,1,35,14.23,0.00,0.00,0.00,14.23,0.00,1.00,0.000,0.300,17588.3,1237.7,1,8,3.17,1.00,1.00,0.1615,3.31,556.0,19.4911,1.7903,95
10000,0,12,9.33,0.00,0.00,0.08,9.25,0.00,1.00,0.000,0.001,89550.6,35408.1,1,5,2.83,1.00,1.00,5.9376,2.95,97552.7,0.0000,0.0000,11533
20000,8,457,9.18,0.15,0.05,0.05,8.93,0.00,1.05,0.000,0.055,243117.3,4547.6,1,2,2.73,1.04,1.07,0.5448,11.07,35369.6,20.8304,24.2881,4760
20000,1,24,13.25,0.00,0.00,0.00,13.25,0.00,1.00,0.000,0.203,20176.3,1233.8,2,1,3.38,1.00,1.00,0.1418,2.07,677.3,7.2519,2.1179,98
20000,0,3,11.67,0.00,0.00,0.00,11.67,0.00,1.00,0.000,0.000,1665.3,158.0,2,2,2.67,1.00,1.00,0.0338,1.76,100043.1,0.0000,0.0000,11526
30000,8,440,9.35,0.21,0.03,0.15,8.97,0.00,1.06,0.000,0.054,246530.2,4665.4,1,0,2.72,1.03,1.08,0.5546,8.03,34273.1,17.5680,24.6272,4802
30000,1,37,10.57,0.00,0.00,0.00,10.57,0.00,1.00,0.000,0.243,20517.7,1304.0,2,0,2.70,1.00,1.00,0.1503,0.40,934.5,4.3447,2.1504,98
30000,0,3,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,1527.0,154.4,2,3,2.67,1.00,1.00,0.0325,1.97,101244.3,0.0000,0.0000,11484
40000,8,515,9.19,0.24,0.00,0.00,8.95,0.00,1.07,0.000,0.066,258486.7,4974.1,1,0,2.68,1.05,1.08,0.5878,8.27,38105.7,14.2509,25.8266,4498
40000,1,33,8.12,0.00,0.00,0.00,8.12,0.00,1.00,0.000,0.183,21111.0,1132.2,2,0,2.58,1.00,1.00,0.1296,1.17,769.7,5.8040,2.2076,98
40000,0,6,26.17,0.00,0.00,2.33,23.83,0.00,1.00,0.000,0.001,1800.8,170.4,2,3,5.50,1.00,1.00,0.0332,3.35,97997.5,0.0000,0.0000,11788
50000,8,544,9.30,0.20,0.04,0.06,9.01,0.00,1.05,0.002,0.068,275606.2,5693.8,1,5,2.70,1.04,1.05,0.6626,13.07,37260.0,8.6369,27.4763,4654
50000,1,41,9.78,0.00,0.00,0.00,9.78,0.00,1.00,0.000,0.304,20656.1,1124.1,1,16,2.56,1.00,1.00,0.1287,1.33,708.8,4.2507,2.1413,82
50000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1144.7,98.6,0,0,-0.00,-0.00,-0.00,0.0205,0.46,98976.2,0.0000,0.0000,11648
60000,8,472,9.13,0.10,0.00,0.09,8.94,0.00,1.03,0.000,0.057,264901.4,5614.6,1,2,2.72,1.02,1.04,0.6578,8.29,35534.1,10.4620,26.4198,4725
