step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,457,1.490,0.177,10.23,27200,27506,2,0,718,1292,322507.6,27520.8,0.087,0.348,0.418,0.148,1706,9.86,3.54,0.10,1.19,0.04,0.36,0.02,0.23,9.71,3.32,0.00,0.00,0.004,0.035,89,0.214,0.230,0.764,0.000,0.007,22948,18472,3,0.464,0.055,0.004,171062,0.170,0.673,0.009,25.96,13260,0,21.301,0.000,0.004,504886,1.04,16.86,0.000,0.000,0.000,8,10,13,45,4506,0.017,2.86,0.0073,0.011,4,0.285,0.000,0.354,0.220,2.89,3.09,4.72,0.00,0.002,1.04,1.04,1.04,0.285,0.00350,98.76,3.9251,14.73,70870.0,74538.4,35.855,1.1751,31.873
20000,337,1.502,0.195,9.97,15626,15173,24,0,549,21,208067.5,3923.7,0.012,0.260,0.496,0.232,2434,10.27,3.88,0.25,1.90,0.23,1.75,0.00,0.00,9.79,2.79,0.00,0.00,0.013,0.077,75,0.172,0.223,0.774,0.000,0.003,6310,4916,3,0.439,0.053,0.000,21922,0.143,0.805,0.013,20.85,6188,0,186.841,0.000,0.003,106162,1.08,16.75,0.000,0.000,0.000,7,10,13,39,3462,0.013,8.66,0.0063,0.009,0,0.102,0.000,0.236,0.011,2.77,3.19,4.66,0.03,0.015,1.05,1.09,1.09,0.102,0.00259,68.31,0.4960,8.51,70761.1,74538.4,65.619,0.1044,20.737
30000,383,1.572,0.112,10.59,14712,13969,31,0,666,4,198016.8,3820.4,0.014,0.257,0.491,0.238,2428,9.91,2.96,0.09,0.81,0.02,0.22,0.00,0.00,9.80,2.87,0.00,0.00,0.001,0.018,81,0.172,0.253,0.736,0.000,0.010,5868,4592,5,0.514,0.091,0.000,16142,0.152,0.519,0.005,19.68,6123,0,955.097,0.000,0.000,104860,1.04,17.08,0.000,0.000,0.000,7,9,13,32,3797,0.014,5.24,0.0053,0.000,7,0.109,0.000,0.220,0.011,2.79,3.09,4.55,0.00,0.000,1.05,1.07,1.03,0.109,0.00216,81.21,0.4947,12.41,72020.2,74538.4,57.311,0.1123,19.691
40000,506,1.466,0.084,10.41,17247,16385,29,0,710,5,240757.7,4554.7,0.026,0.248,0.477,0.249,2064,10.35,3.64,0.13,1.46,0.04,0.32,0.03,0.50,10.14,3.09,0.00,0.00,0.007,0.068,87,0.119,0.225,0.761,0.002,0.012,7625,5511,6,0.397,0.055,0.006,22854,0.176,0.416,0.003,24.02,7258,0,910.931,0.000,0.006,117096,1.04,16.91,0.000,0.000,0.000,8,10,13,47,5235,0.020,0.38,0.0047,0.002,7,0.103,0.000,0.236,0.015,2.79,3.38,4.28,0.01,0.004,1.02,1.05,1.05,0.103,0.00192,100.28,0.5701,10.56,72319.5,74538.3,38.760,0.1148,23.935
50000,549,1.445,0.073,9.68,19462,18579,60,0,780,4,278271.7,5114.3,0.021,0.222,0.495,0.262,1851,9.71,2.57,0.01,0.26,0.08,0.70,0.02,0.43,9.60,2.59,0.00,0.00,0.009,0.073,87,0.240,0.248,0.743,0.000,0.009,9105,6932,3,0.579,0.000,0.004,25403,0.209,0.380,0.003,27.80,7740,0,1278.565,0.000,0.002,100771,1.00,17.59,0.000,0.000,0.000,8,10,12,30,5329,0.020,2.34,0.0053,0.036,0,0.084,0.000,0.257,0.014,2.67,3.47,3.83,0.00,0.002,1.00,1.01,1.00,0.084,0.00189,105.81,0.6179,9.40,72435.2,74538.4,27.498,0.1065,27.701
60000,444,1.391,0.071,8.69,19350,18471,94,0,890,0,262769.6,5149.4,0.020,0.203,0.468,0.309,1978,9.32,2.74,0.00,0.09,0.02,0.29,0.00,0.07,9.29,2.65,0.00,0.00,0.001,0.014,53,0.239,0.207,0.793,0.000,0.000,9243,7782,3,0.858,0.000,0.005,23580,0.177,0.359,0.002,26.29,7153,0,5149.405,0.000,0.000,75218,1.00,18.13,0.000,0.000,0.000,7,9,11,47,4136,0.016,0.26,0.0064,0.027,3,0.071,0.000,0.215,0.015,2.45,3.37,3.57,0.00,0.000,1.00,1.00,1.00,0.071,0.00203,107.45,0.6181,8.56,72676.0,74538.5,29.442,0.1032,26.209
70000,446,1.536,0.072,8.39,15988,15073,116,0,797,1,238302.6,4372.7,0.017,0.198,0.485,0.301,2168,9.67,2.61,0.00,0.05,0.01,0.08,0.05,0.55,9.61,2.44,0.00,0.00,0.000,0.006,63,0.235,0.209,0.789,0.000,0.002,7934,6887,2,0.978,0.000,0.009,19384,0.179,0.360,0.002,23.86,5871,0,4372.700,0.000,0.000,76789,1.00,17.14,0.000,0.000,0.000,8,9,12,27,4311,0.016,0.28,0.0056,0.025,3,0.082,0.000,0.188,0.017,2.62,3.49,3.94,0.00,0.000,1.00,1.00,1.00,0.082,0.00178,102.15,0.5319,8.71,72579.4,74538.5,37.143,0.0946,23.756
80000,454,1.388,0.064,8.09,15738,14797,100,0,833,0,228004.5,4280.8,0.021,0.208,0.463,0.308,2309,9.08,2.66,0.00,0.09,0.01,0.28,0.01,0.19,9.05,2.43,0.00,0.00,0.000,0.007,50,0.222,0.218,0.775,0.000,0.007,7697,6860,1,0.667,0.333,0.004,42177,0.118,0.320,0.001,22.81,5507,0,4280.831,0.000,0.000,82708,1.00,17.85,0.000,0.000,0.000,8,9,11,38,4122,0.016,0.41,0.0055,0.029,2,0.087,0.000,0.188,0.015,2.51,3.34,3.74,0.00,0.000,1.00,1.00,1.00,0.087,0.00175,104.92,0.5291,7.72,72775.3,74538.5,35.310,0.1011,22.724
90000,521,1.448,0.077,7.96,18681,17470,113,0,1031,0,255012.9,4767.7,0.025,0.214,0.382,0.379,2104,8.88,2.92,0.10,1.28,0.05,0.70,0.01,0.31,8.72,2.24,0.00,0.00,0.002,0.029,55,0.372,0.211,0.783,0.000,0.006,8870,8251,2,0.710,0.000,0.002,20812,0.159,0.344,0.001,25.55,5713,0,4767.690,0.000,0.000,124529,1.04,18.18,0.000,0.000,0.000,7,8,11,36,4627,0.018,0.33,0.0056,0.017,1,0.112,0.000,0.198,0.011,2.51,3.20,3.74,0.00,0.000,1.01,1.06,1.04,0.112,0.00165,106.27,0.5815,11.88,72438.2,74538.7,31.289,0.1043,25.411
100000,454,1.521,0.076,7.80,17719,16617,118,0,1051,5,236075.3,4765.3,0.022,0.189,0.407,0.382,2217,9.34,2.90,0.02,0.30,0.03,0.70,0.03,0.61,9.26,2.55,0.00,0.00,0.001,0.024,50,0.256,0.227,0.769,0.000,0.004,8066,7762,2,0.711,0.000,0.004,15337,0.182,0.369,0.002,23.64,5755,0,953.053,0.000,0.000,89636,1.01,18.13,0.000,0.000,0.000,8,9,11,35,4242,0.016,0.27,0.0056,0.000,4,0.101,0.000,0.189,0.011,2.47,3.15,3.79,0.00,0.000,1.00,1.01,1.01,0.101,0.00157,99.61,0.5841,10.56,72511.7,74538.7,39.919,0.1078,23.541
110000,388,1.490,0.059,7.89,15826,14907,117,0,868,6,223821.4,4205.1,0.017,0.195,0.429,0.359,2337,9.43,2.69,0.06,0.69,0.00,0.00,0.02,0.30,9.34,2.30,0.00,0.00,0.000,0.000,39,0.356,0.222,0.768,0.000,0.010,6333,6115,3,0.789,0.000,0.005,16602,0.170,0.301,0.001,22.39,4907,0,700.848,0.000,0.000,69594,1.02,17.93,0.000,0.000,0.000,8,9,10,41,3657,0.014,0.22,0.0062,0.008,0,0.080,0.000,0.164,0.010,2.67,3.12,3.93,0.00,0.000,1.02,1.02,1.02,0.080,0.00184,89.03,0.5242,10.53,72914.5,74538.7,51.801,0.1037,22.328
120000,426,1.474,0.057,7.94,14684,13692,106,0,848,2,196490.7,3956.0,0.026,0.180,0.418,0.375,2552,9.37,3.26,0.06,0.64,0.00,0.00,0.05,0.58,9.27,2.68,0.00,0.00,0.000,0.000,52,0.291,0.225,0.770,0.000,0.005,6091,5964,2,0.803,0.000,0.009,18052,0.165,0.274,0.001,19.67,4745,0,1978.016,0.000,0.002,80263,1.01,18.11,0.000,0.000,0.000,8,9,11,49,3993,0.015,0.38,0.0050,0.000,3,0.114,0.000,0.171,0.011,2.63,3.08,3.87,0.00,0.000,1.01,1.02,1.01,0.114,0.00135,97.89,0.4975,12.47,72892.3,74538.8,45.498,0.1017,19.566
130000,402,1.534,0.082,8.13,15266,14389,114,0,787,11,212761.6,3945.2,0.019,0.174,0.421,0.386,2413,9.02,2.07,0.03,0.49,0.00,0.00,0.04,0.58,8.95,1.75,0.00,0.00,0.000,0.000,43,0.236,0.189,0.806,0.000,0.005,6001,5703,2,0.358,0.289,0.005,17128,0.173,0.414,0.003,21.35,4765,0,358.655,0.000,0.000,74233,1.01,18.47,0.000,0.002,0.000,7,9,11,30,3626,0.014,1.03,0.0059,0.000,1,0.100,0.000,0.157,0.007,2.53,3.06,3.71,0.00,0.000,1.01,1.02,1.02,0.100,0.00152,72.13,0.4867,5.69,72513.5,74538.7,68.931,0.0929,21.219
140000,392,1.457,0.125,8.03,13758,13061,99,0,608,12,192856.5,3512.2,0.018,0.146,0.407,0.428,2616,9.28,2.50,0.09,0.75,0.04,0.71,0.03,0.42,9.13,2.17,0.00,0.00,0.002,0.039,44,0.321,0.214,0.781,0.000,0.005,5899,5287,2,0.592,0.061,0.005,12071,0.187,0.562,0.005,19.38,4202,0,292.684,0.000,0.000,63389,1.03,18.39,0.000,0.000,0.000,8,9,10,30,3637,0.014,3.09,0.0054,0.018,2,0.112,0.000,0.172,0.008,2.47,3.07,3.75,0.00,0.000,1.01,1.04,1.03,0.112,0.00120,63.89,0.4258,8.21,71849.6,74538.7,77.072,0.0744,19.238
150000,394,1.436,0.180,8.19,16813,15843,110,0,858,6,211569.3,4469.6,0.023,0.150,0.383,0.445,2395,8.87,3.21,0.05,0.40,0.05,0.91,0.00,0.00,8.77,2.81,0.00,0.00,0.001,0.024,46,0.325,0.223,0.772,0.000,0.005,8397,7876,2,0.558,0.023,0.000,17183,0.168,0.831,0.013,21.27,5199,0,744.933,0.000,0.000,95212,1.02,18.37,0.000,0.000,0.000,8,8,10,37,3493,0.013,9.17,0.0061,0.005,1,0.146,0.000,0.192,0.014,2.49,3.31,3.52,0.00,0.000,1.02,1.02,1.02,0.146,0.00124,73.79,0.5314,7.48,70953.4,74538.8,59.211,0.0846,21.095
160000,432,1.383,0.206,8.14,18157,17060,119,0,940,1,230532.6,4610.7,0.019,0.165,0.376,0.440,2237,8.64,3.00,0.10,1.89,0.00,0.10,0.03,0.63,8.50,2.58,0.00,0.00,0.000,0.005,43,0.296,0.199,0.792,0.000,0.009,8710,8194,2,0.500,0.044,0.005,30294,0.123,0.935,0.017,23.12,5841,0,4610.668,0.000,0.000,100039,1.04,18.60,0.000,0.000,0.000,7,8,10,39,3732,0.014,8.52,0.0063,0.000,2,0.127,0.000,0.176,0.013,2.53,3.16,3.55,0.00,0.000,1.03,1.04,1.04,0.127,0.00138,73.76,0.5577,8.84,70492.5,74538.9,58.038,0.0965,22.976
170000,346,1.429,0.145,8.27,16533,15693,115,0,811,16,208632.9,4617.5,0.026,0.149,0.360,0.464,2417,9.02,2.37,0.05,0.72,0.01,0.16,0.07,0.85,8.89,1.93,0.01,0.11,0.000,0.006,42,0.295,0.197,0.798,0.000,0.006,8111,7819,2,0.627,0.026,0.009,28455,0.191,0.769,0.011,20.78,5585,0,288.592,0.000,0.000,75954,1.02,18.40,0.000,0.003,0.003,8,8,11,26,3121,0.012,12.91,0.0068,0.000,1,0.118,0.000,0.176,0.024,2.35,3.34,3.47,0.01,0.003,1.01,1.02,1.02,0.118,0.00146,63.91,0.5803,8.97,71601.4,74538.9,65.838,0.1186,20.777
180000,191,1.554,0.161,8.65,8368,7952,105,0,466,1,136212.5,2076.6,0.009,0.177,0.439,0.375,3465,8.92,1.98,0.00,0.00,0.00,0.00,0.01,0.14,8.91,1.91,0.00,0.00,0.000,0.000,25,0.414,0.220,0.770,0.000,0.010,2912,2675,2,0.775,0.000,0.005,8273,0.169,0.833,0.013,13.67,2819,0,2076.567,0.000,0.000,19839,1.00,17.72,0.000,0.000,0.000,8,8,11,22,1703,0.006,19.08,0.0080,0.000,0,0.042,0.000,0.114,0.005,2.72,3.03,4.11,0.00,0.000,1.00,1.00,1.00,0.042,0.00213,23.96,0.2652,6.08,71570.5,74538.9,106.731,0.0578,13.607
190000,342,1.489,0.076,8.68,9452,8690,116,0,495,1,146524.5,2664.7,0.019,0.233,0.478,0.270,3258,9.74,2.56,0.01,0.12,0.00,0.00,0.00,0.00,9.73,2.54,0.00,0.00,0.000,0.000,45,0.216,0.208,0.784,0.003,0.006,4531,4071,2,0.886,0.056,0.000,8920,0.133,0.392,0.003,14.53,3470,0,2664.691,0.000,0.009,125854,1.00,16.91,0.000,0.000,0.000,8,9,11,33,3332,0.013,4.92,0.0044,0.044,3,0.181,0.000,0.145,0.029,2.68,3.16,4.39,0.00,0.000,1.00,1.00,1.00,0.181,0.00155,65.72,0.3418,7.05,72721.1,74538.9,78.277,0.0752,14.567
200000,507,1.553,0.086,8.65,18575,17365,65,0,980,3,259840.1,5508.5,0.015,0.210,0.477,0.298,2053,11.07,3.71,0.06,0.48,0.00,0.00,0.08,1.22,10.94,3.25,0.00,0.00,0.000,0.000,66,0.274,0.235,0.761,0.000,0.004,10181,8428,3,0.527,0.075,0.006,18634,0.156,0.391,0.002,26.00,6582,0,1836.174,0.000,0.000,187324,1.01,17.38,0.000,0.000,0.000,8,11,14,43,5615,0.021,0.19,0.0047,0.039,1,0.177,0.000,0.253,0.024,2.55,3.62,3.69,0.00,0.000,1.00,1.02,1.01,0.177,0.00173,113.30,0.6519,9.16,72225.1,74538.9,23.951,0.1009,25.853
210000,449,1.508,0.072,8.82,19187,18207,87,0,951,4,273584.6,5709.3,0.016,0.178,0.525,0.281,2011,11.04,3.52,0.25,0.82,0.02,0.30,0.09,1.35,10.67,2.89,0.00,0.00,0.001,0.013,64,0.218,0.203,0.788,0.000,0.009,9779,8165,3,0.432,0.185,0.009,30135,0.198,0.352,0.002,27.33,6708,0,1427.317,0.000,0.002,99100,1.07,17.14,0.000,0.000,0.000,7,11,14,38,4957,0.019,0.05,0.0057,0.045,2,0.110,0.000,0.222,0.016,2.51,3.46,3.98,0.00,0.000,1.02,1.11,1.08,0.110,0.00204,100.43,0.6887,8.31,72575.4,74538.9,35.622,0.1178,27.250
220000,462,1.493,0.046,9.03,18344,17322,83,0,926,17,260857.6,5571.8,0.018,0.182,0.536,0.264,2090,11.19,3.91,0.14,1.48,0.06,0.78,0.00,0.00,10.99,3.29,0.00,0.05,0.002,0.026,58,0.201,0.255,0.738,0.000,0.006,9306,8244,4,0.762,0.000,0.000,24003,0.219,0.215,0.001,26.04,6548,0,327.755,0.000,0.000,100975,1.04,17.68,0.000,0.000,0.002,7,11,15,43,5169,0.020,0.15,0.0051,0.013,0,0.114,0.000,0.200,0.020,2.25,3.55,3.63,0.00,0.002,1.03,1.06,1.04,0.114,0.00177,93.56,0.6728,8.65,72996.3,74538.9,43.689,0.1158,25.963
230000,458,1.508,0.047,8.96,15945,14981,141,1,826,30,247847.9,5577.1,0.006,0.188,0.524,0.282,2237,11.48,3.84,0.05,0.56,0.06,0.77,0.00,0.00,11.37,3.45,0.00,0.00,0.002,0.021,55,0.245,0.214,0.775,0.000,0.011,8652,7806,3,0.417,0.000,0.000,11740,0.220,0.239,0.001,24.78,5846,10,185.904,1.000,0.002,95195,1.02,17.52,0.000,0.000,0.000,7,12,15,40,5259,0.020,8.48,0.0048,0.000,9,0.110,0.000,0.165,0.032,2.26,3.66,3.58,0.00,0.000,1.02,1.02,1.02,0.110,0.00171,70.86,0.6614,10.67,72971.0,74539.0,59.318,0.1040,24.675
240000,406,1.531,0.039,9.04,17075,15973,145,0,1009,22,252884.5,5704.9,0.004,0.195,0.495,0.306,2155,10.97,3.38,0.01,0.15,0.11,1.13,0.03,0.60,10.81,2.94,0.00,0.00,0.005,0.060,62,0.200,0.219,0.766,0.000,0.015,9654,8686,3,0.406,0.160,0.005,11308,0.199,0.206,0.001,25.27,6186,0,259.316,0.000,0.000,110386,1.01,17.25,0.000,0.000,0.000,8,11,15,35,4452,0.017,0.16,0.0058,0.000,3,0.118,0.000,0.179,0.027,2.29,3.52,3.88,0.00,0.000,1.01,1.01,1.01,0.118,0.00197,100.81,0.6765,10.20,73184.4,74539.0,37.203,0.1062,25.188
