step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,8,168,8.57,0.01,0.00,0.01,8.55,0.00,1.01,0.000,0.019,118063.1,2268.3,1,6,2.46,1.01,1.01,0.4273,7.29,5010.4,57.2738,11.4063,4763
10000,1,9,11.44,0.00,0.00,0.00,11.44,0.00,1.00,0.000,0.073,2943.7,76.9,1,5,2.78,1.00,1.00,0.0104,0.66,45.6,69.3570,0.3800,88
10000,0,2,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.000,12277.9,788.4,1,2,2.00,1.00,1.00,0.2482,0.52,18273.9,0.0000,0.0000,11533
20000,8,197,8.70,0.04,0.01,0.26,8.39,0.00,1.01,0.000,0.025,118956.2,1824.3,2,0,2.56,1.01,1.00,0.2533,5.76,4110.1,54.7142,11.9038,4274
20000,1,9,8.89,0.00,0.00,0.00,8.89,0.00,1.00,0.000,0.051,4760.2,139.9,1,0,2.44,1.00,1.00,0.0163,0.07,24.3,62.9882,0.5467,98
20000,0,2,13.50,0.00,0.00,0.00,13.50,0.00,1.00,0.000,0.000,825.0,20.9,2,2,3.50,1.00,1.00,0.0105,0.72,18984.0,0.0000,0.0000,12012
30000,8,174,7.63,0.00,0.00,0.01,7.63,0.00,1.00,0.000,0.023,82621.9,1022.9,1,0,2.45,1.00,1.00,0.1559,6.72,2765.3,62.4441,8.3281,3642
30000,1,2,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.009,3472.4,58.7,1,0,2.50,1.00,1.00,0.0080,0.07,4.4,65.6329,0.4143,98
30000,0,2,5.50,0.00,0.00,0.00,5.50,0.00,1.00,0.000,0.000,746.8,13.4,2,2,2.00,1.00,1.00,0.0064,0.43,20107.4,0.0000,0.0000,12644
40000,8,239,12.67,0.00,0.02,0.01,12.64,0.00,1.00,0.000,0.050,106836.2,1774.0,1,0,3.14,1.00,1.00,0.2231,4.98,2862.0,47.7529,10.7282,3816
40000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,102.5,1.9,0,0,-0.00,-0.00,-0.00,0.0004,0.00,0.0,79.4388,0.0504,98
40000,0,1,11.00,0.00,0.00,0.00,11.00,0.00,1.00,0.000,0.000,371.3,3.9,1,1,4.00,1.00,1.00,0.0034,0.22,19528.4,0.0000,0.0000,12470
50000,8,256,8.78,0.01,0.11,0.02,8.64,0.00,1.00,0.000,0.035,144203.0,2156.6,2,0,2.61,1.00,1.00,0.2700,3.01,3568.7,39.2897,14.4432,4046
50000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,187.2,3.8,0,0,-0.00,-0.00,-0.00,0.0006,0.02,6.6,77.3921,0.0493,98
50000,0,2,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.000,1252.0,28.4,1,2,2.00,1.00,1.00,0.0103,0.75,19625.2,0.0000,0.0000,12240
60000,8,186,8.12,0.00,0.12,0.13,7.87,0.00,1.00,0.000,0.024,101386.6,1087.4,2,0,2.47,1.00,1.00,0.1602,4.31,3229.0,55.3577,10.1857,3982
