step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,0,1914,8.67,0.00,0.02,0.02,8.62,0.00,1.00,0.000,0.063,996131.6,70883.4,1,0,3.25,1.00,1.00,10.9054,31.71,135816.7,9.8251,98.4790,16384
10000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
20000,0,1920,8.16,0.11,0.01,0.01,8.03,0.00,1.03,0.000,0.060,865952.4,17463.4,1,0,2.94,1.01,1.04,2.0128,20.79,136023.1,16.2468,93.6165,16384
20000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
30000,0,2019,8.15,0.12,0.00,0.04,7.98,0.00,1.03,0.000,0.063,901665.9,13221.2,1,0,2.89,1.00,1.04,1.4804,12.16,136026.8,6.1843,103.3074,16384
30000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
40000,0,2055,7.65,0.08,0.01,0.00,7.56,0.00,1.03,0.000,0.060,911175.6,12275.4,1,0,2.87,1.00,1.03,1.3763,13.34,136040.8,4.6904,104.1223,16384
40000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
50000,0,2077,7.29,0.15,0.00,0.03,7.11,0.00,1.05,0.000,0.058,918928.8,12066.7,1,0,2.85,1.02,1.06,1.3575,16.60,136151.8,4.5208,103.8463,16384
50000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
60000,0,2116,6.89,0.13,0.00,0.02,6.74,0.00,1.04,0.000,0.056,921069.2,11768.2,1,0,2.85,1.01,1.04,1.3273,13.59,136140.9,4.7935,103.1244,16384
60000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
70000,0,2144,6.83,0.13,0.00,0.00,6.69,0.00,1.05,0.000,0.056,914160.7,11446.1,1,0,2.87,1.01,1.05,1.2890,12.84,136123.2,5.5504,102.1748,16384
70000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
80000,0,2109,6.70,0.10,0.00,0.01,6.59,0.00,1.03,0.000,0.054,910462.4,11170.9,1,0,2.84,1.01,1.03,1.2574,11.40,136103.3,6.0583,101.7139,16384
80000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
90000,0,2136,6.83,0.15,0.00,0.01,6.67,0.00,1.05,0.000,0.056,907168.8,11108.0,1,0,2.86,1.01,1.05,1.2512,11.64,136152.7,6.4632,101.4066,16384
90000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
100000,0,2102,6.61,0.11,0.00,0.00,6.50,0.00,1.04,0.000,0.053,907863.8,11259.5,1,0,2.85,1.01,1.04,1.2699,12.13,136115.6,6.8696,101.0328,16384
100000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
110000,0,2114,6.79,0.12,0.00,0.00,6.67,0.00,1.04,0.000,0.055,900073.4,11004.5,1,0,2.86,1.02,1.04,1.2404,12.14,136198.1,7.4354,100.5341,16384
110000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
120000,0,2077,6.93,0.14,0.00,0.01,6.78,0.00,1.05,0.000,0.055,896760.9,11076.6,1,0,2.86,1.02,1.05,1.2473,10.82,136189.1,8.0048,100.3324,16384
120000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
130000,0,2091,6.92,0.18,0.00,0.01,6.73,0.00,1.07,0.000,0.055,893511.9,10966.5,1,0,2.85,1.03,1.06,1.2374,14.52,136161.6,8.6226,99.9266,16384
130000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
140000,0,2068,6.77,0.11,0.00,0.01,6.65,0.00,1.04,0.000,0.053,895170.4,10994.2,1,0,2.86,1.01,1.04,1.2382,13.92,136098.5,8.5568,100.0359,16384
140000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
150000,0,2046,6.72,0.12,0.00,0.00,6.60,0.00,1.05,0.000,0.052,888322.0,10672.8,1,0,2.88,1.02,1.04,1.2044,14.41,136182.0,9.5645,99.2407,16384
150000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
160000,0,2041,6.90,0.12,0.00,0.00,6.78,0.00,1.04,0.000,0.054,885065.6,10713.2,1,0,2.87,1.02,1.04,1.2090,12.95,136158.3,10.0990,98.8768,16384
160000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
170000,0,2056,7.03,0.20,0.00,0.00,6.82,0.00,1.07,0.000,0.055,878382.4,10832.7,1,0,2.88,1.03,1.07,1.2235,13.01,136141.8,10.7327,98.6074,16384
170000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
180000,0,2048,7.03,0.09,0.00,0.00,6.94,0.00,1.03,0.000,0.055,877330.7,10882.6,1,0,2.85,1.01,1.03,1.2281,16.17,136249.2,10.8755,98.6100,16384
180000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,0.0,0.0000,0.0000,0
