step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,463,1.415,0.289,10.31,25658,25712,11,1,908,1749,330630.8,26730.0,0.079,0.436,0.144,0.341,1896,8.56,3.80,0.06,1.01,0.08,0.56,0.09,1.36,8.33,3.23,0.00,0.00,0.009,0.067,70,0.201,0.255,0.732,0.000,0.013,20227,16358,2,0.741,0.000,0.011,361885,0.153,0.998,0.019,26.91,11693,37,15.283,1.000,0.000,476395,1.02,19.68,0.000,0.002,0.000,6,8,11,40,3962,0.015,11.65,0.0086,0.032,1,0.222,0.000,0.263,0.218,2.29,3.16,3.01,0.00,0.000,1.02,1.02,1.02,0.222,0.00575,55.78,3.8461,14.55,68730.5,74201.2,69.090,1.1801,32.607
20000,487,1.447,0.302,10.32,21448,20363,33,0,1028,13,254474.5,4866.2,0.043,0.322,0.136,0.498,2238,9.56,4.06,0.07,0.73,0.01,0.20,0.07,0.81,9.40,3.71,0.00,0.00,0.003,0.049,75,0.458,0.238,0.752,0.000,0.010,7991,6482,2,0.830,0.000,0.012,40331,0.151,1.080,0.022,25.43,8115,0,374.326,0.000,0.000,152185,1.03,18.91,0.000,0.000,0.000,7,9,11,40,4654,0.018,13.20,0.0056,0.000,5,0.094,0.000,0.265,0.005,2.43,3.12,3.44,0.00,0.000,1.03,1.02,1.03,0.095,0.00259,53.01,0.6161,13.21,68451.1,74201.2,71.807,0.1298,25.268
30000,380,1.514,0.358,11.20,14979,14444,60,0,582,3,210066.1,3426.8,0.034,0.341,0.090,0.535,2479,10.22,2.87,0.06,0.73,0.01,0.07,0.02,0.18,10.14,2.80,0.00,0.00,0.000,0.006,77,0.284,0.216,0.771,0.000,0.013,4795,3186,3,0.497,0.087,0.011,39201,0.112,1.245,0.031,21.10,6047,0,1142.269,0.000,0.000,138319,1.02,18.07,0.000,0.000,0.000,8,10,13,33,3885,0.015,17.44,0.0054,0.000,1,0.103,0.000,0.182,0.003,2.61,3.04,4.01,0.00,0.000,1.02,1.02,1.03,0.103,0.00310,36.05,0.4439,5.30,67678.4,74201.3,88.842,0.1021,20.918
40000,384,1.585,0.387,11.26,13405,12856,33,0,512,0,200856.4,3459.8,0.011,0.361,0.064,0.564,2580,11.57,4.15,0.05,0.68,0.00,0.00,0.02,0.17,11.49,4.16,0.00,0.00,0.000,0.000,81,0.234,0.234,0.760,0.000,0.005,5642,4322,2,0.836,0.000,0.021,118759,0.070,1.324,0.035,20.13,5814,0,3459.825,0.000,0.003,160144,1.02,16.31,0.000,0.000,0.000,6,12,15,36,4441,0.017,14.85,0.0046,0.000,0,0.124,0.000,0.201,0.008,2.79,2.89,5.03,0.00,0.000,1.01,1.03,1.02,0.124,0.00312,38.58,0.4275,11.50,67169.9,74201.3,89.883,0.0809,19.994
50000,416,1.499,0.204,12.27,15597,14961,38,0,566,0,225959.6,4553.9,0.007,0.341,0.085,0.567,2250,10.18,3.93,0.01,0.13,0.01,0.11,0.07,0.94,10.09,3.53,0.00,0.00,0.000,0.005,70,0.202,0.212,0.786,0.000,0.002,6908,5104,2,0.810,0.000,0.010,80996,0.106,0.877,0.014,22.28,7347,0,4553.935,0.000,0.000,166336,1.00,17.81,0.000,0.000,0.000,6,9,14,42,4234,0.016,13.77,0.0054,0.000,3,0.121,0.000,0.222,0.016,2.55,2.80,4.42,0.00,0.000,1.00,1.00,1.00,0.121,0.00302,38.18,0.5559,8.53,70145.4,74201.2,89.217,0.1008,22.476
60000,348,1.514,0.261,11.87,13947,13414,76,0,525,0,205805.2,3231.0,0.005,0.309,0.111,0.575,2332,9.49,3.15,0.00,0.00,0.05,0.75,0.04,0.56,9.40,2.85,0.00,0.00,0.005,0.060,69,0.201,0.207,0.787,0.000,0.006,4936,2846,3,0.727,0.167,0.009,48787,0.117,1.037,0.020,20.69,6373,0,3230.967,0.000,0.000,114891,1.00,17.82,0.000,0.000,0.000,7,9,13,32,3301,0.013,17.40,0.0063,0.000,1,0.094,0.000,0.175,0.002,2.51,2.94,4.24,0.00,0.000,1.00,1.00,1.00,0.094,0.00279,31.33,0.4008,9.29,69332.6,74201.2,94.017,0.0776,20.532
70000,341,1.516,0.253,11.83,10619,10079,106,0,441,0,168817.8,2679.2,0.007,0.287,0.104,0.602,2770,10.84,3.97,0.04,0.39,0.02,0.19,0.06,0.29,10.73,3.84,0.00,0.00,0.004,0.056,74,0.205,0.202,0.774,0.000,0.023,3909,2451,2,0.757,0.000,0.044,52349,0.100,1.019,0.020,16.86,4841,0,2679.236,0.000,0.000,89721,1.01,16.59,0.000,0.000,0.000,6,12,14,42,3696,0.014,18.44,0.0046,0.000,2,0.097,0.000,0.156,0.007,2.69,2.63,5.31,0.00,0.003,1.01,1.01,1.01,0.097,0.00217,30.57,0.3399,7.09,69459.7,74201.2,97.572,0.0722,16.800
80000,405,1.619,0.253,11.67,13806,13256,51,0,435,2,205476.2,3876.0,0.007,0.311,0.084,0.597,2387,11.60,3.36,0.06,0.88,0.01,0.09,0.05,0.59,11.47,3.13,0.00,0.00,0.001,0.011,68,0.126,0.235,0.758,0.000,0.007,5878,4240,2,0.886,0.000,0.010,104366,0.091,1.041,0.020,20.56,6264,0,1937.995,0.000,0.000,141779,1.02,15.99,0.000,0.000,0.000,9,11,14,40,4696,0.018,14.04,0.0044,0.000,0,0.124,0.000,0.198,0.014,2.75,3.02,5.03,0.00,0.000,1.00,1.03,1.03,0.124,0.00260,40.86,0.4771,5.87,69306.0,74201.2,87.973,0.0896,20.456
90000,327,1.563,0.227,11.91,13290,12855,54,0,459,0,200945.7,3583.9,0.008,0.335,0.071,0.586,2448,10.42,4.08,0.00,0.06,0.01,0.11,0.10,1.14,10.30,3.73,0.00,0.00,0.000,0.005,70,0.168,0.235,0.749,0.000,0.015,5085,3896,2,0.523,0.000,0.031,71898,0.098,0.997,0.018,20.07,5953,0,3583.927,0.000,0.000,132844,1.00,16.02,0.000,0.000,0.000,5,10,14,44,3406,0.013,13.85,0.0060,0.006,0,0.109,0.000,0.186,0.011,2.86,2.37,5.80,0.00,0.000,1.00,1.00,1.00,0.109,0.00332,38.69,0.4489,7.84,69899.0,74201.2,90.826,0.0903,20.043
100000,279,1.546,0.238,11.95,12366,11947,60,0,407,3,177600.8,3419.2,0.014,0.337,0.079,0.570,2672,10.54,4.99,0.14,1.02,0.01,0.18,0.08,0.81,10.31,4.35,0.00,0.00,0.001,0.013,70,0.168,0.269,0.724,0.000,0.007,5305,3435,2,0.588,0.014,0.032,136159,0.080,0.999,0.018,17.78,5865,0,1139.733,0.000,0.000,161230,1.03,15.37,0.000,0.000,0.000,6,10,14,38,2941,0.011,13.09,0.0062,0.000,2,0.146,0.000,0.211,0.017,2.89,2.32,6.24,0.00,0.000,1.00,1.04,1.04,0.146,0.00332,52.97,0.4313,19.07,69818.2,74201.2,79.604,0.0883,17.679
