step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,2023,1.408,0.053,7.37,62791,59806,205,2,2238,1762,1105055.5,64492.6,0.018,0.391,0.561,0.030,583,7.83,2.90,0.05,1.26,0.04,0.54,0.01,0.16,7.74,2.47,0.00,0.00,0.004,0.047,104,0.404,0.220,0.774,0.000,0.006,39581,33937,2,0.587,0.000,0.001,255917,0.163,0.073,0.000,99.64,26572,167,36.602,0.500,0.000,1025533,1.01,17.25,0.000,0.000,0.000,6,7,11,64,15845,0.060,0.44,0.0071,0.000,0,0.127,0.000,0.167,0.261,2.77,2.16,5.27,0.00,0.001,1.01,1.02,1.02,0.127,0.00314,54.47,9.9905,13.40,136035.2,140065.7,9.286,3.5391,109.705
20000,1912,1.465,0.046,8.04,54174,51873,337,0,2075,12,1007951.6,12368.1,0.000,0.356,0.633,0.011,614,7.90,1.95,0.00,0.11,0.02,0.37,0.01,0.29,7.86,1.95,0.00,0.00,0.003,0.050,82,0.232,0.218,0.776,0.000,0.006,6392,3889,2,0.853,0.059,0.002,20783,0.119,0.069,0.000,101.03,15901,0,1030.673,0.000,0.001,514261,1.00,15.69,0.000,0.000,0.000,6,8,10,36,15099,0.058,0.00,0.0067,0.000,0,0.071,0.000,0.129,0.000,3.01,1.99,6.59,0.00,0.000,1.00,1.00,1.00,0.071,0.00279,54.43,1.3960,17.12,136194.9,140056.8,8.372,0.1586,100.893
30000,1830,1.442,0.040,8.98,43656,41507,511,0,1720,4,979405.6,10933.8,0.000,0.403,0.592,0.005,642,8.48,1.84,0.00,0.07,0.02,0.41,0.00,0.00,8.45,1.74,0.00,0.00,0.003,0.042,60,0.530,0.222,0.776,0.000,0.002,4842,3984,3,0.990,0.000,0.000,14710,0.106,0.060,0.000,97.50,11239,0,2733.450,0.000,0.001,596123,1.00,13.41,0.000,0.000,0.000,8,8,9,46,15512,0.059,0.00,0.0063,0.000,0,0.078,0.000,0.100,0.000,3.27,2.06,7.96,0.00,0.001,1.00,1.00,1.00,0.078,0.00325,57.28,1.2344,14.92,136437.6,140048.8,9.060,0.1411,97.381
40000,1803,1.420,0.040,8.98,40963,38779,561,0,1650,3,950092.1,10458.1,0.000,0.401,0.595,0.004,658,8.20,1.45,0.00,0.00,0.02,0.50,0.00,0.05,8.17,1.43,0.00,0.00,0.002,0.035,49,0.860,0.214,0.782,0.000,0.004,4517,4430,1,1.000,0.000,0.001,11860,0.100,0.063,0.000,95.14,10793,0,3486.023,0.000,0.000,593916,1.00,13.85,0.000,0.000,0.000,8,8,9,31,14779,0.056,0.00,0.0064,0.000,0,0.080,0.000,0.092,0.000,3.29,2.05,7.96,0.00,0.000,1.00,1.00,1.00,0.080,0.00316,57.45,1.1786,13.21,136524.9,140043.8,11.256,0.1329,95.012
50000,1720,1.431,0.043,8.98,39496,37357,552,0,1670,4,914650.0,10024.2,0.000,0.395,0.601,0.004,672,8.14,1.79,0.04,1.52,0.02,0.50,0.00,0.00,8.08,1.19,0.00,0.00,0.002,0.039,43,0.897,0.218,0.778,0.000,0.004,4150,4049,1,1.000,0.000,0.000,11505,0.104,0.071,0.000,91.57,10844,0,2506.042,0.000,0.000,566909,1.02,13.94,0.000,0.001,0.000,8,8,8,62,14006,0.053,0.00,0.0066,0.000,0,0.080,0.000,0.089,0.000,3.30,2.04,7.95,0.00,0.000,1.02,1.02,1.01,0.080,0.00312,55.74,1.1376,15.31,136602.2,140041.6,16.532,0.1349,91.445
60000,1647,1.422,0.040,8.98,37007,35052,492,0,1536,9,873164.2,9291.6,0.000,0.391,0.605,0.004,709,8.30,2.49,0.00,0.05,0.04,0.84,0.00,0.00,8.26,2.21,0.00,0.00,0.002,0.037,47,0.852,0.226,0.772,0.000,0.002,3592,3467,1,1.000,0.000,0.000,10711,0.107,0.071,0.000,87.31,10633,0,1032.395,0.000,0.000,508072,1.00,13.82,0.000,0.001,0.000,8,8,9,54,13668,0.052,0.00,0.0064,0.000,0,0.076,0.000,0.086,0.000,3.33,2.07,7.95,0.00,0.000,1.00,1.00,1.00,0.076,0.00308,53.46,1.0577,7.50,136767.0,140041.6,23.069,0.1293,87.199
70000,1579,1.404,0.042,8.98,35053,33138,492,0,1491,4,824063.4,8778.1,0.000,0.392,0.603,0.005,747,8.12,1.69,0.01,0.34,0.04,0.72,0.00,0.00,8.08,1.55,0.00,0.00,0.003,0.049,45,0.850,0.231,0.767,0.000,0.002,3363,3219,1,1.000,0.000,0.000,10852,0.102,0.090,0.000,82.32,10425,0,2194.531,0.000,0.000,470402,1.00,14.00,0.000,0.000,0.000,8,8,8,38,12828,0.049,0.00,0.0065,0.000,0,0.074,0.000,0.085,0.000,3.30,2.06,7.93,0.00,0.001,1.00,1.00,1.00,0.074,0.00305,50.61,1.0121,12.14,136889.0,140043.7,30.909,0.1337,82.196
80000,1474,1.402,0.042,8.99,33312,31606,427,0,1384,0,777065.9,8252.6,0.000,0.393,0.602,0.005,788,8.18,1.90,0.00,0.03,0.07,1.36,0.00,0.13,8.11,1.38,0.00,0.00,0.004,0.050,48,0.829,0.214,0.784,0.000,0.003,3000,2847,1,1.000,0.000,0.001,10029,0.112,0.087,0.000,77.48,10260,0,8252.561,0.000,0.000,441624,1.00,13.90,0.000,0.000,0.000,8,8,9,45,12062,0.046,0.00,0.0065,0.000,0,0.074,0.000,0.085,0.000,3.28,2.05,7.94,0.00,0.000,1.00,1.00,1.00,0.074,0.00308,47.85,0.9570,13.36,137051.5,140047.1,38.511,0.1315,77.364
90000,1367,1.439,0.041,8.98,32095,30414,383,0,1405,2,733037.1,7869.0,0.000,0.393,0.600,0.006,832,8.15,1.97,0.00,0.00,0.03,0.77,0.01,0.12,8.12,1.54,0.00,0.00,0.003,0.045,43,0.869,0.220,0.777,0.000,0.003,2825,2662,1,1.000,0.000,0.002,10176,0.114,0.085,0.000,73.00,10140,0,3934.515,0.000,0.000,410639,1.00,13.95,0.000,0.000,0.000,8,8,8,58,11143,0.043,0.00,0.0066,0.000,0,0.073,0.000,0.084,0.000,3.31,2.03,7.94,0.00,0.000,1.00,1.00,1.00,0.073,0.00314,45.21,0.9242,12.21,137189.8,140052.2,45.632,0.1374,72.876
100000,1294,1.458,0.047,8.99,30649,29056,350,0,1316,0,694306.9,7371.8,0.000,0.395,0.598,0.007,867,8.32,2.09,0.02,0.86,0.04,0.64,0.00,0.00,8.26,1.92,0.00,0.00,0.003,0.046,36,0.778,0.217,0.776,0.000,0.007,2644,2459,1,1.000,0.000,0.000,10236,0.132,0.139,0.000,68.99,9831,0,7371.828,0.000,0.001,393474,1.01,13.74,0.000,0.000,0.000,8,8,9,43,10766,0.041,0.00,0.0065,0.000,0,0.074,0.000,0.084,0.000,3.35,2.07,7.96,0.00,0.000,1.01,1.01,1.01,0.074,0.00315,42.80,0.8747,20.05,137184.9,140057.2,52.042,0.1367,68.856
