step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,40,1.617,0.140,5.03,9074,10453,0,3,83,644,98263.0,3800.2,0.148,0.602,0.103,0.146,2133,15.00,3.70,0.28,1.72,0.00,0.00,0.17,1.09,14.55,4.35,0.00,0.00,0.000,0.000,10,0.550,0.200,0.775,0.000,0.025,4816,3916,1,1.000,0.000,0.025,73242,0.165,0.464,0.003,8.42,2560,9,5.901,1.000,0.000,263569,1.09,7.75,0.000,0.000,0.000,12,14,19,22,600,0.002,3.54,0.0169,0.000,0,0.384,0.000,0.313,0.033,3.88,4.40,7.72,0.00,0.000,1.09,1.09,1.08,0.384,0.02697,37.95,0.7668,3.13,23167.5,25533.0,113.535,0.3888,10.347
20000,104,1.780,0.115,4.96,4959,4706,0,0,189,0,73205.9,1188.3,0.064,0.584,0.058,0.294,1959,14.45,4.40,0.00,0.00,0.00,0.00,0.00,0.00,14.45,4.40,0.00,0.00,0.000,0.000,14,0.798,0.308,0.692,0.000,0.000,1125,1120,1,1.000,0.000,0.000,2120,0.076,0.308,0.001,7.29,1067,0,1188.338,0.000,0.000,89914,1.00,9.94,0.000,0.000,0.000,14,14,15,31,1503,0.006,1.32,0.0049,0.019,0,0.140,0.000,0.100,0.003,4.01,3.37,7.77,0.00,0.000,1.00,1.00,1.00,0.140,0.00738,43.10,0.1996,10.47,23430.1,25533.0,111.727,0.0800,7.233
30000,104,1.516,0.147,5.03,3937,3792,1,0,144,2,66857.3,980.3,0.060,0.582,0.026,0.332,2084,13.73,4.34,0.00,0.00,0.00,0.00,0.00,0.00,13.73,4.34,0.00,0.00,0.000,0.000,14,0.442,0.163,0.837,0.000,0.000,668,667,1,1.000,0.000,0.000,967,0.083,0.507,0.004,6.75,930,0,490.148,0.000,0.000,42476,1.00,10.54,0.000,0.000,0.000,12,14,14,34,1428,0.005,7.47,0.0047,0.000,2,0.073,0.000,0.051,0.007,4.10,2.84,7.89,0.00,0.000,1.00,1.00,1.00,0.073,0.00712,21.65,0.1653,8.43,22933.7,25533.0,127.572,0.0675,6.629
40000,268,1.748,0.105,5.80,8280,7820,2,0,294,8,114816.2,2210.8,0.051,0.552,0.036,0.361,1619,13.19,6.00,0.36,2.58,0.01,0.12,0.00,0.00,12.81,5.22,0.00,0.00,0.001,0.005,36,0.362,0.209,0.784,0.000,0.007,2912,2749,1,1.000,0.000,0.000,2436,0.165,0.318,0.001,11.43,2043,0,276.354,0.000,0.000,213569,1.11,10.69,0.000,0.000,0.000,10,12,19,60,3535,0.013,2.99,0.0033,0.000,1,0.197,0.000,0.131,0.014,3.88,3.09,7.74,0.00,0.000,1.04,1.13,1.13,0.197,0.00362,39.15,0.3074,12.21,23274.4,25533.0,109.865,0.0860,11.374
50000,173,1.712,0.121,5.34,10919,10665,1,0,348,4,150186.3,3050.0,0.059,0.515,0.043,0.383,1368,12.21,7.75,0.25,1.75,0.00,0.00,0.00,0.00,11.97,6.80,0.00,0.00,0.000,0.000,24,0.601,0.237,0.751,0.000,0.012,4070,3838,1,1.000,0.000,0.000,3738,0.111,0.425,0.003,15.05,2896,0,762.497,0.000,0.000,301421,1.05,11.12,0.006,0.000,0.000,10,10,15,64,2113,0.008,4.14,0.0073,0.006,2,0.233,0.000,0.149,0.011,3.72,2.86,7.73,0.00,0.000,1.00,1.08,1.07,0.233,0.00685,46.47,0.4140,9.20,23206.5,25533.1,97.770,0.1093,14.938
60000,143,1.639,0.129,5.36,7793,7548,7,0,268,1,109008.0,1917.5,0.054,0.534,0.031,0.381,1744,12.01,6.10,0.10,1.09,0.00,0.00,0.00,0.00,11.90,5.74,0.00,0.00,0.000,0.000,20,0.587,0.245,0.748,0.000,0.007,2020,1838,1,1.000,0.000,0.000,1217,0.121,0.493,0.004,10.92,2136,0,1917.491,0.000,0.000,172290,1.02,11.47,0.000,0.000,0.000,10,10,14,58,1717,0.007,3.52,0.0064,0.000,5,0.176,0.000,0.094,0.003,3.55,2.65,7.75,0.00,0.000,1.00,1.03,1.02,0.176,0.00645,36.22,0.2862,8.31,23156.3,25533.1,112.782,0.0946,10.825
70000,120,1.746,0.131,5.27,5656,5469,9,0,201,2,84956.6,1316.9,0.057,0.549,0.022,0.372,2068,13.29,5.71,0.02,0.18,0.02,0.18,0.00,0.00,13.26,5.78,0.00,0.00,0.004,0.045,10,0.300,0.217,0.758,0.000,0.025,1452,1248,1,1.000,0.000,0.000,1142,0.105,0.510,0.005,8.51,1446,0,658.438,0.000,0.000,111190,1.01,11.70,0.000,0.000,0.000,10,11,16,37,1595,0.006,3.26,0.0053,0.025,4,0.144,0.000,0.081,0.005,3.83,2.31,7.90,0.00,0.000,1.01,1.01,1.01,0.144,0.00654,28.31,0.2079,6.30,23148.9,25533.2,123.353,0.0764,8.437
80000,164,1.516,0.199,4.98,4375,4130,13,0,188,5,63079.2,922.8,0.055,0.512,0.028,0.405,2447,8.94,5.20,0.18,1.50,0.09,0.91,0.00,0.00,8.66,3.94,0.00,0.00,0.002,0.020,20,0.299,0.238,0.756,0.000,0.006,954,865,1,1.000,0.000,0.000,671,0.133,0.735,0.010,6.43,1094,0,184.562,0.000,0.000,61116,1.05,16.12,0.000,0.000,0.000,7,8,11,46,1466,0.006,7.00,0.0044,0.000,0,0.105,0.000,0.091,0.007,2.81,2.27,5.67,0.02,0.012,1.02,1.07,1.06,0.105,0.00310,20.85,0.1535,4.65,21986.9,25533.2,129.164,0.0615,6.250
90000,151,1.476,0.133,4.99,5108,4852,9,0,260,10,72384.5,1078.9,0.050,0.524,0.026,0.401,2335,8.57,3.60,0.08,0.39,0.00,0.00,0.00,0.00,8.49,3.43,0.00,0.00,0.000,0.000,12,0.702,0.252,0.748,0.000,0.000,979,978,1,1.000,0.000,0.000,2288,0.215,0.538,0.005,7.14,1289,0,107.894,0.000,0.000,57796,1.02,14.94,0.000,0.000,0.000,7,7,11,37,1294,0.005,6.86,0.0056,0.000,2,0.082,0.000,0.107,0.007,3.03,2.39,6.30,0.00,0.000,1.00,1.02,1.05,0.082,0.00378,16.38,0.1777,5.99,23100.6,25533.2,133.058,0.0698,7.178
100000,182,1.445,0.186,5.03,8192,7819,3,0,339,0,106342.1,2041.0,0.071,0.512,0.032,0.384,1957,9.52,4.32,0.01,0.07,0.01,0.15,0.00,0.00,9.50,4.28,0.00,0.00,0.000,0.005,22,0.264,0.220,0.769,0.000,0.011,2882,2842,1,1.000,0.000,0.000,1450,0.174,0.702,0.010,10.72,1836,0,2041.029,0.000,0.000,140520,1.01,15.78,0.000,0.000,0.000,7,10,11,40,1732,0.007,6.41,0.0062,0.000,0,0.139,0.000,0.250,0.007,2.91,2.60,5.51,0.00,0.000,1.01,1.01,1.01,0.139,0.00436,16.46,0.2600,3.47,22192.2,25533.2,129.852,0.0561,10.569
