step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,1914,1.448,0.079,2.24,79518,76218,53,2,2827,1411,1098860.0,70984.9,0.017,0.361,0.203,0.420,672,8.67,4.16,0.00,0.11,0.02,0.67,0.02,0.58,8.62,4.12,0.00,0.00,0.002,0.040,54,0.545,0.260,0.732,0.000,0.007,47207,41968,1,1.000,0.000,0.001,293905,0.191,0.108,0.000,98.48,18063,18,50.308,1.000,0.000,1770713,1.00,14.90,0.004,0.000,0.000,8,8,10,64,16587,0.063,0.39,0.0067,0.000,0,0.246,0.000,0.221,0.211,3.25,1.84,7.80,0.00,0.000,1.00,1.00,1.00,0.247,0.00293,55.14,10.9054,31.71,135816.7,140219.4,9.825,3.7939,108.268
20000,1920,1.496,0.061,7.95,69318,66979,37,0,2296,1,934225.9,17464.8,0.001,0.377,0.158,0.463,731,8.16,2.69,0.11,1.73,0.01,0.15,0.01,0.36,8.03,1.98,0.00,0.00,0.001,0.023,100,0.606,0.247,0.749,0.000,0.004,18157,16224,1,0.133,0.867,0.003,38466,0.255,0.081,0.000,93.62,10265,0,17464.795,0.000,0.000,1447922,1.03,14.60,0.001,0.000,0.000,6,8,11,64,15658,0.060,0.00,0.0061,0.000,0,0.205,0.000,0.193,0.001,2.94,1.28,7.74,0.00,0.001,1.01,1.04,1.05,0.205,0.00242,53.98,2.0128,20.79,136023.1,140213.5,16.247,0.2667,93.371
30000,2019,1.458,0.056,8.67,52934,51531,296,0,1008,0,1024326.9,13221.7,0.000,0.443,0.373,0.184,691,8.15,2.82,0.12,1.81,0.00,0.00,0.04,0.77,7.98,1.78,0.00,0.00,0.000,0.000,84,0.719,0.254,0.744,0.000,0.002,12788,10719,1,1.000,0.000,0.004,39345,0.142,0.071,0.000,103.31,16663,0,13221.680,0.000,0.000,1033420,1.03,14.36,0.000,0.000,0.000,7,8,8,58,16455,0.063,0.00,0.0064,0.000,0,0.115,0.000,0.157,0.001,2.89,1.17,7.83,0.00,0.000,1.00,1.04,1.05,0.115,0.00314,54.35,1.4804,12.16,136026.8,140208.5,6.184,0.1588,103.150
40000,2055,1.450,0.053,8.89,52184,50641,326,0,1181,0,1027323.4,12275.9,0.000,0.433,0.396,0.171,673,7.65,2.44,0.08,1.43,0.01,0.22,0.00,0.02,7.56,1.77,0.00,0.00,0.000,0.008,109,0.482,0.250,0.745,0.000,0.005,12407,9459,1,0.988,0.012,0.000,34921,0.147,0.069,0.000,104.12,17490,0,12275.902,0.000,0.000,1041587,1.03,15.17,0.000,0.000,0.000,6,8,8,64,15724,0.060,0.00,0.0066,0.000,0,0.116,0.000,0.149,0.000,2.87,1.13,7.78,0.00,0.000,1.00,1.03,1.04,0.116,0.00298,55.03,1.3763,13.34,136040.8,140202.7,4.690,0.1484,103.976
50000,2077,1.381,0.053,8.96,53940,52032,287,0,1599,0,1021604.4,12067.1,0.000,0.433,0.404,0.163,653,7.29,2.63,0.15,1.76,0.00,0.00,0.03,0.60,7.11,1.66,0.00,0.00,0.000,0.000,110,0.391,0.235,0.760,0.000,0.005,12369,7106,1,1.000,0.000,0.003,33423,0.154,0.069,0.000,103.85,16476,0,12067.078,0.000,0.000,1106713,1.05,15.91,0.000,0.000,0.000,6,7,8,52,15149,0.058,0.00,0.0069,0.000,0,0.121,0.000,0.139,0.000,2.85,1.13,7.76,0.00,0.000,1.02,1.06,1.08,0.121,0.00285,55.47,1.3575,16.60,136151.8,140196.0,4.521,0.1502,103.708
60000,2116,1.367,0.053,8.98,55659,53497,312,0,1811,0,1018241.9,11768.5,0.000,0.431,0.440,0.129,659,6.89,2.30,0.13,1.33,0.00,0.00,0.02,0.39,6.74,1.64,0.00,0.00,0.000,0.000,107,0.413,0.241,0.755,0.000,0.004,12401,7046,1,1.000,0.000,0.002,28024,0.164,0.070,0.000,103.12,17427,0,11768.535,0.000,0.000,1261392,1.04,16.67,0.000,0.000,0.000,6,7,8,46,14577,0.056,0.00,0.0071,0.000,0,0.136,0.000,0.134,0.000,2.85,1.13,7.74,0.00,0.000,1.01,1.04,1.08,0.136,0.00263,55.92,1.3273,13.59,136140.9,140189.1,4.793,0.1506,102.973
70000,2144,1.370,0.051,8.99,57044,54989,273,0,1754,0,1010175.9,11446.3,0.000,0.424,0.474,0.102,657,6.83,2.05,0.13,1.31,0.00,0.00,0.00,0.17,6.69,1.51,0.00,0.00,0.000,0.000,94,0.382,0.244,0.750,0.000,0.005,11819,7036,1,1.000,0.000,0.001,20186,0.175,0.068,0.000,102.17,17527,0,11446.263,0.000,0.000,1347929,1.05,16.76,0.000,0.000,0.000,6,7,8,45,14636,0.056,0.00,0.0070,0.000,0,0.147,0.000,0.132,0.000,2.87,1.12,7.72,0.00,0.000,1.01,1.05,1.08,0.147,0.00246,56.11,1.2890,12.84,136123.2,140182.4,5.550,0.1442,102.029
80000,2109,1.392,0.052,8.99,56945,55003,295,0,1682,0,1006265.5,11171.3,0.000,0.415,0.489,0.096,657,6.70,2.07,0.10,0.95,0.00,0.00,0.01,0.28,6.59,1.76,0.00,0.00,0.000,0.000,87,0.442,0.247,0.748,0.000,0.005,11284,6968,1,1.000,0.000,0.001,20601,0.155,0.072,0.000,101.71,17720,0,11171.326,0.000,0.000,1332540,1.03,16.97,0.000,0.000,0.000,6,6,8,55,14121,0.054,0.00,0.0072,0.000,0,0.148,0.000,0.131,0.000,2.84,1.11,7.70,0.00,0.000,1.01,1.03,1.07,0.148,0.00242,56.07,1.2574,11.40,136103.3,140176.4,6.058,0.1402,101.572
90000,2136,1.354,0.051,8.98,57040,55050,275,0,1688,2,1004226.3,11108.0,0.000,0.411,0.494,0.095,655,6.83,2.56,0.15,1.58,0.00,0.00,0.01,0.32,6.67,1.59,0.00,0.00,0.000,0.000,101,0.461,0.250,0.745,0.000,0.004,11392,6635,1,1.000,0.000,0.000,18294,0.178,0.069,0.000,101.41,18287,0,5554.025,0.000,0.000,1313101,1.05,16.80,0.000,0.000,0.000,6,6,8,61,14580,0.056,0.00,0.0070,0.000,0,0.147,0.000,0.129,0.000,2.86,1.12,7.78,0.00,0.000,1.01,1.05,1.08,0.147,0.00235,55.97,1.2512,11.64,136152.7,140170.9,6.463,0.1401,101.272
100000,2102,1.372,0.054,8.97,57223,55273,271,0,1713,0,1001731.7,11259.8,0.000,0.409,0.494,0.097,644,6.61,2.25,0.11,1.25,0.00,0.00,0.00,0.00,6.50,1.68,0.00,0.00,0.000,0.000,92,0.497,0.252,0.743,0.000,0.005,11421,6764,1,1.000,0.000,0.000,17686,0.178,0.072,0.000,101.03,18286,0,11259.803,0.000,0.000,1311197,1.04,17.12,0.000,0.000,0.000,6,6,8,49,13888,0.053,0.00,0.0073,0.000,0,0.148,0.000,0.129,0.000,2.85,1.10,7.71,0.00,0.000,1.01,1.04,1.06,0.148,0.00237,55.94,1.2699,12.13,136115.6,140166.3,6.870,0.1437,100.886
