step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
10000,8,430,9.71,0.10,0.04,0.00,9.57,0.00,1.03,0.000,0.055,265203.8,13163.2,3,1,2.87,1.03,1.04,1.7537,8.16,19320.1,15.4983,24.5053,4756
10000,1,23,11.96,0.13,0.13,0.17,11.52,0.00,1.15,0.000,0.178,14009.7,772.9,1,4,3.13,1.15,1.15,0.0952,2.15,221.7,20.3568,1.4559,95
10000,0,4,14.25,0.00,0.00,0.75,13.50,0.00,1.00,0.000,0.000,44278.6,13608.9,2,3,4.00,1.00,1.00,2.0762,4.42,51328.2,0.0000,0.0000,11533
20000,8,320,10.27,0.27,0.25,0.00,9.76,0.00,1.08,0.000,0.043,197403.1,3390.1,3,2,2.78,1.06,1.09,0.4239,7.29,18085.1,32.4711,19.7258,4760
20000,1,17,10.35,0.00,0.00,0.00,10.35,0.00,1.00,0.000,0.105,10153.2,480.6,1,1,2.71,1.00,1.00,0.0548,0.15,297.3,33.1482,1.1265,98
20000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1164.8,52.9,0,0,-0.00,-0.00,-0.00,0.0173,1.08,52378.7,0.0000,0.0000,11526
30000,8,340,9.83,0.06,0.02,0.00,9.74,0.00,1.03,0.000,0.043,182532.5,3029.3,5,0,2.81,1.05,1.06,0.3860,9.98,17384.2,34.5965,18.2316,4802
30000,1,36,11.00,0.36,0.00,0.00,10.64,0.00,1.11,0.000,0.243,13816.5,613.4,1,0,2.58,1.05,1.16,0.0718,0.92,276.7,22.7148,1.4459,98
30000,0,7,8.43,0.00,0.00,0.00,8.43,0.00,1.00,0.000,0.000,2378.6,177.7,2,7,3.00,1.00,1.00,0.0369,1.51,54359.3,0.0000,0.0000,11484
40000,8,473,10.05,0.05,0.04,0.04,9.92,0.00,1.02,0.000,0.066,222636.1,3584.5,5,0,2.78,1.02,1.02,0.4403,6.69,19409.9,22.6138,22.2095,4498
40000,1,26,14.00,0.31,0.00,0.00,13.69,0.00,1.05,0.000,0.243,17439.0,817.8,2,1,3.08,1.00,1.13,0.0942,1.77,329.2,16.1458,1.8107,98
40000,0,7,16.43,4.57,0.00,0.00,11.86,0.00,2.11,0.000,0.001,1526.7,152.4,3,4,2.71,1.34,2.47,0.0355,2.11,52580.3,0.0000,0.0000,11788
50000,8,522,9.52,0.02,0.08,0.02,9.40,0.00,1.00,0.000,0.067,262829.4,4310.2,3,14,2.64,1.00,1.01,0.5107,7.57,18886.3,11.3616,26.1623,4654
50000,1,27,13.30,0.00,0.00,0.00,13.30,0.00,1.00,0.000,0.268,15510.0,715.1,1,6,3.19,1.00,1.00,0.0853,1.27,400.0,16.1361,1.6337,82
50000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1114.4,89.2,0,0,-0.00,-0.00,-0.00,0.0218,0.56,53148.9,0.0000,0.0000,11648
