step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
110000,0,3,8.67,0.00,0.00,0.00,8.67,0.00,1.00,0.000,0.000,569.4,8.3,1,3,2.67,1.00,1.00,0.0085,0.82,93904.7,0.0000,0.0000,11484
120000,8,431,10.35,0.00,0.02,0.07,10.26,0.00,1.00,0.000,0.058,247467.2,3995.9,2,0,2.57,1.00,1.00,0.4763,4.46,33643.8,18.7310,24.7525,4802
120000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,597.9,51.6408,0.1803,98
120000,0,2,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,548.2,8.0,1,2,2.50,1.00,1.00,0.0077,0.83,95932.7,0.0000,0.0000,11484
130000,8,440,11.25,0.00,0.03,0.11,11.11,0.00,1.00,0.000,0.065,244945.1,3867.4,2,4,2.60,1.00,1.00,0.4611,8.45,35813.4,20.0096,24.4342,4754
130000,1,7,10.29,0.00,0.00,0.00,10.29,0.00,1.00,0.000,0.046,9634.4,485.8,1,0,2.71,1.00,1.00,0.0585,0.48,336.1,20.9909,0.9979,97
130000,0,3,9.33,0.00,0.00,0.00,9.33,0.00,1.00,0.000,0.000,5492.9,1773.6,1,3,2.67,1.00,1.00,0.2359,0.78,98903.7,0.0000,0.0000,11533
140000,8,492,12.09,0.01,0.02,0.06,11.99,0.00,1.00,0.000,0.077,268579.2,4132.9,2,0,2.77,1.01,1.00,0.4893,5.53,35817.6,12.3750,26.8154,4802
140000,1,1,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.013,3370.2,72.8,1,0,2.00,1.00,1.00,0.0098,0.00,202.1,45.5988,0.4129,98
140000,0,8,10.62,0.00,0.00,0.00,10.62,0.00,1.00,0.000,0.000,717.4,18.6,1,4,2.25,1.00,1.00,0.0099,0.43,98447.7,0.0000,0.0000,11484
150000,8,544,12.55,0.00,0.07,0.05,12.42,0.00,1.00,0.000,0.089,309160.3,5232.1,3,0,2.68,1.00,1.00,0.6139,7.98,40143.8,3.8853,30.7708,4802
150000,1,25,7.64,0.00,0.00,0.00,7.64,0.00,1.00,0.000,0.120,9401.4,850.8,0,0,2.40,1.00,1.00,0.1035,1.33,734.9,34.8319,1.0836,98
150000,0,6,5.00,0.00,0.00,0.00,5.00,0.00,1.00,0.000,0.000,4737.5,795.4,1,6,1.83,1.00,1.00,0.1183,1.14,96422.0,0.0000,0.0000,11484
160000,8,542,12.62,0.00,0.00,0.02,12.59,0.00,1.00,0.000,0.089,318646.3,5661.3,4,0,2.74,1.00,1.00,0.6534,9.61,37824.1,2.8035,31.7114,4789
160000,1,27,6.70,0.52,0.00,0.00,6.19,0.00,1.22,0.000,0.119,12064.5,393.3,1,1,2.44,1.00,1.44,0.0468,0.77,1118.9,21.6021,1.3070,97
160000,0,6,6.50,0.00,0.00,0.00,6.50,0.00,1.00,0.000,0.000,1857.6,138.8,1,5,2.83,1.00,1.00,0.0321,0.83,98804.1,0.0000,0.0000,11498
170000,8,528,11.99,0.01,0.03,0.05,11.90,0.00,1.00,0.000,0.083,316115.2,5635.0,6,0,2.61,1.00,1.00,0.6560,10.00,30381.7,4.2627,31.4573,4781
170000,1,30,11.50,0.50,0.13,0.10,10.77,0.00,1.27,0.000,0.224,20190.9,1520.0,3,2,3.17,1.19,1.27,0.1794,2.02,715.6,7.3465,2.1135,98
170000,0,5,11.60,1.00,0.00,0.00,10.60,0.00,1.35,0.000,0.000,1832.6,218.8,3,5,3.40,1.00,1.45,0.0450,2.66,107224.2,0.0000,0.0000,11505
180000,8,480,11.39,0.01,0.04,0.00,11.35,0.00,1.00,0.000,0.071,299376.7,5115.9,7,2,2.50,1.00,1.01,0.6008,9.12,34271.6,8.6011,29.7957,4769
180000,1,5,26.00,0.00,0.00,0.00,26.00,0.00,1.00,0.000,0.095,13641.9,1040.1,1,1,4.80,1.00,1.00,0.1224,1.05,486.1,16.3417,1.5482,96
180000,0,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,875.3,108.3,1,1,4.00,1.00,1.00,0.0234,1.40,102506.9,0.0000,0.0000,11519
