step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,539,1.484,0.221,5.91,26883,26921,0,0,906,1621,436924.9,58624.3,0.053,0.372,0.368,0.207,1634,9.42,3.27,0.09,1.47,0.00,0.00,0.00,0.04,9.32,2.77,0.00,0.00,0.000,0.000,25,0.889,0.232,0.757,0.002,0.009,40512,38120,1,1.000,0.000,0.002,575882,0.136,1.021,0.022,30.68,14945,0,36.166,0.000,0.002,608874,1.02,17.58,0.000,0.000,0.000,9,9,9,46,5078,0.019,3.54,0.0087,0.015,12,0.296,0.000,0.396,0.462,2.67,3.07,4.15,0.00,0.000,1.01,1.03,1.02,0.297,0.00619,101.05,9.4860,14.11,135547.9,140073.8,28.172,3.6233,40.609
20000,484,1.479,0.194,6.00,21228,20488,4,0,791,7,264703.3,5939.2,0.004,0.293,0.501,0.202,2412,9.39,2.79,0.14,1.47,0.05,0.63,0.05,0.55,9.16,1.96,0.00,0.00,0.002,0.022,33,0.839,0.252,0.740,0.000,0.008,11505,11503,2,0.965,0.000,0.008,20841,0.141,0.945,0.019,26.41,3881,0,848.462,0.000,0.000,222298,1.05,17.62,0.000,0.000,0.000,9,9,9,39,4546,0.017,1.09,0.0060,0.006,3,0.145,0.000,0.337,0.025,2.76,3.10,4.12,0.01,0.004,1.04,1.07,1.05,0.145,0.00237,107.86,0.7205,14.89,136090.0,140073.3,28.082,0.1265,26.334
30000,480,1.423,0.174,6.00,21911,21104,9,0,802,16,268429.7,6123.4,0.014,0.273,0.507,0.206,2369,9.45,3.91,0.19,1.82,0.02,0.46,0.13,2.07,9.10,2.16,0.00,0.00,0.001,0.015,30,0.829,0.237,0.758,0.000,0.004,12227,12212,2,0.967,0.000,0.006,20047,0.144,0.886,0.017,26.78,4413,0,382.713,0.000,0.004,194170,1.06,17.74,0.000,0.000,0.000,8,9,9,56,4536,0.017,1.05,0.0061,0.000,3,0.136,0.000,0.353,0.024,2.72,3.16,3.99,0.00,0.002,1.03,1.07,1.07,0.136,0.00227,113.70,0.7375,10.40,136451.9,140072.9,21.913,0.1257,26.688
40000,554,1.366,0.143,6.06,22874,21958,6,0,836,10,281444.9,6276.4,0.019,0.269,0.504,0.207,2260,9.31,3.59,0.22,1.99,0.00,0.00,0.03,0.60,9.06,2.45,0.00,0.00,0.000,0.000,29,0.778,0.224,0.771,0.000,0.005,12780,12735,2,0.978,0.000,0.004,20981,0.150,0.765,0.012,28.03,4957,0,627.642,0.000,0.002,210557,1.07,17.68,0.000,0.000,0.000,8,9,9,56,5158,0.020,0.55,0.0056,0.000,6,0.141,0.000,0.357,0.024,2.70,3.14,4.04,0.00,0.000,1.05,1.08,1.08,0.141,0.00204,114.80,0.7506,12.79,136873.0,140072.5,20.055,0.1227,27.954
50000,585,1.461,0.132,6.02,24187,23172,8,0,976,6,296993.2,6916.2,0.010,0.260,0.514,0.217,2143,9.34,4.07,0.18,1.56,0.03,0.47,0.06,0.88,9.06,2.73,0.00,0.04,0.001,0.020,39,0.614,0.241,0.752,0.000,0.007,14331,14244,1,1.000,0.000,0.012,24584,0.149,0.694,0.010,29.62,5332,0,1152.704,0.000,0.000,247431,1.05,17.44,0.000,0.000,0.002,8,9,9,54,5462,0.021,0.60,0.0056,0.036,0,0.161,0.000,0.373,0.029,2.69,3.21,4.11,0.01,0.007,1.04,1.04,1.05,0.161,0.00191,120.33,0.8118,14.86,136945.1,140072.2,12.888,0.1200,29.505
60000,510,1.483,0.120,6.40,23956,23093,7,0,931,20,286772.3,6840.6,0.002,0.284,0.498,0.217,2187,9.08,3.11,0.09,0.84,0.00,0.00,0.11,1.82,8.88,1.72,0.00,0.00,0.000,0.000,36,0.624,0.227,0.765,0.000,0.008,14053,14008,1,1.000,0.000,0.008,37043,0.137,0.652,0.009,28.61,5310,0,342.029,0.000,0.002,307466,1.03,17.69,0.000,0.000,0.000,7,9,10,62,4632,0.018,0.71,0.0063,0.027,3,0.187,0.000,0.382,0.031,2.70,3.12,4.05,0.00,0.000,1.02,1.04,1.03,0.187,0.00223,120.80,0.8027,9.71,137250.0,140072.0,13.315,0.1193,28.519
70000,499,1.374,0.112,6.65,20838,20015,12,0,822,5,253973.1,5791.8,0.003,0.267,0.547,0.184,2362,9.18,3.31,0.19,2.33,0.00,0.00,0.02,0.23,8.98,2.43,0.00,0.00,0.000,0.000,41,0.671,0.234,0.758,0.000,0.008,11061,10961,1,1.000,0.000,0.006,27637,0.134,0.631,0.008,25.37,5291,0,1158.370,0.000,0.000,233766,1.06,17.63,0.000,0.000,0.000,8,9,9,43,4583,0.017,0.71,0.0057,0.034,3,0.171,0.000,0.353,0.024,2.72,3.11,4.09,0.00,0.000,1.05,1.06,1.06,0.171,0.00195,110.80,0.6857,8.20,137455.1,140071.6,26.561,0.1067,25.282
80000,473,1.469,0.103,7.00,21013,20191,9,0,839,2,256456.1,5681.1,0.006,0.254,0.538,0.202,2336,9.26,3.03,0.23,1.90,0.01,0.14,0.03,0.43,8.99,1.52,0.00,0.00,0.000,0.003,29,0.721,0.186,0.803,0.000,0.011,11453,11335,1,0.968,0.032,0.011,28183,0.131,0.573,0.007,25.63,5529,0,2840.562,0.000,0.000,240779,1.07,17.47,0.000,0.000,0.000,8,9,10,54,4381,0.017,0.89,0.0060,0.025,2,0.180,0.000,0.350,0.026,2.76,3.12,4.19,0.00,0.000,1.03,1.08,1.08,0.180,0.00196,112.11,0.6818,10.32,137598.9,140071.3,24.805,0.1134,25.533
90000,493,1.429,0.092,7.05,21037,20189,23,0,805,18,274638.6,5802.1,0.002,0.264,0.504,0.229,2234,9.41,2.35,0.08,0.84,0.00,0.00,0.01,0.22,9.32,2.04,0.00,0.00,0.000,0.000,38,0.698,0.209,0.787,0.000,0.004,11611,11315,1,1.000,0.000,0.002,23694,0.131,0.507,0.005,27.40,5532,0,322.336,0.000,0.002,242205,1.03,17.33,0.000,0.000,0.000,9,9,10,27,4639,0.018,1.05,0.0060,0.010,1,0.167,0.000,0.330,0.024,2.78,3.26,4.10,0.00,0.000,1.01,1.03,1.03,0.167,0.00215,110.22,0.6947,10.41,137770.7,140070.9,24.765,0.1146,27.304
100000,512,1.453,0.085,7.01,20378,19503,30,0,826,24,269361.4,5701.6,0.003,0.273,0.499,0.226,2247,9.47,3.37,0.24,2.45,0.00,0.00,0.01,0.19,9.21,2.38,0.00,0.00,0.000,0.000,40,0.502,0.191,0.797,0.000,0.012,11117,10983,1,1.000,0.000,0.004,19272,0.133,0.472,0.005,26.90,5603,0,237.568,0.000,0.000,219605,1.08,17.18,0.000,0.000,0.000,7,9,10,43,4847,0.018,0.69,0.0057,0.000,10,0.151,0.000,0.320,0.024,2.73,3.35,4.10,0.00,0.000,1.08,1.10,1.07,0.151,0.00214,108.40,0.6875,11.93,137836.7,140070.5,27.440,0.1174,26.793
