step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent
10000,2170,1.443,0.047,8.31,48065,44536,796,4,2064,1609,1148938.6,64697.4,0.016,0.590,0.292,0.103,682,7.09,2.23,0.03,0.53,0.01,0.33,0.02,0.49,7.02,1.94,0.00,0.00,0.001,0.020,78,0.306,0.208,0.787,0.000,0.005,39823,33519,1,0.465,0.535,0.005,622071,0.153,0.060,0.000,104.35,20824,9,40.210,1.000,0.000,1121238,1.01,16.99,0.000,0.001,0.000,6,7,8,47,15377,0.059,0.43,0.0075,0.000,0,0.092,0.000,0.172,0.313,2.59,1.59,5.93,0.00,0.000,1.00,1.01,1.02,0.092,0.00433,53.63,10.1102,22.19,136000.5,140213.5,5.428,3.6410,114.309
20000,2041,1.496,0.044,8.01,30659,27439,2113,0,1236,25,1055800.6,10023.6,0.000,0.557,0.425,0.018,723,7.84,1.58,0.04,0.73,0.01,0.27,0.00,0.09,7.79,1.18,0.00,0.00,0.001,0.020,52,0.630,0.216,0.784,0.000,0.000,5552,4085,2,0.967,0.006,0.001,60524,0.068,0.056,0.000,106.72,8399,0,400.944,0.000,0.000,382744,1.01,16.11,0.000,0.000,0.000,7,8,8,37,16001,0.061,0.00,0.0066,0.000,0,0.033,0.000,0.140,0.000,2.86,2.05,5.90,0.00,0.001,1.00,1.01,1.01,0.033,0.00418,54.97,1.1343,17.40,136107.8,140205.0,2.152,0.1324,106.598
30000,2049,1.453,0.043,8.00,29139,25818,2245,0,1068,20,1052280.6,9735.0,0.001,0.561,0.423,0.015,722,7.73,1.46,0.03,0.56,0.01,0.23,0.00,0.11,7.69,1.08,0.00,0.00,0.001,0.011,58,0.482,0.220,0.778,0.000,0.001,5265,4983,2,0.999,0.000,0.001,37644,0.084,0.052,0.000,106.15,8242,0,486.748,0.000,0.000,349269,1.01,15.99,0.000,0.000,0.000,7,8,8,40,15838,0.060,0.00,0.0067,0.000,0,0.030,0.000,0.137,0.000,2.83,2.03,5.99,0.00,0.000,1.00,1.01,1.01,0.030,0.00424,55.64,1.1030,14.79,136200.3,140196.1,2.041,0.1297,106.035
40000,2076,1.469,0.042,8.04,30193,26896,2210,0,1060,22,1052004.8,9832.3,0.001,0.566,0.418,0.015,714,7.79,2.06,0.07,1.22,0.04,0.75,0.02,0.45,7.66,1.40,0.00,0.00,0.002,0.038,62,0.335,0.203,0.791,0.000,0.006,5552,5204,1,1.000,0.000,0.004,45606,0.083,0.049,0.000,106.25,9303,0,446.924,0.000,0.000,402518,1.02,15.77,0.000,0.000,0.000,7,8,9,42,16178,0.062,0.00,0.0066,0.000,0,0.034,0.000,0.145,0.000,2.87,2.05,6.07,0.00,0.000,1.02,1.02,1.02,0.034,0.00417,55.54,1.1118,9.33,136121.6,140186.4,2.059,0.1291,106.110
50000,2137,1.399,0.042,8.70,34621,31463,1814,0,1283,32,1050790.1,10080.0,0.001,0.534,0.453,0.013,676,7.30,1.61,0.04,0.49,0.04,0.80,0.02,0.58,7.20,1.28,0.00,0.00,0.003,0.044,76,0.655,0.211,0.783,0.000,0.006,6260,5433,1,1.000,0.000,0.002,50881,0.086,0.050,0.000,106.20,11031,0,315.000,0.000,0.000,450966,1.01,15.98,0.000,0.000,0.000,7,7,8,32,15607,0.060,0.00,0.0068,0.000,0,0.040,0.000,0.146,0.000,2.76,2.07,5.97,0.00,0.000,1.01,1.02,1.01,0.040,0.00376,55.38,1.1360,8.15,136179.4,140175.2,2.262,0.1281,106.074
60000,2132,1.383,0.042,8.97,40705,37911,1361,0,1438,56,1048090.2,10336.4,0.001,0.468,0.521,0.009,669,7.26,1.85,0.05,0.73,0.07,0.81,0.01,0.29,7.14,1.31,0.00,0.00,0.005,0.049,74,0.690,0.221,0.774,0.000,0.005,6494,6018,1,1.000,0.000,0.002,38277,0.103,0.054,0.000,105.83,11305,0,184.578,0.000,0.000,489080,1.01,15.98,0.000,0.000,0.000,6,7,8,38,15479,0.059,0.00,0.0069,0.000,0,0.049,0.000,0.135,0.000,2.78,2.05,6.02,0.01,0.002,1.01,1.02,1.02,0.049,0.00324,55.17,1.1594,14.07,136224.9,140162.6,2.845,0.1254,105.710
70000,2141,1.336,0.042,8.98,41658,38909,1293,0,1447,53,1045279.9,10417.8,0.001,0.458,0.532,0.008,659,7.21,1.39,0.02,0.35,0.03,0.36,0.01,0.38,7.15,1.22,0.00,0.00,0.004,0.039,80,0.614,0.238,0.758,0.000,0.004,6775,5991,1,1.000,0.000,0.002,41336,0.101,0.053,0.000,105.59,12297,0,196.563,0.000,0.000,490308,1.01,15.94,0.000,0.001,0.000,6,7,8,30,15447,0.059,0.00,0.0068,0.000,0,0.050,0.000,0.131,0.000,2.74,2.00,6.14,0.00,0.001,1.00,1.01,1.01,0.050,0.00315,55.16,1.1644,10.59,136296.5,140150.3,3.089,0.1232,105.472
80000,2097,1.390,0.042,8.98,41726,39034,1275,0,1461,69,1040455.9,10457.6,0.001,0.456,0.535,0.008,659,7.44,1.82,0.04,0.45,0.09,1.03,0.01,0.25,7.30,1.46,0.00,0.00,0.007,0.058,96,0.474,0.225,0.770,0.000,0.006,6497,4903,1,1.000,0.000,0.002,48365,0.092,0.055,0.000,105.22,13644,0,151.560,0.000,0.000,496730,1.01,15.55,0.000,0.001,0.000,6,7,9,33,15598,0.060,0.00,0.0068,0.000,0,0.051,0.000,0.129,0.000,2.81,1.98,6.40,0.00,0.001,1.01,1.02,1.02,0.051,0.00322,55.29,1.1702,13.04,136217.6,140139.0,3.330,0.1246,105.089
90000,2071,1.377,0.041,8.99,42011,39443,1187,0,1407,67,1035255.1,10530.1,0.001,0.453,0.538,0.007,652,7.71,1.51,0.02,0.33,0.04,0.59,0.02,0.37,7.62,1.31,0.00,0.00,0.004,0.039,100,0.310,0.228,0.767,0.000,0.005,6915,4155,1,1.000,0.000,0.006,65684,0.082,0.053,0.000,104.64,14488,0,157.165,0.000,0.000,494298,1.01,14.93,0.000,0.000,0.000,7,8,9,33,15959,0.061,0.00,0.0066,0.000,0,0.052,0.000,0.128,0.000,2.88,1.93,6.80,0.00,0.000,1.01,1.01,1.01,0.052,0.00329,55.71,1.1748,8.92,136280.8,140128.7,3.485,0.1225,104.529
100000,2025,1.408,0.042,8.99,41997,39439,1111,0,1493,33,1031811.4,10693.6,0.001,0.453,0.539,0.007,643,7.95,1.69,0.03,0.40,0.07,0.77,0.02,0.38,7.84,1.46,0.00,0.00,0.006,0.048,100,0.208,0.233,0.761,0.000,0.006,6906,3075,1,1.000,0.000,0.003,83086,0.078,0.053,0.000,104.11,14851,0,324.048,0.000,0.000,493088,1.01,14.53,0.000,0.002,0.000,7,8,9,31,16103,0.061,0.00,0.0065,0.000,0,0.053,0.000,0.129,0.000,2.94,1.87,7.06,0.00,0.001,1.00,1.01,1.01,0.053,0.00342,56.06,1.1938,10.49,136259.9,140119.0,3.673,0.1245,103.980
