step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side
5000,2,184,13.1,0.4,0.1,0.1,12.6,0.0,1.08,15.4,51,173,12.65,0.44,171,10,3,0.0,1.03,1.12,1.09,2.99,3.18,5.14
6000,2,189,9.9,0.3,0.0,0.0,9.7,0.0,1.09,17.6,42,236,14.80,0.36,189,0,0,0.0,1.04,1.10,1.11,2.78,2.80,4.47
7000,2,160,10.6,0.5,0.0,0.1,10.0,0.0,1.15,16.9,39,268,16.89,0.38,158,0,2,0.0,1.08,1.19,1.18,2.85,2.78,4.87
8000,2,168,9.1,0.2,0.0,0.0,8.9,0.0,1.08,17.9,45,237,14.37,0.36,157,10,1,0.0,1.04,1.08,1.10,2.64,2.46,4.64
9000,20,280,9.1,0.0,0.0,0.0,9.0,0.0,1.00,18.6,41,470,27.36,0.59,275,0,5,0.0,1.00,1.00,1.00,2.52,3.11,3.62
9000,2,72,8.4,0.3,0.1,0.1,7.9,0.0,1.13,19.4,19,224,13.40,0.26,71,1,0,0.0,1.06,1.14,1.17,2.36,2.38,4.04
10000,20,276,9.2,0.0,0.1,0.0,9.1,0.0,1.00,18.9,33,556,32.65,0.74,275,0,1,0.0,1.00,1.00,1.00,2.37,3.13,3.45
10000,2,69,8.4,0.2,0.0,0.0,8.2,0.0,1.01,19.7,13,251,14.59,0.33,59,9,1,0.0,1.01,1.01,1.02,2.71,2.30,3.86
11000,20,273,9.1,0.1,0.0,0.0,9.0,0.0,1.02,19.3,35,595,34.99,0.81,272,0,1,0.0,1.02,1.01,1.02,2.40,3.05,3.33
11000,2,100,10.4,0.8,0.4,0.4,8.8,0.0,1.20,17.8,33,180,10.49,0.27,82,15,3,0.0,1.01,1.27,1.27,2.88,2.61,4.57
12000,20,266,9.4,0.0,0.0,0.0,9.4,0.0,1.01,19.0,33,551,32.01,0.67,265,0,1,0.0,1.01,1.01,1.01,2.46,3.13,3.38
12000,2,56,7.6,0.1,0.0,0.0,7.5,0.0,1.05,19.9,15,202,11.36,0.35,54,0,2,0.0,1.02,1.06,1.07,2.25,2.32,3.77
13000,20,285,10.1,0.1,0.0,0.1,9.8,0.0,1.05,18.6,51,528,31.22,0.69,285,0,0,0.0,1.05,1.04,1.05,2.36,3.24,3.48
13000,24,49,12.9,0.0,0.0,0.0,12.9,0.0,1.01,12.2,9,265,17.81,0.40,49,0,0,0.0,1.00,1.01,1.01,3.73,2.04,7.88
13000,2,33,8.1,0.1,0.0,0.0,8.0,0.0,1.02,17.5,9,238,14.25,0.21,33,0,0,0.0,1.00,1.02,1.05,3.09,1.85,5.39
14000,20,264,9.8,0.1,0.0,0.0,9.7,0.0,1.02,19.1,32,612,36.54,0.90,262,0,2,0.0,1.02,1.01,1.02,2.59,3.15,3.31
14000,24,63,12.1,0.3,0.0,0.0,11.9,0.0,1.13,12.8,15,257,17.44,0.35,63,0,0,0.0,1.07,1.12,1.19,3.54,2.02,7.63
14000,2,12,11.8,0.0,0.0,0.0,11.8,0.0,1.00,12.5,6,146,11.62,0.31,12,0,0,0.0,1.00,1.00,1.00,3.33,2.33,7.42
15000,20,264,10.1,0.0,0.0,0.1,9.9,0.0,1.01,18.8,33,657,39.44,0.97,263,0,1,0.0,1.01,1.00,1.01,2.49,3.20,3.42
15000,24,73,11.0,0.5,0.0,0.0,10.4,0.0,1.14,12.9,17,305,19.17,0.47,70,3,0,0.0,1.01,1.20,1.18,3.16,1.99,7.60
15000,2,7,27.1,0.0,0.0,0.0,27.1,0.0,1.00,8.9,3,69,9.63,0.15,7,0,0,0.0,1.00,1.00,1.00,4.43,3.57,8.00
16000,20,278,10.0,0.0,0.0,0.1,9.8,0.0,1.01,19.0,37,501,29.88,0.73,277,0,1,0.0,1.01,1.01,1.02,2.40,3.15,3.33
16000,24,83,10.4,0.0,0.0,0.0,10.4,0.0,1.00,13.4,24,241,15.23,0.41,82,0,1,0.0,1.00,1.00,1.00,3.00,2.12,7.23
16000,27,69,8.7,0.0,0.0,0.0,8.7,0.0,1.00,18.6,13,209,13.18,0.40,54,13,2,0.0,1.00,1.00,1.00,2.62,2.62,4.10
17000,20,266,9.5,0.0,0.0,0.1,9.4,0.0,1.00,19.4,29,625,36.89,0.90,264,0,2,0.0,1.00,1.00,1.00,2.29,3.09,3.21
17000,24,124,10.5,0.0,0.0,0.0,10.5,0.0,1.01,13.6,27,236,15.43,0.43,123,0,1,0.0,1.00,1.01,1.01,3.26,1.97,7.25
17000,27,63,9.2,0.5,0.1,0.0,8.5,0.0,1.20,18.0,16,222,14.73,0.43,44,17,2,0.0,1.20,1.25,1.18,2.76,3.11,4.08
18000,20,272,9.5,0.0,0.0,0.1,9.4,0.0,1.01,19.3,33,638,37.44,0.86,272,0,0,0.0,1.01,1.00,1.02,2.42,3.12,3.25
18000,24,76,11.0,0.2,0.0,0.0,10.8,0.0,1.05,12.4,19,256,16.48,0.44,76,0,0,0.0,1.04,1.07,1.06,3.22,1.96,7.91
18000,27,54,10.0,0.0,0.0,0.0,10.0,0.0,1.00,17.4,9,263,16.59,0.40,54,0,0,0.0,1.00,1.00,1.00,2.81,3.20,4.07
19000,20,252,9.9,0.0,0.0,0.0,9.8,0.0,1.00,19.1,28,596,34.93,0.84,251,0,1,0.0,1.00,1.00,1.00,2.41,3.15,3.30
19000,27,67,10.6,1.0,0.4,0.0,9.3,0.0,1.29,16.9,19,253,15.95,0.42,67,0,0,0.1,1.39,1.63,1.23,2.82,3.54,4.01
19000,24,57,11.6,0.0,0.0,0.0,11.5,0.0,1.00,12.7,13,211,14.34,0.40,49,8,0,0.0,1.00,1.00,1.01,3.68,2.02,7.70
20000,20,238,9.6,0.0,0.0,0.1,9.5,0.0,1.01,19.2,32,563,32.56,0.72,238,0,0,0.0,1.01,1.00,1.01,2.38,3.12,3.32
20000,24,92,11.7,0.1,0.0,0.0,11.6,0.0,1.02,12.1,16,260,17.28,0.42,84,7,1,0.0,1.01,1.03,1.03,3.57,2.13,7.85
20000,27,63,9.0,0.0,0.3,0.0,8.7,0.0,1.00,18.4,16,317,19.02,0.40,63,0,0,0.0,1.00,1.00,1.00,2.57,3.14,3.70
21000,20,238,9.3,0.0,0.0,0.0,9.3,0.0,1.00,19.1,34,598,34.13,0.71,238,0,0,0.0,1.00,1.00,1.00,2.47,3.21,3.23
21000,24,83,11.1,0.0,0.0,0.0,11.1,0.0,1.01,12.7,21,273,17.26,0.38,82,0,1,0.0,1.01,1.01,1.01,3.46,2.04,7.61
21000,27,77,9.4,0.1,0.2,0.0,9.1,0.0,1.03,18.0,16,289,17.36,0.52,77,0,0,0.0,1.00,1.06,1.03,2.90,3.32,3.77
22000,20,223,9.1,0.0,0.0,0.0,9.1,0.0,1.00,19.4,24,578,32.97,0.62,222,0,1,0.0,1.01,1.00,1.00,2.43,3.12,3.19
22000,27,109,9.0,0.2,0.1,0.0,8.7,0.0,1.09,18.2,25,279,16.77,0.41,109,0,0,0.0,1.07,1.13,1.08,2.53,2.95,3.95
22000,24,57,10.1,0.4,0.0,0.0,9.7,0.0,1.14,13.3,14,314,19.34,0.48,57,0,0,0.0,1.05,1.13,1.25,3.32,1.81,7.70
23000,20,213,9.3,0.0,0.0,0.0,9.3,0.0,1.02,19.2,29,615,34.95,0.64,213,0,0,0.0,1.02,1.02,1.02,2.35,3.11,3.32
23000,27,132,9.1,0.1,0.2,0.0,8.8,0.0,1.03,18.2,25,270,15.92,0.32,129,2,1,0.0,1.00,1.04,1.03,2.71,2.88,4.05
23000,24,33,9.2,0.1,0.0,0.1,9.1,0.0,1.03,15.0,11,212,12.53,0.25,33,0,0,0.0,1.00,1.03,1.05,3.21,1.58,7.48
24000,20,220,9.3,0.0,0.0,0.0,9.2,0.0,1.00,19.4,25,634,36.14,0.63,219,0,1,0.0,1.00,1.00,1.00,2.37,3.12,3.20
24000,27,118,9.2,0.1,0.4,0.1,8.7,0.0,1.02,18.1,25,336,19.39,0.39,111,5,2,0.0,1.00,1.03,1.01,2.53,2.87,4.14
24000,24,11,9.0,0.0,0.0,0.1,8.9,0.0,1.00,14.0,6,422,24.35,0.63,11,0,0,0.0,1.00,1.00,1.00,3.00,1.55,8.00
25000,20,209,9.2,0.0,0.0,0.1,9.1,0.0,1.01,19.7,23,640,35.86,0.62,208,0,1,0.0,1.01,1.01,1.01,2.28,3.09,3.10
25000,27,181,9.2,0.2,0.3,0.0,8.8,0.0,1.05,17.9,40,300,17.88,0.36,171,10,0,0.0,1.03,1.07,1.07,2.70,3.06,4.17
25000,24,13,9.4,0.0,0.0,0.1,9.3,0.0,1.00,12.6,3,206,13.88,0.25,13,0,0,0.0,1.00,1.00,1.00,3.00,1.69,8.00
26000,20,206,9.2,0.0,0.0,0.0,9.2,0.0,1.00,19.5,19,638,36.18,0.64,205,0,1,0.0,1.00,1.00,1.00,2.38,3.11,3.12
26000,27,174,8.7,0.1,0.1,0.0,8.6,0.0,1.04,18.3,32,288,16.71,0.33,156,17,1,0.0,1.04,1.06,1.03,2.56,2.97,4.03
26000,24,10,14.4,0.0,0.0,0.0,14.4,0.0,1.00,11.8,3,312,19.15,0.11,10,0,0,0.0,1.00,1.00,1.00,3.30,2.10,8.00
27000,27,216,8.5,0.1,0.1,0.0,8.3,0.0,1.02,18.6,33,290,16.64,0.33,193,21,2,0.0,1.02,1.03,1.02,2.56,2.49,4.28
27000,20,194,9.0,0.0,0.0,0.1,8.8,0.0,1.01,19.5,29,597,33.23,0.63,194,0,0,0.0,1.01,1.01,1.01,2.31,3.12,3.19
28000,27,222,8.5,0.0,0.3,0.0,8.1,0.0,1.01,18.7,37,355,19.80,0.34,201,15,6,0.0,1.01,1.02,1.02,2.58,2.43,4.26
28000,20,217,9.3,0.0,0.0,0.0,9.2,0.0,1.02,19.4,32,607,33.44,0.55,216,0,1,0.0,1.02,1.02,1.02,2.37,3.11,3.19
29000,27,247,8.3,0.2,0.2,0.0,8.0,0.0,1.06,18.9,36,360,19.79,0.36,231,11,5,0.0,1.04,1.08,1.06,2.48,2.40,4.23
29000,20,172,9.2,0.0,0.0,0.0,9.2,0.0,1.00,19.4,19,778,42.61,0.59,171,0,1,0.0,1.00,1.00,1.00,2.39,3.12,3.16
30000,27,215,8.1,0.0,0.1,0.0,7.9,0.0,1.02,19.0,35,426,23.23,0.36,215,0,0,0.0,1.01,1.03,1.02,2.51,2.34,4.20
30000,20,166,8.5,0.0,0.0,0.1,8.3,0.0,1.00,19.7,21,572,31.04,0.43,164,0,2,0.0,1.00,1.00,1.00,2.17,3.02,3.11
31000,27,276,8.1,0.1,0.2,0.0,7.8,0.0,1.04,18.9,44,360,19.87,0.33,249,19,8,0.0,1.04,1.04,1.04,2.52,2.47,4.17
31000,20,168,8.6,0.0,0.0,0.1,8.5,0.0,1.01,19.6,26,611,33.21,0.38,167,0,1,0.0,1.01,1.01,1.01,2.25,3.08,3.23
32000,27,262,7.9,0.1,0.2,0.0,7.7,0.0,1.04,19.1,31,391,21.71,0.38,260,0,2,0.0,1.03,1.04,1.04,2.40,2.43,4.09
32000,20,149,8.5,0.1,0.0,0.1,8.4,0.0,1.03,19.5,25,769,40.61,0.42,149,0,0,0.0,1.04,1.02,1.04,2.18,3.05,3.27
33000,27,269,8.5,0.1,0.2,0.0,8.1,0.0,1.02,18.7,32,354,19.66,0.31,269,0,0,0.0,1.02,1.04,1.02,2.56,2.42,4.24
33000,20,183,8.3,0.0,0.0,0.0,8.2,0.0,1.00,19.5,29,611,33.09,0.37,182,0,1,0.0,1.00,1.00,1.00,2.32,3.08,3.21
34000,27,265,8.6,0.0,0.2,0.0,8.4,0.0,1.01,18.7,36,423,23.01,0.43,265,0,0,0.0,1.01,1.01,1.01,2.54,2.44,4.25
34000,20,152,8.6,0.0,0.0,0.0,8.6,0.0,1.00,19.4,22,620,33.87,0.52,151,0,1,0.0,1.00,1.00,1.00,2.43,3.05,3.35
35000,27,283,7.7,0.0,0.1,0.0,7.5,0.0,1.01,19.3,29,427,23.08,0.46,283,0,0,0.0,1.02,1.01,1.01,2.52,2.29,4.11
35000,20,134,9.0,0.1,0.1,0.0,8.8,0.0,1.04,19.1,15,796,44.08,0.64,134,0,0,0.0,1.04,1.02,1.04,2.30,3.10,3.38
36000,27,286,7.6,0.0,0.2,0.0,7.3,0.0,1.01,19.3,30,370,20.01,0.38,284,0,2,0.0,1.00,1.03,1.01,2.41,2.20,4.18
36000,20,143,8.6,0.0,0.1,0.0,8.4,0.0,1.00,19.7,16,767,41.79,0.70,143,0,0,0.0,1.00,1.00,1.00,2.41,3.08,3.06
36000,38,19,9.7,0.3,0.7,0.0,8.7,0.0,1.04,17.8,10,161,10.55,0.25,0,15,4,0.0,1.00,1.00,1.05,2.32,3.53,3.95
37000,27,242,8.1,0.0,0.1,0.0,8.0,0.0,1.02,18.8,30,389,21.27,0.38,242,0,0,0.0,1.02,1.03,1.02,2.59,2.28,4.39
