run,seed,side,zone,from_k,leader_share,bodies
control,10,lower,south,32,0.6403995560488346,5406
control,10,lower,south,48,0.6279823651452282,7712
control,10,lower,south,64,0.8288534548215641,6585
control,10,lower,south,80,0.8191284844601089,6242
control,10,lower,south,96,0.813953488372093,1935
control,10,lower,tropics,32,0.9185785626402259,13817
control,10,lower,tropics,48,0.9094930973828688,18761
control,10,lower,tropics,64,0.9506903353057199,14196
control,10,lower,tropics,80,0.9741245612603053,12251
control,10,lower,tropics,96,0.7968650709595425,4721
control,10,upper east,north,32,0.0,3135
control,10,upper east,north,48,0.0,4044
control,10,upper east,north,64,0.04778079710144927,4416
control,10,upper east,north,80,0.043155893536121676,5260
control,10,upper east,north,96,0.2847222222222222,288
control,10,upper east,south,32,0.038789759503491075,2578
control,10,upper east,south,48,0.18290655138011308,3007
control,10,upper east,south,64,0.30845157310302285,3242
control,10,upper east,south,80,0.4849077697037451,3578
control,10,upper east,south,96,0.6744548286604362,642
control,10,upper east,tropics,32,0.007736943907156673,1034
control,10,upper east,tropics,48,0.09,1900
control,10,upper east,tropics,64,0.5034013605442177,1176
control,10,upper east,tropics,80,0.29168791432942376,1961
control,10,upper east,tropics,96,0.7896341463414634,984
control,10,upper west,north,32,0.0,6572
control,10,upper west,north,48,0.0,6737
control,10,upper west,north,64,0.0019143117593436645,10970
control,10,upper west,north,80,0.015480213670554889,9173
control,10,upper west,north,96,0.07020872865275142,1581
control,10,upper west,south,32,0.6831889081455806,5770
control,10,upper west,south,48,0.636815302446901,8051
control,10,upper west,south,64,0.8529305135951661,8275
control,10,upper west,south,80,0.9048084759576203,6135
control,10,upper west,south,96,0.9336465061655901,1703
control,10,upper west,tropics,32,0.38699408822191905,2199
control,10,upper west,tropics,48,0.4504899432697267,3878
control,10,upper west,tropics,64,0.7671814671814672,2590
control,10,upper west,tropics,80,0.6758221900975786,2767
control,10,upper west,tropics,96,0.9806666666666667,1500
control,11,lower,north,32,0.0,7036
control,11,lower,north,48,0.7240283808111829,9443
control,11,lower,north,64,0.6576547921967769,9432
control,11,lower,north,80,0.6789897138201446,9819
control,11,lower,north,96,0.2876631079478055,1686
control,11,lower,south,32,0.0,4712
control,11,lower,south,48,0.34872434830837495,7212
control,11,lower,south,64,0.4643470790378007,6984
control,11,lower,south,80,0.23472775564409032,6024
control,11,lower,south,96,0.3798283261802575,2330
control,11,lower,tropics,32,0.0,12238
control,11,lower,tropics,48,0.7276909466234149,16955
control,11,lower,tropics,64,0.7058355762172743,16348
control,11,lower,tropics,80,0.6865102831986333,15219
control,11,lower,tropics,96,0.22167487684729065,5278
control,11,upper east,north,32,0.0,3389
control,11,upper east,north,48,0.0,4475
control,11,upper east,north,64,0.050222662048490845,4042
control,11,upper east,north,80,0.0,4139
control,11,upper east,north,96,0.0,328
control,11,upper east,south,32,0.0,3092
control,11,upper east,south,48,0.0004880429477794046,4098
control,11,upper east,south,64,0.01668584579976985,3476
control,11,upper east,south,80,0.012734990903577926,3298
control,11,upper east,south,96,0.10805300713557595,981
control,11,upper east,tropics,32,0.0,1289
control,11,upper east,tropics,48,0.0,1618
control,11,upper east,tropics,64,0.010367577756833177,1061
control,11,upper east,tropics,80,0.0508637236084453,2084
