step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange
10000,650,1.835,1.847,11.62,51059,27495,0,8578,454,882348,618503.2,468106.9,0.179,0.476,0.185,0.160,52,44.05,26.05,1.32,5.88,13.80,9.39,1.30,2.31,14.51,16.74,0.08,0.60,0.331,0.167,495,0.037,0.032,0.945,0.002,0.022,121870,101564,2,0.383,0.383,0.406,2916905,0.265,2.949,0.212,47.81,45876,187,0.531,0.196,0.391,3318515,1.28,4.95,0.105,0.580,0.028,11.4,42.1,78.2,184.0,20106,0.077,0.00,0.0066,0.057,220,0.574,0.001,0.415,0.591,4.78,5.64,6.34,0.24,0.068,1.31,1.28,1.28,0.622,0.00528,28.98,47.4623,1563.26,102791.8,140122.1,0.195,34.2831,102.863,0.000,1.000,0.187,21.6,34.448,165.176,4785,27196.8,18.17,56.076,6.87,10.647,451.6,4.222,0.134,2.00,8.1154,5275.0,0.4378,0.3117,30.93,1.530,0.324,1.5345,0.0000,0.446,0.075,0.303,0.0000,7.23,1.05,9,25,64,100,31.5467,0.0009,0.3923,0.0000,0.0000,163.7793,100.00,87.1235,165.1323,0.0,0.0000,0.0000,0.8871,0.7396,15302,0.2964,0.0000,0.0000,0.0026,0.0010,0.000005,1,0.0813,0.0123,0.0152,43,154,412,0.0000,0.0000,0.0188,0.053,3.1481,0.0029,1.1099,0.0769,0.2960,0.1234,0.5965,0.00534,0.849,0.0287,0.772,0.147,1.23,0.406,0.529,0.020,0.2839
20000,655,2.145,1.330,9.79,16985,11690,0,2116,23,325478,220100.8,129380.8,0.123,0.639,0.145,0.092,72,52.79,26.24,1.19,4.21,14.84,10.15,0.84,1.99,21.32,13.41,0.07,0.49,0.297,0.182,491,0.027,0.063,0.928,0.000,0.009,23669,19457,1,0.163,0.837,0.278,648664,0.237,2.589,0.141,20.44,9914,185,0.398,0.270,0.272,1260807,1.26,2.34,0.324,0.592,0.027,15.2,52.0,88.9,138.9,25014,0.095,0.00,0.0016,0.098,173,0.461,0.000,0.373,0.342,5.41,6.42,6.53,0.15,0.055,1.19,1.32,1.27,0.496,0.00366,4.10,9.1935,1124.23,109591.4,140122.1,0.000,7.9924,40.794,0.000,1.000,0.265,27.6,15.786,51.974,3488,18840.5,22.81,17.207,7.12,2.658,349.4,0.829,0.133,2.00,10.1072,6620.2,0.3797,0.3030,38.19,1.346,0.129,0.4655,0.0000,0.610,0.064,0.977,0.0000,7.06,0.74,12,39,64,94,13.8966,0.0000,0.4061,0.0000,0.0000,49.0784,100.00,98.9623,89.1564,0.0,0.0000,0.0000,0.9164,0.8041,3151,0.3029,0.0000,0.0000,0.0031,0.0012,0.000003,0,0.0367,0.0183,0.0192,49,163,461,0.0000,0.0000,0.0091,0.035,0.7457,0.0009,0.2485,0.0198,0.3787,0.0742,0.6114,0.00469,0.336,0.0025,1.000,0.422,0.77,0.278,0.485,0.015,0.0335
