step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied
10000,809,0.618,0.240,8.70,14308,11521,2660,204,544,85650,535666.2,134015.6,0.273,0.449,0.164,0.114,110,44.80,21.90,1.44,4.46,9.93,14.29,4.65,4.73,26.51,14.18,0.03,0.26,0.178,0.213,628,0.036,0.096,0.899,0.000,0.005,49876,45184,1,1.000,0.000,0.707,7307509,0.253,1.079,0.016,30.02,15511,552,1.565,0.294,0.162,4981069,1.26,2.03,0.247,0.633,0.011,18.0,43.8,73.9,123.4,34405,0.131,0.00,0.0025,0.152,278,0.701,0.000,0.559,0.723,6.09,6.94,6.90,0.23,0.061,1.12,1.39,1.27,0.705,0.00766,10.84,16.2087,261.44,126466.7,140185.7,194.690,10.6963,96.399,10.577,0.934,0.485,29.1,47.826,218.836,699,2418.2,46.95,26.928,15.854,275.3,11.781,0.135,2.00,10.5393,8526.3,0.3145,0.4527,42.53,1.063,0.081,1.5345,0.0000,0.413,0.046,0.026,0.0000,7.39,0.83,18,44,64,81,41.6312,0.0019,0.7244,0.0000,0.0000
20000,394,0.552,0.358,8.64,7057,5803,485,1066,118,113508,192860.1,50746.1,0.119,0.632,0.177,0.072,224,35.75,30.31,1.02,4.05,10.26,18.27,1.37,3.32,16.53,12.87,0.10,0.61,0.152,0.242,229,0.076,0.178,0.820,0.000,0.003,5298,3344,2,0.475,0.251,0.185,2133093,0.228,1.315,0.034,17.68,2430,632,0.447,0.080,0.162,1884673,1.16,4.99,0.203,0.442,0.033,8.3,23.6,82.0,152.7,11491,0.044,0.00,0.0030,0.145,141,0.521,0.000,0.558,0.138,4.99,5.51,6.77,0.17,0.061,1.11,1.22,1.18,0.531,0.01006,2.69,1.5283,22.64,130956.7,140185.7,52.606,2.1573,38.259,12.481,0.845,0.557,10.7,19.270,58.337,1056,4844.5,8.87,4.338,3.294,230.2,1.931,0.135,1.99,7.2512,2857.0,0.5379,0.3801,29.16,1.135,0.170,0.4655,0.0000,0.440,0.047,0.190,0.0000,7.31,0.72,8,21,57,90,15.2513,0.0523,0.6827,0.0000,0.0000
30000,1029,0.836,0.234,9.27,17039,13560,399,2232,213,262882,331456.9,116351.3,0.066,0.678,0.194,0.062,187,35.77,27.51,1.43,3.99,7.05,12.37,1.33,2.84,18.04,12.63,0.21,0.78,0.114,0.181,702,0.039,0.157,0.840,0.000,0.003,17179,11802,3,0.332,0.336,0.226,2677491,0.211,0.866,0.013,25.87,6560,646,0.443,0.080,0.221,4343249,1.24,4.76,0.231,0.594,0.073,6.5,31.9,76.9,144.9,28658,0.109,0.00,0.0018,0.150,329,0.632,0.000,0.641,0.213,4.76,5.48,6.08,0.33,0.125,1.18,1.30,1.26,0.644,0.00611,6.43,3.5163,187.16,125926.3,140185.7,208.059,5.2179,65.050,12.053,0.893,0.460,35.6,31.201,218.680,588,2022.1,13.52,12.382,11.053,361.0,7.309,0.133,2.00,8.5503,8798.2,0.5490,0.3663,27.85,1.181,0.229,1.5345,0.0000,0.456,0.067,0.292,0.0000,6.90,0.70,6,26,49,100,24.8594,0.0532,0.5734,0.0000,0.0000
40000,1096,0.493,0.214,11.19,16937,11275,153,5049,393,295449,255603.8,146161.8,0.054,0.671,0.163,0.112,246,32.87,39.32,0.77,3.15,7.70,14.25,0.09,1.22,11.65,8.18,0.09,0.54,0.100,0.157,616,0.042,0.198,0.800,0.000,0.002,12196,7098,3,0.317,0.411,0.011,519808,0.199,0.960,0.016,23.05,6990,526,0.495,0.096,0.253,2593519,1.13,7.38,0.058,0.566,0.036,3.9,13.8,97.6,182.4,22142,0.084,0.00,0.0020,0.150,386,0.442,0.000,0.493,0.116,4.04,4.38,5.85,0.20,0.058,1.15,1.13,1.13,0.459,0.00616,5.48,2.3798,124.80,127719.6,140185.7,43.995,2.1616,53.543,12.479,0.801,0.527,28.5,24.821,45.953,512,2247.5,14.89,3.313,3.756,313.9,2.594,0.133,2.01,7.0012,7673.3,0.8922,0.4478,20.20,1.303,0.352,0.4655,0.0000,0.438,0.057,0.119,0.0000,6.88,0.97,4,12,52,100,17.7864,0.2839,0.6323,0.0000,0.0000
50000,2163,0.932,0.144,13.37,54765,33766,267,17429,2236,930377,581391.4,473596.6,0.029,0.657,0.202,0.112,182,26.90,31.87,0.45,3.26,5.38,11.02,0.05,0.67,9.84,7.35,0.03,0.34,0.102,0.155,1242,0.032,0.141,0.846,0.000,0.013,66944,46735,2,0.579,0.351,0.010,176786,0.197,0.695,0.006,41.37,30226,442,0.509,0.176,0.316,7439913,1.15,7.37,0.142,0.644,0.011,3.2,13.2,65.7,250.5,34004,0.130,0.00,0.0027,0.142,708,0.507,0.000,0.545,0.286,3.33,3.94,4.82,0.05,0.016,1.13,1.15,1.16,0.528,0.00550,21.73,14.3468,692.95,119164.4,140185.7,164.998,11.7095,123.143,11.299,0.944,0.406,59.5,52.111,188.159,167,450.6,19.75,8.693,23.306,328.3,17.496,0.133,2.00,7.1301,15422.5,0.9548,0.4195,15.72,1.437,0.470,1.5345,0.0000,0.491,0.167,0.365,0.0000,6.16,0.97,3,11,33,105,39.5257,0.6917,0.4586,0.0000,0.0000
60000,2240,0.815,0.190,18.98,41889,26460,100,14165,1087,619354,350678.1,320936.6,0.053,0.774,0.109,0.064,220,17.52,12.85,0.07,0.84,3.77,5.13,0.01,0.25,6.53,5.02,0.00,0.03,0.139,0.167,996,0.040,0.114,0.857,0.000,0.029,41288,24028,2,0.481,0.039,0.004,49230,0.167,0.795,0.010,30.13,24373,430,0.518,0.140,0.361,3219485,1.03,6.73,0.237,0.631,0.001,2.3,14.0,32.0,98.0,23264,0.089,0.00,0.0024,0.159,730,0.288,0.000,0.349,0.159,2.60,3.11,3.86,0.01,0.007,1.03,1.04,1.03,0.313,0.00487,8.11,6.7107,519.49,123588.7,140185.7,31.144,4.6688,76.982,12.345,0.874,0.468,52.5,32.796,37.816,323,1076.4,27.85,2.603,6.887,449.6,5.083,0.135,2.00,4.8345,10829.2,0.9063,0.4567,10.39,1.544,0.474,0.4655,0.0000,0.409,0.124,0.179,0.0000,5.13,1.10,2,10,16,49,21.0490,0.8337,0.4268,0.0000,0.0000
70000,2740,0.634,0.151,20.91,88389,62496,460,22418,2515,727204,664809.6,487434.7,0.036,0.763,0.133,0.067,144,19.99,14.08,0.17,1.28,3.96,5.09,0.01,0.21,7.66,5.02,0.01,0.16,0.126,0.155,1000,0.091,0.100,0.879,0.000,0.022,99672,59105,2,0.475,0.143,0.002,124124,0.189,0.645,0.007,50.16,57903,448,0.670,0.164,0.365,13830534,1.09,6.02,0.355,0.495,0.007,3.2,16.0,32.0,96.0,32320,0.123,0.00,0.0032,0.153,970,0.561,0.000,0.438,0.201,2.88,3.29,4.05,0.04,0.018,1.09,1.08,1.08,0.575,0.00457,26.22,14.5117,393.14,119356.0,140185.7,153.108,8.5744,147.531,11.234,0.917,0.391,57.3,63.083,179.429,193,640.8,22.22,9.869,21.922,258.8,17.868,0.133,2.00,5.6428,15461.3,0.9744,0.5334,11.80,1.517,0.479,1.5345,0.0000,0.475,0.119,0.345,0.0000,5.15,1.06,3,13,16,48,49.3768,1.1812,0.5172,0.0000,0.0000
80000,2725,0.590,0.137,20.27,32387,24010,699,6846,847,240666,352961.2,197888.6,0.023,0.822,0.102,0.052,219,20.49,16.16,0.17,1.42,4.29,5.69,0.01,0.15,7.64,5.30,0.01,0.15,0.128,0.163,1040,0.054,0.116,0.863,0.000,0.020,32320,18366,5,0.519,0.421,0.003,40741,0.154,0.611,0.006,31.15,20575,684,0.822,0.153,0.352,5733234,1.07,6.65,0.324,0.524,0.006,3.1,14.0,46.0,136.0,32999,0.126,0.00,0.0017,0.166,939,0.421,0.000,0.309,0.141,2.84,3.28,4.16,0.03,0.016,1.07,1.07,1.07,0.430,0.00264,10.97,6.0391,446.26,119018.6,140185.7,28.838,3.2839,73.514,12.119,0.897,0.447,58.8,33.148,29.300,184,556.3,18.14,1.657,5.312,264.2,4.266,0.134,2.01,5.9227,16139.3,1.0550,0.6652,12.11,1.486,0.484,0.4655,0.0000,0.604,0.171,0.521,0.0000,5.35,1.08,3,13,24,49,24.3166,1.6457,0.5303,0.0000,0.0000
90000,1560,0.646,0.172,23.14,59421,40450,678,17573,1885,585691,559990.1,366788.5,0.054,0.749,0.121,0.076,163,33.30,23.13,0.20,1.46,8.17,8.77,0.03,0.60,10.09,5.93,0.00,0.07,0.163,0.157,706,0.060,0.161,0.829,0.000,0.010,63082,34696,4,0.277,0.342,0.004,129049,0.193,0.702,0.009,42.73,36451,442,0.626,0.125,0.390,10228399,1.07,4.46,0.433,0.419,0.003,4.1,40.0,50.0,200.0,28836,0.110,0.00,0.0036,0.185,558,0.541,0.000,0.454,0.185,3.39,4.10,4.75,0.07,0.024,1.07,1.07,1.08,0.555,0.00789,18.96,8.9763,123.47,126428.1,140185.7,171.617,6.8881,122.039,11.600,0.849,0.437,43.6,54.687,193.216,367,1321.1,12.85,10.250,18.103,207.8,14.188,0.134,2.00,5.6733,8850.4,0.6064,0.5242,18.48,1.599,0.484,1.5345,0.0000,0.534,0.137,0.488,0.0000,5.52,0.77,4,22,25,100,41.6778,0.7050,0.5782,0.0000,0.0000
100000,1511,0.627,0.159,22.19,18756,11877,501,5843,584,191073,280542.8,135616.3,0.083,0.742,0.087,0.088,249,31.80,23.37,0.24,1.74,7.79,8.69,0.00,0.05,9.70,6.10,0.01,0.15,0.156,0.161,716,0.060,0.203,0.791,0.000,0.006,13978,5948,8,0.337,0.133,0.001,24088,0.202,0.758,0.010,25.84,10088,513,0.710,0.094,0.349,2735269,1.09,5.50,0.394,0.466,0.006,4.0,32.0,50.0,162.0,26796,0.102,0.00,0.0019,0.186,542,0.337,0.000,0.292,0.075,3.35,3.94,4.83,0.06,0.022,1.09,1.08,1.09,0.349,0.00494,7.33,2.1160,215.77,127136.9,140185.7,39.954,1.6920,57.707,12.598,0.740,0.463,38.0,27.371,36.562,280,1131.1,26.42,2.022,3.148,320.6,2.333,0.139,1.99,5.6212,8493.7,0.7281,0.6462,17.73,1.559,0.497,0.4655,0.0000,0.550,0.121,0.586,0.0000,5.73,0.89,4,19,25,81,19.4481,0.4543,0.5771,0.0000,0.0000
