step,measure,value,count
50000,hamming,272,5977
50000,hamming,273,6858
50000,hamming,274,8029
50000,hamming,275,9535
50000,hamming,276,11499
50000,hamming,277,13381
50000,hamming,278,14891
50000,hamming,279,16425
50000,hamming,280,18115
50000,hamming,281,18781
50000,hamming,282,18767
50000,hamming,283,18316
50000,hamming,284,18141
50000,hamming,285,17452
50000,hamming,286,16233
50000,hamming,287,14666
50000,hamming,288,13420
50000,hamming,289,12037
50000,hamming,290,10826
50000,hamming,291,9646
50000,hamming,292,8345
50000,hamming,293,7169
50000,hamming,294,6127
50000,hamming,295,5091
50000,hamming,296,4099
50000,hamming,297,3145
50000,hamming,298,2343
50000,hamming,299,1611
50000,hamming,300,1089
50000,hamming,301,672
50000,hamming,302,429
50000,hamming,303,319
50000,hamming,304,223
50000,hamming,305,95
50000,hamming,306,81
50000,hamming,307,56
50000,hamming,308,8
50000,hamming,309,5
50000,hamming,310,3
50000,genes,0,18742
50000,genes,1,10797
50000,genes,2,37082
50000,genes,3,20088
50000,genes,4,31633
50000,genes,5,18672
50000,genes,6,25632
50000,genes,7,15396
50000,genes,8,25022
50000,genes,9,26341
50000,genes,10,41488
50000,genes,11,77357
50000,genes,12,52321
50000,genes,13,73700
50000,genes,14,36418
50000,genes,15,34466
50000,genes,16,21274
50000,genes,17,20205
50000,genes,18,20573
50000,genes,19,18811
50000,genes,20,19645
50000,genes,21,36606
50000,genes,22,73354
50000,genes,23,113342
50000,genes,24,97242
50000,genes,25,44122
50000,genes,26,15791
50000,genes,27,5040
50000,genes,28,1558
50000,genes,29,412
50000,genes,30,67
50000,genes,31,6
50000,body,0,8048
50000,body,1,12902
50000,body,2,19204
50000,body,3,21064
50000,body,4,30089
50000,body,5,30586
50000,body,6,36379
50000,body,7,36236
50000,body,8,37612
50000,body,9,34020
50000,body,10,32206
50000,body,11,30044
50000,body,12,27133
50000,body,13,23215
50000,body,14,18924
50000,body,15,16708
50000,body,16,14878
50000,body,17,16675
50000,body,18,15450
50000,body,19,15849
50000,body,20,13631
50000,body,21,14656
50000,body,22,15327
50000,body,23,16610
50000,body,24,17478
50000,body,25,22474
50000,body,26,15205
50000,body,27,16686
50000,body,28,18860
50000,body,29,18683
50000,body,30,32142
50000,body,31,14355
50000,body,32,12560
50000,body,33,12339
50000,body,34,11451
50000,body,35,9824
50000,body,36,8061
50000,body,37,8462
50000,body,38,10200
50000,body,39,9489
50000,body,40,7462
50000,body,41,8777
50000,body,42,6681
50000,body,43,6814
50000,body,44,6781
50000,body,45,6382
50000,body,46,7726
50000,body,47,6641
50000,body,48,6980
50000,body,49,7670
50000,body,50,6283
50000,body,51,6152
50000,body,52,5815
50000,body,53,6595
50000,body,54,7348
50000,body,55,10691
50000,body,56,12406
50000,body,57,8117
50000,body,58,32078
50000,body,59,7983
50000,body,60,4209
