step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2522,0.9964,245.0,951,836,877,809,18,21,26,42136,42143,42539
2000,2455,0.9971,7.2,1951,822,846,787,20,20,26,42010,41549,41919
3000,2376,0.9983,7.5,2950,807,813,756,20,18,23,41272,40281,40277
4000,424,0.4811,7043.2,284,157,133,134,26,39,40,42095,41078,40739
5000,694,0.5173,27281.9,788,250,237,207,68,96,85,34420,35122,38242
6000,1116,0.5806,50214.1,1124,366,366,384,108,125,146,26107,27427,31323
7000,1312,0.5709,28227.3,882,441,445,426,91,92,129,30970,33304,39536
8000,1035,0.6551,15123.5,819,362,346,327,91,66,105,37561,37667,44059
9000,1003,0.7278,11037.3,979,310,328,365,74,57,107,41347,39201,42749
10000,809,0.7244,8526.3,1044,272,259,278,73,50,77,44148,40481,41838
11000,756,0.7183,8680.4,883,264,248,244,71,45,58,44855,41111,40643
12000,705,0.7078,7490.4,977,229,255,221,53,59,91,43906,41533,43049
13000,625,0.6864,7709.3,962,263,185,177,49,67,80,41642,42219,45082
14000,440,0.8159,4972.1,1208,217,122,101,48,47,56,40152,44171,47928
15000,314,0.6720,3552.7,982,218,81,15,35,42,12,37049,46380,51329
16000,343,0.5598,3896.0,757,234,71,38,29,50,36,31961,47936,53924
17000,574,0.5331,5839.3,484,222,177,175,37,70,68,28409,47895,54279
18000,571,0.7513,2925.4,561,184,191,196,58,45,67,30454,48157,53522
19000,436,0.7982,2199.4,1144,142,127,167,43,30,57,31140,47972,52464
20000,394,0.6827,2857.0,1206,114,139,141,38,19,49,31720,47262,51975
21000,600,0.4717,7291.4,496,203,206,191,49,41,69,30978,45300,51348
22000,605,0.6876,3436.8,518,204,212,189,45,66,86,31336,45962,53625
23000,636,0.6226,5346.3,663,199,218,219,35,62,91,30204,45067,53247
24000,1014,0.6144,8686.2,564,302,345,367,60,90,105,30381,44015,51163
25000,1183,0.6855,9475.8,664,330,401,452,87,91,156,31597,42992,50356
26000,1250,0.6496,10766.8,754,383,392,475,89,92,150,31366,42706,49745
27000,1096,0.6953,7317.6,731,343,366,387,72,88,108,33137,43873,49897
28000,1061,0.7521,6351.1,828,332,348,381,74,74,104,35095,44725,47975
29000,1018,0.7014,6445.3,842,302,377,339,51,71,82,35925,45548,46220
30000,1029,0.5734,8798.2,713,336,364,329,72,82,91,36040,44919,44968
31000,875,0.6411,5874.4,677,305,269,301,49,75,96,35779,47146,46597
32000,772,0.5622,5601.9,589,268,247,257,68,49,96,35574,47179,47390
33000,780,0.4974,6958.8,515,340,219,221,76,66,104,33782,46915,49039
34000,574,0.6289,4474.3,609,278,169,127,57,76,82,31660,49025,52539
35000,365,0.5973,2714.6,677,246,94,25,32,62,24,28551,51134,56185
36000,361,0.5097,3416.7,647,203,106,52,32,65,49,24801,51794,58200
37000,708,0.4040,5534.4,383,257,226,225,47,81,110,22362,51010,58120
38000,1153,0.4276,8816.7,342,355,393,405,95,92,144,21649,49162,56157
39000,1307,0.5585,8781.7,456,416,449,442,110,109,149,22755,49013,54989
40000,1096,0.6323,7673.3,639,306,404,386,75,89,102,23669,49155,54895
41000,1291,0.5229,10079.0,673,384,420,487,81,87,126,23413,47871,53677
42000,1808,0.4983,14722.6,531,508,642,658,102,115,143,22709,46511,50235
43000,1903,0.5402,13706.3,551,588,638,677,129,98,130,24864,45908,49743
44000,2079,0.5382,17539.9,670,596,747,736,157,138,172,25497,43092,48591
45000,2406,0.4979,17831.9,547,704,844,858,131,146,160,26194,42463,47111
46000,2378,0.5046,17619.0,487,731,826,821,159,164,186,26352,41509,48225
47000,2218,0.4274,14009.9,398,702,806,710,107,155,150,27952,42345,47969
48000,2149,0.4104,13698.0,308,691,708,750,139,127,131,28294,43097,48047
49000,2043,0.4151,13981.1,309,676,673,694,129,136,140,28097,43995,47669
50000,2163,0.4586,15422.5,385,751,704,708,159,148,200,28289,43474,47401
51000,1922,0.3788,9657.8,248,616,674,632,141,141,202,29897,45442,49318
52000,1347,0.3920,8585.1,315,498,428,421,114,131,185,28944,47357,51409
53000,1064,0.4568,7493.9,398,428,331,305,75,125,157,26771,49140,53509
54000,706,0.5496,5231.6,537,352,202,152,40,122,110,23184,52066,57655
55000,462,0.5411,4350.9,734,277,115,70,36,91,64,18444,54492,61717
56000,491,0.5580,5617.4,856,258,136,97,20,112,91,12795,55770,64546
57000,889,0.4038,9770.4,684,354,309,226,53,168,165,8916,54742,64269
58000,1446,0.4198,9757.0,369,510,442,494,125,125,182,7469,54531,64589
59000,1735,0.4023,10360.5,295,591,591,553,149,135,157,7689,53793,63704
60000,2240,0.4268,10829.2,266,681,829,730,165,191,217,7676,53313,62599
61000,2364,0.4712,10337.8,243,725,900,739,205,181,236,7296,52149,64310
62000,2666,0.4632,12279.4,275,793,986,887,218,182,234,7740,49720,63914
63000,2874,0.4718,16685.5,366,813,976,1085,226,183,297,7587,48404,61547
64000,3270,0.5190,17096.6,473,937,1096,1237,275,218,360,9246,46360,61032
65000,3218,0.5171,17142.1,536,921,1171,1126,242,230,314,11124,45193,60321
66000,2987,0.5313,16168.9,535,989,995,1003,247,221,292,13097,44812,60052
67000,3201,0.5105,16127.5,495,952,1093,1156,240,258,320,14519,43909,59127
68000,3283,0.5394,16521.1,513,1018,1144,1121,213,256,301,15830,44045,57518
69000,2764,0.5398,15573.3,567,879,941,944,206,224,310,15819,44506,59235
70000,2740,0.5172,15461.3,539,819,951,970,193,226,323,16080,43458,59818
71000,2508,0.5738,16788.3,643,814,850,844,220,203,306,15526,43374,60560
72000,2120,0.5590,14194.0,686,735,709,676,175,197,281,14833,45265,62170
73000,1550,0.5865,13465.0,896,581,523,446,102,194,247,12531,46820,64920
74000,958,0.6931,8904.7,1190,394,311,253,81,156,176,10220,50267,69287
75000,437,0.6384,4475.4,1258,245,139,53,42,88,48,7578,53289,73847
76000,349,0.5272,4252.0,995,162,117,70,26,80,63,5138,53895,75649
77000,671,0.4769,10596.6,845,209,237,225,63,111,149,3216,51180,73485
78000,1589,0.4449,12807.2,507,491,545,553,126,141,227,2904,49138,71483
79000,2205,0.4717,15595.2,484,648,753,804,188,159,277,3254,47634,69478
80000,2725,0.5303,16139.3,540,800,986,939,228,225,292,4553,46460,68005
81000,2828,0.5488,15777.8,584,846,1036,946,250,212,285,5938,45277,67566
82000,2657,0.5476,13766.9,540,826,990,841,223,188,208,7566,45453,67942
83000,2675,0.5335,14900.0,529,822,921,932,235,173,235,9353,45086,64725
84000,2525,0.5204,12869.8,494,858,822,845,234,150,212,12076,45437,63277
85000,2253,0.5806,10925.1,556,766,736,751,207,134,202,14964,44655,63014
86000,2332,0.4897,12402.7,475,672,771,889,207,139,225,16225,44488,60228
87000,1829,0.5347,9668.4,537,478,611,740,129,111,177,20114,45030,59265
88000,1724,0.5429,9545.7,565,540,546,638,159,123,197,20908,44883,59272
89000,1729,0.5269,10088.5,553,497,605,627,131,147,192,20841,43963,59959
90000,1560,0.5782,8850.4,596,487,515,558,144,144,206,20260,44281,61887
91000,1470,0.5476,9812.8,642,489,483,498,128,144,178,18858,44070,63273
92000,1338,0.6181,8453.6,709,435,463,440,110,158,194,17231,45128,65551
93000,993,0.6435,6324.8,828,373,317,303,95,117,151,16752,46817,67441
94000,631,0.7306,3703.2,1073,240,197,194,61,103,141,15036,48902,70642
95000,326,0.6472,2301.1,1032,184,100,42,27,64,35,12696,50613,73365
96000,356,0.5562,3517.0,853,168,118,70,26,97,64,9082,51216,74971
97000,786,0.4644,7128.6,573,285,237,264,52,106,160,5795,50055,74590
98000,1135,0.5066,8057.3,512,381,360,394,105,101,166,4659,50306,73584
99000,1397,0.5770,9295.5,626,435,518,444,135,119,189,4327,50132,72343
100000,1511,0.5771,8493.7,693,428,541,542,132,149,189,4463,50814,71860
