step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2416,0.9975,49.8,954,819,817,780,12,11,26,18033,27739,37907
2000,2323,0.9961,24.1,1955,790,785,748,12,11,22,25854,41433,57784
3000,2259,0.9982,6.5,2955,763,767,729,11,11,22,25137,40281,56345
4000,339,0.4041,7319.9,242,93,110,136,26,17,32,25175,40997,56852
5000,959,0.5109,37962.9,691,273,330,356,106,79,113,11382,32975,52507
6000,1076,0.6032,45955.4,1295,241,401,434,97,94,162,2637,25446,58579
7000,1102,0.5172,33527.4,1105,274,387,441,105,65,105,2410,26669,69882
8000,1174,0.5571,27274.5,765,279,403,492,100,59,101,1544,26691,79438
9000,1198,0.6285,21440.0,823,229,471,498,96,84,114,1351,27328,85454
10000,1150,0.6670,10780.5,749,211,413,526,76,84,111,1408,29406,93280
11000,939,0.7295,5890.7,780,162,344,433,60,63,90,1156,30529,98340
12000,652,0.7546,4113.8,1022,111,251,290,54,42,91,1054,29862,101560
13000,524,0.7023,4925.8,998,106,198,220,54,19,85,803,28086,103600
14000,338,0.7337,4059.4,1230,98,119,121,51,12,57,619,28110,105979
15000,111,0.7838,1095.1,1525,54,39,18,24,10,11,385,28910,108819
16000,54,0.7593,321.2,1314,33,15,6,14,9,4,252,28564,108926
17000,363,0.4242,4699.4,549,84,126,153,35,10,49,173,26763,107079
18000,831,0.5499,5790.6,413,184,283,364,51,26,80,182,24760,106013
19000,921,0.6352,6317.6,615,144,325,452,59,40,73,211,24623,105665
20000,1011,0.6944,5526.2,642,176,335,500,49,54,74,231,24651,105401
21000,999,0.6186,5879.2,551,164,339,496,73,60,83,189,25130,104387
22000,1162,0.6403,5586.9,500,189,389,584,77,66,99,190,24884,104191
23000,1269,0.6170,6317.0,553,191,396,682,70,67,99,276,25825,102276
24000,1380,0.6188,7813.3,538,252,429,699,107,74,115,326,26141,99854
25000,1508,0.6366,7408.7,498,254,439,815,100,70,125,290,27610,98654
26000,1475,0.6353,8164.8,591,215,477,783,87,74,117,317,28200,98319
27000,1495,0.5906,7582.8,556,165,530,800,63,88,124,284,29100,97292
28000,1304,0.6020,6566.0,502,240,441,623,120,52,124,271,28571,99134
29000,1232,0.6356,6019.3,498,202,423,607,90,60,134,258,29016,99869
30000,1171,0.6157,6230.0,635,189,424,558,95,73,147,249,27393,102149
31000,1054,0.6063,5709.5,693,178,383,493,74,60,106,175,27353,103272
32000,1083,0.6048,5817.9,548,248,353,482,116,43,119,235,27113,103670
33000,820,0.6963,5394.0,757,214,272,334,89,40,112,115,26635,106080
34000,468,0.7564,3035.6,1041,133,165,170,53,22,91,56,26742,109058
35000,140,0.9000,859.9,1693,68,51,21,27,5,16,50,27367,111169
36000,80,0.7625,387.8,1611,26,36,18,8,7,13,19,26925,111026
37000,422,0.3436,5041.3,521,96,138,188,37,2,52,8,25133,108712
38000,1149,0.5257,6338.3,425,295,375,479,90,43,140,137,23149,107327
39000,1102,0.5535,5581.3,465,194,368,540,82,55,123,78,22851,108268
40000,1147,0.5466,5547.9,446,210,363,574,90,49,116,91,22471,107947
41000,1356,0.5406,5451.6,352,245,466,645,96,57,135,115,22445,106992
42000,1366,0.5373,7226.1,380,272,404,690,105,42,124,76,22216,106283
43000,1535,0.5453,6483.0,391,229,455,851,101,64,160,67,22757,105254
44000,2120,0.4453,8385.3,276,324,611,1185,146,77,206,142,22637,101865
45000,1871,0.4677,7600.8,262,332,511,1028,102,94,169,137,24065,101641
46000,1818,0.4950,7914.4,283,347,524,947,139,76,163,111,24316,102092
47000,1880,0.4777,7674.4,281,354,573,953,158,75,164,126,24639,101441
48000,1669,0.5027,8694.4,294,333,571,765,143,91,138,115,24204,101637
