step,pop,mean_energy,mean_res,stay,n,s,e,w,diversity,drift,births,deaths,steps_per_sec
10000,523,4.847,0.059,0.030,0.576,0.105,0.178,0.111,0.7553,3.4835,10713,10390,104257
20000,518,5.043,0.055,0.025,0.764,0.018,0.138,0.055,0.7016,3.8008,12684,12689,148253
30000,518,5.021,0.053,0.015,0.797,0.014,0.122,0.052,0.5135,2.1725,11355,11355,152193
40000,499,5.271,0.052,0.005,0.813,0.008,0.115,0.059,0.4384,0.8065,11300,11319,152968
50000,518,5.023,0.051,0.003,0.820,0.008,0.104,0.066,0.4719,0.4989,11125,11106,153210
60000,524,5.047,0.051,0.002,0.820,0.007,0.115,0.056,0.6271,1.1068,10968,10962,152074
70000,508,5.046,0.052,0.001,0.819,0.014,0.117,0.049,0.6975,0.5723,10563,10579,152598
80000,511,5.041,0.051,0.001,0.816,0.017,0.115,0.051,0.7518,0.8958,10412,10409,154558
90000,521,4.780,0.051,0.002,0.819,0.023,0.108,0.048,0.7435,0.8566,8486,8476,151819
100000,520,4.941,0.052,0.006,0.813,0.021,0.111,0.049,0.7007,1.0041,8100,8101,150984
110000,514,4.921,0.053,0.005,0.822,0.015,0.103,0.055,0.6426,0.9980,7727,7733,151079
120000,516,4.834,0.053,0.003,0.825,0.009,0.096,0.066,0.5200,1.0771,6924,6922,151094
130000,518,4.917,0.052,0.003,0.830,0.003,0.092,0.071,0.4993,0.6495,7299,7297,153855
140000,521,4.694,0.050,0.005,0.827,0.004,0.095,0.069,0.5999,0.9471,8092,8089,151576
150000,514,4.842,0.052,0.005,0.836,0.006,0.090,0.063,0.6038,0.3947,7712,7719,153548
160000,515,5.009,0.050,0.004,0.835,0.005,0.091,0.066,0.5085,0.8230,7097,7096,153985
170000,527,4.729,0.052,0.002,0.832,0.001,0.093,0.071,0.5095,0.5785,7261,7249,152116
180000,516,4.696,0.054,0.002,0.837,0.001,0.089,0.071,0.4946,0.6282,6673,6684,153478
