step,pop,mean_energy,mean_res,stay,n,s,e,w,diversity,drift,births,deaths,steps_per_sec
10000,526,4.832,0.059,0.020,0.219,0.147,0.151,0.462,0.6048,4.0606,11618,11292,111044
20000,518,5.014,0.057,0.012,0.218,0.054,0.078,0.639,0.6630,2.2514,14437,14445,149530
30000,517,4.936,0.055,0.012,0.122,0.074,0.073,0.719,0.6305,2.0803,12628,12629,146908
40000,515,5.103,0.055,0.010,0.072,0.095,0.069,0.754,0.4890,1.9906,12551,12553,146634
50000,515,5.037,0.052,0.013,0.066,0.082,0.059,0.779,0.3616,1.2853,10470,10470,148230
60000,519,5.009,0.054,0.017,0.070,0.082,0.029,0.803,0.4115,0.3525,8281,8277,148358
70000,513,5.041,0.054,0.016,0.073,0.088,0.024,0.799,0.3916,0.4182,6957,6963,148874
80000,509,4.957,0.057,0.011,0.080,0.089,0.014,0.806,0.3874,0.3516,6714,6718,148237
90000,511,5.075,0.055,0.006,0.084,0.088,0.007,0.815,0.4099,0.5127,6093,6091,151039
100000,513,5.205,0.057,0.003,0.093,0.099,0.008,0.797,0.4218,0.4720,5019,5017,147741
110000,520,5.188,0.059,0.002,0.115,0.127,0.008,0.748,0.4127,0.5286,3888,3881,139018
120000,503,5.329,0.066,0.002,0.154,0.169,0.007,0.669,0.4147,0.4051,3341,3358,125498
130000,509,5.236,0.063,0.002,0.191,0.202,0.010,0.595,0.4259,0.2398,3212,3206,115654
140000,517,5.209,0.067,0.001,0.213,0.234,0.021,0.531,0.4439,0.4174,3032,3024,107972
150000,505,5.233,0.066,0.001,0.220,0.246,0.045,0.488,0.4548,0.3972,2975,2987,103828
160000,514,4.992,0.069,0.001,0.245,0.248,0.061,0.444,0.4646,0.4011,2944,2935,99594
170000,509,4.961,0.068,0.001,0.259,0.255,0.071,0.413,0.4766,0.4024,2943,2948,96606
180000,499,5.342,0.068,0.001,0.262,0.258,0.096,0.383,0.5005,0.2627,2945,2955,93183
190000,500,5.205,0.070,0.001,0.268,0.247,0.118,0.365,0.5246,0.3681,2868,2867,93318
200000,498,5.417,0.069,0.001,0.279,0.254,0.138,0.329,0.5416,0.5323,2889,2891,89703
210000,507,5.181,0.064,0.001,0.276,0.253,0.163,0.307,0.5622,0.2628,3030,3021,88905
220000,515,5.168,0.064,0.001,0.280,0.263,0.178,0.279,0.5752,0.6019,3051,3043,87043
230000,505,5.165,0.067,0.001,0.275,0.272,0.196,0.255,0.5789,0.4392,3092,3102,86573
240000,525,5.159,0.064,0.001,0.269,0.281,0.195,0.253,0.5943,0.4076,3100,3080,86053
250000,515,5.157,0.064,0.001,0.273,0.282,0.192,0.251,0.6025,0.2730,3060,3070,85821
260000,513,5.046,0.066,0.001,0.278,0.274,0.197,0.250,0.6143,0.1969,3023,3025,85360
270000,518,5.191,0.064,0.001,0.273,0.280,0.192,0.254,0.6201,0.3090,2962,2957,85396
280000,497,5.184,0.068,0.001,0.270,0.281,0.191,0.257,0.6228,0.2828,2905,2926,85985
290000,503,5.175,0.063,0.001,0.264,0.274,0.196,0.265,0.6148,0.3366,2816,2810,84080
300000,520,4.975,0.067,0.001,0.261,0.268,0.192,0.277,0.6261,0.2940,2837,2820,86408
310000,518,5.028,0.065,0.001,0.254,0.274,0.198,0.272,0.6242,0.2995,2924,2926,86674
320000,509,5.395,0.066,0.001,0.245,0.274,0.203,0.277,0.6141,0.3290,2690,2699,87182
330000,502,5.132,0.065,0.001,0.249,0.270,0.207,0.273,0.6109,0.4193,2806,2813,85071
340000,513,5.260,0.064,0.001,0.243,0.271,0.200,0.285,0.6093,0.2063,2973,2962,87363
350000,519,5.217,0.065,0.001,0.237,0.278,0.202,0.283,0.6318,0.2928,2958,2952,85814
360000,510,5.290,0.067,0.001,0.245,0.282,0.207,0.265,0.6360,0.3939,2879,2888,85435
370000,513,5.243,0.067,0.001,0.243,0.276,0.206,0.274,0.6387,0.4607,2902,2899,86044
380000,513,5.263,0.068,0.001,0.244,0.270,0.204,0.281,0.6280,0.3045,2755,2755,86631
390000,513,4.955,0.069,0.001,0.250,0.264,0.201,0.284,0.6516,0.6285,2966,2966,86025
400000,511,5.076,0.066,0.001,0.250,0.275,0.205,0.270,0.6396,0.5460,3163,3165,85263
410000,512,5.162,0.066,0.001,0.254,0.274,0.207,0.265,0.6364,0.4802,2969,2968,85819
420000,517,5.187,0.066,0.001,0.244,0.266,0.215,0.274,0.6207,0.3430,2949,2944,86428
430000,509,5.041,0.067,0.001,0.255,0.273,0.212,0.259,0.6989,1.0026,3124,3132,86456
440000,509,5.274,0.064,0.002,0.251,0.277,0.211,0.259,0.6844,0.2809,3058,3058,85137
450000,512,5.241,0.066,0.001,0.252,0.268,0.214,0.265,0.6735,0.3107,2824,2821,86859
460000,515,4.983,0.065,0.001,0.255,0.265,0.201,0.278,0.6735,0.2970,3079,3076,86299
470000,510,5.132,0.066,0.001,0.257,0.260,0.211,0.271,0.6887,0.3053,2913,2918,85973
480000,521,5.254,0.064,0.002,0.254,0.265,0.215,0.264,0.6937,0.4826,3012,3001,86094
490000,516,5.200,0.067,0.001,0.255,0.268,0.214,0.261,0.6579,0.5412,2726,2731,84763
500000,499,5.340,0.066,0.001,0.258,0.261,0.207,0.272,0.6788,0.3641,2875,2892,86405
510000,520,5.299,0.065,0.001,0.265,0.259,0.210,0.265,0.7017,0.3015,2889,2868,85753
520000,512,5.352,0.064,0.001,0.262,0.260,0.208,0.269,0.7012,0.1999,2722,2730,85803
530000,520,5.044,0.064,0.001,0.266,0.254,0.204,0.276,0.6819,0.7003,2709,2701,85369
540000,509,5.303,0.064,0.001,0.274,0.254,0.204,0.268,0.6873,0.3316,2850,2861,85755
550000,520,5.227,0.068,0.001,0.267,0.261,0.200,0.271,0.7112,0.4185,2809,2798,86050
560000,501,5.161,0.068,0.001,0.270,0.256,0.205,0.267,0.7314,0.4246,2652,2671,85886
570000,505,5.013,0.066,0.000,0.270,0.256,0.199,0.275,0.7253,0.3340,2550,2546,85943
580000,516,5.169,0.064,0.000,0.269,0.255,0.200,0.276,0.7428,0.3060,2747,2736,86602
590000,518,5.013,0.065,0.001,0.274,0.258,0.212,0.255,0.7091,0.7532,2957,2955,84341
600000,518,4.950,0.065,0.001,0.273,0.252,0.204,0.270,0.7001,0.4934,2803,2803,86009
610000,520,5.085,0.066,0.001,0.262,0.270,0.208,0.259,0.7152,0.3592,2756,2754,84401
620000,507,5.216,0.066,0.000,0.257,0.260,0.216,0.266,0.7115,0.3849,2727,2740,80995
630000,500,5.357,0.067,0.001,0.261,0.250,0.210,0.278,0.6622,0.5484,3082,3089,84739
640000,521,5.127,0.066,0.000,0.270,0.247,0.209,0.274,0.6886,0.3001,3113,3092,86407
650000,500,5.348,0.066,0.000,0.262,0.245,0.223,0.269,0.7313,0.6004,2753,2774,86503
660000,511,5.185,0.067,0.000,0.265,0.249,0.217,0.270,0.7340,0.3602,2684,2673,86642
670000,522,5.160,0.070,0.000,0.268,0.244,0.213,0.274,0.7332,0.4960,2726,2715,87328
680000,524,5.237,0.063,0.000,0.273,0.244,0.225,0.258,0.7523,0.4102,3060,3058,86035
690000,519,4.933,0.063,0.000,0.266,0.245,0.221,0.268,0.7259,0.4749,2776,2781,85896
700000,513,5.284,0.066,0.001,0.263,0.250,0.223,0.264,0.7402,0.3166,2633,2639,86299
710000,512,5.198,0.069,0.001,0.265,0.256,0.223,0.255,0.7227,0.2946,2854,2855,85849
720000,518,5.178,0.064,0.000,0.261,0.252,0.221,0.266,0.6626,0.8396,2852,2846,86106
