year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,8,0.1594,NaN,14.61,6.83,61.39,123.54,12.66,227.8,273.2,0.0,0.0000,0.6595,0.3404,0.0000,6.88e-16,0.0136,0.1811,0.0000,0.0524,0.0014,0.0000,0.2875,0.0000,0.0000,0.0543,0.0690,0.0219,0.1172,0.1819,0.0197
2,10,0.1422,0.9229,14.69,8.13,61.47,123.80,11.59,194.7,196.0,0.0,0.0000,0.6994,0.3003,0.0003,1.63e-16,0.0344,0.1607,0.0001,0.0489,0.0002,0.0000,0.2916,0.0000,0.0000,0.0485,0.0673,0.0293,0.1065,0.1742,0.0381
3,10,0.1288,0.9402,14.68,9.25,61.44,123.81,11.17,173.7,175.0,0.0,0.0000,0.7196,0.2801,0.0003,6.01e-16,0.0461,0.1501,0.0002,0.0459,0.0001,0.0000,0.2937,0.0000,0.0000,0.0437,0.0663,0.0352,0.0992,0.1620,0.0577
4,10,0.1128,0.9488,14.69,10.22,61.42,123.80,10.78,162.8,164.2,0.0,0.0000,0.7354,0.2643,0.0002,7.75e-17,0.0549,0.1416,0.0001,0.0443,0.0000,0.0000,0.2951,0.0000,0.0000,0.0401,0.0648,0.0402,0.0936,0.1498,0.0755
5,10,0.1037,0.9580,14.73,11.05,61.41,123.78,10.55,158.2,159.4,0.0,0.0000,0.7484,0.2514,0.0002,6.27e-16,0.0616,0.1347,0.0001,0.0447,0.0000,0.0000,0.2949,0.0000,0.0000,0.0378,0.0621,0.0453,0.0887,0.1414,0.0888
6,10,0.0954,0.9651,14.77,11.76,61.40,123.78,10.43,156.0,156.3,0.0,0.0000,0.7595,0.2403,0.0002,5.54e-16,0.0671,0.1288,0.0001,0.0447,0.0000,0.0000,0.2952,0.0000,0.0000,0.0361,0.0595,0.0496,0.0851,0.1350,0.0986
7,10,0.0888,0.9698,14.80,12.37,61.39,123.77,10.44,154.9,155.1,0.0,0.0000,0.7691,0.2306,0.0003,2.65e-16,0.0715,0.1236,0.0002,0.0450,0.0000,0.0000,0.2957,0.0000,0.0000,0.0347,0.0575,0.0530,0.0826,0.1296,0.1067
8,10,0.0882,0.9714,14.83,12.90,61.37,123.78,10.54,156.1,156.8,0.0,0.0000,0.7779,0.2215,0.0007,2.81e-16,0.0754,0.1187,0.0004,0.0464,0.0000,0.0000,0.2952,0.0000,0.0000,0.0334,0.0559,0.0558,0.0798,0.1259,0.1131
9,10,0.0829,0.9754,14.84,13.35,61.36,123.99,10.74,161.8,162.1,0.0,0.0000,0.7857,0.2129,0.0014,7.35e-16,0.0786,0.1141,0.0007,0.0475,0.0000,0.0000,0.2951,0.0000,0.0000,0.0326,0.0547,0.0580,0.0783,0.1221,0.1184
10,10,0.0868,0.9761,14.84,13.74,61.35,123.83,11.08,168.5,168.9,0.0,0.0000,0.7935,0.2042,0.0023,1.14e-15,0.0823,0.1094,0.0012,0.0494,0.0000,0.0000,0.2937,0.0000,0.0000,0.0318,0.0534,0.0600,0.0769,0.1188,0.1231
11,10,0.0997,0.9775,14.83,14.07,61.35,123.82,11.46,174.8,175.1,0.0,0.0000,0.8005,0.1962,0.0033,4.76e-16,0.0860,0.1052,0.0017,0.0511,0.0000,0.0000,0.2920,0.0000,0.0000,0.0311,0.0527,0.0614,0.0755,0.1166,0.1267
12,10,0.1002,0.9791,14.81,14.36,61.35,123.81,11.65,180.5,180.5,0.0,0.0000,0.8070,0.1889,0.0041,2.76e-16,0.0896,0.1013,0.0022,0.0499,0.0000,0.0000,0.2930,0.0000,0.0000,0.0307,0.0518,0.0628,0.0743,0.1142,0.1303
13,10,0.1036,0.9796,14.78,14.61,61.34,123.80,11.69,185.6,185.2,0.0,0.0000,0.8130,0.1822,0.0048,1.28e-16,0.0935,0.0977,0.0026,0.0495,0.0000,0.0000,0.2928,0.0000,0.0000,0.0303,0.0513,0.0636,0.0739,0.1122,0.1327
14,10,0.1092,0.9810,14.75,14.82,61.32,123.80,11.62,190.0,189.5,0.0,0.0000,0.8185,0.1759,0.0056,2.34e-16,0.0975,0.0943,0.0030,0.0490,0.0000,0.0000,0.2922,0.0000,0.0000,0.0297,0.0512,0.0643,0.0729,0.1108,0.1352
15,10,0.0993,0.9822,14.73,15.00,61.31,123.80,11.23,194.0,193.5,0.0,0.0000,0.8237,0.1698,0.0065,5.27e-16,0.1014,0.0910,0.0035,0.0463,0.0000,0.0000,0.2938,0.0000,0.0000,0.0295,0.0506,0.0650,0.0725,0.1087,0.1375
16,10,0.0862,0.9843,14.73,15.16,61.31,123.80,10.82,197.5,197.2,0.0,0.0000,0.8285,0.1642,0.0073,2.55e-16,0.1044,0.0880,0.0039,0.0442,0.0000,0.0000,0.2954,0.0000,0.0000,0.0291,0.0507,0.0654,0.0719,0.1084,0.1385
17,10,0.0851,0.9853,14.76,15.29,61.32,123.79,10.58,200.8,200.8,0.0,0.0000,0.8330,0.1589,0.0081,2.79e-16,0.1068,0.0852,0.0044,0.0445,0.0000,0.0000,0.2952,0.0000,0.0000,0.0289,0.0504,0.0658,0.0716,0.1073,0.1399
18,10,0.0801,0.9855,14.79,15.41,61.32,124.01,10.44,203.7,203.8,0.0,0.0000,0.8368,0.1543,0.0089,5.40e-17,0.1085,0.0827,0.0048,0.0446,0.0000,0.0000,0.2955,0.0000,0.0000,0.0288,0.0502,0.0662,0.0713,0.1061,0.1415
19,10,0.0770,0.9856,14.82,15.51,61.32,123.79,10.43,206.3,206.6,0.0,0.0000,0.8402,0.1499,0.0099,3.75e-16,0.1095,0.0804,0.0053,0.0450,0.0000,0.0000,0.2958,0.0000,0.0000,0.0285,0.0501,0.0666,0.0707,0.1058,0.1423
20,10,0.0756,0.9864,14.84,15.59,61.32,123.77,10.53,208.5,209.2,0.0,0.0000,0.8433,0.1458,0.0109,1.79e-16,0.1104,0.0782,0.0058,0.0461,0.0000,0.0000,0.2955,0.0000,0.0000,0.0284,0.0500,0.0668,0.0706,0.1051,0.1431
