year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,6,0.7882,NaN,20.63,13.39,44.59,55.53,52.90,997.5,879.5,110.1,0.0007,0.6284,0.1383,0.2308,2.35e-15,0.0079,0.0238,0.0540,0.0142,0.0110,0.0139,0.1652,0.0065,0.0008,0.0071,0.0079,0.0182,0.1975,0.1792,0.2928
2,6,0.7584,0.7213,20.75,21.89,22.09,55.50,52.83,1337.2,1142.3,174.1,0.0013,0.5772,0.1386,0.2797,1.99e-16,0.0033,0.0184,0.0635,0.0108,0.0104,0.0178,0.1579,0.0125,0.0021,0.0029,0.0088,0.0222,0.0643,0.2019,0.4033
3,5,0.7454,0.8688,20.77,24.29,19.56,55.29,52.84,1480.8,1261.0,211.0,0.0016,0.5614,0.1354,0.2977,3.45e-16,0.0024,0.0162,0.0665,0.0099,0.0096,0.0195,0.1550,0.0146,0.0027,0.0009,0.0095,0.0237,0.0000,0.2137,0.4559
4,5,0.7380,0.9936,20.77,24.97,19.01,55.32,52.86,1527.0,1299.4,223.4,0.0017,0.5568,0.1356,0.3017,3.19e-16,0.0022,0.0158,0.0670,0.0096,0.0094,0.0199,0.1541,0.0152,0.0030,0.0009,0.0095,0.0238,0.0000,0.2104,0.4591
5,6,0.7383,0.9988,20.77,25.17,18.85,55.59,52.87,1542.1,1312.3,227.3,0.0018,0.5553,0.1358,0.3029,2.80e-16,0.0021,0.0157,0.0672,0.0096,0.0093,0.0201,0.1538,0.0154,0.0030,0.0009,0.0095,0.0238,0.0000,0.2104,0.4591
6,6,0.7385,0.9993,20.77,25.22,18.80,55.48,52.89,1547.3,1317.2,228.5,0.0018,0.5547,0.1359,0.3033,1.11e-16,0.0021,0.0157,0.0672,0.0095,0.0093,0.0201,0.1537,0.0155,0.0030,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
7,6,0.7386,0.9996,20.77,25.24,18.79,55.27,52.91,1549.1,1319.0,228.9,0.0018,0.5546,0.1359,0.3035,5.16e-17,0.0021,0.0157,0.0672,0.0096,0.0092,0.0202,0.1536,0.0156,0.0030,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
8,6,0.7387,0.9996,20.77,25.24,18.79,55.34,52.93,1549.8,1319.7,229.1,0.0018,0.5545,0.1359,0.3035,7.53e-17,0.0021,0.0157,0.0672,0.0095,0.0092,0.0202,0.1536,0.0156,0.0030,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
9,6,0.7388,0.9996,20.77,25.24,18.78,55.54,52.94,1550.1,1320.0,229.1,0.0018,0.5544,0.1360,0.3035,1.76e-16,0.0021,0.0157,0.0672,0.0096,0.0092,0.0202,0.1536,0.0156,0.0030,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
10,6,0.7388,0.9996,20.77,25.24,18.78,55.52,52.95,1550.2,1320.1,229.1,0.0018,0.5544,0.1360,0.3035,2.55e-16,0.0021,0.0157,0.0672,0.0096,0.0091,0.0202,0.1536,0.0157,0.0030,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
11,6,0.7388,0.9996,20.77,25.24,18.78,55.26,52.95,1550.2,1320.2,229.1,0.0018,0.5544,0.1359,0.3035,8.46e-17,0.0021,0.0157,0.0672,0.0096,0.0091,0.0203,0.1536,0.0157,0.0029,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
12,6,0.7387,0.9996,20.78,25.24,18.78,55.37,52.95,1550.2,1320.2,229.2,0.0018,0.5544,0.1359,0.3035,7.46e-17,0.0021,0.0157,0.0672,0.0095,0.0091,0.0203,0.1536,0.0157,0.0029,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
13,6,0.7386,0.9996,20.78,25.24,18.79,55.55,52.95,1550.1,1320.3,229.2,0.0018,0.5544,0.1359,0.3035,1.40e-16,0.0021,0.0157,0.0672,0.0095,0.0091,0.0203,0.1536,0.0157,0.0029,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
14,6,0.7385,0.9996,20.78,25.24,18.79,55.43,52.93,1550.0,1320.4,229.2,0.0018,0.5544,0.1359,0.3035,8.63e-17,0.0021,0.0157,0.0672,0.0095,0.0091,0.0203,0.1536,0.0157,0.0029,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
15,6,0.7383,0.9996,20.78,25.24,18.79,55.32,52.92,1549.8,1320.6,229.2,0.0018,0.5544,0.1360,0.3035,2.12e-17,0.0021,0.0157,0.0672,0.0095,0.0091,0.0204,0.1536,0.0157,0.0029,0.0009,0.0095,0.0239,0.0000,0.2104,0.4591
