year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,11,0.5126,NaN,12.12,8.74,37.47,27.97,13.96,355.7,372.0,0.1,0.0000,0.3131,0.6649,0.0220,1.43e-15,0.0092,0.0903,0.0033,0.0292,0.0792,0.0034,0.0727,0.0666,0.0012,0.0632,0.0984,0.0201,0.1527,0.2632,0.0475
2,12,0.3962,0.6873,12.27,12.16,38.49,27.98,13.88,407.0,398.0,1.4,0.0000,0.4087,0.4936,0.0977,1.36e-15,0.0275,0.0623,0.0121,0.0540,0.0464,0.0108,0.0636,0.0666,0.0117,0.0480,0.0712,0.0624,0.1284,0.1783,0.1566
3,14,0.3615,0.8232,12.31,13.90,39.22,27.99,13.92,496.4,481.8,4.0,0.0000,0.4016,0.3434,0.2549,3.81e-16,0.0375,0.0339,0.0302,0.0594,0.0328,0.0190,0.0457,0.0553,0.0413,0.0417,0.0665,0.0735,0.1161,0.1557,0.1915
4,15,0.3328,0.9186,12.32,14.78,39.79,27.97,13.95,556.1,539.7,7.7,0.0003,0.3797,0.2841,0.3352,3.54e-17,0.0400,0.0274,0.0341,0.0580,0.0285,0.0246,0.0368,0.0450,0.0603,0.0392,0.0648,0.0780,0.1119,0.1468,0.2047
5,15,0.3229,0.9521,12.33,15.23,40.09,27.98,13.92,584.6,568.1,10.3,0.0008,0.3521,0.2688,0.3769,5.42e-17,0.0394,0.0255,0.0364,0.0544,0.0280,0.0287,0.0312,0.0420,0.0687,0.0380,0.0638,0.0806,0.1088,0.1420,0.2125
6,15,0.3197,0.9728,12.33,15.45,40.24,27.97,13.87,601.5,584.3,12.1,0.0011,0.3302,0.2637,0.4030,1.86e-16,0.0383,0.0245,0.0383,0.0514,0.0279,0.0316,0.0275,0.0411,0.0731,0.0376,0.0633,0.0818,0.1079,0.1395,0.2159
7,15,0.3187,0.9818,12.33,15.57,40.31,27.98,13.90,612.3,594.4,13.2,0.0013,0.3169,0.2567,0.4227,3.96e-16,0.0373,0.0235,0.0402,0.0498,0.0270,0.0342,0.0254,0.0406,0.0757,0.0372,0.0634,0.0823,0.1062,0.1403,0.2169
8,15,0.3162,0.9885,12.33,15.63,40.35,27.98,13.95,619.0,601.1,13.9,0.0015,0.3083,0.2508,0.4366,8.14e-17,0.0365,0.0226,0.0419,0.0485,0.0264,0.0360,0.0244,0.0400,0.0772,0.0374,0.0632,0.0827,0.1062,0.1393,0.2179
9,15,0.3182,0.9918,12.34,15.66,40.38,27.97,13.93,622.4,605.3,14.2,0.0017,0.3025,0.2468,0.4458,3.01e-16,0.0358,0.0219,0.0432,0.0477,0.0260,0.0371,0.0239,0.0397,0.0780,0.0374,0.0631,0.0828,0.1062,0.1388,0.2184
10,15,0.3165,0.9935,12.34,15.68,40.39,27.99,13.88,624.8,607.9,14.4,0.0019,0.2987,0.2440,0.4519,7.16e-17,0.0352,0.0214,0.0442,0.0473,0.0256,0.0379,0.0236,0.0396,0.0783,0.0373,0.0633,0.0830,0.1060,0.1385,0.2189
11,15,0.3157,0.9951,12.33,15.68,40.39,27.98,13.88,626.2,608.6,14.5,0.0021,0.2959,0.2421,0.4561,1.05e-16,0.0347,0.0210,0.0449,0.0470,0.0254,0.0384,0.0233,0.0396,0.0786,0.0372,0.0635,0.0831,0.1058,0.1386,0.2190
12,15,0.3177,0.9960,12.33,15.69,40.39,27.98,13.94,627.5,609.9,14.5,0.0023,0.2938,0.2408,0.4590,4.02e-17,0.0344,0.0207,0.0455,0.0467,0.0253,0.0387,0.0232,0.0395,0.0787,0.0373,0.0634,0.0832,0.1058,0.1382,0.2193
13,15,0.3177,0.9969,12.34,15.69,40.40,27.98,13.94,627.5,610.3,14.6,0.0024,0.2924,0.2397,0.4610,6.91e-17,0.0341,0.0204,0.0459,0.0464,0.0253,0.0390,0.0233,0.0394,0.0787,0.0374,0.0634,0.0833,0.1058,0.1382,0.2193
14,15,0.3173,0.9972,12.34,15.69,40.40,27.98,13.89,628.1,611.5,14.8,0.0025,0.2913,0.2391,0.4624,2.69e-16,0.0338,0.0203,0.0463,0.0463,0.0252,0.0392,0.0232,0.0395,0.0787,0.0374,0.0634,0.0833,0.1058,0.1382,0.2193
15,15,0.3174,0.9974,12.34,15.69,40.39,27.99,13.87,628.4,611.0,14.8,0.0027,0.2902,0.2386,0.4637,1.01e-16,0.0336,0.0201,0.0466,0.0463,0.0251,0.0392,0.0231,0.0395,0.0788,0.0375,0.0635,0.0833,0.1058,0.1382,0.2193
16,15,0.3177,0.9973,12.33,15.69,40.39,27.97,13.93,629.1,611.7,14.9,0.0028,0.2890,0.2384,0.4647,1.73e-16,0.0334,0.0200,0.0469,0.0461,0.0252,0.0393,0.0231,0.0395,0.0788,0.0376,0.0635,0.0834,0.1058,0.1382,0.2193
17,14,0.3179,0.9976,12.33,15.69,40.40,27.98,13.95,628.9,611.6,14.9,0.0029,0.2882,0.2381,0.4656,3.92e-17,0.0333,0.0199,0.0471,0.0458,0.0253,0.0395,0.0232,0.0394,0.0787,0.0376,0.0635,0.0834,0.1058,0.1382,0.2193
18,14,0.3176,0.9977,12.34,15.69,40.40,27.98,13.91,629.1,612.6,15.0,0.0030,0.2876,0.2378,0.4663,2.39e-17,0.0331,0.0198,0.0473,0.0458,0.0253,0.0395,0.0232,0.0394,0.0787,0.0376,0.0636,0.0834,0.1058,0.1382,0.2193
19,14,0.3174,0.9979,12.34,15.69,40.40,27.98,13.87,629.3,612.2,15.0,0.0030,0.2871,0.2374,0.4670,1.19e-16,0.0330,0.0196,0.0475,0.0458,0.0252,0.0395,0.0231,0.0394,0.0787,0.0377,0.0636,0.0834,0.1058,0.1382,0.2193
20,14,0.3176,0.9978,12.33,15.69,40.39,27.98,13.92,629.9,612.5,15.1,0.0031,0.2867,0.2370,0.4675,1.55e-16,0.0330,0.0195,0.0477,0.0458,0.0252,0.0395,0.0231,0.0394,0.0788,0.0377,0.0636,0.0835,0.1058,0.1382,0.2193
