year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,10,0.4786,NaN,4.42,-2.68,44.58,5.38,1.74,65.6,83.6,0.4,0.0002,0.3792,0.4730,0.1476,3.69e-17,0.0261,0.1793,0.0578,0.2039,0.1210,0.0360,0.0107,0.0000,0.0000,0.1643,0.0902,0.0000,0.0677,0.0430,0.0000
2,9,0.4110,0.7620,4.59,-0.07,45.67,5.38,1.53,91.6,68.7,0.8,0.0005,0.4060,0.3342,0.2591,5.22e-16,0.0171,0.1190,0.1242,0.2257,0.0932,0.0403,0.0149,0.0000,0.0000,0.1487,0.1059,0.0001,0.0638,0.0469,0.0000
3,9,0.4090,0.7641,4.62,1.09,46.18,5.38,1.53,130.2,97.2,6.1,0.0014,0.2323,0.3175,0.4481,1.63e-15,0.0067,0.0709,0.1819,0.1312,0.1257,0.1012,0.0096,0.0050,0.0014,0.1432,0.1070,0.0055,0.0625,0.0460,0.0022
4,10,0.3103,0.8193,4.63,1.60,46.47,5.38,1.53,153.4,116.7,15.4,0.0034,0.1574,0.2355,0.6018,8.75e-16,0.0043,0.0443,0.2102,0.0878,0.1040,0.1648,0.0079,0.0013,0.0071,0.1408,0.0929,0.0239,0.0620,0.0336,0.0151
5,10,0.2680,0.9371,4.63,1.83,46.61,5.38,1.52,162.1,123.7,21.3,0.0057,0.1359,0.2013,0.6539,7.36e-16,0.0036,0.0349,0.2195,0.0748,0.0928,0.1876,0.0079,0.0002,0.0081,0.1401,0.0901,0.0297,0.0617,0.0305,0.0185
6,11,0.2559,0.9763,4.63,1.94,46.67,5.38,1.53,165.3,126.0,24.2,0.0074,0.1277,0.1911,0.6696,1.60e-16,0.0031,0.0312,0.2230,0.0700,0.0901,0.1941,0.0079,0.0001,0.0082,0.1403,0.0890,0.0323,0.0617,0.0289,0.0202
7,11,0.2487,0.9897,4.63,1.98,46.70,5.38,1.53,166.6,126.8,25.3,0.0085,0.1244,0.1871,0.6750,1.53e-16,0.0028,0.0293,0.2247,0.0681,0.0895,0.1957,0.0080,0.0001,0.0082,0.1408,0.0883,0.0338,0.0617,0.0284,0.0206
8,11,0.2470,0.9949,4.63,2.00,46.71,5.38,1.52,167.1,127.1,25.7,0.0094,0.1225,0.1852,0.6775,2.64e-16,0.0026,0.0281,0.2258,0.0672,0.0895,0.1963,0.0080,0.0000,0.0082,0.1411,0.0888,0.0338,0.0617,0.0284,0.0206
9,11,0.2487,0.9952,4.63,2.01,46.71,5.38,1.53,167.5,127.3,26.0,0.0105,0.1215,0.1829,0.6790,2.90e-17,0.0025,0.0270,0.2266,0.0667,0.0891,0.1965,0.0080,0.0000,0.0081,0.1415,0.0890,0.0343,0.0617,0.0281,0.0209
10,11,0.2468,0.9959,4.63,2.02,46.72,5.38,1.52,167.6,127.5,26.2,0.0115,0.1209,0.1810,0.6799,0.00e0,0.0023,0.0262,0.2271,0.0665,0.0887,0.1966,0.0080,0.0000,0.0080,0.1420,0.0893,0.0346,0.0617,0.0278,0.0213
