year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,6,0.6134,NaN,-4.99,-8.87,20.06,16.99,25.06,47.5,58.6,0.0,0.0000,0.1485,0.8441,0.0074,2.80e-15,0.0605,0.3231,0.0047,0.0355,0.2221,0.0000,0.0000,0.0000,0.0000,0.1833,0.0000,0.0000,0.1707,0.0000,0.0000
2,6,0.6095,0.8554,-4.91,-6.76,18.50,16.94,25.09,44.7,50.8,0.3,0.0000,0.3547,0.6282,0.0171,3.94e-16,0.1222,0.2529,0.0106,0.1069,0.1530,0.0005,0.0000,0.0000,0.0000,0.1832,0.0001,0.0000,0.1707,0.0000,0.0000
3,6,0.6193,0.8982,-4.89,-5.56,17.64,16.89,25.10,41.7,46.2,0.3,0.0000,0.4913,0.4800,0.0287,9.41e-16,0.1673,0.2007,0.0174,0.1501,0.1093,0.0011,0.0000,0.0000,0.0000,0.1810,0.0023,0.0000,0.1700,0.0007,0.0000
4,7,0.6274,0.9199,-4.88,-4.87,17.15,16.93,25.10,39.6,42.9,0.3,0.0000,0.5832,0.3786,0.0382,1.84e-16,0.2031,0.1596,0.0224,0.1737,0.0849,0.0022,0.0000,0.0000,0.0000,0.1738,0.0095,0.0000,0.1673,0.0034,0.0000
5,7,0.6256,0.9453,-4.88,-4.48,16.87,16.99,25.09,38.0,40.5,0.2,0.0000,0.6453,0.3113,0.0434,7.83e-17,0.2289,0.1311,0.0248,0.1880,0.0700,0.0032,0.0000,0.0000,0.0000,0.1700,0.0133,0.0000,0.1667,0.0040,0.0000
6,7,0.6250,0.9626,-4.88,-4.26,16.72,16.97,25.10,36.9,38.8,0.2,0.0000,0.6841,0.2710,0.0449,4.24e-16,0.2457,0.1138,0.0252,0.1962,0.0612,0.0039,0.0000,0.0000,0.0000,0.1679,0.0154,0.0000,0.1664,0.0043,0.0000
7,7,0.6233,0.9760,-4.87,-4.13,16.64,16.91,25.11,36.0,37.5,0.2,0.0000,0.7044,0.2510,0.0446,7.52e-16,0.2547,0.1058,0.0245,0.2003,0.0563,0.0044,0.0000,0.0000,0.0000,0.1667,0.0166,0.0000,0.1663,0.0044,0.0000
8,7,0.6236,0.9800,-4.87,-4.06,16.58,16.89,25.10,35.3,36.6,0.1,0.0000,0.7195,0.2380,0.0424,9.17e-16,0.2619,0.1002,0.0229,0.2029,0.0535,0.0045,0.0000,0.0000,0.0000,0.1661,0.0171,0.0000,0.1662,0.0045,0.0000
9,7,0.6243,0.9829,-4.87,-4.01,16.55,16.97,25.09,34.8,35.8,0.1,0.0000,0.7313,0.2294,0.0393,6.91e-16,0.2672,0.0964,0.0211,0.2052,0.0518,0.0043,0.0000,0.0000,0.0000,0.1655,0.0178,0.0000,0.1662,0.0045,0.0000
10,6,0.6266,0.9830,-4.87,-3.99,16.54,16.99,25.09,34.3,35.2,0.1,0.0000,0.7441,0.2200,0.0358,2.01e-16,0.2736,0.0920,0.0190,0.2071,0.0502,0.0042,0.0000,0.0000,0.0000,0.1651,0.0182,0.0000,0.1661,0.0046,0.0000
11,6,0.6265,0.9838,-4.87,-3.98,16.53,16.95,25.10,33.9,34.8,0.1,0.0000,0.7567,0.2116,0.0317,7.42e-17,0.2804,0.0880,0.0164,0.2085,0.0487,0.0041,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
12,6,0.6246,0.9861,-4.87,-3.97,16.53,16.89,25.11,33.6,34.4,0.1,0.0000,0.7688,0.2023,0.0289,4.74e-16,0.2870,0.0835,0.0146,0.2097,0.0472,0.0041,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
13,6,0.6244,0.9875,-4.87,-3.96,16.52,16.91,25.10,33.3,34.0,0.1,0.0000,0.7804,0.1925,0.0271,2.09e-16,0.2934,0.0779,0.0137,0.2107,0.0465,0.0038,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
14,6,0.6242,0.9885,-4.87,-3.96,16.51,16.99,25.09,33.0,33.7,0.1,0.0000,0.7917,0.1828,0.0255,1.51e-16,0.2986,0.0731,0.0130,0.2129,0.0450,0.0035,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
15,6,0.6235,0.9887,-4.87,-3.96,16.52,16.98,25.09,32.7,33.3,0.1,0.0000,0.8028,0.1737,0.0235,4.06e-16,0.3036,0.0689,0.0120,0.2149,0.0433,0.0032,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
16,6,0.6214,0.9895,-4.87,-3.96,16.52,16.92,25.11,32.4,33.0,0.1,0.0000,0.8129,0.1655,0.0215,3.30e-16,0.3085,0.0653,0.0111,0.2166,0.0417,0.0028,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
17,6,0.6212,0.9911,-4.87,-3.96,16.52,16.89,25.11,32.2,32.7,0.1,0.0000,0.8205,0.1601,0.0194,3.45e-16,0.3119,0.0629,0.0101,0.2181,0.0405,0.0024,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
18,6,0.6219,0.9925,-4.87,-3.96,16.51,16.95,25.10,31.9,32.4,0.1,0.0000,0.8263,0.1564,0.0172,2.25e-16,0.3143,0.0612,0.0092,0.2195,0.0398,0.0019,0.0000,0.0000,0.0000,0.1649,0.0184,0.0000,0.1661,0.0046,0.0000
