step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed
10000,1791,1.054,0.676,8.03,78301,35664,1034,438,6679,44999,1028695.7,492027.4,0.252,0.454,0.111,0.184,78,22.50,17.62,1.48,4.94,1.51,5.84,1.12,4.67,20.19,14.28,0.04,0.34,0.042,0.147,642,0.060,0.075,0.905,0.000,0.020,271779,265047,13,0.420,0.365,0.101,3249714,0.254,2.434,0.055,8.23,85218,259,10.934,0.498,0.256,7432988,1.38,11.12,0.112,0.071,0.012,5.9,17.9,48.2,101.5,43513,0.166,0.00,0.0028,0.051,300,0.814,0.000,0.617,0.718,4.14,5.17,5.65,0.06,0.021,1.41,1.35,1.40,0.816,0.00107,1.23,95.6579,3585.77,100519.5,140185.7,4.938,142.1830,139.540,0.000,1.000,0.194,51.0,54.275,247.577,711,2624.1,74.62,29.080,6.82,178.179,4474.0,83.161,0.134,2.00,14.4288,25841.9,0.7381,0.3462,24.30,0.874,0.165,1.5345,0.0000,0.508,0.075,0.569,0.0000,8.17,1.28,7,20,49,100,51.0866,1.2729,0.4802,0.0000,0.0000,58.8359,100.00,78.5104,432.4715,0.0,0.0000,0.0000,0.6619,0.5103,34125,0.3289,0.0000,0.0000
20000,2337,0.897,0.443,10.11,49732,30685,555,267,4035,20160,413550.2,141144.3,0.120,0.604,0.049,0.226,177,14.09,11.49,0.35,2.71,1.05,4.33,0.54,3.14,14.87,10.11,0.00,0.07,0.046,0.168,881,0.061,0.095,0.866,0.001,0.038,89968,85198,7,0.776,0.078,0.070,996938,0.209,2.035,0.033,10.20,33436,475,7.001,0.337,0.268,4877717,1.08,12.40,0.009,0.068,0.002,4.6,10.9,28.7,121.3,39298,0.150,0.00,0.0012,0.079,445,0.644,0.000,0.783,0.479,3.62,3.85,6.09,0.01,0.003,1.07,1.09,1.09,0.645,0.00077,1.59,24.1635,2937.22,110137.0,140185.7,0.345,30.0943,70.624,0.000,1.000,0.305,59.2,31.165,68.344,327,1123.3,37.92,7.728,4.82,50.098,2869.3,31.173,0.133,2.00,8.5453,19970.3,0.6629,0.4498,16.82,0.812,0.124,0.4655,0.0000,0.498,0.113,0.511,0.0000,8.02,1.21,6,14,32,81,28.8871,0.4761,0.4643,0.0000,0.0000,14.0366,100.00,108.9678,257.6684,0.0,0.0000,0.0000,0.6339,0.5803,13644,0.3289,0.0000,0.0000
30000,2172,0.943,0.662,9.15,198312,90072,546,4699,25781,181111,1224697.4,841744.1,0.146,0.561,0.055,0.238,92,18.26,15.46,0.87,3.50,2.70,6.19,0.50,3.03,13.82,11.27,0.03,0.38,0.102,0.199,1057,0.018,0.070,0.911,0.000,0.019,513010,489633,12,0.290,0.360,0.049,1624007,0.237,2.492,0.051,9.72,174620,338,4.648,0.370,0.335,16491034,1.26,13.58,0.015,0.197,0.009,4.3,13.6,38.3,109.2,38846,0.148,0.00,0.0041,0.075,301,0.789,0.000,0.896,0.620,3.61,4.45,5.24,0.08,0.031,1.22,1.28,1.28,0.793,0.00141,2.31,134.6956,4371.05,104162.7,140185.7,10.498,113.9608,185.794,0.000,1.000,0.191,51.1,66.792,246.206,526,1986.9,50.02,11.370,4.67,171.628,4173.3,117.419,0.135,2.00,10.2571,22278.4,0.8970,0.5815,17.88,0.969,0.150,1.5345,0.0000,0.500,0.101,0.464,0.0000,8.19,1.14,4,15,36,102,60.3887,3.3462,0.5069,0.0000,0.0000,57.2448,100.00,86.2879,529.2648,0.0,0.0000,0.0000,0.6941,0.4487,77379,0.3289,0.0000,0.0000
40000,2386,1.039,0.458,9.91,56301,32518,466,1852,5352,102830,429308.5,185803.9,0.130,0.593,0.063,0.214,177,19.22,16.56,0.57,3.00,3.64,8.15,0.16,1.18,14.55,10.90,0.00,0.08,0.099,0.197,1221,0.018,0.088,0.891,0.000,0.021,93649,84912,5,0.696,0.044,0.029,554582,0.187,2.120,0.035,9.59,36137,388,1.807,0.234,0.326,5865023,1.13,13.13,0.043,0.303,0.003,4.0,13.8,43.5,154.3,45127,0.172,0.00,0.0012,0.079,590,0.700,0.000,0.807,0.432,3.74,4.28,5.86,0.09,0.035,1.15,1.10,1.14,0.705,0.00082,1.31,25.6867,3170.37,110339.3,140185.7,0.238,30.1398,74.141,0.000,1.000,0.253,53.3,31.179,69.296,256,806.1,45.39,7.088,4.41,51.107,3207.5,33.424,0.135,2.00,7.9151,18885.5,0.7079,0.5019,18.91,0.939,0.178,0.4655,0.0000,0.519,0.075,0.605,0.0000,8.26,1.26,5,16,37,85,28.1753,1.0406,0.4413,0.0000,0.0000,14.0231,100.00,108.6659,280.4016,0.0,0.0000,0.0000,0.6882,0.6045,15899,0.3289,0.0000,0.0000
50000,2029,1.068,0.723,11.95,154421,66404,563,15124,16685,691438,1127199.6,912492.7,0.069,0.662,0.087,0.182,93,24.51,20.43,0.99,3.72,4.90,6.56,0.08,0.92,10.37,8.68,0.13,0.66,0.138,0.168,1291,0.029,0.068,0.922,0.000,0.010,392779,352499,8,0.285,0.434,0.017,419631,0.204,2.869,0.056,9.41,150123,317,1.320,0.245,0.366,16306455,1.32,10.29,0.152,0.560,0.048,3.3,19.1,48.2,138.2,33151,0.126,0.00,0.0054,0.123,266,0.797,0.000,0.864,0.614,3.27,4.27,4.59,0.24,0.081,1.37,1.21,1.36,0.809,0.00279,1.97,117.3319,4106.95,102918.2,140185.7,6.174,131.7974,163.408,0.000,1.000,0.213,45.5,55.772,246.692,545,2145.4,101.61,11.258,4.79,178.897,5250.0,106.739,0.135,2.00,10.9509,22219.5,1.0846,0.5076,16.34,1.300,0.423,1.5345,0.0000,0.476,0.103,0.422,0.0000,6.96,1.94,3,15,30,98,47.3914,2.7157,0.4953,0.0000,0.0000,54.9487,100.00,84.4577,465.1076,0.0,0.0000,0.0000,0.7338,0.5208,56002,0.3289,0.0000,0.0000
60000,2054,1.341,0.537,11.41,50628,29673,316,4478,3048,251528,420048.8,264288.4,0.078,0.685,0.079,0.158,178,26.32,25.54,0.57,3.47,4.08,6.84,0.35,2.11,12.56,7.99,0.02,0.19,0.084,0.130,1070,0.049,0.107,0.875,0.000,0.018,93480,81037,6,0.515,0.053,0.039,282488,0.195,2.392,0.040,9.97,38161,429,1.051,0.188,0.357,6253802,1.16,11.38,0.142,0.387,0.008,4.4,13.9,69.5,182.4,36084,0.138,0.00,0.0016,0.071,440,0.679,0.000,0.741,0.485,3.43,4.34,5.30,0.10,0.035,1.16,1.15,1.18,0.690,0.00169,1.30,27.1752,3461.66,108466.4,140185.7,0.116,33.2392,71.529,0.000,1.000,0.203,45.1,28.532,68.633,342,1206.7,64.51,6.796,5.00,51.246,3765.8,32.108,0.135,2.00,9.2707,19042.0,0.8189,0.5245,17.57,1.284,0.502,0.4655,0.0000,0.408,0.091,0.132,0.0000,7.62,1.70,5,15,36,64,24.5562,0.4978,0.4255,0.0000,0.0000,13.6374,100.00,108.9671,254.2701,0.0,0.0000,0.0000,0.6760,0.6058,13088,0.3289,0.0000,0.0000
70000,2316,1.270,0.711,14.01,161584,68400,503,14288,14205,585848,1152786.1,994251.0,0.122,0.631,0.082,0.165,91,21.46,18.10,0.47,2.41,3.65,5.45,0.13,1.04,9.13,7.76,0.01,0.16,0.127,0.158,1358,0.040,0.074,0.900,0.001,0.025,416577,370993,8,0.306,0.478,0.035,1140674,0.232,2.610,0.056,8.54,158547,326,1.697,0.255,0.429,15767971,1.16,10.00,0.105,0.476,0.005,4.0,16.0,49.0,198.1,30997,0.118,0.00,0.0054,0.089,381,0.785,0.000,0.864,0.618,2.74,3.72,4.42,0.04,0.023,1.13,1.19,1.17,0.796,0.00234,1.83,131.5655,4188.55,104127.6,140185.7,6.604,134.8996,165.709,0.000,1.000,0.164,40.6,52.834,247.167,519,2060.4,53.20,9.556,4.79,179.627,5050.9,111.082,0.136,2.00,8.8251,20439.0,1.1099,0.6138,13.38,1.517,0.505,1.5345,0.0000,0.482,0.110,0.425,0.0000,6.53,2.15,3,11,25,64,44.5603,2.8569,0.3964,0.0000,0.0000,54.8012,100.00,82.4001,449.4398,0.0,0.0000,0.0000,0.7231,0.4709,63926,0.3289,0.0000,0.0000
80000,2299,1.085,0.560,16.91,62868,36408,111,9221,2810,357091,410713.6,306063.7,0.056,0.717,0.067,0.161,160,17.60,11.98,0.44,2.58,2.67,4.55,0.14,1.02,9.56,8.99,0.00,0.02,0.109,0.166,1271,0.021,0.091,0.880,0.000,0.030,101511,83383,4,0.449,0.238,0.032,374427,0.160,2.249,0.045,10.44,47720,318,0.857,0.232,0.325,7042974,1.17,12.30,0.140,0.452,0.000,4.0,14.3,32.0,100.0,29458,0.112,0.00,0.0019,0.077,514,0.661,0.000,0.778,0.411,2.66,4.07,4.21,0.01,0.007,1.15,1.20,1.19,0.675,0.00168,1.23,25.5463,2468.67,112460.6,140185.7,0.016,33.5691,74.936,0.000,1.000,0.229,45.1,28.837,68.538,449,1532.5,47.94,7.323,4.50,51.134,4824.4,30.758,0.137,1.99,6.6120,15200.9,0.9319,0.5086,12.81,1.382,0.536,0.4655,0.0000,0.395,0.143,0.186,0.0000,7.17,2.71,3,12,23,81,24.6010,0.3806,0.4097,0.0000,0.0000,13.4535,100.00,109.9906,220.8819,0.0,0.0000,0.0000,0.6759,0.5974,14335,0.3289,0.0000,0.0000
90000,2881,0.930,0.510,13.36,216495,94040,506,17681,17872,521353,1140458.0,893477.2,0.102,0.626,0.102,0.170,75,16.27,13.54,0.75,3.02,1.54,3.57,0.23,1.78,10.33,8.87,0.01,0.14,0.055,0.121,1378,0.027,0.082,0.887,0.000,0.031,428529,381454,10,0.250,0.465,0.042,2014829,0.194,2.225,0.042,10.45,175389,303,1.714,0.239,0.307,18786223,1.25,15.97,0.073,0.327,0.005,3.7,12.0,33.6,96.0,37001,0.141,0.00,0.0038,0.082,590,0.760,0.000,0.881,0.505,2.85,4.14,4.04,0.04,0.021,1.25,1.29,1.26,0.769,0.00179,2.20,116.5503,2921.02,104828.8,140185.7,6.207,125.7833,183.847,0.000,1.000,0.190,61.8,60.842,246.493,430,1497.1,67.92,12.007,4.84,176.935,3663.5,108.049,0.134,2.00,8.0928,23315.2,1.0379,0.6107,12.84,1.191,0.454,1.5345,0.0000,0.406,0.144,0.274,0.0000,8.05,2.21,4,11,24,78,52.8433,2.8479,0.4491,0.0000,0.0000,55.6088,100.00,83.5759,467.5071,0.0,0.0000,0.0000,0.6771,0.4596,85814,0.3289,0.0000,0.0000
100000,2746,0.954,0.423,13.63,68392,41700,310,3927,4652,175013,453316.5,229721.7,0.079,0.639,0.080,0.202,166,17.37,15.73,0.91,3.72,1.76,4.26,0.17,1.46,10.59,7.43,0.01,0.19,0.054,0.120,1292,0.054,0.101,0.869,0.000,0.030,99530,83646,5,0.391,0.272,0.028,571306,0.164,1.936,0.033,11.97,43794,391,1.313,0.200,0.308,6754639,1.31,15.86,0.069,0.330,0.008,4.5,12.0,36.0,226.0,36908,0.141,0.00,0.0016,0.092,631,0.642,0.000,0.826,0.354,2.95,3.42,5.05,0.06,0.032,1.24,1.35,1.34,0.649,0.00114,1.74,26.1724,2355.12,111466.2,140185.7,0.314,27.1234,81.814,0.000,1.000,0.292,56.7,33.577,66.870,309,1070.9,59.11,6.939,4.05,48.068,3175.9,33.603,0.135,2.00,6.6144,18163.1,0.8005,0.5373,13.44,1.169,0.442,0.4655,0.0000,0.373,0.129,0.085,0.0000,8.17,2.07,5,12,24,96,29.7198,0.7330,0.4268,0.0000,0.0000,14.1794,100.00,109.0704,276.9090,0.0,0.0000,0.0000,0.6180,0.5747,17938,0.3289,0.0000,0.0000
