step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,2663,0.9140,33473.6,921,878,960,825,27,25,26,26114,28421,32625,0,0,0,1.000,1.000,1.000,677,233,19
2000,2648,0.8935,60100.1,1814,858,961,829,26,29,30,16242,18253,24205,0,0,0,1.000,1.000,1.000,657,231,18
3000,2624,0.9108,77928.5,2678,857,938,829,25,23,25,10357,12565,18413,0,0,0,1.000,1.000,1.000,651,217,14
4000,2265,0.6428,43854.2,624,776,856,633,28,20,30,24825,23334,28264,0,0,0,1.000,1.000,1.000,595,266,26
5000,2692,0.5996,60657.7,804,1035,1025,632,54,42,49,18803,20123,24675,0,0,0,1.000,1.000,1.000,820,290,25
6000,2687,0.6498,70597.9,1095,1065,1002,620,61,64,60,15068,17682,23451,0,0,0,1.000,1.000,1.000,823,246,30
7000,3089,0.5811,58830.3,721,1268,971,850,77,68,99,20040,21552,26611,0,0,0,1.000,1.000,1.000,1002,267,27
8000,3080,0.5438,57441.2,696,1222,1016,842,90,84,97,20845,22146,27007,0,0,0,1.000,1.000,1.000,970,244,31
9000,2706,0.5743,56459.7,840,1104,944,658,84,98,96,20328,23081,28941,0,0,0,1.000,1.000,1.000,866,229,22
10000,2696,0.5872,43844.3,752,1168,925,603,104,81,103,24472,27433,33270,0,0,0,1.000,1.000,1.000,935,228,20
11000,2346,0.6078,32048.9,757,1033,737,576,101,66,138,29863,32256,36994,0,0,0,1.000,1.000,1.000,841,203,14
12000,1897,0.6468,22717.5,852,899,617,381,102,87,103,32223,37285,41442,0,0,0,1.000,1.000,1.000,721,157,10
13000,1487,0.7108,14911.4,1053,746,447,294,72,110,130,34977,41196,44776,0,0,0,1.000,1.000,1.000,588,114,7
14000,1081,0.6975,10800.1,1109,630,271,180,37,127,106,35910,43480,47116,0,0,0,1.000,1.000,1.000,560,70,3
15000,626,0.6661,6718.1,886,459,129,38,27,92,35,37177,44964,48857,0,0,0,1.000,1.000,1.000,403,34,2
