step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
49000,2200,0.4745,21411.0,435,953,715,532,84,100,113,33123,32942,35794,0,0,0,1.000,1.000,1.000,756,183,16
50000,2163,0.5340,21154.1,544,892,738,533,88,101,89,34112,34044,37042,0,0,0,1.000,1.000,1.000,713,165,11
51000,1821,0.5233,16953.5,595,845,611,365,92,63,70,35283,36881,39592,0,0,0,1.000,1.000,1.000,654,169,5
52000,1300,0.6000,10534.9,547,619,431,250,65,100,85,38709,40857,42826,0,0,0,1.000,1.000,1.000,536,128,11
53000,934,0.6103,6005.5,481,585,225,124,38,90,57,40245,44078,45260,0,0,0,1.000,1.000,1.000,491,77,10
54000,647,0.5920,3502.2,513,445,155,47,14,73,32,41090,45567,46897,0,0,0,1.000,1.000,1.000,409,60,0
55000,404,0.6114,3602.4,714,320,73,11,6,45,11,41343,45961,47200,0,0,0,1.000,1.000,1.000,300,27,1
56000,533,0.5141,3629.7,500,452,61,20,7,52,20,40781,46168,47485,0,0,0,1.000,1.000,1.000,412,14,0
57000,533,0.5253,3742.8,492,406,86,41,10,49,39,40270,45833,47550,0,0,0,1.000,1.000,1.000,377,29,1
58000,787,0.5515,6680.7,487,633,100,54,23,65,53,37399,45283,48066,0,0,0,1.000,1.000,1.000,570,24,1
59000,1319,0.4329,11192.8,429,837,307,175,44,82,66,33716,42348,47397,0,0,0,1.000,1.000,1.000,753,48,11
60000,2282,0.4115,19294.5,376,1171,741,370,56,98,106,30879,36197,44687,0,0,0,1.000,1.000,1.000,953,228,11
61000,3378,0.3715,25849.4,363,1404,1198,776,113,123,143,28121,31815,40204,0,0,0,1.000,1.000,1.000,1140,319,10
62000,3720,0.3438,21022.7,284,1400,1290,1030,109,142,164,30824,31405,36967,0,0,0,1.000,1.000,1.000,1141,347,35
63000,3757,0.3447,27447.6,312,1209,1552,996,119,137,135,29432,28750,34236,0,0,0,1.000,1.000,1.000,947,258,45
64000,4200,0.4076,30966.1,322,1358,1782,1060,133,130,125,29452,27500,32738,0,0,0,1.000,1.000,1.000,1015,428,45
65000,4106,0.4128,35192.6,408,1461,1663,982,126,135,145,27427,26931,30700,0,0,0,1.000,1.000,1.000,1108,363,15
66000,4001,0.4096,40842.6,422,1403,1574,1024,101,132,101,26324,24931,29390,0,0,0,1.000,1.000,1.000,1058,406,25
67000,3707,0.4308,38799.4,469,1420,1379,908,135,137,149,25126,25711,30286,0,0,0,1.000,1.000,1.000,1110,394,45
68000,3610,0.4025,38552.8,484,1368,1324,918,116,132,145,26128,25696,30586,0,0,0,1.000,1.000,1.000,1043,425,86
69000,3250,0.5046,40418.4,582,1302,1168,780,113,116,112,26211,26863,32042,0,0,0,1.000,1.000,1.000,1034,351,78
70000,2790,0.4889,37524.3,645,1102,1022,666,116,90,127,27234,29219,33661,0,0,0,1.000,1.000,1.000,862,343,77
71000,2095,0.5227,31326.5,725,938,761,396,89,89,112,28749,32860,37561,0,0,0,1.000,1.000,1.000,740,261,63
72000,1608,0.5759,22036.5,730,815,513,280,102,84,77,32633,37092,41447,0,0,0,1.000,1.000,1.000,610,189,45
73000,1009,0.6343,10751.8,763,606,263,140,44,73,47,37610,41517,45156,0,0,0,1.000,1.000,1.000,520,75,16
74000,624,0.7196,5966.4,881,470,100,54,38,50,31,39644,44316,46792,0,0,0,1.000,1.000,1.000,406,24,6
75000,580,0.5241,3894.5,572,506,58,16,11,38,13,40625,45666,47548,0,0,0,1.000,1.000,1.000,439,14,3
76000,413,0.5690,3767.6,633,335,48,30,2,39,25,40431,45886,47866,0,0,0,1.000,1.000,1.000,274,15,0
77000,552,0.5580,5394.0,529,444,61,47,5,44,34,39612,45293,47496,0,0,0,1.000,1.000,1.000,394,23,3
78000,692,0.5867,8684.9,624,503,112,77,9,74,52,37099,44240,47273,0,0,0,1.000,1.000,1.000,438,30,1
79000,1205,0.4639,13814.7,491,697,372,136,25,71,72,34133,40675,46624,0,0,0,1.000,1.000,1.000,606,187,6
80000,1766,0.4626,24799.2,554,903,592,271,42,84,90,28064,35697,45181,0,0,0,1.000,1.000,1.000,764,161,13
81000,2470,0.4696,34175.8,587,1155,841,474,82,84,119,24653,30416,40967,0,0,0,1.000,1.000,1.000,932,260,34
82000,3083,0.4710,40269.7,562,1263,1099,721,81,98,122,21788,26872,36794,0,0,0,1.000,1.000,1.000,984,336,25
83000,3456,0.4693,51068.8,625,1355,1231,870,80,119,96,18867,22344,32180,0,0,0,1.000,1.000,1.000,1076,318,35
84000,3539,0.4903,58662.0,734,1351,1337,851,105,124,104,16812,19620,29073,0,0,0,1.000,1.000,1.000,1053,280,37
85000,3588,0.4632,59850.5,720,1332,1294,962,104,112,113,15688,19908,26213,0,0,0,1.000,1.000,1.000,1020,311,27
86000,3368,0.5059,64276.7,772,1301,1170,897,107,98,133,14936,18123,24902,0,0,0,1.000,1.000,1.000,1021,321,34
87000,3210,0.4956,64998.9,812,1262,1226,722,82,131,103,14805,17862,25410,0,0,0,1.000,1.000,1.000,970,289,19
88000,3170,0.4855,61485.2,780,1160,1192,818,94,111,110,15916,19947,25958,0,0,0,1.000,1.000,1.000,900,278,40
