step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,2607,0.9152,32605.3,922,853,911,843,12,27,30,26694,28551,32834,0,0,0,1.000,1.000,1.000,661,191,10
2000,2628,0.8847,59209.2,1797,858,938,832,14,30,28,17437,18606,24340,0,0,0,1.000,1.000,1.000,665,201,15
3000,2605,0.8929,79329.3,2659,859,929,817,18,34,32,10784,12541,18170,0,0,0,1.000,1.000,1.000,661,194,11
4000,2066,0.6520,44318.7,680,773,771,522,32,20,34,23532,24336,28361,0,0,0,1.000,1.000,1.000,634,206,32
5000,2112,0.6951,59711.9,1072,818,723,571,40,20,43,16932,20868,25242,0,0,0,1.000,1.000,1.000,626,139,19
6000,2125,0.7304,67284.3,1417,767,773,585,36,30,58,15421,18877,23010,0,0,0,1.000,1.000,1.000,614,177,20
7000,2348,0.6141,50559.5,812,1036,786,526,62,36,46,23394,22993,25069,0,0,0,1.000,1.000,1.000,818,184,19
8000,2520,0.6365,53732.9,876,1015,899,606,63,32,64,21472,22420,29148,0,0,0,1.000,1.000,1.000,777,249,35
9000,2312,0.6942,51768.5,1068,934,747,631,61,28,53,21767,24677,29505,0,0,0,1.000,1.000,1.000,738,247,31
10000,1934,0.6892,40254.6,1033,818,602,514,34,22,55,26115,29452,32706,0,0,0,1.000,1.000,1.000,592,231,47
11000,1670,0.6695,30027.1,937,816,540,314,50,37,43,30661,34107,36160,0,0,0,1.000,1.000,1.000,669,213,26
12000,1235,0.7611,21292.4,1068,675,317,243,29,36,56,34013,38347,40123,0,0,0,1.000,1.000,1.000,575,86,17
13000,833,0.7695,9434.2,1241,531,169,133,16,35,28,38243,42554,43449,0,0,0,1.000,1.000,1.000,456,38,5
14000,601,0.8003,6300.5,1228,429,102,70,10,25,26,40056,44291,44862,0,0,0,1.000,1.000,1.000,376,21,0
15000,451,0.7827,4771.2,993,368,62,21,12,24,18,41238,45137,45499,0,0,0,1.000,1.000,1.000,329,13,0
16000,351,0.7550,3629.6,971,286,52,13,5,20,11,42254,45164,45196,0,0,0,1.000,1.000,1.000,256,8,0
17000,478,0.7218,5096.7,761,374,79,25,10,48,23,41148,44659,45096,0,0,0,1.000,1.000,1.000,336,11,1
18000,681,0.6138,9799.6,641,539,71,71,27,40,30,37436,43062,44123,0,0,0,1.000,1.000,1.000,427,11,1
19000,1266,0.5814,17708.2,584,683,409,174,43,60,69,33059,39995,43999,0,0,0,1.000,1.000,1.000,608,126,0
20000,1734,0.5288,29126.9,604,809,585,340,68,54,73,28291,34271,40594,0,0,0,1.000,1.000,1.000,642,187,17
21000,1988,0.5890,36155.6,752,888,671,429,68,72,90,27163,30404,36985,0,0,0,1.000,1.000,1.000,712,224,19
22000,2448,0.5331,46924.9,707,1028,977,443,61,71,53,23009,25894,33303,0,0,0,1.000,1.000,1.000,842,347,6
23000,2779,0.5513,53928.5,764,1114,1040,625,73,57,84,20099,22826,31592,0,0,0,1.000,1.000,1.000,918,349,15
24000,2933,0.6079,59233.6,828,1082,1106,745,82,88,81,18529,22065,28300,0,0,0,1.000,1.000,1.000,888,334,9
