step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,4.00,24,0,0,0,2,0,1.00,14,0.000,2264,0.22,159.07,37.65,481,0,0,0,1.00,1.00,1.00,1,2,1,4.8,10.032,2,2.000,0.188,5,1.000
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2257,0.00,81.82,0.00,481,0,0,0,1.00,1.00,1.00,1,4,4,8.1,24.401,16,2.000,0.127,4,1.000
100000,24.00,16,1,6,0,4,0,1.00,2,0.250,2246,0.00,20.17,15.00,481,0,0,0,1.00,1.00,1.00,2,3,4,9.4,0.000,11,2.000,0.116,4,1.000
100000,112.00,36,26,0,0,4,0,11.96,0,0.000,2231,0.00,4.65,10.27,481,0,0,0,13.00,9.33,12.75,5,6,6,8.1,0.000,30,2.000,0.225,6,1.000
100000,10.00,25,0,1,0,4,0,1.00,8,0.100,2165,2.58,78.04,64.41,682,0,0,0,1.00,1.00,1.00,3,2,4,15.1,40.041,5,2.000,0.141,5,1.000
100000,18.00,16,0,5,0,4,0,1.00,2,0.278,2159,0.00,50.89,225.90,481,1,1,0,1.00,1.00,1.00,2,3,4,35.5,24.636,9,2.000,0.127,4,0.419
100000,74.00,25,12,6,0,7,2,4.65,0,0.081,2148,0.00,35.77,25.65,682,0,0,3,6.80,3.80,4.00,4,5,5,15.1,0.026,25,2.000,0.100,5,1.000
100000,22.00,16,1,4,0,5,0,1.00,2,0.182,2128,0.00,85.61,23.54,682,0,0,0,1.00,1.00,1.00,1,3,4,14.2,19.194,10,2.000,0.141,4,1.000
100000,32.00,16,0,12,0,4,0,1.00,0,0.375,2092,0.00,54.45,104.01,481,0,0,0,1.00,1.00,1.00,1,4,4,8.9,30.824,16,2.000,0.126,4,1.000
100000,22.00,16,0,7,0,4,0,1.00,0,0.318,2076,0.00,2.83,31.08,481,0,0,0,1.00,1.00,1.00,1,4,4,6.9,0.004,11,2.000,0.127,4,1.000
100000,50.00,25,0,15,0,10,0,1.00,0,0.300,2058,0.00,46.81,67.05,682,0,0,0,1.00,1.00,1.00,4,5,5,8.6,0.000,25,2.000,0.120,5,1.000
100000,28.00,25,0,5,0,9,0,1.00,2,0.179,2035,0.00,3.90,72.02,682,0,1,0,1.00,1.00,1.00,3,4,5,18.3,0.000,14,2.000,0.141,5,1.000
100000,26.00,25,0,5,0,8,0,1.00,2,0.192,1979,0.00,2.14,14.95,682,0,0,0,1.00,1.00,1.00,2,5,4,21.1,0.000,13,2.000,0.120,5,1.000
100000,33.36,30,11,0,0,10,0,4.63,2,0.000,1970,0.00,180.97,38.58,299,0,0,0,4.00,4.62,5.00,6,7,8,12.3,28.468,21,1.042,0.481,8,1.000
100000,6.86,12,0,0,0,6,0,1.00,22,0.000,1969,0.21,62.01,16.84,299,0,0,0,1.00,1.00,1.00,2,3,2,15.7,16.773,6,1.143,0.424,8,1.000
100000,25.92,26,7,1,2,3,0,3.70,16,0.039,1968,0.81,8.45,3.09,669,0,0,0,1.00,4.00,5.50,4,5,6,5.8,3.136,13,1.364,0.351,9,1.000
100000,34.40,30,11,0,0,11,0,3.83,2,0.000,1955,0.00,119.82,68.62,299,0,0,0,1.00,4.62,5.00,6,7,8,16.4,0.000,22,1.042,0.481,8,1.000
100000,42.74,30,11,0,0,19,0,3.50,2,0.000,1942,0.00,2.82,57.30,299,0,0,0,1.00,4.62,4.29,5,7,8,17.6,0.000,30,1.042,0.481,8,1.000
100000,40.00,25,0,10,0,10,0,1.00,0,0.250,1913,0.00,0.04,1.90,682,0,0,0,1.00,1.00,1.00,3,5,5,20.7,0.000,20,2.000,0.120,5,1.000
100000,38.00,25,0,8,0,11,0,1.00,0,0.211,1911,0.00,105.36,112.85,682,0,0,0,1.00,1.00,1.00,3,5,5,14.1,23.863,19,2.000,0.122,5,1.000
100000,50.00,25,0,15,0,10,0,1.00,0,0.300,1906,4.49,227.82,160.92,682,1,0,0,1.00,1.00,1.00,4,5,5,27.3,115.675,25,2.000,0.120,5,0.652
100000,18.00,16,0,4,0,5,0,1.00,0,0.222,1903,2.70,135.91,12.71,682,0,0,0,1.00,1.00,1.00,2,4,4,22.3,86.605,9,2.000,0.142,4,1.000
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,1889,0.75,49.90,55.66,481,0,1,0,1.00,1.00,1.00,2,4,4,17.9,43.620,10,2.000,0.127,4,1.000
