step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed
10000,1934,0.773,0.554,6.72,41254,32546,3522,550,4132,54552,1087960.0,387332.0,0.351,0.336,0.157,0.156,96,26.87,21.34,3.12,7.61,2.69,7.00,2.13,6.63,16.20,12.15,0.05,0.37,0.064,0.153,839,0.031,0.069,0.917,0.001,0.014,222833,215181,36,0.455,0.071,0.151,5857829,0.275,2.778,0.040,2.50,64814,418,7.100,0.364,0.241,8989107,1.79,8.85,0.134,0.154,0.021,5.1,21.4,56.7,151.4,46678,0.178,0.00,0.0035,0.029,514,0.944,0.000,0.712,0.816,4.08,5.78,4.87,0.12,0.048,1.79,1.92,1.75,0.945,0.00026,2.87,71.4000,2253.42,88272.7,140185.7,16.741,106.2744,162.708,0.000,1.000,0.008,56.0,72.102,241.738,379,1395.2,73.22,21.928,7.09,167.050,5026.0,95.512,0.134,2.00,20.8142,40254.6,1.1001,0.5148,24.14,1.023,0.150,1.5345,0.0000,0.490,0.084,0.416,0.0000,7.50,1.18,6,20,49,81,68.0822,3.5174,0.6892,0.0000,0.0000,58.1728,100.00,60.1718,455.4233,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,4.0785,0.9599
20000,1734,0.983,0.335,6.31,19803,16953,1193,228,1629,13244,289560.1,96491.4,0.318,0.468,0.114,0.099,211,19.21,15.19,1.25,4.35,0.50,2.92,2.43,5.83,13.37,9.08,0.02,0.31,0.017,0.085,493,0.089,0.132,0.834,0.000,0.033,66501,65066,4,0.633,0.082,0.260,1916065,0.234,2.144,0.021,2.75,17909,533,7.286,0.289,0.223,4089069,1.29,8.65,0.077,0.036,0.010,6.7,13.5,40.3,123.2,30442,0.116,0.00,0.0012,0.070,340,0.839,0.000,0.792,0.706,3.57,5.94,3.75,0.05,0.015,1.38,1.26,1.27,0.839,0.00027,1.78,16.4450,1543.72,103156.7,140185.7,0.323,28.2091,47.563,0.000,1.000,0.103,43.4,22.654,58.261,148,444.3,49.13,3.176,6.19,46.620,2837.3,26.230,0.134,2.00,16.7975,29126.9,1.1307,0.5551,17.56,1.086,0.107,0.4655,0.0000,0.486,0.107,0.545,0.0000,6.96,0.63,6,13,36,64,21.1280,1.0649,0.5288,0.0000,0.0000,13.8118,100.00,105.5473,223.1905,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,10.9881,0.9788
30000,2217,0.787,0.312,7.67,71815,60591,2143,324,8274,13074,988925.9,410847.8,0.248,0.573,0.105,0.074,139,18.94,14.77,1.24,4.27,0.74,3.50,1.56,4.37,13.30,9.63,0.01,0.16,0.026,0.106,853,0.023,0.077,0.896,0.000,0.026,323022,316053,3,0.863,0.106,0.210,5959188,0.230,2.022,0.021,3.42,85555,308,31.425,0.540,0.239,15799032,1.32,8.66,0.044,0.055,0.005,4.8,14.5,37.1,124.2,37328,0.142,0.00,0.0034,0.061,427,0.890,0.000,0.931,0.778,3.56,5.55,4.26,0.04,0.017,1.31,1.35,1.31,0.890,0.00044,6.04,69.2013,2040.62,91619.7,140185.7,33.931,68.3431,146.171,0.000,1.000,0.079,64.8,70.037,220.596,95,296.0,52.38,5.326,6.20,136.113,2415.1,96.667,0.134,2.00,18.4081,40810.8,1.3843,0.6677,16.84,1.104,0.134,1.5345,0.0000,0.467,0.091,0.368,0.0000,7.00,0.75,4,14,35,64,62.9346,6.1332,0.6211,0.0000,0.0000,56.8604,100.00,71.3215,524.7486,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,15.0407,0.9786
40000,2051,1.016,0.359,10.09,25086,21701,982,363,2206,28506,301511.2,122967.5,0.192,0.604,0.135,0.069,230,16.61,14.52,0.78,3.78,1.83,3.69,0.40,1.99,9.38,6.94,0.01,0.15,0.100,0.176,937,0.057,0.123,0.842,0.002,0.033,84061,80385,6,0.344,0.059,0.091,1486271,0.208,2.105,0.024,2.90,27156,668,4.314,0.231,0.239,5997072,1.24,9.41,0.003,0.275,0.005,5.3,13.1,31.6,244.4,25434,0.097,0.00,0.0016,0.072,349,0.823,0.000,0.936,0.703,3.14,4.69,4.15,0.09,0.035,1.19,1.27,1.26,0.825,0.00032,2.26,17.2988,1639.58,104775.7,140185.7,0.854,21.3596,50.709,0.000,1.000,0.210,38.6,24.488,50.568,165,499.0,54.17,2.546,5.47,41.631,3158.6,27.380,0.135,2.00,13.0283,26721.0,1.3912,0.7531,12.40,1.286,0.172,0.4655,0.0000,0.446,0.078,0.256,0.0000,6.68,0.68,4,10,25,98,22.5411,1.2811,0.4754,0.0000,0.0000,13.4482,100.00,106.9827,251.5671,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,15.1792,0.9756
50000,3586,0.857,0.436,18.40,134048,106457,1083,12821,12152,393887,980724.6,695903.3,0.146,0.592,0.191,0.071,104,14.87,13.41,0.36,2.09,2.45,3.59,0.10,0.79,4.92,5.06,0.00,0.05,0.153,0.162,2098,0.035,0.077,0.869,0.004,0.051,344013,307220,5,0.674,0.290,0.029,2275465,0.238,2.228,0.034,3.14,136739,595,1.767,0.178,0.360,22856188,1.14,15.79,0.000,0.564,0.001,3.6,11.5,29.1,153.1,28055,0.107,0.00,0.0056,0.083,836,0.830,0.000,0.966,0.611,2.37,4.39,2.59,0.06,0.031,1.15,1.15,1.14,0.839,0.00092,4.05,59.0651,1635.44,105915.5,140185.7,23.928,82.4082,183.131,0.000,1.000,0.176,66.4,76.708,228.412,238,783.6,42.00,5.839,4.88,155.862,4553.4,98.798,0.134,2.00,6.3915,22919.9,1.4935,0.9659,7.82,1.831,0.217,1.5345,0.0000,0.537,0.108,0.661,0.0000,7.31,1.17,2,6,15,62,68.2762,5.1422,0.4964,0.0000,0.0000,53.7638,100.00,75.5200,561.8674,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,10.6585,0.9661
60000,1436,0.920,0.207,11.36,31309,28218,336,2046,2859,82643,270141.2,136157.1,0.125,0.665,0.162,0.048,211,13.60,10.01,0.34,1.65,0.42,1.83,0.94,2.98,10.43,6.91,0.00,0.00,0.019,0.077,530,0.045,0.087,0.873,0.000,0.040,76450,68328,6,0.925,0.060,0.216,1125754,0.178,1.629,0.013,3.18,34379,617,1.648,0.149,0.246,5735429,1.10,7.23,0.008,0.097,0.000,3.7,11.9,24.6,98.8,17427,0.066,0.00,0.0018,0.073,249,0.722,0.000,0.937,0.593,3.16,3.96,5.06,0.01,0.003,1.03,1.14,1.13,0.728,0.00105,2.17,12.3806,1205.96,111143.4,140185.7,0.529,20.1078,48.750,0.000,1.000,0.269,37.1,22.447,46.770,22,64.3,53.60,2.536,5.19,38.854,1580.7,23.855,0.135,2.00,16.6458,23903.4,1.7355,0.7280,12.14,1.125,0.154,0.4655,0.0000,0.389,0.074,0.075,0.0000,6.25,0.64,4,10,23,57,20.0513,0.8867,0.5063,0.0000,0.0000,13.3600,100.00,110.8750,239.5076,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,18.1854,0.9869
70000,2836,0.940,0.482,12.13,81354,63599,1545,2187,12623,88122,922620.9,462219.8,0.180,0.609,0.098,0.113,133,20.18,17.78,0.41,2.06,5.15,7.39,0.37,1.67,8.18,7.16,0.01,0.15,0.171,0.212,1878,0.020,0.063,0.909,0.001,0.027,339141,323763,13,0.494,0.280,0.087,6160574,0.223,2.582,0.035,3.86,130189,595,5.245,0.221,0.393,15248438,1.12,8.58,0.023,0.553,0.002,3.1,14.7,42.4,133.1,40017,0.153,0.00,0.0040,0.073,587,0.787,0.000,0.924,0.760,3.12,4.26,4.57,0.10,0.045,1.08,1.20,1.12,0.789,0.00058,8.36,63.8899,3516.28,99307.9,140185.7,38.966,56.2817,143.010,0.000,1.000,0.097,60.4,67.854,196.941,90,327.7,49.39,2.716,4.47,121.462,3904.7,89.721,0.135,2.00,10.2638,29108.2,1.2592,0.8475,14.11,1.321,0.261,1.5345,0.0000,0.375,0.070,0.052,0.0000,6.49,0.68,3,12,28,75,60.7618,5.4560,0.5423,0.0000,0.0000,52.9438,100.00,78.0226,545.4686,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,25.8222,0.9650
80000,1542,1.161,0.351,12.97,21009,16951,679,2901,1772,132631,308476.3,167636.2,0.186,0.621,0.093,0.100,211,25.10,20.59,0.34,1.77,5.18,6.84,0.30,2.09,10.36,7.48,0.01,0.15,0.142,0.173,962,0.016,0.108,0.873,0.001,0.018,67471,61170,8,0.219,0.202,0.053,763768,0.215,2.515,0.021,2.43,28487,594,1.264,0.190,0.232,6044862,1.08,7.28,0.020,0.416,0.003,3.3,18.6,53.8,168.6,24952,0.095,0.00,0.0019,0.084,229,0.836,0.000,0.897,0.691,3.54,4.16,5.17,0.06,0.023,1.06,1.09,1.09,0.843,0.00087,1.30,16.2224,1903.43,99891.8,140185.7,0.071,29.5033,52.189,0.000,1.000,0.141,31.9,22.537,59.379,56,196.9,86.45,2.529,4.93,49.547,3207.4,28.532,0.136,2.00,20.7139,31940.8,1.7200,0.6645,16.18,1.429,0.357,0.4655,0.0000,0.343,0.103,0.088,0.0000,6.43,0.72,3,15,30,64,20.4981,0.6995,0.5350,0.0000,0.0000,13.2890,100.00,106.9905,226.5753,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,9.6289,0.9794
90000,2343,0.992,0.458,17.99,76894,48850,958,19321,6964,639110,999267.4,877720.8,0.140,0.650,0.114,0.096,105,21.74,18.23,0.56,2.68,3.68,6.16,0.10,1.26,7.80,6.93,0.03,0.30,0.126,0.166,1492,0.026,0.058,0.924,0.000,0.017,299021,256088,16,0.079,0.666,0.022,536313,0.249,2.475,0.033,2.42,137533,483,1.373,0.187,0.345,18032278,1.21,7.42,0.162,0.598,0.013,3.8,16.5,49.8,129.2,28449,0.109,0.00,0.0055,0.082,585,0.875,0.000,0.914,0.743,2.81,3.56,4.01,0.05,0.021,1.22,1.23,1.22,0.886,0.00186,2.51,86.1318,2101.02,104313.9,140185.7,10.671,124.2987,148.957,0.000,1.000,0.056,46.9,53.841,234.876,193,656.3,58.43,3.380,4.69,175.281,4531.6,99.739,0.135,2.00,10.6618,24980.7,1.5513,0.8150,12.14,1.651,0.450,1.5345,0.0000,0.353,0.135,0.159,0.0000,5.58,1.43,3,11,25,64,46.7114,2.7819,0.5386,0.0000,0.0000,53.3149,100.00,71.7853,445.0374,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,7.2124,0.9666
100000,1126,1.004,0.193,8.18,23497,19576,499,2049,2590,77567,257849.8,151833.8,0.144,0.699,0.063,0.094,235,15.62,12.46,0.44,3.19,1.18,3.62,0.38,1.57,12.16,7.85,0.01,0.17,0.052,0.140,349,0.111,0.102,0.861,0.000,0.036,73865,67749,5,0.859,0.020,0.083,453321,0.198,2.080,0.011,3.24,30640,602,1.957,0.168,0.236,5197561,1.13,8.35,0.060,0.137,0.004,4.9,11.2,31.5,88.2,15956,0.061,0.00,0.0019,0.088,154,0.747,0.000,0.884,0.684,3.57,3.51,6.17,0.02,0.009,1.13,1.14,1.13,0.752,0.00104,2.46,16.4505,1259.72,117022.0,140185.7,0.365,18.5504,42.973,0.000,1.000,0.374,26.3,19.601,39.517,10,47.5,146.70,1.510,4.10,33.639,1396.3,22.543,0.133,2.01,16.4172,18485.8,1.4208,0.7472,14.17,1.073,0.281,0.4655,0.0000,0.414,0.081,0.046,0.0000,6.84,0.96,5,12,26,64,17.2293,1.1967,0.4529,0.0000,0.0000,13.5207,100.00,109.5916,206.6556,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,23.0484,0.9894
