step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed
10000,1871,0.761,0.648,7.63,33167,26072,3595,345,2714,43536,1089750.6,386214.3,0.347,0.323,0.167,0.164,91,31.69,21.63,2.33,6.77,3.75,8.11,3.24,7.92,21.60,14.58,0.04,0.39,0.096,0.180,978,0.026,0.050,0.933,0.001,0.016,208682,202676,21,0.495,0.142,0.265,6092426,0.286,2.889,0.050,3.14,62340,404,8.871,0.417,0.217,8251687,1.52,5.77,0.225,0.178,0.015,6.2,29.3,60.8,132.2,57842,0.221,0.00,0.0027,0.024,425,0.969,0.000,0.641,0.842,4.89,6.10,6.21,0.14,0.042,1.53,1.49,1.55,0.970,0.00025,1.85,71.5171,1970.72,88364.6,140185.7,13.687,110.8806,164.915,0.000,1.000,0.089,58.1,73.472,247.187,627,2753.5,62.17,22.914,7.15,172.379,5661.0,95.429,0.134,2.00,20.5988,38540.3,0.8045,0.4101,30.92,1.008,0.170,1.5345,0.0000,0.485,0.109,0.395,0.0000,7.52,1.21,6,32,55,121,70.0733,2.9414,0.7114,0.0000,0.0000,59.7484,100.00,59.5721,452.7082,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.6034,0.9216
20000,2205,0.934,0.340,5.13,23716,20783,1262,145,1192,11828,317112.4,95588.1,0.255,0.423,0.196,0.125,188,16.70,15.15,1.34,4.28,0.94,3.78,1.26,4.90,12.17,9.77,0.01,0.16,0.029,0.108,515,0.135,0.123,0.849,0.000,0.027,70699,69584,7,0.951,0.011,0.141,2288010,0.256,2.130,0.024,3.66,17065,447,8.082,0.400,0.208,4030759,1.33,9.68,0.036,0.040,0.003,5.0,11.6,40.8,112.1,34639,0.132,0.00,0.0012,0.062,453,0.829,0.000,0.811,0.670,3.56,6.18,3.58,0.02,0.009,1.33,1.48,1.27,0.830,0.00019,1.43,15.6545,1668.40,102305.4,140185.7,0.191,31.2298,54.190,0.000,1.000,0.124,51.3,25.974,65.364,193,645.9,53.20,5.119,6.78,52.145,2937.9,27.973,0.135,2.00,13.3653,29470.4,1.1295,0.5609,15.71,1.012,0.076,0.4655,0.0000,0.420,0.063,0.117,0.0000,7.24,0.55,5,12,35,80,24.9580,0.6069,0.5238,0.0000,0.0000,13.4458,100.00,105.7214,233.9709,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,5.3985,0.9558
30000,4379,0.549,0.472,6.98,105458,88750,1849,3851,8834,145906,1067865.9,547738.6,0.159,0.467,0.226,0.148,137,10.52,12.48,0.55,2.65,2.94,4.65,0.18,1.52,4.65,6.17,0.03,0.27,0.304,0.256,1724,0.233,0.054,0.895,0.005,0.046,378275,366655,2,0.999,0.000,0.031,3405189,0.251,2.277,0.038,4.37,81553,503,3.754,0.256,0.456,15826749,1.19,15.88,0.003,0.494,0.013,2.5,4.1,27.2,120.9,36474,0.139,0.00,0.0052,0.080,1032,0.866,0.000,0.946,0.722,2.37,4.14,2.44,0.06,0.027,1.21,1.24,1.18,0.870,0.00026,5.21,71.1775,1744.01,97286.7,140185.7,31.142,71.1408,176.843,0.000,1.000,0.075,83.9,81.957,232.845,259,843.3,53.43,7.871,6.23,149.228,5006.0,105.752,0.135,2.00,7.2542,31766.0,1.2762,0.8123,8.33,1.203,0.113,1.5345,0.0000,0.503,0.074,0.538,0.0000,7.12,0.44,2,4,21,81,74.6264,6.1890,0.5956,0.0000,0.0000,54.7381,100.00,70.6807,549.6030,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,6.7209,0.9311
40000,1837,1.165,0.425,8.06,29427,25667,639,4080,1583,146792,321940.0,176192.7,0.113,0.661,0.099,0.127,210,27.95,28.04,0.63,3.00,5.29,9.41,0.82,3.79,12.72,9.60,0.00,0.03,0.099,0.157,899,0.140,0.131,0.842,0.000,0.028,74679,69171,2,0.946,0.039,0.090,613528,0.196,2.480,0.029,3.21,20507,552,1.200,0.167,0.267,7829567,1.16,8.44,0.038,0.391,0.001,5.0,12.3,75.5,166.5,35743,0.136,0.00,0.0014,0.069,369,0.858,0.000,0.913,0.610,3.73,5.58,4.43,0.12,0.036,1.18,1.16,1.16,0.865,0.00071,1.38,15.3080,2263.33,103578.5,140185.7,0.058,30.5779,58.245,0.000,1.000,0.151,40.5,25.766,63.659,156,534.7,49.49,4.042,5.86,52.507,3892.3,29.119,0.135,2.00,14.3922,26438.5,1.1125,0.6441,19.46,1.276,0.277,0.4655,0.0000,0.511,0.063,0.446,0.0000,7.08,0.58,5,11,46,92,23.7075,0.7419,0.5340,0.0000,0.0000,12.8646,100.00,107.6474,234.3584,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,6.2536,0.9507
50000,2163,1.054,0.638,14.05,75675,50282,954,19712,4401,729813,1050374.4,936440.8,0.099,0.578,0.120,0.204,117,24.64,20.91,0.20,1.81,6.01,7.77,0.05,0.71,7.21,7.02,0.00,0.08,0.172,0.181,1298,0.028,0.066,0.918,0.000,0.017,310856,271806,2,0.468,0.199,0.012,943748,0.231,2.787,0.049,3.22,109560,445,1.283,0.187,0.357,14820368,1.07,7.23,0.208,0.593,0.002,3.3,20.0,49.9,238.6,29149,0.111,0.00,0.0067,0.087,533,0.863,0.000,0.844,0.757,2.85,3.95,3.77,0.01,0.006,1.06,1.07,1.07,0.878,0.00242,2.35,91.1270,2412.23,105197.7,140185.7,12.034,122.2193,157.459,0.000,1.000,0.080,42.6,58.237,242.559,437,1626.3,53.83,5.271,5.68,177.079,6227.3,104.212,0.135,2.00,9.7800,21154.1,1.3952,0.7314,13.48,1.669,0.438,1.5345,0.0000,0.712,0.195,0.729,0.0000,5.63,1.13,3,12,25,81,50.3916,2.6182,0.5340,0.0000,0.0000,53.7975,100.00,71.9440,434.3484,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,2.9338,0.9172
60000,2282,1.044,0.371,10.58,35459,26933,174,6848,1385,200551,299879.1,227094.6,0.091,0.578,0.117,0.214,210,13.65,11.46,0.10,1.21,2.25,4.51,0.40,2.07,7.16,5.35,0.00,0.04,0.088,0.159,837,0.078,0.081,0.873,0.002,0.044,91327,80894,2,0.734,0.037,0.061,501365,0.192,2.322,0.025,3.77,31924,437,1.132,0.217,0.331,4948939,1.04,10.28,0.128,0.448,0.000,3.0,9.2,32.0,97.9,22615,0.086,0.00,0.0018,0.067,370,0.716,0.000,0.783,0.616,2.76,4.06,3.16,0.01,0.004,1.03,1.04,1.04,0.728,0.00075,1.74,17.6461,2214.08,111763.5,140185.7,0.061,27.2390,52.996,0.000,1.000,0.267,42.1,22.025,54.368,98,363.7,59.92,3.863,5.01,44.834,3258.2,26.173,0.135,2.00,8.4551,19294.5,1.3981,0.6663,9.91,1.300,0.423,0.4655,0.0000,0.588,0.194,0.376,0.0000,6.12,1.27,3,8,16,64,19.6302,0.6868,0.4115,0.0000,0.0000,13.3509,100.00,110.8430,215.0107,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,12.5156,0.9557
70000,2790,1.073,0.516,20.33,138408,86067,187,44987,6659,812620,1088319.4,1171629.1,0.099,0.567,0.137,0.196,83,18.82,12.51,0.15,1.33,3.73,4.68,0.12,1.17,6.81,5.08,0.00,0.00,0.140,0.159,1051,0.057,0.063,0.918,0.000,0.020,468886,398131,3,0.501,0.116,0.018,1023305,0.197,2.831,0.037,2.69,192628,378,1.442,0.198,0.373,19550186,1.06,6.72,0.320,0.477,0.000,3.3,18.0,32.0,76.0,30160,0.115,0.00,0.0057,0.074,666,0.832,0.000,0.876,0.705,2.63,3.61,3.32,0.01,0.003,1.04,1.08,1.06,0.848,0.00176,2.54,101.3996,3275.27,90113.1,140185.7,7.659,121.2694,175.176,0.000,1.000,0.008,54.3,60.441,240.469,151,531.1,63.30,4.028,4.52,181.185,4481.0,110.006,0.135,2.00,13.4496,37524.3,1.7941,0.8817,10.81,1.634,0.467,1.5345,0.0000,0.770,0.235,0.714,0.0000,5.12,1.43,3,11,16,60,50.4581,5.0612,0.4889,0.0000,0.0000,53.6128,100.00,78.4468,473.4825,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,3.7212,0.9394
80000,1766,0.943,0.258,8.08,31908,26999,556,3904,1473,103903,314447.8,199523.1,0.138,0.607,0.092,0.163,196,14.37,12.49,0.57,3.00,1.02,3.53,0.58,2.62,10.19,7.63,0.01,0.15,0.043,0.137,528,0.072,0.127,0.836,0.000,0.037,92610,82447,2,0.925,0.061,0.081,451924,0.220,1.916,0.017,3.64,36528,550,1.920,0.211,0.244,5833699,1.14,10.87,0.053,0.186,0.003,3.7,9.9,32.0,110.0,21813,0.083,0.00,0.0017,0.071,271,0.767,0.000,0.830,0.659,3.12,4.55,4.17,0.01,0.006,1.06,1.21,1.15,0.773,0.00064,2.06,19.6625,1538.60,108942.0,140185.7,0.279,24.1209,55.185,0.000,1.000,0.249,37.6,24.370,51.056,70,239.9,50.62,3.124,4.53,42.966,2112.1,27.909,0.134,2.00,14.0426,24799.2,1.4739,0.8635,12.35,1.115,0.257,0.4655,0.0000,0.519,0.127,0.317,0.0000,6.98,0.98,4,9,23,81,22.0976,1.1438,0.4626,0.0000,0.0000,13.0570,100.00,107.1116,226.3190,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,14.2706,0.9713
90000,2339,1.207,0.581,21.83,87360,68873,1987,10981,4946,292581,1016775.2,614719.6,0.109,0.630,0.105,0.156,96,22.86,13.31,0.16,1.36,4.76,5.06,0.24,1.97,8.13,5.77,0.00,0.00,0.157,0.159,793,0.077,0.074,0.909,0.000,0.018,302306,266216,5,0.433,0.158,0.026,839477,0.247,3.608,0.037,3.72,122632,533,2.101,0.220,0.254,19573256,1.05,5.53,0.475,0.309,0.000,4.9,32.0,32.0,98.0,31089,0.119,0.00,0.0053,0.059,560,0.877,0.000,0.890,0.712,2.86,3.93,3.91,0.00,0.000,1.02,1.07,1.05,0.883,0.00095,3.93,72.7281,4194.41,79004.8,140185.7,23.671,94.9996,160.226,0.000,1.000,0.004,48.7,65.055,231.685,150,500.3,107.77,5.299,4.54,159.330,4603.3,100.032,0.136,2.00,20.3984,47711.8,1.8191,0.8884,13.29,1.634,0.464,1.5345,0.0000,0.770,0.230,0.729,0.0000,5.26,1.53,4,16,16,62,57.2131,5.6307,0.5041,0.0000,0.0000,53.3629,100.00,63.9883,483.0828,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,7.3944,0.9409
100000,2082,1.094,0.364,13.45,31407,26156,950,3509,1049,96833,330372.7,175441.6,0.115,0.664,0.073,0.148,190,16.06,13.28,0.19,1.80,2.63,4.73,0.25,1.84,8.19,6.54,0.00,0.04,0.091,0.153,684,0.068,0.106,0.859,0.001,0.034,83796,73870,6,0.712,0.038,0.033,350805,0.217,2.554,0.023,3.50,34830,441,1.812,0.241,0.239,6582586,1.06,9.44,0.216,0.307,0.000,3.1,10.0,32.0,122.0,23451,0.089,0.00,0.0019,0.075,453,0.782,0.000,0.839,0.629,2.74,4.19,3.41,0.01,0.005,1.09,1.06,1.06,0.787,0.00053,1.84,20.8022,2071.02,103112.5,140185.7,0.230,26.6728,57.337,0.000,1.000,0.125,41.8,24.807,53.782,88,284.4,80.64,3.066,4.55,45.572,3350.5,29.609,0.137,1.99,13.5084,28124.5,1.5737,0.7381,11.26,1.320,0.435,0.4655,0.0000,0.614,0.211,0.465,0.0000,6.12,1.34,3,9,17,62,22.7109,0.9915,0.4510,0.0000,0.0000,12.8465,100.00,103.8728,230.3992,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,12.2880,0.9614
