step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,1249,0.7670,20313.9,664,694,379,176,13,8,14,26310,33447,39261,0,0,0,0.938,0.638,0.253,638,195,18
2000,1013,0.7779,27044.9,1397,626,294,93,8,4,7,19979,28815,36805,0,0,0,0.956,0.754,0.588,590,174,20
3000,1108,0.7518,34707.9,1836,644,334,130,17,12,7,15864,25383,35315,0,0,0,0.937,0.646,0.319,594,181,21
4000,1358,0.5523,23500.9,445,584,579,195,29,14,21,23530,28287,37593,0,0,0,0.852,0.549,0.326,473,210,29
5000,1454,0.5261,27635.1,615,723,494,237,32,30,19,20818,26943,37646,0,0,0,0.881,0.626,0.394,619,207,29
6000,1478,0.5873,30197.7,751,720,489,269,31,25,15,19213,26818,38454,0,0,0,0.856,0.588,0.271,602,192,24
7000,1800,0.4928,33070.7,506,826,625,349,25,31,42,20381,26885,38738,0,0,0,0.871,0.548,0.454,662,213,19
8000,1653,0.5130,30043.7,487,813,583,257,41,33,31,21538,28737,40354,0,0,0,0.889,0.571,0.293,653,174,13
9000,1458,0.5261,27512.4,537,746,482,230,38,31,23,22557,31523,41956,0,0,0,0.860,0.611,0.470,589,202,21
10000,1105,0.5674,20115.5,643,643,347,115,38,20,23,26046,34633,43681,0,0,0,0.930,0.757,0.539,572,171,10
11000,959,0.6225,16154.5,621,591,274,94,32,20,23,28832,37689,46217,0,0,0,0.912,0.615,0.352,504,105,7
12000,817,0.6255,11369.6,644,555,185,77,37,26,15,31853,40197,47984,0,0,0,0.901,0.637,0.529,467,73,6
13000,526,0.7510,4778.3,880,445,69,12,24,20,7,36125,43026,49204,0,0,0,0.937,0.533,0.396,384,19,2
14000,355,0.7803,3113.7,990,335,18,2,16,12,1,37749,43924,48622,0,0,0,0.928,0.933,0.900,307,9,1
15000,246,0.7520,2098.9,1125,227,17,2,4,6,2,39491,44217,47832,0,0,0,0.991,0.588,0.517,222,4,0
16000,171,0.7368,2355.5,1126,167,4,0,2,4,0,39905,43794,46660,0,0,0,0.995,0.761,0.000,164,2,0
17000,305,0.4754,2735.8,535,257,38,10,2,16,6,40313,43133,45265,0,0,0,0.898,0.566,0.567,219,9,1
18000,686,0.5102,5640.9,366,487,148,51,14,19,9,38248,42398,45088,0,0,0,0.874,0.748,0.455,387,71,3
19000,1386,0.4473,13318.4,341,746,428,212,34,34,38,32905,39592,45645,0,0,0,0.898,0.582,0.473,601,151,26
20000,1697,0.4302,20426.3,438,854,574,269,56,33,16,27541,35289,44616,0,0,0,0.893,0.594,0.301,696,180,10
21000,1722,0.3949,29434.6,551,904,574,244,55,34,28,22399,29970,41842,0,0,0,0.898,0.610,0.378,756,193,13
22000,2072,0.4276,31621.4,515,947,719,406,55,42,30,21402,28161,40128,0,0,0,0.912,0.509,0.420,826,226,34
23000,2338,0.3790,32745.1,455,1079,833,426,53,28,19,20438,26678,39348,0,0,0,0.834,0.626,0.405,856,332,27
24000,2600,0.3950,31615.8,447,1320,864,416,39,59,37,18791,26061,39735,0,0,0,0.830,0.622,0.454,979,346,47
25000,2677,0.3616,30663.3,425,1276,970,431,49,57,33,19248,26671,40351,0,0,0,0.812,0.512,0.403,932,310,20
26000,2541,0.3550,29659.9,432,1138,1004,399,72,80,38,19638,27693,39813,0,0,0,0.813,0.527,0.489,810,243,43
27000,2895,0.3679,31479.6,400,1196,1188,511,41,79,55,19887,28082,40156,0,0,0,0.826,0.508,0.305,900,305,7
28000,2792,0.4108,32003.0,429,1354,982,456,65,86,54,19749,28570,41564,0,0,0,0.827,0.517,0.308,1038,278,22
29000,2214,0.4002,27634.5,461,1124,823,267,58,75,50,22108,30393,42767,0,0,0,0.843,0.557,0.423,848,256,29
