step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,30.77,17,6,0,0,11,0,3.14,6,0.000,2983,0.00,22.90,13.88,89,0,0,0,1.00,3.14,5.00,7,7,7,19.5,0.000,17,1.338,0.494,7,1.000
100000,8.28,10,0,0,0,10,0,1.00,14,0.000,2923,2.55,78.49,2.93,89,0,0,0,1.00,1.00,1.00,2,3,4,5.3,7.228,10,0.828,0.609,7,1.000
100000,35.70,43,0,0,23,20,0,1.00,0,0.000,2918,0.00,295.11,55.11,89,0,1,0,1.00,1.00,1.00,6,7,7,24.9,98.761,43,1.133,0.497,7,1.000
100000,35.70,43,0,0,23,20,0,1.00,0,0.000,2906,0.00,259.52,54.19,89,0,0,0,1.00,1.00,1.00,4,7,7,21.9,124.865,43,1.133,0.497,7,1.000
100000,21.79,11,5,0,0,6,0,3.25,4,0.000,2846,0.00,26.72,8.51,89,0,0,0,2.40,3.40,3.60,3,6,5,20.7,0.000,11,1.362,0.506,6,1.000
100000,35.70,43,0,0,23,20,0,1.00,0,0.000,2844,2.12,120.99,36.57,89,1,0,0,1.00,1.00,1.00,4,7,7,25.8,62.016,43,1.133,0.497,7,1.000
100000,53.90,49,10,0,23,16,0,2.86,0,0.000,2835,6.46,217.92,13.90,89,0,0,0,1.00,4.71,2.86,6,7,7,8.5,108.027,49,1.135,0.498,7,1.000
100000,34.57,42,0,0,23,19,0,1.00,0,0.000,2811,3.23,183.74,69.80,89,0,0,0,1.00,1.00,1.00,6,7,7,6.3,105.238,42,1.133,0.497,7,1.000
100000,20.05,18,0,0,0,18,0,1.00,2,0.000,2805,-0.00,350.00,45.98,89,0,0,0,1.00,1.00,1.00,4,6,5,19.4,80.010,18,1.114,0.668,6,1.000
100000,66.34,34,14,0,0,20,0,3.75,0,0.000,2780,0.00,184.89,25.26,89,0,0,0,1.29,6.29,3.71,5,7,7,11.7,57.522,34,1.382,0.431,7,1.000
100000,62.92,32,13,0,0,19,0,3.38,0,0.000,2715,0.00,279.81,61.59,89,0,0,0,1.00,6.00,3.25,6,6,6,11.3,59.710,32,1.398,0.429,6,1.000
100000,9.50,10,0,0,0,10,0,1.00,12,0.000,2582,0.00,121.66,8.12,89,0,1,0,1.00,1.00,1.00,3,4,4,19.2,19.145,10,0.950,0.650,7,1.000
100000,58.49,28,14,0,0,14,0,5.33,0,0.000,2574,0.00,7.83,0.78,89,0,0,0,1.00,7.33,6.50,4,6,6,20.6,0.000,28,1.393,0.462,6,1.000
100000,12.31,13,0,0,0,13,0,1.00,10,0.000,2466,0.00,69.09,32.97,89,0,0,0,1.00,1.00,1.00,4,5,4,14.5,4.303,13,0.947,0.601,7,1.000
100000,17.06,16,0,0,0,16,0,1.00,2,0.000,2465,-0.00,141.09,40.28,89,0,0,0,1.00,1.00,1.00,6,5,6,14.5,40.937,16,1.066,0.348,6,1.000
100000,12.04,9,0,0,0,9,0,1.00,10,0.000,2455,2.31,202.76,15.85,89,0,1,0,1.00,1.00,1.00,5,2,7,19.0,32.318,9,1.338,0.494,7,0.886
100000,17.86,13,0,0,0,13,0,1.00,8,0.000,2390,0.00,171.15,82.57,89,0,1,0,1.00,1.00,1.00,5,3,7,15.4,20.784,13,1.374,0.517,7,1.000
100000,12.04,9,0,0,0,9,0,1.00,10,0.000,2369,0.00,115.40,7.64,89,0,1,0,1.00,1.00,1.00,2,2,7,20.4,1.022,9,1.338,0.494,7,1.000
100000,12.04,9,0,0,0,9,0,1.00,10,0.000,2360,0.00,102.62,7.74,89,0,0,0,1.00,1.00,1.00,3,2,7,17.8,22.328,9,1.338,0.494,7,1.000
100000,12.04,9,0,0,0,9,0,1.00,10,0.000,2353,-0.00,138.88,4.59,89,0,1,0,1.00,1.00,1.00,3,2,7,17.8,23.250,9,1.338,0.494,7,1.000
100000,35.70,43,0,0,23,20,0,1.00,0,0.000,2328,4.31,94.27,12.03,89,0,0,0,1.00,1.00,1.00,9,7,7,7.9,9.701,43,1.133,0.497,7,1.000
100000,61.38,28,16,0,0,12,0,6.50,0,0.000,2306,0.00,234.44,96.42,89,0,0,0,1.00,8.33,8.33,4,6,6,19.3,117.060,28,1.395,0.520,6,1.000
