step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed
10000,1105,1.131,0.841,9.36,50573,25534,1025,212,3147,38058,966729.2,423404.6,0.241,0.431,0.146,0.183,76,29.28,17.85,0.94,4.19,1.21,3.94,4.49,7.16,22.65,14.95,0.05,0.39,0.039,0.122,517,0.056,0.052,0.934,0.000,0.014,232338,226874,14,0.215,0.352,0.419,4651752,0.294,2.797,0.070,7.05,77765,243,11.125,0.575,0.271,6996852,1.22,4.09,0.279,0.110,0.018,7.7,26.0,53.7,149.6,32355,0.123,0.00,0.0039,0.052,115,0.925,0.000,0.627,0.785,4.80,5.99,5.63,0.09,0.028,1.21,1.28,1.21,0.926,0.00114,1.12,87.9821,3009.72,104359.5,140185.7,3.605,148.6092,126.632,0.000,1.000,0.223,37.6,49.575,247.397,950,3689.4,55.13,28.480,7.11,180.697,6697.5,77.954,0.134,2.00,18.2041,20115.5,0.8141,0.3183,29.28,1.059,0.140,1.5345,0.0000,0.510,0.126,0.561,0.0000,6.73,0.85,7,30,49,81,47.2838,1.0345,0.5674,0.0000,0.0000,58.5480,100.00,77.8645,417.1080,0.0,0.0000,0.0000,0.8354,0.5679,20980,0.3289,0.3808,0.8681
20000,1697,1.384,0.556,8.08,24429,14505,356,68,1207,8293,293793.0,117362.6,0.100,0.636,0.137,0.127,155,24.40,18.08,2.14,5.38,0.53,2.25,0.87,3.47,13.29,8.72,0.03,0.35,0.016,0.068,524,0.147,0.061,0.909,0.000,0.029,71628,70717,4,0.957,0.012,0.103,2455813,0.258,2.269,0.047,4.32,22560,435,14.152,0.368,0.253,4497136,1.60,4.63,0.077,0.058,0.012,6.8,18.4,50.6,124.2,28564,0.109,0.00,0.0013,0.052,269,0.875,0.000,0.651,0.667,4.25,5.69,4.66,0.09,0.034,1.52,1.81,1.55,0.875,0.00047,0.88,21.3657,2424.07,107446.7,140185.7,0.282,39.6433,44.980,0.000,1.000,0.291,29.5,19.322,70.777,481,1659.1,33.77,6.360,6.24,54.336,4695.7,24.914,0.136,2.00,12.0367,20426.3,1.0744,0.4137,16.83,1.342,0.129,0.4655,0.0000,0.530,0.054,0.746,0.0000,6.17,0.44,5,14,34,81,18.3290,0.2023,0.4302,0.0000,0.0000,13.9035,100.00,108.8483,234.4638,0.0,0.0000,0.0000,0.6980,0.6475,7701,0.3289,2.5549,0.9102
30000,2124,1.129,0.639,8.75,115249,45795,850,1230,11777,45098,1076930.8,666221.5,0.039,0.595,0.275,0.091,108,23.44,18.93,1.21,4.06,2.95,6.11,0.48,2.70,11.64,12.32,0.00,0.11,0.109,0.207,941,0.027,0.060,0.904,0.000,0.036,383657,378340,1,0.825,0.175,0.060,1533489,0.183,2.789,0.048,6.33,109441,350,14.773,0.298,0.376,16199320,1.35,7.87,0.082,0.282,0.001,4.4,18.7,52.8,114.2,34579,0.132,0.00,0.0044,0.065,372,0.904,0.000,0.844,0.702,3.69,4.81,4.84,0.04,0.016,1.24,1.48,1.35,0.904,0.00081,2.14,128.6957,4005.28,106595.8,140185.7,11.005,132.0435,139.865,0.000,1.000,0.202,45.0,46.310,245.733,409,1376.4,129.49,9.508,5.68,172.111,4833.1,103.641,0.134,2.00,9.2679,19685.0,1.0506,0.5450,16.28,1.406,0.177,1.5345,0.0000,0.528,0.065,0.629,0.0000,6.65,0.75,3,12,36,69,42.5148,2.0715,0.4821,0.0000,0.0000,58.0930,100.00,82.0393,477.1672,0.0,0.0000,0.0000,0.7021,0.4822,55170,0.3289,1.7298,0.9014
40000,2141,1.207,0.402,7.42,31938,19453,415,1364,1859,53625,317436.0,139861.3,0.040,0.712,0.148,0.101,187,25.22,20.14,2.21,5.43,0.63,2.80,0.37,2.73,14.02,10.53,0.00,0.00,0.026,0.112,575,0.092,0.098,0.868,0.000,0.035,71827,69079,3,0.459,0.540,0.035,578213,0.156,2.025,0.030,5.01,21732,471,2.608,0.224,0.273,6803149,1.63,7.55,0.139,0.065,0.000,6.6,18.0,60.8,151.6,36892,0.141,0.00,0.0011,0.061,474,0.863,0.000,0.755,0.566,3.77,5.26,4.51,0.01,0.003,1.33,1.96,1.64,0.866,0.00058,1.23,21.5222,2376.07,106433.5,140185.7,0.208,35.3193,50.823,0.000,1.000,0.191,55.3,21.056,67.718,276,905.0,65.69,6.580,5.98,51.381,3035.1,26.778,0.136,2.00,10.9521,23448.4,0.9025,0.5311,17.23,1.354,0.197,0.4655,0.0000,0.478,0.076,0.373,0.0000,6.72,0.63,5,14,36,64,19.5151,0.3048,0.4652,0.0000,0.0000,13.9017,100.00,109.6823,230.6888,0.0,0.0000,0.0000,0.6177,0.6837,8830,0.3289,4.5468,0.9332
50000,2308,1.066,0.636,8.32,134852,56527,562,8326,11082,204761,1046103.4,661903.3,0.069,0.630,0.197,0.104,102,21.25,18.41,0.79,3.03,2.21,5.36,0.65,3.42,10.33,10.38,0.01,0.10,0.075,0.158,963,0.090,0.058,0.914,0.000,0.027,353768,339820,2,0.441,0.524,0.062,1297412,0.185,2.508,0.051,7.78,101045,386,3.233,0.276,0.325,17513025,1.23,9.64,0.042,0.303,0.003,4.1,16.7,44.6,213.6,32294,0.123,0.00,0.0044,0.067,287,0.867,0.000,0.891,0.624,3.27,4.30,4.57,0.12,0.062,1.15,1.31,1.24,0.871,0.00141,1.75,110.3049,3092.50,104604.4,140185.7,5.333,135.4069,144.934,0.000,1.000,0.171,44.8,49.772,246.913,522,1998.0,41.46,11.438,5.40,177.580,5057.6,98.966,0.135,2.00,9.3896,21671.2,1.1890,0.6852,13.99,1.486,0.244,1.5345,0.0000,0.455,0.098,0.277,0.0000,6.78,0.78,3,11,33,81,44.0143,2.4928,0.4727,0.0000,0.0000,57.9044,100.00,86.2809,476.8177,0.0,0.0000,0.0000,0.7028,0.5230,58188,0.3289,1.0607,0.8962
60000,2091,1.215,0.532,6.87,39728,22925,437,1763,2648,52767,318599.7,140979.5,0.072,0.685,0.176,0.067,181,21.39,18.31,1.40,4.80,0.19,1.80,0.71,3.40,12.63,9.37,0.00,0.06,0.004,0.035,462,0.076,0.085,0.883,0.000,0.031,75902,72211,3,0.775,0.024,0.067,631808,0.149,2.332,0.043,5.42,22675,459,2.672,0.200,0.284,6877981,1.40,9.21,0.027,0.023,0.001,6.0,16.2,49.2,141.6,31200,0.119,0.00,0.0012,0.066,441,0.833,0.000,0.859,0.493,3.54,5.02,4.62,0.02,0.008,1.27,1.57,1.38,0.835,0.00062,1.08,21.0497,3330.56,107408.0,140185.7,0.135,35.2972,52.727,0.000,1.000,0.189,38.2,21.803,69.206,380,1269.0,43.47,7.150,5.41,51.401,3834.7,26.468,0.136,1.99,9.8445,20584.8,0.9048,0.6305,14.92,1.358,0.110,0.4655,0.0000,0.448,0.057,0.174,0.0000,7.08,0.59,4,11,31,81,20.1135,0.3916,0.4041,0.0000,0.0000,14.4847,100.00,109.3936,228.7252,0.0,0.0000,0.0000,0.6907,0.6350,12172,0.3289,3.7501,0.9172
70000,2684,0.913,0.601,9.83,179387,83836,302,12041,17717,319748,1025691.7,755728.2,0.078,0.646,0.207,0.069,99,13.15,13.73,0.47,2.53,0.87,1.93,0.35,2.33,7.32,9.03,0.01,0.18,0.100,0.154,1071,0.118,0.041,0.915,0.005,0.038,403359,381343,4,0.439,0.117,0.049,1091878,0.185,2.314,0.050,7.55,111945,352,2.364,0.242,0.402,20933834,1.17,12.24,0.013,0.400,0.007,3.6,8.0,29.8,134.4,24184,0.092,0.00,0.0052,0.079,431,0.813,0.000,0.910,0.560,2.65,3.90,3.38,0.02,0.010,1.16,1.20,1.17,0.823,0.00141,1.87,108.0434,3752.25,110859.6,140185.7,5.859,131.7627,161.231,0.000,1.000,0.269,45.3,53.804,246.359,436,1407.5,41.91,11.537,5.04,177.674,4406.1,99.993,0.135,2.00,6.0681,16286.7,1.3242,0.7563,9.01,1.568,0.336,1.5345,0.0000,0.450,0.072,0.217,0.0000,6.34,1.06,2,6,21,64,48.3176,1.7120,0.4661,0.0000,0.0000,57.0549,100.00,88.8479,497.1493,0.0,0.0000,0.0000,0.6968,0.4990,64898,0.3289,1.3989,0.8979
80000,2046,1.229,0.473,5.85,48731,30842,122,1025,3888,29565,356657.1,169052.7,0.095,0.656,0.182,0.068,200,21.15,16.16,1.27,4.30,0.03,0.70,1.59,5.61,13.47,9.35,0.00,0.00,0.001,0.013,397,0.080,0.082,0.891,0.001,0.026,100687,96805,1,1.000,0.000,0.111,781657,0.191,2.245,0.036,5.42,27220,405,5.718,0.268,0.273,6477912,1.36,8.70,0.059,0.000,0.000,8.2,16.5,44.0,86.2,33473,0.128,0.00,0.0013,0.058,489,0.778,0.000,0.848,0.527,3.67,4.32,5.50,0.00,0.000,1.14,1.48,1.42,0.781,0.00060,1.64,25.3797,3570.10,105853.9,140185.7,0.401,27.7740,58.444,0.000,1.000,0.257,39.5,24.354,63.330,293,895.1,60.17,6.601,4.63,47.205,3026.3,30.315,0.135,2.00,11.3201,23160.8,0.9840,0.7693,16.36,1.299,0.133,0.4655,0.0000,0.457,0.064,0.270,0.0000,7.00,0.41,6,12,37,64,22.6631,0.4718,0.4257,0.0000,0.0000,14.0566,100.00,111.7791,272.8400,0.0,0.0000,0.0000,0.6538,0.5820,13492,0.3289,7.5488,0.9231
90000,2265,1.185,0.544,6.00,164480,64565,740,11,19600,2224,1191103.0,832224.1,0.083,0.591,0.249,0.077,106,20.08,16.05,0.90,3.47,0.12,0.93,0.85,4.36,13.62,10.17,0.00,0.06,0.005,0.041,519,0.049,0.059,0.904,0.000,0.038,479072,470664,2,0.922,0.050,0.076,2152062,0.216,2.293,0.044,6.93,113726,230,374.201,0.636,0.359,17944100,1.26,9.58,0.029,0.005,0.001,5.5,14.9,41.4,146.3,35101,0.134,0.00,0.0039,0.053,399,0.866,0.000,0.902,0.660,3.60,4.11,5.36,0.02,0.007,1.10,1.35,1.30,0.866,0.00100,2.67,151.0320,4565.68,103412.3,140185.7,12.663,118.7712,164.785,0.000,1.000,0.216,50.4,55.161,244.086,285,980.9,45.60,9.410,4.64,167.247,3133.5,115.414,0.135,2.00,10.6886,24209.6,1.0198,0.2457,15.50,1.273,0.099,1.5345,0.0000,0.439,0.052,0.117,0.0000,7.08,0.62,4,12,33,100,51.1841,1.7198,0.4313,0.0000,0.0000,59.1212,100.00,82.9226,507.7840,0.0,0.0000,0.0000,0.6281,0.4091,79345,0.3289,2.7725,0.9133
100000,1779,1.279,0.496,6.35,46574,27816,323,12,3957,880,363427.0,170740.0,0.055,0.675,0.192,0.077,203,21.01,16.72,1.32,4.34,0.15,1.94,0.49,3.22,13.46,9.52,0.00,0.07,0.003,0.039,247,0.265,0.080,0.892,0.001,0.027,102532,100465,1,1.000,0.000,0.026,668575,0.148,2.304,0.038,5.29,25173,107,194.023,0.500,0.284,6624523,1.39,8.20,0.057,0.006,0.001,5.4,17.9,47.7,151.9,27431,0.105,0.00,0.0015,0.066,344,0.800,0.000,0.833,0.556,3.80,3.56,6.37,0.01,0.004,1.13,1.56,1.45,0.800,0.00063,1.82,29.0901,3589.43,107249.3,140185.7,0.428,27.2900,59.136,0.000,1.000,0.208,36.6,24.730,62.696,266,932.0,45.24,6.068,4.32,46.348,3330.6,31.166,0.134,2.00,12.2247,21747.8,1.0666,0.3307,15.42,1.289,0.112,0.4655,0.0000,0.504,0.051,0.444,0.0000,6.83,0.51,4,13,34,64,23.2522,0.3572,0.3924,0.0000,0.0000,14.3936,100.00,110.4944,269.4025,0.0,0.0000,0.0000,0.6619,0.5585,14952,0.3289,7.9933,0.9238
