step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2
1000,1232,0.8295,19274.6,698,713,413,106,11,5,16,24833,32855,40250,0,0,0,0.940,0.603,0.412,666,208,12
2000,935,0.7957,23817.4,1515,638,270,27,11,3,1,19568,29321,38126,0,0,0,0.984,0.791,0.878,628,189,14
3000,983,0.7589,29939.1,2076,647,267,69,17,3,12,16307,25951,35551,0,0,0,0.978,0.823,0.512,629,182,19
4000,1136,0.5889,19276.6,531,625,310,201,7,16,9,24035,30047,36735,0,0,0,0.905,0.670,0.558,547,147,32
5000,1125,0.5867,20254.2,696,574,364,187,15,16,18,22528,29525,38002,0,0,0,0.910,0.578,0.359,513,182,35
6000,2196,0.4954,33076.7,518,882,781,533,47,34,63,22574,26979,36456,0,0,0,0.841,0.421,0.177,688,203,32
7000,2275,0.4567,32766.2,407,865,898,512,54,47,68,23706,27388,37193,0,0,0,0.824,0.423,0.319,654,197,17
8000,2073,0.4723,28257.1,428,849,730,494,38,57,62,24965,29623,38467,0,0,0,0.798,0.506,0.326,647,201,20
9000,2122,0.4571,32281.3,448,933,625,564,57,59,63,23889,29404,39332,0,0,0,0.882,0.514,0.298,761,187,42
10000,1791,0.4802,25841.9,475,903,588,300,40,52,53,27034,32126,41359,0,0,0,0.877,0.494,0.345,732,157,13
11000,1574,0.5724,18053.2,539,935,409,230,50,67,50,30836,36576,44296,0,0,0,0.929,0.566,0.357,833,125,8
12000,1175,0.6170,12367.8,617,702,282,191,43,41,49,33485,40063,46284,0,0,0,0.927,0.563,0.492,598,89,16
13000,750,0.6693,6477.3,696,480,179,91,32,48,46,37232,42303,47402,0,0,0,0.940,0.622,0.500,435,61,6
14000,612,0.7288,5964.1,850,466,116,30,19,43,22,37626,43627,47792,0,0,0,0.920,0.759,0.570,386,52,1
15000,498,0.7490,5029.5,932,400,74,24,6,41,23,38145,44627,48197,0,0,0,0.973,0.772,0.699,368,34,0
16000,640,0.5734,5129.6,522,491,115,34,12,57,33,38237,44725,48244,0,0,0,0.949,0.748,0.536,428,29,0
17000,891,0.5578,7393.4,405,587,186,118,24,100,88,35962,43948,48524,0,0,0,0.927,0.683,0.596,494,43,3
18000,1310,0.4824,12421.9,377,733,326,251,37,127,129,32214,42250,48773,0,0,0,0.929,0.652,0.451,606,92,10
19000,1774,0.5011,17754.7,397,866,562,346,55,121,130,28603,39187,48005,0,0,0,0.881,0.548,0.367,700,152,10
20000,2337,0.4643,19970.3,331,1097,795,445,101,83,110,27497,35886,46753,0,0,0,0.851,0.521,0.300,841,182,9
21000,2580,0.4322,24104.7,327,1206,895,479,72,102,96,24892,32972,45362,0,0,0,0.848,0.508,0.305,921,235,9
22000,3014,0.4340,26761.1,329,1400,1124,490,80,110,100,22600,30971,43936,0,0,0,0.857,0.434,0.252,1096,262,21
23000,3325,0.4355,30210.2,326,1340,1255,730,99,102,87,21196,29323,42289,0,0,0,0.864,0.497,0.330,1068,315,50
24000,3153,0.4117,26359.7,345,1406,1148,599,96,98,83,20964,30023,42288,0,0,0,0.850,0.506,0.343,1099,305,18
25000,3414,0.4028,32047.8,344,1535,1226,653,90,111,83,20041,28716,39974,0,0,0,0.817,0.516,0.390,1111,335,47
26000,3580,0.4296,32781.8,380,1532,1354,694,89,105,105,19790,27028,40929,0,0,0,0.844,0.468,0.304,1209,382,18
27000,3553,0.4090,31376.3,348,1515,1252,786,91,76,100,19978,29150,41851,0,0,0,0.828,0.490,0.389,1188,329,38
28000,3343,0.4236,30386.4,373,1360,1199,784,94,85,109,22129,30016,40648,0,0,0,0.836,0.471,0.276,1061,366,29
29000,3112,0.4826,28553.7,406,1365,1102,645,90,79,117,23896,31611,41977,0,0,0,0.849,0.546,0.326,1071,346,22
