what,value,source
control ms_step,30.52,experiments/e092_yardstick/results/ladder/*_ctl_row.csv (4 seeds kept on disk)
control ms_world,2.55,experiments/e092_yardstick/results/ladder/*_ctl_row.csv (4 seeds kept on disk)
control ms_bodies,27.3,experiments/e092_yardstick/results/ladder/*_ctl_row.csv (4 seeds kept on disk)
control ms_lineage,0.66,experiments/e092_yardstick/results/ladder/*_ctl_row.csv (4 seeds kept on disk)
control pop,8590.0,experiments/e092_yardstick/results/ladder/*_ctl_row.csv (4 seeds kept on disk)
control source,experiments/e092_yardstick/results/ladder/*_ctl_row.csv (4 seeds kept on disk),
"harness 2d ms_step, six at once, 10,000 bodies",17.32,results/spike2.txt
"harness 3d ms_step, six at once, 10,000 bodies",48.96,results/spike2.txt
"ratio 3d/2d, six at once",2.83,results/spike2.txt
share of the control's cost a body the harness covers,0.54,results/spike2.txt
projected 3d ms a step,58-80,the two lines above
"the line (5 h for six seeds at 100,000 steps)",180.0,#110
