seed,kind,share,side,cells,born_size,open_block,travel,light,plant,kills,water,run
9,mixed / no tooth / roams / shore,0.14471145413085423,4,4444444442222222,16.0,1.0087721387263702,17.5,0.002056423496747451,0.4503664051000927,0.4412059330569493,0.6301298701298701,s1g0.016
9,mixed / no tooth / stays / bottom,0.1283484100533741,4,4444444444444444,20.0,1.2291415056433506,0.0,0.11544544452680605,0.49268583818093276,0.16633856083764464,0.9631003514252245,s1g0.016
9,mixed / no tooth / stays / shore,0.08254190994061192,4,2222442244424442,16.0,1.0412896538178396,3.0,0.058437639467943364,0.5023576430289045,0.25588486967911905,0.7404371584699454,s1g0.016
9,mixed / no tooth / roams / bottom,0.08168992908512292,4,2222222244424442,16.0,1.1050848544157772,18.25,0.003589381113396221,0.47774919236395047,0.4062439015419125,0.9585889570552147,s1g0.016
9,light / no tooth / stays / surface,0.0772796752449445,9,555555555555555555555000005550000000550000000500000000500000000500000000500000000,23.0,1.4946347076083448,0.0,0.9166728494064299,0.060647857065824415,0.022073589868416267,0.9896238651102465,s1g0.016
9,flesh / no tooth / roams / shore,0.06875986669005438,4,4444422422222222,16.0,0.9804187249343707,21.25,0.0009135680201999819,0.24295372490823683,0.6673014271233495,0.5962099125364432,s1g0.016
9,plant / no tooth / stays / shore,0.05382514345854111,4,4444444444444444,16.0,0.998890105538813,0.0,0.012639791249711025,0.7404526064834145,0.07157371848316017,0.6298882681564246,s1g0.016
9,mixed / tooth / roams / shore,0.04460370361089533,7,0000055000005500000050000005000000500000050000005,49.0,0.5783539876200141,23.75,0.07508815584090882,0.5111131898364888,0.35834672793434086,0.26348314606741574,s1g0.016
9,mixed / tooth / roams / land,0.04287468363946175,6,111111111111442244422224222222222222,36.0,0.41917270567760634,27.75,0.01220821436471393,0.47508364881734816,0.44811898217949664,0.058445353594389245,s1g0.016
9,plant / no tooth / stays / bottom,0.04217305234670609,4,4444444444444444,16.0,1.2047844080397012,0.0,0.0650087917549636,0.7236388400588557,0.06801485272120264,0.9685086155674391,s1g0.016
9,light / no tooth / stays / bottom,0.03310196206179367,7,0000055000005500000050000005000000500000050000055,14.0,1.760077983757666,0.0,0.8393728211897744,0.06141005955060901,0.02197595775747314,0.9947009841029523,s1g0.016
9,plant / no tooth / roams / surface,0.03202445686220463,5,2444424444520445244452444,22.0,1.3059959382614226,17.0,0.14025690434407173,0.6400503076744691,0.2148894998900835,0.9726134585289515,s1g0.016
9,mixed / tooth / roams / land,0.12598587674247982,6,111111122221224422244442244442224422,36.0,0.5082158147795164,14.0,0.0,0.4664753219007461,0.4699744430141714,0.03548680618744313,s0g0
9,mixed / tooth / stays / land,0.11388022743947175,8,1111111112222221222442222444444244444444444444444444444444444444,36.0,0.4254267345142238,4.5,0.0,0.5641354120440507,0.34786819129648006,0.043889671834105096,s0g0
9,mixed / no tooth / stays / bottom,0.09709739545121056,4,4444444444444444,16.0,1.3565044951020269,0.0,0.0,0.5756163454792603,0.14686386499714796,0.9667060212514758,s0g0
9,mixed / no tooth / stays / shore,0.0956529713866471,7,4444444444444444444444444444444444444444444444444,31.0,0.9267138474746268,0.0,0.0,0.5419194771091554,0.20813768623434167,0.5627996164908916,s0g0
9,plant / no tooth / roams / surface,0.09143433602347763,7,4444444444444244400224400002440000244000224400222,32.0,1.5437016796801908,16.5,0.0,0.8518261385857504,0.14507801371314116,0.9799398194583752,s0g0
9,plant / no tooth / stays / shore,0.07524761555392516,7,4444444444444244400224400002440000244000224400222,43.0,0.7239150744050805,0.0,0.0,0.7132059951968828,0.08707293649841279,0.4582571602681292,s0g0
9,mixed / tooth / roams / shore,0.07258804108584006,7,1100000020000022000002440000244000024400002440000,17.0,0.987337617911676,12.75,0.0,0.429148014982887,0.45318642728108127,0.6159191408717625,s0g0
9,mixed / tooth / stays / shore,0.0514490095377843,7,1100000020000022000002440000244000024400002440000,36.0,0.7292669944098262,4.5,0.0,0.5460498735421976,0.3357934483435177,0.3640819964349376,s0g0
9,mixed / no tooth / roams / bottom,0.05135730007336757,4,4444444444444444,16.0,1.1788624007973578,13.5,0.0,0.4622717516966254,0.4134025285450577,0.9522321428571429,s0g0
9,mixed / no tooth / roams / shore,0.043309794570799705,4,2222222422442444,16.0,1.0573696129950167,13.5,0.0,0.4287559486227487,0.45518578707932117,0.6347273689782954,s0g0
9,plant / no tooth / stays / bottom,0.04074192956713133,4,4444444444444444,24.0,1.3036429541765344,0.0,0.0,0.7303936798079643,0.06444253896893215,0.9864940911648846,s0g0
