run,pop,size_mean,leaf_mean,leaf_open,open_mean,light_intake,plant_step,light_share,leaf_led,per_cell,blocks_cell,shaded,grass_under,grass_free,gut_income,no_room,blocked,grass,soil_land,digestive_mean,lineages,step
e081 ctl,10253.047619047618,27.64,0.0,0.0,20.926387684301822,0.0,596.6598598095238,0.0,0.0,1.0658654957245204,0.0,0.0,0.0,0.0,0.0035264665684349022,0.5028768275565102,0.5263880414887125,21380.666666666668,873467.619047619,16.50190476190476,12.333333333333334,40000
s0 g0,10253.047619047618,27.64,0.0,0.0,20.896190476190476,0.0,596.6598598095238,0.0,0.0,1.0604761904761906,9.061428571428571,0.0,0.1412904761904762,0.20175714285714286,0.0035264665684349022,0.5028768275565102,0.5263880414887125,21380.666666666668,873467.619047619,16.50190476190476,12.333333333333334,40000
s1 g0,7776.428571428572,28.79047619047619,0.0,0.0,21.76238095238095,0.0,487.99945523809527,0.0,0.0,1.045904761904762,9.008095238095239,0.5401428571428571,0.1175952380952381,0.1856809523809524,0.0034888071686352135,0.478985588995993,0.4949428208386277,19739.904761904763,871539.7142857143,17.987142857142857,11.80952380952381,40000
s2 g0,8079.523809523809,28.508095238095237,0.0,0.0,21.516190476190477,0.0,471.6301158095238,0.0,0.0,1.041047619047619,8.848571428571429,0.7669047619047619,0.12912857142857143,0.21214761904761906,0.003447157236944303,0.47257948588587756,0.4988387357366455,22407.666666666668,864474.9523809524,16.933809523809526,16.476190476190474,40000
s1 g0.016,8932.666666666666,27.286666666666665,1.44,1.7495238095238095,21.302857142857142,32.674795238095236,480.9274483809524,0.06361887169311316,0.15376190476190477,1.0620952380952382,9.083333333333334,0.5488571428571428,0.12667142857142857,0.17031428571428572,0.0034149534239773433,0.46005186891592104,0.48789084134736416,18342.285714285714,877195.3333333334,15.765714285714285,21.761904761904763,40000
s2 g0.008,7842.714285714285,28.823333333333334,1.2623809523809524,1.5557142857142856,22.27904761904762,19.867561904761907,452.6550057142857,0.0420457418676759,0.12828571428571428,1.051,8.888095238095238,0.7700476190476191,0.11627619047619048,0.18910476190476191,0.0036139577252034196,0.4777225128089936,0.49252097774534837,20011.285714285714,868472.4285714285,15.970476190476191,15.285714285714286,40000
s4 g0.004,7977.142857142857,25.09285714285714,0.6685714285714286,0.6309523809523809,20.931428571428572,5.205471428571428,470.1485180952381,0.010950726286711215,0.017047619047619048,1.044142857142857,8.73857142857143,0.9047142857142857,0.13384761904761905,0.22276666666666667,0.0037121744319723367,0.48789515941903994,0.5303606287886571,23710.14285714286,850216.1904761905,15.876666666666667,14.80952380952381,40000
s2 g0.016,31624.35714285714,14.332857142857142,5.685714285714286,10.367857142857142,17.78,1022.6839785714286,372.6590822857143,0.7329265520861986,0.7801428571428571,1.4585714285714286,10.070714285714285,0.8214285714285714,0.08466428571428572,0.1868142857142857,0.0023696489956583767,0.5165287538147961,0.691822290440863,19140.0,831740.0,4.972857142857143,38.5,26000
s4 g0.016,38784.916666666664,10.843333333333334,3.9691666666666667,7.180833333333333,13.695833333333333,1192.3586583333333,339.12457466666666,0.7785646180387098,0.7801666666666667,1.4329166666666666,8.47,0.9045833333333334,0.07751666666666666,0.20338333333333333,0.002686243678701103,0.34954604569968795,0.5105277549904293,20151.166666666668,808588.5833333334,3.255,32.583333333333336,22000
s1 g0.032,44243.77777777778,11.097777777777777,3.953333333333333,7.1755555555555555,13.935555555555556,1312.8992444444443,403.8224426666667,0.7647711648903227,0.7127777777777777,1.8038888888888889,10.49,0.6066666666666667,0.09268888888888889,0.21263333333333334,0.0022799036634585,0.4711023610585186,0.638268156424581,21419.88888888889,787375.8888888889,4.003333333333334,38.77777777777778,17000
