run,kinds_at,placed_at,top_kind,censuses,from,to,by_light,in_light,water_led,per_cell,per_cell_light
s0g0,8.142857142857142,4.9523809523809526,0.12598587674247982,21,20000,40000,0,0.0,0.0,1.0604140158269315,0.0
s1g0,7.428571428571429,3.8095238095238093,0.16443311941613187,21,20000,40000,0,0.0,0.0,1.045847691633298,0.0
s2g0,7.523809523809524,4.142857142857143,0.20676188032726134,21,20000,40000,0,0.0,0.0,1.0409566024816663,0.0
s1g0.016,7.238095238095238,4,0.14471145413085423,21,20000,40000,1,0.0772796752449445,0.9896238651102465,1.0620803299085835,1.6378120021242697
s2g0.008,5.857142857142857,3.4761904761904763,0.17620498927644204,21,20000,40000,1,0.05593182074726267,0.9889001009081736,1.0509521859510367,1.854069223573433
s4g0.004,6.809523809523809,3.8095238095238093,0.16966084858805167,21,20000,40000,0,0.0,0.0,1.0441810776391307,0.0
s2g0.016,3.4444444444444446,2.4444444444444446,0.6269913847042403,9,20000,28000,2,0.6788997449102373,0.9693736485767963,1.4219019540190823,3.3015916361082938
s4g0.016,3,1.7142857142857142,0.4337889881078336,7,20000,26000,3,0.7461170595454738,0.6369256948383437,1.393946324903152,1.5432422969187676
s1g0.032,5,3,0.44801574286651363,1,20000,20000,3,0.6671859626106921,0.9160624308713285,1.5832162738671245,1.524639310474049
