step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,stay,n,s,e,w,steps_per_sec,speed_mean,speed_std,metabolism_mean,metabolism_std,sense_mean,sense_std,size_mean,size_std,lifespan_mean,lifespan_std,greed_mean,greed_std,boldness_mean,boldness_std,fertility_mean,fertility_std
510000,744,3.088,0.039,18.26,14034,7588,6449,0.000,0.002,0.787,0.123,0.088,34248,0.0159,0.0127,0.5553,0.2245,0.0504,0.0419,0.0450,0.0301,0.3766,0.1142,0.7313,0.1447,0.4310,0.1889,0.9706,0.0384
520000,755,3.120,0.039,18.87,14038,7579,6448,0.000,0.002,0.785,0.132,0.081,33682,0.0134,0.0108,0.5536,0.1972,0.0566,0.0470,0.0387,0.0296,0.3811,0.0926,0.6978,0.1764,0.4007,0.1555,0.9754,0.0311
530000,736,3.116,0.039,18.68,14405,7949,6475,0.001,0.002,0.787,0.131,0.080,33379,0.0158,0.0127,0.5312,0.1763,0.0697,0.0613,0.0418,0.0313,0.3728,0.0960,0.7263,0.1635,0.3884,0.1729,0.9761,0.0254
540000,750,3.084,0.038,17.68,14492,8065,6413,0.001,0.001,0.790,0.130,0.078,34983,0.0141,0.0115,0.5905,0.1841,0.0586,0.0518,0.0427,0.0261,0.3847,0.1031,0.6781,0.1707,0.4224,0.1436,0.9774,0.0287
550000,737,3.152,0.040,17.01,14468,8240,6241,0.001,0.003,0.786,0.143,0.067,36782,0.0155,0.0116,0.4868,0.2265,0.0537,0.0428,0.0470,0.0343,0.3643,0.0989,0.7540,0.1927,0.4165,0.1259,0.9725,0.0260
560000,729,3.217,0.041,17.33,13926,7123,6811,0.000,0.002,0.799,0.086,0.112,36800,0.0167,0.0137,0.4582,0.2212,0.0539,0.0510,0.0392,0.0303,0.3669,0.1021,0.8280,0.1928,0.4755,0.1359,0.9714,0.0316
570000,739,3.138,0.039,17.48,13805,7147,6648,0.000,0.003,0.805,0.061,0.131,36917,0.0159,0.0126,0.5236,0.2138,0.0538,0.0496,0.0343,0.0278,0.3826,0.0989,0.7814,0.2397,0.4909,0.1674,0.9707,0.0384
580000,755,3.105,0.041,17.67,13446,7184,6246,0.000,0.007,0.798,0.079,0.116,37542,0.0180,0.0132,0.4821,0.2350,0.0464,0.0535,0.0341,0.0233,0.3871,0.1077,0.7686,0.2631,0.4664,0.1532,0.9668,0.0292
590000,743,3.254,0.040,17.78,13418,6849,6581,0.000,0.008,0.796,0.090,0.106,36964,0.0164,0.0129,0.5149,0.1943,0.0468,0.0479,0.0418,0.0396,0.3834,0.1123,0.7807,0.2466,0.4934,0.1876,0.9682,0.0357
600000,749,3.103,0.039,17.89,13796,7556,6234,0.001,0.004,0.797,0.076,0.123,35402,0.0144,0.0114,0.5405,0.2033,0.0503,0.0559,0.0403,0.0339,0.3952,0.1166,0.8180,0.1767,0.5183,0.2146,0.9693,0.0347
610000,725,3.136,0.040,18.61,13799,7656,6167,0.000,0.004,0.791,0.078,0.127,30258,0.0145,0.0113,0.5364,0.2453,0.0552,0.0448,0.0385,0.0250,0.4026,0.1141,0.8072,0.1843,0.5562,0.2175,0.9712,0.0303
620000,753,3.163,0.038,19.00,13425,7281,6116,0.000,0.002,0.812,0.053,0.133,34613,0.0145,0.0140,0.4630,0.2090,0.0490,0.0448,0.0291,0.0250,0.4201,0.1157,0.8627,0.1631,0.6329,0.1590,0.9731,0.0285
630000,763,3.069,0.039,19.41,13759,7891,5858,0.000,0.001,0.811,0.034,0.154,32879,0.0129,0.0115,0.4672,0.1958,0.0414,0.0377,0.0299,0.0280,0.4145,0.1164,0.9240,0.1119,0.6128,0.1511,0.9708,0.0323
640000,758,3.073,0.040,19.99,13626,7763,5868,0.000,0.001,0.800,0.047,0.152,32938,0.0116,0.0106,0.5265,0.2134,0.0383,0.0331,0.0264,0.0270,0.4352,0.1122,0.9479,0.0536,0.6073,0.1543,0.9710,0.0310
650000,767,3.009,0.039,19.06,14337,8774,5554,0.000,0.001,0.798,0.054,0.147,31496,0.0099,0.0091,0.5638,0.2064,0.0374,0.0324,0.0256,0.0260,0.4311,0.1141,0.9568,0.0442,0.5945,0.1785,0.9710,0.0269
660000,751,3.226,0.040,17.96,14794,9076,5734,0.000,0.002,0.797,0.072,0.129,33649,0.0096,0.0083,0.5147,0.1598,0.0429,0.0407,0.0222,0.0182,0.4261,0.1193,0.9437,0.0520,0.5983,0.1641,0.9611,0.0376
670000,740,3.145,0.039,18.53,14440,8707,5744,0.001,0.002,0.798,0.075,0.125,34015,0.0103,0.0092,0.5555,0.1570,0.0436,0.0392,0.0264,0.0232,0.4099,0.1204,0.9316,0.0659,0.6020,0.1788,0.9589,0.0419
680000,758,3.212,0.038,19.68,14778,8537,6223,0.001,0.002,0.792,0.076,0.130,32151,0.0090,0.0088,0.5257,0.1618,0.0429,0.0394,0.0258,0.0234,0.4208,0.1237,0.9367,0.0633,0.5625,0.1908,0.9577,0.0382
690000,762,3.177,0.038,19.78,14087,8138,5945,0.001,0.003,0.802,0.060,0.134,30776,0.0141,0.0120,0.5059,0.2019,0.0327,0.0359,0.0254,0.0212,0.4187,0.1023,0.9222,0.1063,0.4598,0.1904,0.9560,0.0387
700000,764,3.247,0.039,19.18,13589,7485,6102,0.000,0.001,0.808,0.045,0.146,32945,0.0167,0.0134,0.4954,0.1750,0.0327,0.0317,0.0256,0.0221,0.4139,0.0999,0.9484,0.0862,0.4460,0.1631,0.9506,0.0454
710000,747,3.317,0.042,18.97,13440,7495,5962,0.001,0.000,0.810,0.031,0.158,33950,0.0170,0.0143,0.4757,0.1700,0.0281,0.0290,0.0255,0.0219,0.4130,0.0990,0.9277,0.1183,0.4467,0.1656,0.9483,0.0525
720000,743,3.244,0.041,17.86,13591,7678,5917,0.001,0.000,0.811,0.037,0.152,35017,0.0168,0.0131,0.4905,0.1892,0.0329,0.0279,0.0300,0.0277,0.3968,0.1072,0.9297,0.0969,0.5005,0.1905,0.9514,0.0390
730000,750,3.339,0.042,17.79,13709,7389,6313,0.001,0.000,0.804,0.037,0.158,36268,0.0177,0.0135,0.5556,0.1697,0.0502,0.0387,0.0288,0.0237,0.3826,0.1031,0.9398,0.0655,0.4860,0.1832,0.9450,0.0454
740000,731,3.307,0.041,17.37,13714,7154,6579,0.000,0.000,0.787,0.052,0.160,37010,0.0174,0.0159,0.5539,0.1856,0.0551,0.0352,0.0398,0.0275,0.3894,0.1025,0.9199,0.0767,0.5525,0.1431,0.9476,0.0410
750000,751,3.238,0.040,16.95,13101,7056,6025,0.001,0.000,0.787,0.067,0.145,38216,0.0160,0.0132,0.5783,0.1744,0.0503,0.0351,0.0374,0.0320,0.4178,0.0965,0.9084,0.0961,0.5855,0.1517,0.9456,0.0476
760000,738,3.396,0.042,15.98,12883,6997,5899,0.001,0.000,0.798,0.053,0.148,39535,0.0177,0.0151,0.5856,0.1449,0.0419,0.0295,0.0331,0.0245,0.4149,0.0909,0.9095,0.0882,0.6284,0.1728,0.9348,0.0444
770000,739,3.311,0.041,15.61,12839,6960,5878,0.000,0.000,0.799,0.045,0.156,41387,0.0173,0.0110,0.5480,0.1399,0.0448,0.0302,0.0345,0.0221,0.4149,0.0912,0.9005,0.0843,0.6796,0.1421,0.9400,0.0331
