step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,stay,n,s,e,w,steps_per_sec,speed_mean,speed_std,metabolism_mean,metabolism_std,sense_mean,sense_std,size_mean,size_std,lifespan_mean,lifespan_std,greed_mean,greed_std,boldness_mean,boldness_std,fertility_mean,fertility_std
10000,426,6.113,0.081,11.82,4643,1795,2722,0.009,0.108,0.474,0.273,0.136,88024,0.1872,0.0374,0.3926,0.0537,0.4135,0.0659,0.3661,0.0478,0.5927,0.0499,0.5877,0.0604,0.3433,0.0615,0.4785,0.0543
20000,464,5.883,0.076,12.95,4406,1399,2969,0.005,0.031,0.570,0.394,0.000,86892,0.1336,0.0431,0.3692,0.0798,0.3767,0.0895,0.3150,0.0538,0.6033,0.0470,0.5643,0.1036,0.3945,0.0785,0.4857,0.0949
30000,477,5.494,0.076,14.55,4648,1609,3026,0.002,0.023,0.514,0.460,0.001,72111,0.0829,0.0268,0.3596,0.0764,0.3564,0.0631,0.2777,0.0540,0.6392,0.0492,0.4900,0.0642,0.4685,0.0765,0.5512,0.0747
40000,516,5.340,0.068,14.83,4927,1946,2942,0.006,0.020,0.485,0.485,0.004,68247,0.0670,0.0277,0.3800,0.1064,0.3401,0.0711,0.2353,0.0553,0.6481,0.0598,0.5257,0.0615,0.5004,0.0853,0.5644,0.1005
50000,504,5.630,0.069,15.00,5006,1594,3424,0.006,0.031,0.466,0.441,0.057,64771,0.0824,0.0338,0.4102,0.1028,0.3308,0.0778,0.2345,0.0513,0.5720,0.0774,0.5141,0.0675,0.4830,0.0792,0.5450,0.0819
60000,515,5.426,0.066,14.90,5398,1538,3849,0.007,0.029,0.455,0.396,0.114,61059,0.0805,0.0390,0.3617,0.1011,0.2889,0.0786,0.2185,0.0650,0.5274,0.0697,0.5100,0.0714,0.4663,0.0838,0.5966,0.0810
70000,524,5.290,0.069,15.27,5909,1729,4171,0.007,0.008,0.431,0.388,0.165,56322,0.0632,0.0303,0.2914,0.0882,0.2822,0.0844,0.2047,0.0552,0.5462,0.0724,0.5641,0.0886,0.4896,0.0994,0.6157,0.0692
80000,553,5.038,0.064,15.86,5880,1800,4051,0.005,0.006,0.433,0.364,0.191,54600,0.0675,0.0310,0.3170,0.0978,0.1992,0.0838,0.1871,0.0528,0.5546,0.0779,0.5666,0.0936,0.5198,0.0860,0.6483,0.1026
90000,561,4.807,0.066,16.16,6184,1976,4200,0.004,0.006,0.441,0.365,0.185,52201,0.0684,0.0340,0.3363,0.0942,0.1861,0.0622,0.1547,0.0496,0.5563,0.0739,0.5535,0.0841,0.5314,0.0886,0.7047,0.1028
100000,587,4.677,0.065,17.73,6566,2234,4306,0.004,0.006,0.436,0.367,0.187,48436,0.0684,0.0325,0.3112,0.1119,0.1507,0.0533,0.1300,0.0393,0.5250,0.0956,0.5829,0.1242,0.5376,0.1038,0.7595,0.0922
110000,596,4.046,0.064,19.79,6824,2204,4611,0.004,0.005,0.419,0.294,0.278,42638,0.0603,0.0273,0.2618,0.1064,0.1166,0.0422,0.1478,0.0444,0.5384,0.0869,0.6456,0.1404,0.6661,0.1169,0.8142,0.0531
120000,593,4.173,0.061,20.44,6887,2613,4277,0.006,0.004,0.393,0.311,0.286,40744,0.0595,0.0304,0.2606,0.1086,0.1207,0.0511,0.1400,0.0388,0.5486,0.0909,0.6315,0.1177,0.6974,0.0897,0.8205,0.0601
130000,616,3.899,0.058,19.92,6963,2610,4330,0.005,0.005,0.369,0.279,0.341,39954,0.0503,0.0240,0.2336,0.0880,0.1128,0.0417,0.1277,0.0415,0.5452,0.0885,0.6535,0.0988,0.7013,0.0665,0.8451,0.0540
140000,617,3.955,0.060,20.16,7117,2575,4541,0.004,0.006,0.360,0.267,0.363,39963,0.0509,0.0278,0.2285,0.0734,0.1124,0.0449,0.1354,0.0410,0.5073,0.0873,0.6787,0.0679,0.6818,0.0825,0.8693,0.0486
150000,629,3.803,0.061,20.03,7315,2525,4778,0.002,0.004,0.363,0.281,0.350,39294,0.0521,0.0290,0.2486,0.0846,0.1114,0.0422,0.1347,0.0409,0.5109,0.0877,0.6808,0.0905,0.6937,0.0828,0.8817,0.0481
160000,625,3.659,0.058,19.80,7450,2808,4646,0.002,0.004,0.352,0.283,0.358,39024,0.0503,0.0275,0.2516,0.0809,0.1054,0.0358,0.1337,0.0458,0.5233,0.0799,0.6680,0.0969,0.7172,0.0706,0.8853,0.0447
170000,623,3.696,0.060,19.95,7398,2695,4705,0.002,0.005,0.349,0.264,0.380,39627,0.0529,0.0305,0.2301,0.0743,0.1040,0.0396,0.1278,0.0461,0.5183,0.0795,0.6562,0.0889,0.6958,0.0791,0.8846,0.0516
180000,624,3.787,0.061,19.45,7357,2713,4643,0.002,0.006,0.357,0.263,0.372,39619,0.0500,0.0277,0.2348,0.0861,0.1004,0.0405,0.1203,0.0488,0.5246,0.0771,0.6350,0.1047,0.6827,0.0923,0.8814,0.0437
190000,634,3.942,0.059,19.07,7443,2640,4793,0.003,0.005,0.370,0.291,0.332,38864,0.0494,0.0271,0.2391,0.0785,0.1018,0.0432,0.1052,0.0379,0.5149,0.0855,0.6177,0.0912,0.6991,0.0812,0.8817,0.0516
200000,654,3.856,0.058,18.51,7493,2547,4926,0.003,0.005,0.359,0.289,0.344,40161,0.0545,0.0316,0.2360,0.0826,0.1042,0.0424,0.0984,0.0357,0.5025,0.0860,0.6210,0.0986,0.6769,0.0972,0.8758,0.0522
210000,645,3.749,0.059,18.34,7336,2491,4854,0.004,0.004,0.344,0.281,0.367,40681,0.0567,0.0309,0.2046,0.0748,0.0889,0.0400,0.0923,0.0314,0.5236,0.0754,0.6402,0.0857,0.6580,0.0775,0.8888,0.0407
220000,660,3.746,0.057,18.32,7410,2502,4893,0.006,0.004,0.345,0.261,0.384,41092,0.0563,0.0323,0.1952,0.0706,0.0801,0.0350,0.0907,0.0318,0.5215,0.0770,0.6714,0.0770,0.6406,0.0732,0.8908,0.0422
230000,639,3.951,0.059,18.22,7388,2590,4819,0.005,0.006,0.337,0.268,0.384,40921,0.0582,0.0321,0.1996,0.0639,0.0754,0.0269,0.0913,0.0307,0.5223,0.0735,0.6678,0.0771,0.6457,0.0683,0.8886,0.0439
240000,647,3.673,0.058,17.80,7485,2480,4997,0.005,0.008,0.338,0.238,0.410,41652,0.0597,0.0314,0.2016,0.0755,0.0807,0.0321,0.0893,0.0332,0.5175,0.0840,0.6625,0.0737,0.6511,0.0773,0.8895,0.0412
250000,643,3.764,0.059,17.81,7477,2554,4927,0.004,0.014,0.334,0.233,0.415,42182,0.0601,0.0338,0.2175,0.0830,0.0795,0.0307,0.0918,0.0301,0.5173,0.0839,0.6728,0.0754,0.6547,0.0818,0.8874,0.0463
260000,629,3.866,0.058,17.59,7355,2535,4834,0.005,0.020,0.326,0.230,0.418,43084,0.0655,0.0309,0.2110,0.0904,0.0756,0.0295,0.0974,0.0362,0.5229,0.0802,0.6627,0.0933,0.6393,0.0743,0.8856,0.0445
270000,638,3.865,0.062,17.43,7450,2503,4938,0.004,0.018,0.331,0.236,0.410,42401,0.0589,0.0305,0.1980,0.0762,0.0833,0.0334,0.0888,0.0319,0.5028,0.0878,0.6716,0.0780,0.6423,0.0729,0.8929,0.0469
280000,659,3.775,0.058,17.67,7619,2486,5112,0.004,0.008,0.338,0.259,0.391,41607,0.0548,0.0290,0.1913,0.0715,0.0852,0.0314,0.0895,0.0318,0.4992,0.0842,0.6741,0.0784,0.6351,0.0769,0.8953,0.0427
290000,648,3.730,0.059,17.73,7589,2613,4987,0.004,0.006,0.342,0.245,0.403,41622,0.0544,0.0288,0.1904,0.0660,0.0885,0.0370,0.0913,0.0320,0.5065,0.0870,0.6547,0.0817,0.6350,0.0821,0.9036,0.0414
300000,634,3.748,0.059,17.69,7676,2710,4980,0.004,0.006,0.343,0.245,0.402,41522,0.0602,0.0330,0.1963,0.0750,0.0870,0.0392,0.0879,0.0319,0.5033,0.0888,0.6677,0.0720,0.6304,0.0846,0.9004,0.0479
310000,644,3.676,0.063,17.62,7683,2589,5084,0.004,0.004,0.338,0.238,0.415,41543,0.0616,0.0303,0.2111,0.0807,0.0842,0.0368,0.0931,0.0317,0.5079,0.0861,0.6720,0.0875,0.6556,0.0737,0.9012,0.0478
320000,656,3.673,0.061,16.83,7813,2636,5165,0.005,0.006,0.340,0.259,0.390,41685,0.0523,0.0298,0.2002,0.0832,0.0931,0.0350,0.0971,0.0369,0.4818,0.0877,0.6840,0.0777,0.6577,0.0767,0.9095,0.0448
330000,647,3.601,0.061,16.77,8170,2858,5321,0.003,0.006,0.337,0.270,0.384,41818,0.0514,0.0291,0.2152,0.0791,0.0834,0.0382,0.1040,0.0398,0.4747,0.0824,0.6894,0.0809,0.6361,0.0910,0.9233,0.0427
340000,648,3.581,0.062,16.78,8168,2769,5398,0.003,0.020,0.322,0.294,0.360,41077,0.0488,0.0290,0.2321,0.1139,0.0819,0.0342,0.0978,0.0374,0.4628,0.0913,0.7077,0.0827,0.6407,0.0861,0.9240,0.0562
350000,648,3.514,0.059,17.16,8126,2662,5464,0.005,0.062,0.314,0.285,0.334,40463,0.0476,0.0260,0.2654,0.1882,0.0734,0.0310,0.0936,0.0330,0.4825,0.0892,0.7199,0.0785,0.6549,0.0916,0.9229,0.0597
360000,651,3.662,0.059,17.08,8079,2665,5411,0.005,0.094,0.293,0.296,0.313,39885,0.0461,0.0260,0.3051,0.2338,0.0763,0.0334,0.0985,0.0370,0.4722,0.0830,0.7214,0.0814,0.6461,0.1078,0.9154,0.0635
370000,649,3.668,0.054,17.67,7895,2509,5388,0.003,0.141,0.271,0.254,0.331,39825,0.0427,0.0288,0.3610,0.2855,0.0665,0.0284,0.0870,0.0337,0.5114,0.0864,0.6674,0.1429,0.6565,0.0947,0.9184,0.0607
380000,663,3.749,0.057,18.66,7673,2415,5244,0.003,0.177,0.236,0.259,0.324,39120,0.0367,0.0251,0.4527,0.3282,0.0576,0.0274,0.0898,0.0360,0.5066,0.1013,0.6133,0.1625,0.6763,0.0841,0.9156,0.0572
390000,666,3.755,0.055,18.68,7721,2362,5356,0.003,0.216,0.228,0.271,0.281,37279,0.0336,0.0211,0.4640,0.3172,0.0560,0.0226,0.0865,0.0330,0.4995,0.0821,0.6043,0.1613,0.7079,0.0839,0.9133,0.0527
400000,657,3.773,0.055,18.40,7796,2080,5725,0.003,0.250,0.200,0.291,0.255,36449,0.0327,0.0227,0.5258,0.3347,0.0561,0.0258,0.0828,0.0332,0.4773,0.0972,0.5953,0.1553,0.7299,0.1062,0.9275,0.0482
410000,664,3.689,0.054,17.19,8046,2038,6001,0.003,0.254,0.187,0.282,0.275,37286,0.0364,0.0230,0.5190,0.3230,0.0612,0.0292,0.0891,0.0351,0.4725,0.0927,0.6048,0.1316,0.7317,0.0998,0.9234,0.0470
420000,670,3.628,0.053,17.11,7776,2056,5714,0.002,0.253,0.185,0.265,0.294,39174,0.0336,0.0214,0.5501,0.3285,0.0620,0.0290,0.0965,0.0391,0.4786,0.0906,0.5776,0.1423,0.7420,0.1096,0.9217,0.0414
430000,665,3.741,0.054,17.00,7711,2168,5548,0.003,0.247,0.179,0.252,0.320,39466,0.0347,0.0198,0.5335,0.3309,0.0591,0.0266,0.0931,0.0350,0.4970,0.0831,0.5853,0.1337,0.7436,0.1122,0.9221,0.0414
440000,654,3.924,0.055,17.23,7778,2288,5501,0.003,0.239,0.186,0.250,0.322,37201,0.0313,0.0204,0.5355,0.3347,0.0602,0.0323,0.0944,0.0354,0.4912,0.0905,0.5709,0.1399,0.7444,0.1200,0.9097,0.0486
450000,662,3.673,0.055,16.89,7662,2166,5488,0.004,0.248,0.193,0.247,0.308,39548,0.0295,0.0168,0.5454,0.3402,0.0546,0.0283,0.0941,0.0324,0.5055,0.0834,0.5873,0.1202,0.7726,0.1167,0.9102,0.0475
460000,661,3.718,0.055,16.62,7566,2205,5362,0.004,0.244,0.197,0.248,0.307,40130,0.0281,0.0194,0.5558,0.3357,0.0506,0.0222,0.0967,0.0335,0.5058,0.0801,0.5972,0.1071,0.7936,0.0991,0.9091,0.0460
470000,663,3.683,0.055,16.78,7638,2296,5340,0.003,0.239,0.199,0.244,0.315,40130,0.0294,0.0206,0.5650,0.3303,0.0507,0.0242,0.0978,0.0333,0.4990,0.0810,0.5894,0.1160,0.7956,0.0925,0.9048,0.0491
480000,680,3.581,0.052,16.89,7614,2125,5472,0.003,0.259,0.196,0.255,0.288,39586,0.0330,0.0233,0.5623,0.3283,0.0512,0.0274,0.0978,0.0414,0.4941,0.0914,0.5534,0.1163,0.7805,0.0884,0.9008,0.0550
490000,667,3.752,0.056,16.77,7582,2199,5396,0.003,0.243,0.194,0.253,0.308,39205,0.0332,0.0218,0.5554,0.3351,0.0520,0.0263,0.0989,0.0382,0.5053,0.0757,0.5722,0.1192,0.7708,0.0859,0.9046,0.0532
500000,666,3.679,0.054,16.52,7583,2248,5336,0.003,0.250,0.198,0.263,0.287,39801,0.0307,0.0200,0.5609,0.3342,0.0531,0.0285,0.0964,0.0343,0.5104,0.0749,0.5590,0.1253,0.7862,0.0894,0.9089,0.0484
510000,668,3.778,0.055,16.53,7546,2160,5384,0.002,0.255,0.205,0.258,0.280,39918,0.0297,0.0164,0.5464,0.3577,0.0482,0.0235,0.0959,0.0377,0.5045,0.0827,0.5495,0.1244,0.7856,0.0951,0.9087,0.0457
520000,657,3.730,0.056,16.72,7506,2181,5336,0.002,0.230,0.218,0.266,0.284,39903,0.0317,0.0205,0.5142,0.3594,0.0483,0.0221,0.0909,0.0329,0.5095,0.0767,0.5542,0.1169,0.7829,0.0959,0.9081,0.0456
530000,664,3.764,0.055,16.89,7641,2208,5426,0.002,0.233,0.209,0.261,0.295,39556,0.0327,0.0210,0.5263,0.3634,0.0507,0.0231,0.0892,0.0353,0.4974,0.0851,0.5291,0.1467,0.7723,0.1024,0.9131,0.0539
