step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,stay,n,s,e,w,steps_per_sec,speed_mean,speed_std,metabolism_mean,metabolism_std,sense_mean,sense_std,size_mean,size_std,lifespan_mean,lifespan_std,greed_mean,greed_std,boldness_mean,boldness_std,fertility_mean,fertility_std
10000,490,3.448,0.060,13.98,9282,7459,1633,0.007,0.038,0.200,0.701,0.054,77124,0.1170,0.0343,0.5641,0.0653,0.2940,0.0902,0.3495,0.0938,0.5334,0.0720,0.6365,0.0740,0.5106,0.0743,0.8805,0.0316
20000,618,3.397,0.049,16.85,10368,7348,2892,0.002,0.007,0.181,0.808,0.002,55622,0.0657,0.0224,0.5590,0.0826,0.1128,0.0391,0.1609,0.0451,0.4512,0.0790,0.7455,0.0752,0.5376,0.0770,0.8966,0.0527
30000,645,3.252,0.047,17.12,12075,8153,3895,0.001,0.013,0.195,0.790,0.002,45230,0.0503,0.0262,0.5340,0.1138,0.0951,0.0374,0.1269,0.0505,0.4489,0.0890,0.8114,0.0710,0.5563,0.0893,0.9110,0.0675
40000,673,3.512,0.046,17.28,11243,6828,4387,0.001,0.048,0.134,0.814,0.003,45112,0.0334,0.0157,0.4527,0.1136,0.0713,0.0300,0.1190,0.0448,0.4828,0.1058,0.8255,0.0734,0.5507,0.1175,0.8523,0.0814
50000,695,3.338,0.044,17.67,11605,7106,4477,0.001,0.055,0.141,0.801,0.003,42942,0.0294,0.0163,0.5711,0.1224,0.0519,0.0265,0.0948,0.0381,0.4457,0.0906,0.8378,0.0748,0.6023,0.1040,0.9057,0.0855
60000,693,3.475,0.044,16.73,11712,6686,5028,0.000,0.067,0.131,0.799,0.002,42147,0.0262,0.0179,0.5496,0.1349,0.0361,0.0208,0.0765,0.0338,0.4481,0.0845,0.8710,0.0710,0.6377,0.1002,0.8839,0.0717
70000,704,3.386,0.043,17.36,11481,6670,4800,0.000,0.097,0.096,0.803,0.003,42999,0.0205,0.0128,0.4721,0.1448,0.0397,0.0232,0.0717,0.0340,0.4845,0.0890,0.8960,0.0902,0.5730,0.1433,0.9033,0.0695
80000,716,3.476,0.043,17.57,11374,6484,4878,0.001,0.117,0.071,0.808,0.003,41864,0.0199,0.0139,0.4097,0.1419,0.0442,0.0363,0.0546,0.0340,0.4514,0.0900,0.9050,0.1060,0.4810,0.1999,0.9032,0.0640
90000,714,3.411,0.043,17.28,11126,5825,5303,0.001,0.123,0.060,0.814,0.002,41857,0.0202,0.0158,0.4430,0.1412,0.0392,0.0291,0.0458,0.0279,0.4605,0.1022,0.8901,0.1195,0.4886,0.2199,0.9119,0.0633
100000,726,3.461,0.042,18.09,11549,6002,5535,0.001,0.127,0.051,0.820,0.001,40637,0.0179,0.0120,0.4424,0.1540,0.0341,0.0241,0.0365,0.0227,0.4705,0.0985,0.9180,0.1151,0.4069,0.2172,0.9315,0.0510
110000,726,3.222,0.041,18.08,11855,6590,5265,0.001,0.142,0.038,0.818,0.001,39567,0.0196,0.0147,0.4043,0.1525,0.0292,0.0220,0.0369,0.0249,0.4892,0.0984,0.9333,0.1118,0.3978,0.1865,0.9418,0.0462
120000,743,3.342,0.040,17.84,11418,6383,5018,0.001,0.126,0.042,0.831,0.001,40916,0.0222,0.0167,0.4577,0.1818,0.0363,0.0298,0.0327,0.0214,0.4769,0.0961,0.9260,0.1344,0.3635,0.1898,0.9368,0.0674
130000,740,3.369,0.039,18.07,11873,6490,5386,0.001,0.137,0.046,0.816,0.001,39396,0.0224,0.0155,0.5110,0.1666,0.0306,0.0288,0.0301,0.0227,0.4562,0.1017,0.9513,0.0807,0.3104,0.1711,0.9549,0.0498
140000,744,3.170,0.041,18.52,12432,7055,5373,0.001,0.150,0.029,0.819,0.001,36629,0.0179,0.0151,0.4591,0.1972,0.0237,0.0221,0.0325,0.0193,0.4602,0.1060,0.9702,0.0479,0.2958,0.1672,0.9640,0.0339
