step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,2511,0.9558,28921.5,906,881,819,811,20,21,12,23013,23906,26945,0,0,0
2000,2404,0.9480,43990.5,1873,848,798,758,17,21,12,20467,21162,25280,0,0,0
3000,2383,0.9387,65130.9,2830,827,786,770,17,19,13,13204,13554,17977,0,0,0
4000,2107,0.6777,31218.0,529,786,772,549,39,52,44,29471,26174,27684,0,0,0
5000,2132,0.7500,28538.8,850,648,840,644,55,57,60,30068,26123,28569,0,0,0
6000,2015,0.8159,34726.2,1420,573,779,663,55,50,65,31505,22639,23447,0,0,0
7000,1749,0.7536,29802.9,1168,488,684,577,45,42,58,35971,24548,21934,0,0,0
8000,1586,0.7863,25485.0,1110,514,593,479,34,41,49,35056,26404,26105,0,0,0
9000,1638,0.7845,27256.5,1266,640,589,409,28,38,42,32519,27962,28521,0,0,0
10000,1543,0.7835,21588.3,1150,694,532,317,27,30,38,31733,31538,34605,0,0,0
11000,1440,0.7806,16725.0,997,722,442,276,32,32,31,31817,34582,40660,0,0,0
12000,1057,0.8817,9130.3,1326,587,312,158,24,24,26,32624,37834,45005,0,0,0
13000,807,0.9046,5885.6,1571,470,227,110,18,33,17,32639,40451,47451,0,0,0
14000,434,0.8963,2785.3,1506,299,94,41,3,23,8,33465,42064,48399,0,0,0
15000,262,0.9618,1752.2,1552,243,14,5,2,10,3,34061,42589,48087,0,0,0
16000,176,0.9432,1413.0,1709,169,6,1,0,6,1,34764,42390,46892,0,0,0
17000,160,0.8500,1346.4,1220,158,2,0,0,2,0,35329,41575,45075,0,0,0
18000,289,0.6609,2611.4,697,269,20,0,2,13,0,34262,40704,43628,0,0,0
19000,683,0.6530,7323.5,626,468,150,65,15,29,18,29638,39502,43643,0,0,0
20000,1675,0.5922,17060.0,454,659,564,452,28,48,46,28019,36437,43537,0,0,0
21000,1833,0.6214,21223.2,547,711,612,510,47,57,46,27764,33409,40093,0,0,0
22000,2403,0.5705,25166.4,514,840,786,777,66,56,81,28147,30951,34990,0,0,0
23000,2619,0.4563,18588.1,358,924,981,714,115,88,124,30792,30365,35550,0,0,0
24000,2592,0.5559,32370.8,556,926,988,678,74,90,86,28237,24887,31205,0,0,0
25000,2721,0.5781,41294.8,702,864,1063,794,75,76,94,24262,21033,28179,0,0,0
26000,2782,0.5838,45703.3,789,872,1014,896,74,78,90,25507,20913,24080,0,0,0
27000,2956,0.5968,46339.2,807,998,1033,925,79,94,82,25808,20603,23527,0,0,0
28000,2921,0.5991,42340.5,795,983,1009,929,83,106,84,27868,22243,24743,0,0,0
29000,3140,0.5096,28139.0,515,1165,1072,903,114,94,93,34094,27731,28826,0,0,0
30000,2469,0.5435,17758.7,430,925,833,711,102,80,117,37739,32934,34490,0,0,0
31000,1693,0.6155,10462.0,483,690,567,436,69,94,96,39542,36358,38891,0,0,0
32000,934,0.7537,4888.4,632,338,375,221,27,87,62,40805,39503,42131,0,0,0
33000,468,0.8718,2479.1,1118,185,163,120,16,55,36,42031,40465,42801,0,0,0
34000,331,0.7795,1656.4,1077,190,67,74,7,33,31,41790,41913,43450,0,0,0
35000,167,0.8204,1207.2,1060,128,32,7,1,25,5,41447,42638,43550,0,0,0
36000,380,0.6526,3501.3,687,324,52,4,1,41,2,39651,43358,44328,0,0,0
