step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,1558,0.647,1.059,7.72,20190,14950,3488,247,1377,31586,943998.0,247306.3,0.388,0.318,0.146,0.148,72,34.28,23.93,2.37,6.66,3.72,8.13,1.78,5.09,24.77,19.91,0.08,0.56,0.099,0.199,763,0.053,0.049,0.939,0.001,0.012,114718,110336,34,0.276,0.085,0.199,4091619,0.256,3.109,0.095,3.60,34317,454,7.830,0.271,0.161,6915858,1.55,5.93,0.246,0.155,0.022,7.4,30.7,65.3,134.5,50847,0.194,0.00,0.0024,0.042,335,0.974,0.000,0.554,0.825,4.91,6.16,6.33,0.19,0.058,1.56,1.59,1.56,0.976,0.00029,2.24,47.1184,1326.10,95279.0,140185.7,7.317,119.7752,157.693,0.000,1.000,0.182,48.0,71.376,243.468,1618,8096.8,68.51,27.741,7.72,178.027,7520.9,81.266,0.134,2.00,16.3206,25427.5,0.6312,0.4900,32.64,1.019,0.202,1.5345,0.0000,0.529,0.103,0.596,0.0000,7.65,1.08,8,28,64,102,69.4423,1.4821,0.7497,0.0000,0.0000,60.2307,100.00,60.2972,388.5471,0.0,0.0000,0.0000
20000,650,1.442,1.221,6.67,4229,3710,1178,96,153,6941,127321.8,27029.2,0.409,0.318,0.126,0.147,107,46.66,16.56,0.77,3.70,0.26,1.24,1.26,3.89,43.62,15.98,0.00,0.12,0.018,0.092,111,0.302,0.092,0.902,0.000,0.006,13225,12936,3,0.978,0.000,0.308,1030194,0.267,3.269,0.104,2.43,3980,547,3.894,0.250,0.083,1471965,1.10,1.52,0.746,0.014,0.002,22.4,48.4,65.8,119.8,29838,0.114,0.00,0.0004,0.068,147,0.928,0.000,0.617,0.688,6.67,6.89,6.96,0.00,0.002,1.07,1.12,1.10,0.930,0.00029,0.21,4.7261,575.84,107744.7,140185.7,0.163,50.6928,23.967,0.000,1.000,0.289,30.3,11.894,72.422,1908,10966.6,47.45,4.093,6.65,58.905,7933.7,10.617,0.128,1.98,16.7212,10868.8,0.4661,0.5015,45.90,1.007,0.063,0.4655,0.0000,0.463,0.058,0.242,0.0000,7.28,0.56,24,49,64,81,11.5741,0.1280,0.5785,0.0000,0.0000,14.5622,100.00,99.9610,181.9893,0.0,0.0000,0.0000
30000,2743,0.730,0.455,6.64,61747,50371,1772,440,7071,20954,1140709.5,449878.3,0.284,0.412,0.139,0.165,132,19.17,15.50,0.94,4.11,0.74,2.46,1.04,3.78,16.08,12.85,0.01,0.13,0.046,0.134,915,0.062,0.082,0.892,0.001,0.025,281752,277387,2,0.970,0.028,0.124,4756623,0.290,2.157,0.038,5.48,71861,282,21.470,0.632,0.218,9739887,1.22,10.53,0.057,0.105,0.003,5.4,13.2,41.8,107.0,51550,0.197,0.00,0.0026,0.057,673,0.869,0.000,0.728,0.782,3.96,5.65,4.76,0.01,0.005,1.17,1.31,1.21,0.870,0.00040,2.06,75.4813,1849.94,84136.0,140185.7,27.019,79.1158,176.895,0.000,1.000,0.035,76.9,81.627,247.090,486,1941.6,43.94,18.351,6.37,157.620,3455.7,110.658,0.134,2.00,16.5722,45457.4,1.0844,0.6641,18.79,1.001,0.080,1.5345,0.0000,0.492,0.076,0.429,0.0000,7.69,0.75,5,13,41,81,78.0142,2.5093,0.6143,0.0000,0.0000,59.2196,100.00,62.6955,497.9086,0.0,0.0000,0.0000
40000,1963,0.971,0.470,7.27,26487,22979,1286,99,2903,6431,370396.1,93892.9,0.193,0.486,0.158,0.163,188,20.89,16.73,1.05,4.21,0.15,1.59,0.81,3.09,17.74,13.47,0.00,0.13,0.004,0.043,459,0.191,0.119,0.862,0.001,0.018,67065,64945,1,0.995,0.005,0.163,1684668,0.246,2.283,0.038,4.63,17801,496,14.600,0.475,0.158,5223340,1.24,8.84,0.040,0.012,0.002,8.1,16.8,44.5,111.4,38752,0.148,0.00,0.0011,0.079,474,0.824,0.000,0.807,0.611,4.31,6.20,4.97,0.02,0.005,1.16,1.36,1.24,0.824,0.00033,0.79,15.1221,1511.00,94810.3,140185.7,0.570,29.9470,66.446,0.000,1.000,0.130,52.9,32.239,73.381,538,2452.7,44.68,7.722,6.26,56.489,3548.1,32.698,0.133,2.00,17.7741,34890.5,1.1664,0.6367,19.74,1.026,0.067,0.4655,0.0000,0.535,0.071,0.741,0.0000,7.76,0.75,8,16,41,98,30.5564,1.0395,0.5517,0.0000,0.0000,13.7953,100.00,102.2694,267.5322,0.0,0.0000,0.0000
50000,3269,0.572,0.470,7.21,120320,95195,2484,1960,19375,63192,1177421.6,465728.9,0.109,0.511,0.183,0.196,137,20.08,17.85,1.11,4.32,4.30,8.74,0.17,1.37,11.81,10.34,0.00,0.06,0.139,0.265,1352,0.057,0.088,0.891,0.001,0.020,349963,339214,2,0.985,0.011,0.030,2130259,0.251,2.399,0.036,6.26,89345,650,7.370,0.217,0.279,18057260,1.31,11.15,0.015,0.286,0.003,5.1,12.9,43.8,182.8,56818,0.217,0.00,0.0031,0.076,863,0.830,0.000,0.910,0.657,3.88,5.27,5.26,0.09,0.037,1.22,1.40,1.32,0.831,0.00051,3.43,67.4404,1806.71,89984.2,140185.7,32.833,61.0091,204.283,0.000,1.000,0.050,78.6,96.963,244.198,386,1630.7,82.20,14.244,5.75,152.197,4013.2,116.480,0.135,1.99,12.0033,39238.9,1.0222,0.7321,17.38,1.080,0.092,1.5345,0.0000,0.551,0.061,0.802,0.0000,7.93,0.80,5,12,36,96,91.1306,4.1769,0.6800,0.0000,0.0000,56.6859,100.00,64.7981,550.9447,0.0,0.0000,0.0000
60000,2276,0.899,0.541,7.15,24454,19349,1940,1275,2883,53474,318094.3,102713.6,0.186,0.499,0.164,0.150,173,23.21,15.37,0.86,3.88,3.12,6.73,0.04,0.70,15.27,11.46,0.00,0.00,0.113,0.230,779,0.159,0.115,0.872,0.000,0.013,55275,52020,3,0.767,0.000,0.006,241834,0.336,2.355,0.045,3.34,15237,804,1.921,0.151,0.236,6696260,1.24,8.00,0.022,0.202,0.000,6.6,22.6,39.8,115.2,43920,0.168,0.00,0.0009,0.080,487,0.894,0.000,0.875,0.563,4.10,4.97,6.07,0.04,0.011,1.15,1.31,1.25,0.897,0.00028,0.68,12.1554,1558.52,96127.6,140185.7,0.191,34.4774,58.813,0.000,1.000,0.159,54.3,27.497,74.158,667,3109.3,49.22,6.299,5.32,58.025,3960.2,28.918,0.137,1.99,14.0731,32030.4,0.9983,0.6480,19.30,1.152,0.099,0.4655,0.0000,0.524,0.054,0.668,0.0000,7.43,0.66,6,19,31,81,25.8671,1.0018,0.5633,0.0000,0.0000,14.0396,100.00,103.3526,232.8478,0.0,0.0000,0.0000
70000,3297,0.655,0.604,8.85,81849,59541,3505,7238,10544,282721,1072286.8,549582.1,0.153,0.506,0.170,0.171,121,22.25,18.18,0.92,4.00,5.79,8.48,0.11,1.09,9.39,8.42,0.00,0.09,0.185,0.238,1825,0.024,0.071,0.911,0.000,0.018,269207,252358,4,0.463,0.166,0.017,375173,0.302,3.011,0.045,3.38,82512,646,1.944,0.220,0.285,21516962,1.27,9.13,0.029,0.413,0.003,4.8,18.3,45.6,184.7,53443,0.204,0.00,0.0035,0.058,863,0.936,0.000,0.874,0.697,3.58,4.27,5.06,0.12,0.047,1.19,1.35,1.28,0.941,0.00042,2.06,64.2427,2947.38,83902.2,140185.7,18.216,93.7259,186.236,0.000,1.000,0.002,65.6,79.905,248.373,454,1964.5,86.45,11.779,4.57,171.477,4773.3,108.878,0.135,2.00,12.9488,42692.4,1.2638,0.7993,16.21,1.288,0.152,1.5345,0.0000,0.528,0.060,0.682,0.0000,6.89,0.78,4,14,32,79,72.9785,5.5272,0.6742,0.0000,0.0000,56.2821,100.00,59.9191,491.8464,0.0,0.0000,0.0000
80000,2332,0.724,0.710,9.52,24683,19077,1961,2293,2317,114957,316505.6,137977.3,0.132,0.498,0.203,0.167,164,21.97,15.28,1.03,3.92,5.24,7.52,0.23,1.52,9.95,9.21,0.00,0.04,0.196,0.251,1445,0.022,0.075,0.906,0.000,0.018,57298,52443,8,0.431,0.013,0.036,316050,0.262,2.526,0.059,3.54,18760,730,1.200,0.167,0.314,7346344,1.30,8.45,0.013,0.503,0.000,5.1,20.2,40.1,144.8,38375,0.146,0.00,0.0014,0.086,522,0.907,0.000,0.770,0.575,3.67,4.57,5.25,0.15,0.051,1.19,1.39,1.33,0.912,0.00035,0.73,13.2303,1463.90,103273.5,140185.7,0.119,35.3729,61.074,0.000,1.000,0.209,42.7,27.784,74.354,908,4163.1,33.42,6.717,5.32,57.684,5691.7,28.662,0.135,1.99,9.6553,22516.2,0.9139,0.5983,16.46,1.255,0.187,0.4655,0.0000,0.493,0.079,0.441,0.0000,6.96,0.81,4,16,29,64,26.0614,0.9137,0.6359,0.0000,0.0000,14.2015,100.00,102.8594,225.0178,0.0,0.0000,0.0000
90000,2553,0.824,0.597,12.86,114074,72535,528,28338,12452,1012580,1046237.4,990132.9,0.074,0.566,0.205,0.154,99,25.49,22.55,0.94,3.55,3.76,6.73,0.08,0.67,10.31,9.13,0.04,0.29,0.097,0.152,1680,0.018,0.076,0.910,0.000,0.013,343516,292640,10,0.288,0.474,0.026,1074379,0.226,2.297,0.051,4.43,131678,459,0.978,0.159,0.271,19257454,1.31,8.44,0.112,0.539,0.021,4.4,17.3,51.9,142.8,38547,0.147,0.00,0.0040,0.079,663,0.838,0.000,0.849,0.669,3.24,4.34,4.31,0.06,0.033,1.26,1.35,1.32,0.856,0.00298,1.78,78.2727,1373.52,96552.1,140185.7,5.170,118.4435,182.634,0.000,1.000,0.105,59.9,69.373,248.604,759,3441.9,58.58,15.262,4.87,184.060,4741.2,104.305,0.135,2.00,11.9011,30383.6,1.2891,0.6052,15.10,1.499,0.445,1.5345,0.0000,0.447,0.096,0.246,0.0000,6.36,1.16,4,12,30,65,58.5081,3.2706,0.6083,0.0000,0.0000,55.9738,100.00,77.7893,465.1651,0.0,0.0000,0.0000
100000,2654,0.911,0.441,13.19,30584,23736,807,4044,1896,209888,376325.2,206550.3,0.088,0.539,0.223,0.150,171,23.98,20.57,0.80,3.38,3.53,6.49,0.23,1.45,11.04,9.34,0.02,0.26,0.091,0.154,1731,0.031,0.093,0.890,0.000,0.017,66173,55643,13,0.452,0.036,0.071,501190,0.185,2.023,0.037,5.33,28729,622,0.984,0.141,0.288,6036123,1.27,8.13,0.082,0.542,0.010,4.4,16.0,50.0,169.1,41407,0.158,0.00,0.0013,0.084,670,0.763,0.000,0.741,0.547,3.30,4.75,4.27,0.06,0.031,1.26,1.33,1.26,0.773,0.00102,1.11,14.9789,1457.30,102710.3,140185.7,0.745,29.4569,71.640,0.000,1.000,0.321,59.9,31.525,72.142,487,2050.7,48.19,7.629,5.30,55.036,3381.5,32.471,0.135,2.00,9.9818,26491.8,1.0618,0.5943,15.60,1.376,0.447,0.4655,0.0000,0.453,0.100,0.306,0.0000,6.48,1.05,4,14,28,79,28.0667,0.7414,0.5520,0.0000,0.0000,14.0565,100.00,103.7824,252.8576,0.0,0.0000,0.0000
