step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
1000,2564,0.9481,32757.2,804,842,875,847,24,29,29,18537,21112,25513,0,0,0
2000,2350,0.9200,45493.8,1741,791,821,738,21,22,26,18437,21008,28235,0,0,0
3000,2373,0.9208,68116.0,2630,807,831,735,22,22,26,9871,13042,22074,0,0,0
4000,2024,0.6556,42821.2,595,846,677,501,21,19,29,22791,23859,30004,0,0,0
5000,2069,0.6815,53110.4,969,834,667,568,22,25,44,19281,21156,26345,0,0,0
6000,2148,0.7253,63558.7,1358,836,692,620,24,25,40,15799,18148,22604,0,0,0
7000,2477,0.6766,50345.6,869,1005,780,692,28,29,44,20847,23104,26108,0,0,0
8000,2352,0.6781,49251.4,975,982,760,610,33,39,41,22274,24400,26086,0,0,0
9000,2322,0.6813,45887.9,1025,909,841,572,35,44,44,23738,26003,27707,0,0,0
10000,2048,0.7212,37676.2,962,869,663,516,29,43,38,26507,30990,31175,0,0,0
11000,1665,0.7495,25140.2,1068,786,473,406,38,39,60,30959,35144,36660,0,0,0
12000,1202,0.7654,15652.4,1215,584,348,270,29,40,48,34277,39392,39983,0,0,0
13000,866,0.8222,9597.7,1202,504,222,140,22,50,41,36382,42306,42787,0,0,0
14000,685,0.7577,6925.5,1234,396,190,99,16,59,46,37934,43412,43578,0,0,0
15000,525,0.7410,5804.1,1237,388,102,35,9,47,23,38102,44424,44724,0,0,0
16000,536,0.6325,6094.3,814,421,93,22,6,72,22,37817,44550,45451,0,0,0
17000,862,0.5220,10197.9,587,575,191,96,8,124,81,34991,43272,45865,0,0,0
18000,1317,0.5345,18697.8,676,652,367,298,32,214,210,30476,40340,45969,0,0,0
19000,1956,0.5358,27641.7,708,844,602,510,71,225,239,27238,36715,43823,0,0,0
20000,2952,0.6264,23701.8,557,1198,1004,750,90,161,179,28207,34910,43846,0,0,0
21000,2964,0.6326,33148.9,753,1179,1037,748,88,120,171,25245,30782,39357,0,0,0
22000,3264,0.6011,42630.5,862,1230,1185,849,77,127,153,22707,26575,35386,0,0,0
23000,3937,0.5611,51292.0,652,1427,1467,1043,110,110,141,19995,23679,32698,0,0,0
24000,3976,0.5493,53142.7,677,1411,1449,1116,144,127,149,20232,22987,31483,0,0,0
25000,4023,0.5282,56190.3,667,1431,1502,1090,128,125,162,19771,22031,30700,0,0,0
26000,4210,0.5366,55057.3,665,1503,1496,1211,146,136,191,20819,22965,30135,0,0,0
27000,4074,0.4978,53207.2,639,1428,1527,1119,125,166,175,21462,23883,30677,0,0,0
28000,3664,0.5287,50577.4,686,1382,1304,978,115,159,190,22496,25321,32249,0,0,0
29000,3771,0.5410,46033.3,634,1536,1260,975,112,139,177,22746,26922,33709,0,0,0
30000,3215,0.6081,36888.2,660,1356,1120,739,86,148,158,25448,30284,36805,0,0,0
31000,2863,0.6483,31594.6,769,1189,973,701,107,114,147,27440,32991,39493,0,0,0
32000,2281,0.6835,22201.6,927,1105,656,520,102,119,153,31125,37425,42541,0,0,0
33000,1457,0.7392,12559.5,1027,733,411,313,64,103,122,34838,41387,45421,0,0,0
34000,974,0.7402,8963.3,1102,594,237,143,30,120,83,35836,43834,47287,0,0,0
35000,740,0.6932,7492.9,1028,568,131,41,12,82,38,35890,44822,48595,0,0,0
36000,719,0.6008,7659.6,818,529,144,46,10,95,44,35325,44535,49018,0,0,0
37000,1005,0.5502,11647.5,738,611,253,141,14,158,123,32991,42880,48750,0,0,0
38000,1688,0.5427,17350.3,653,905,459,324,72,232,218,30636,40508,47488,0,0,0
39000,2303,0.5432,22040.6,605,1040,732,531,102,225,245,28473,37251,45668,0,0,0
40000,2861,0.5526,33364.2,649,1185,1045,631,92,152,177,25771,31395,40484,0,0,0
41000,3468,0.5479,46455.8,723,1377,1180,911,92,137,176,21388,27253,34305,0,0,0
42000,3861,0.5253,55157.6,722,1493,1445,923,130,124,181,19022,21958,30542,0,0,0
43000,4116,0.5260,56015.2,690,1579,1386,1151,128,126,167,20274,21989,28545,0,0,0
44000,4382,0.5018,57777.6,657,1528,1677,1177,141,160,150,18406,20212,26817,0,0,0
45000,4347,0.5362,56630.9,675,1499,1737,1111,132,171,161,19871,20770,26881,0,0,0
46000,4189,0.5624,57206.6,719,1542,1586,1061,129,120,148,19727,21273,26359,0,0,0
47000,4244,0.5382,60407.8,704,1505,1566,1173,144,123,122,18556,20488,26633,0,0,0
48000,4343,0.5077,53873.0,661,1591,1664,1088,162,146,147,20377,22603,28718,0,0,0
49000,4781,0.5112,41977.3,535,1916,1678,1187,137,168,168,25036,27095,32424,0,0,0
50000,3979,0.5496,34561.3,540,1522,1499,958,135,190,159,27849,30932,35755,0,0,0
51000,2787,0.5791,28588.3,661,1306,829,652,133,151,147,29489,34955,38760,0,0,0
52000,2003,0.6111,21823.5,746,1027,544,432,74,109,129,32213,38071,41160,0,0,0
53000,1523,0.6474,12879.3,723,879,379,265,74,109,106,35389,41799,44740,0,0,0
54000,919,0.7073,8417.2,891,615,198,106,33,83,68,36867,43897,46746,0,0,0
55000,672,0.7470,7832.7,1069,518,117,37,26,64,32,36536,44737,47752,0,0,0
