step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,2273,0.686,0.655,8.49,30569,22866,4098,290,2472,45022,1096790.9,339149.1,0.338,0.361,0.146,0.155,84,30.00,21.97,2.42,7.25,3.99,8.04,3.72,8.36,18.13,14.12,0.03,0.28,0.110,0.201,1188,0.021,0.058,0.926,0.000,0.016,180369,173923,36,0.118,0.296,0.305,8052761,0.260,2.605,0.052,3.66,56081,566,7.533,0.366,0.203,9851618,1.58,6.59,0.166,0.201,0.013,6.4,25.7,57.3,181.6,64222,0.245,0.00,0.0027,0.035,570,0.975,0.000,0.638,0.831,4.65,6.41,5.57,0.11,0.042,1.68,1.55,1.58,0.976,0.00020,1.83,64.5437,1864.83,90067.6,140185.7,9.710,112.3274,172.391,0.000,1.000,0.024,60.7,76.890,247.522,741,3230.3,81.97,23.774,7.43,176.550,5290.3,96.419,0.135,2.00,16.0178,36408.5,0.7650,0.5155,28.25,1.042,0.178,1.5345,0.0000,0.495,0.127,0.451,0.0000,7.57,1.08,7,25,54,121,73.4399,3.0077,0.7083,0.0000,0.0000,59.6512,100.00,59.0460,437.0673,0.0,0.0000,0.0000
20000,2387,1.165,0.428,8.62,27816,22850,1679,872,2301,59472,409326.4,134631.7,0.215,0.480,0.182,0.124,186,26.00,22.80,0.31,1.85,5.67,8.82,0.05,1.41,12.02,10.22,0.00,0.10,0.147,0.206,1117,0.068,0.107,0.879,0.000,0.015,67441,62978,7,0.879,0.003,0.005,1880254,0.250,2.301,0.033,7.46,22375,701,2.264,0.141,0.290,5596363,1.08,10.24,0.063,0.393,0.000,4.4,15.5,61.3,114.7,43088,0.164,0.00,0.0014,0.071,561,0.766,0.000,0.753,0.597,4.01,4.72,6.27,0.07,0.024,1.06,1.12,1.08,0.770,0.00065,1.62,16.8239,2736.53,92965.9,140185.7,0.216,28.0442,72.451,0.000,1.000,0.039,59.1,33.410,67.321,165,712.9,41.49,4.781,6.24,53.703,3388.9,33.369,0.135,2.00,15.1315,36118.9,1.3138,0.7155,18.05,1.367,0.121,0.4655,0.0000,0.508,0.110,0.372,0.0000,7.74,1.03,3,11,40,81,31.0247,0.8377,0.5224,0.0000,0.0000,13.2740,100.00,101.9912,252.9400,0.0,0.0000,0.0000
30000,3072,1.003,0.495,11.80,89473,57441,434,24846,6067,1255135,1076431.0,1102774.2,0.087,0.646,0.149,0.118,112,22.23,20.79,0.57,2.89,4.17,7.68,0.01,0.12,8.29,8.46,0.01,0.23,0.121,0.185,1886,0.017,0.071,0.907,0.000,0.022,330016,282662,7,0.417,0.351,0.002,229697,0.219,2.375,0.038,4.58,118257,429,0.879,0.151,0.379,17058736,1.21,10.76,0.107,0.593,0.006,3.3,16.9,49.9,224.4,40041,0.153,0.00,0.0042,0.077,797,0.829,0.000,0.851,0.730,3.06,3.86,4.49,0.05,0.026,1.19,1.26,1.22,0.851,0.00291,1.82,95.3631,2614.62,103819.0,140185.7,3.097,133.5180,167.193,0.000,1.000,0.119,63.7,60.320,247.508,272,1007.2,54.62,6.956,5.24,188.172,4285.1,106.571,0.135,2.00,7.7309,23749.4,1.2105,0.5515,13.03,1.547,0.374,1.5345,0.0000,0.611,0.194,0.592,0.0000,6.73,1.58,3,11,25,116,49.9065,1.4613,0.4805,0.0000,0.0000,53.7416,100.00,78.5020,428.8032,0.0,0.0000,0.0000
40000,2026,1.053,0.411,8.63,36072,28739,445,5580,2354,266198,450548.4,270163.2,0.069,0.689,0.146,0.096,211,40.61,38.33,4.69,8.88,5.16,9.66,0.03,0.43,14.45,9.30,0.94,1.88,0.075,0.147,1206,0.045,0.092,0.895,0.000,0.013,85690,73319,4,0.708,0.008,0.006,46153,0.259,2.374,0.030,11.70,30874,576,1.015,0.134,0.289,7295358,2.17,8.57,0.070,0.498,0.225,7.2,25.1,106.3,255.6,49316,0.188,0.00,0.0015,0.107,513,0.660,0.000,0.779,0.588,4.55,5.01,6.87,1.00,0.236,2.43,1.52,2.41,0.670,0.00259,3.38,19.4840,1845.47,97586.0,140185.7,0.158,24.0465,81.688,0.000,1.000,0.053,51.7,35.748,58.822,174,639.1,56.09,3.306,4.68,48.713,3965.9,33.506,0.135,2.00,15.8101,32031.2,1.0980,0.6119,24.34,1.337,0.143,0.4655,0.0000,0.457,0.060,0.207,0.0000,7.91,0.68,6,19,56,100,29.8808,0.6130,0.5977,0.0000,0.0000,12.3135,100.00,105.5555,254.5640,0.0,0.0000,0.0000
50000,3049,0.872,0.506,9.25,74200,56378,2534,6251,8014,346052,1075599.6,599717.2,0.084,0.630,0.171,0.116,129,32.84,32.57,3.71,7.47,4.69,8.37,0.07,1.00,10.80,8.42,0.87,1.81,0.089,0.147,1960,0.023,0.071,0.911,0.000,0.018,262328,237730,4,0.608,0.111,0.011,248520,0.220,2.540,0.038,5.01,83099,683,1.733,0.180,0.350,20577069,1.99,10.52,0.046,0.532,0.220,5.0,20.0,84.5,235.4,58790,0.224,0.00,0.0033,0.065,848,0.879,0.000,0.863,0.718,3.96,4.57,6.05,0.95,0.230,2.21,1.50,2.17,0.884,0.00136,3.25,71.4462,2628.00,86298.5,140185.7,17.458,102.8797,172.911,0.000,1.000,0.000,68.8,72.567,243.354,266,980.2,56.38,4.757,4.53,171.565,4452.1,105.427,0.134,2.00,13.4022,40863.4,1.2041,0.7467,19.28,1.383,0.185,1.5345,0.0000,0.474,0.074,0.343,0.0000,7.70,0.79,4,14,45,94,64.6048,3.8047,0.6343,0.0000,0.0000,54.1253,100.00,63.1219,472.3280,0.0,0.0000,0.0000
60000,2656,0.879,0.386,10.08,36279,29008,1266,3449,2949,197140,440819.3,228695.5,0.086,0.662,0.166,0.086,206,27.18,27.99,2.54,7.03,4.23,8.15,0.02,0.38,9.75,7.57,0.56,1.55,0.112,0.171,1593,0.047,0.084,0.890,0.002,0.024,81715,71180,5,0.485,0.082,0.006,120777,0.167,2.168,0.028,10.19,28650,724,1.160,0.149,0.325,8978879,1.69,12.05,0.029,0.534,0.135,5.2,17.6,69.5,191.9,43940,0.168,0.00,0.0017,0.109,657,0.745,0.000,0.801,0.565,3.69,4.21,5.61,0.58,0.137,1.85,1.31,1.84,0.752,0.00146,3.14,18.5267,1524.06,99407.9,140185.7,0.100,24.7981,82.242,0.000,1.000,0.041,54.2,36.921,61.223,124,477.3,44.23,3.345,4.50,50.214,3975.6,34.078,0.134,2.00,11.5270,30615.7,1.2419,0.6534,16.54,1.431,0.201,0.4655,0.0000,0.486,0.089,0.359,0.0000,7.73,0.60,4,13,36,82,32.1177,0.9195,0.5482,0.0000,0.0000,12.6254,100.00,103.6502,252.4473,0.0,0.0000,0.0000
70000,3315,0.731,0.538,10.54,131481,98824,1517,20145,10336,641380,1078748.1,788607.8,0.083,0.639,0.206,0.072,106,25.32,25.39,2.81,6.23,4.11,7.74,0.16,1.72,7.98,7.49,0.70,1.66,0.114,0.171,2039,0.027,0.059,0.913,0.004,0.024,321135,280586,15,0.446,0.124,0.015,325199,0.211,2.476,0.044,4.95,121569,533,1.230,0.222,0.327,28262172,1.83,13.18,0.025,0.537,0.176,3.9,15.1,66.9,214.7,49919,0.190,0.00,0.0041,0.078,846,0.882,0.000,0.889,0.592,3.37,3.95,5.06,0.79,0.194,1.96,1.47,2.01,0.892,0.00144,2.72,64.4427,2426.86,91802.7,140185.7,12.897,100.0356,200.363,0.000,1.000,0.032,72.4,81.243,245.078,339,1391.2,50.85,6.675,4.00,177.087,4824.4,107.566,0.135,2.00,10.6754,35388.9,1.3247,0.7327,15.06,1.475,0.259,1.5345,0.0000,0.470,0.079,0.290,0.0000,7.62,0.81,3,10,37,100,71.4303,5.0445,0.6265,0.0000,0.0000,53.7488,100.00,69.6676,519.1477,0.0,0.0000,0.0000
80000,2178,0.825,0.460,8.05,36344,29838,1085,4399,2159,202066,409248.8,205842.8,0.085,0.704,0.144,0.067,200,32.67,29.77,5.34,9.34,4.32,8.56,0.04,0.69,10.03,8.11,0.79,1.55,0.061,0.117,1184,0.041,0.107,0.876,0.000,0.017,71066,61271,5,0.697,0.018,0.006,262663,0.150,2.408,0.034,9.02,24410,687,1.019,0.152,0.287,9576431,2.59,10.81,0.070,0.527,0.228,5.3,21.4,85.5,168.7,42977,0.164,0.00,0.0019,0.120,531,0.753,0.000,0.802,0.500,3.96,4.29,6.47,0.82,0.235,2.93,1.61,3.02,0.760,0.00179,2.43,14.5177,1296.05,103177.1,140185.7,0.070,26.8578,78.307,0.000,1.000,0.040,53.4,35.396,63.911,174,773.8,45.44,3.984,4.22,52.095,5178.1,32.107,0.134,2.01,12.0322,26206.1,1.2202,0.6377,19.73,1.313,0.094,0.4655,0.0000,0.459,0.089,0.353,0.0000,7.94,0.86,4,16,46,80,30.3931,1.0991,0.6074,0.0000,0.0000,12.6547,100.00,105.6370,246.7948,0.0,0.0000,0.0000
90000,3063,0.673,0.477,8.22,86629,65063,2571,9314,8796,326572,1009658.1,535910.1,0.070,0.617,0.198,0.115,127,30.11,28.84,5.09,8.41,4.08,8.00,0.01,0.27,8.99,8.09,0.79,1.52,0.064,0.125,1638,0.023,0.090,0.886,0.001,0.023,244398,221946,4,0.650,0.010,0.005,244135,0.277,2.588,0.036,4.21,75304,689,1.641,0.180,0.298,21148271,2.50,12.82,0.048,0.487,0.239,4.5,17.6,79.4,170.1,55658,0.212,0.00,0.0037,0.073,688,0.867,0.000,0.876,0.647,3.70,4.27,5.57,0.89,0.242,2.81,1.66,2.86,0.872,0.00149,2.83,55.9536,1713.02,92373.8,140185.7,9.894,112.2740,167.665,0.000,1.000,0.038,71.0,72.982,244.934,217,876.8,102.20,4.104,4.30,182.128,5005.3,98.929,0.134,2.00,11.7617,36026.2,1.3012,0.8303,18.17,1.315,0.110,1.5345,0.0000,0.488,0.097,0.462,0.0000,7.94,1.00,3,13,45,81,61.6576,6.7758,0.6448,0.0000,0.0000,52.3492,100.00,70.8728,488.0872,0.0,0.0000,0.0000
100000,2137,1.042,0.486,8.45,30923,24684,1322,3650,2193,162732,410022.4,183228.0,0.042,0.684,0.164,0.109,203,33.52,28.66,5.09,8.66,4.14,8.00,0.01,0.38,11.41,8.54,0.85,1.67,0.064,0.123,1215,0.040,0.101,0.880,0.000,0.019,61028,52875,2,0.653,0.043,0.001,38040,0.311,2.885,0.034,8.14,20396,733,1.126,0.128,0.266,8934903,2.49,10.86,0.061,0.497,0.234,5.1,21.1,77.4,158.0,44136,0.168,0.00,0.0017,0.086,523,0.757,0.000,0.817,0.506,4.17,4.36,6.66,0.89,0.236,2.78,1.69,2.87,0.763,0.00173,2.34,14.5282,2103.19,96443.5,140185.7,0.092,27.2416,75.734,0.000,1.000,0.031,49.2,34.089,65.306,204,834.2,115.53,3.304,4.55,52.783,4784.2,33.043,0.139,2.00,15.0096,32075.6,1.2615,0.6962,20.65,1.343,0.101,0.4655,0.0000,0.527,0.097,0.636,0.0000,8.03,0.82,4,15,48,78,29.2038,1.1791,0.5555,0.0000,0.0000,12.9162,100.00,103.8921,246.5489,0.0,0.0000,0.0000
